😀	osinekile, ubuso obusinekile
🙅‍♂	cha, enqaba, indoda, indoda eveza ukuthi akulungile, isandla, okungavumelekile, okunqantshiwe, uphawu
🙅🏻‍♂	cha, enqaba, indoda, indoda eveza ukuthi akulungile, indoda eveza ukuthi akulungile: uhlobo-1-2, isandla, okungavumelekile, okunqantshiwe, uhlobo-1-2, uphawu
🙅🏼‍♂	cha, enqaba, indoda, indoda eveza ukuthi akulungile, indoda eveza ukuthi akulungile: uhlobo-3, isandla, okungavumelekile, okunqantshiwe, uhlobo-3, uphawu
🙅🏽‍♂	cha, enqaba, indoda, indoda eveza ukuthi akulungile, indoda eveza ukuthi akulungile: uhlobo-4, isandla, okungavumelekile, okunqantshiwe, uhlobo-4, uphawu
🙅🏾‍♂	cha, enqaba, indoda, indoda eveza ukuthi akulungile, indoda eveza ukuthi akulungile: uhlobo-5, isandla, okungavumelekile, okunqantshiwe, uhlobo-5, uphawu
🙅🏿‍♂	cha, enqaba, indoda, indoda eveza ukuthi akulungile, indoda eveza ukuthi akulungile: uhlobo-6, isandla, okungavumelekile, okunqantshiwe, uhlobo-6, uphawu
🙅‍♀	cha, enqaba, isandla, okungavumelekile, okunqantshiwe, owesimame, owesimame oveza ukuthi akulungile, uphawu
🙅🏻‍♀	cha, enqaba, isandla, okungavumelekile, okunqantshiwe, owesimame, owesimame oveza ukuthi akulungile, owesimame oveza ukuthi akulungile: uhlobo-1-2, uhlobo-1-2, uphawu
🙅🏼‍♀	cha, enqaba, isandla, okungavumelekile, okunqantshiwe, owesimame, owesimame oveza ukuthi akulungile, owesimame oveza ukuthi akulungile: uhlobo-3, uhlobo-3, uphawu
🙅🏽‍♀	cha, enqaba, isandla, okungavumelekile, okunqantshiwe, owesimame, owesimame oveza ukuthi akulungile, owesimame oveza ukuthi akulungile: uhlobo-4, uhlobo-4, uphawu
🙅🏾‍♀	cha, enqaba, isandla, okungavumelekile, okunqantshiwe, owesimame, owesimame oveza ukuthi akulungile, owesimame oveza ukuthi akulungile: uhlobo-5, uhlobo-5, uphawu
🙅🏿‍♀	cha, enqaba, isandla, okungavumelekile, okunqantshiwe, owesimame, owesimame oveza ukuthi akulungile, owesimame oveza ukuthi akulungile: uhlobo-6, uhlobo-6, uphawu
🙆	isandla, kulungile, umuntu oveza ukuthi kulungile, uphawu
🙆🏻	isandla, kulungile, uhlobo-1-2, umuntu oveza ukuthi kulungile, umuntu oveza ukuthi kulungile: uhlobo-1-2, uphawu
🙆🏼	isandla, kulungile, uhlobo-3, umuntu oveza ukuthi kulungile, umuntu oveza ukuthi kulungile: uhlobo-3, uphawu
🙆🏽	isandla, kulungile, uhlobo-4, umuntu oveza ukuthi kulungile, umuntu oveza ukuthi kulungile: uhlobo-4, uphawu
🙆🏾	isandla, kulungile, uhlobo-5, umuntu oveza ukuthi kulungile, umuntu oveza ukuthi kulungile: uhlobo-5, uphawu
🙆🏿	isandla, kulungile, uhlobo-6, umuntu oveza ukuthi kulungile, umuntu oveza ukuthi kulungile: uhlobo-6, uphawu
🙆‍♂	indoda, isandla, kulungile, owesilisa oveza ukuthi kulungile, uphawu
🙆🏻‍♂	indoda, isandla, kulungile, owesilisa oveza ukuthi kulungile, owesilisa oveza ukuthi kulungile: uhlobo-1-2, uhlobo-1-2, uphawu
🙆🏼‍♂	indoda, isandla, kulungile, owesilisa oveza ukuthi kulungile, owesilisa oveza ukuthi kulungile: uhlobo-3, uhlobo-3, uphawu
🙆🏽‍♂	indoda, isandla, kulungile, owesilisa oveza ukuthi kulungile, owesilisa oveza ukuthi kulungile: uhlobo-4, uhlobo-4, uphawu
🙆🏾‍♂	indoda, isandla, kulungile, owesilisa oveza ukuthi kulungile, owesilisa oveza ukuthi kulungile: uhlobo-5, uhlobo-5, uphawu
🙆🏿‍♂	indoda, isandla, kulungile, owesilisa oveza ukuthi kulungile, owesilisa oveza ukuthi kulungile: uhlobo-6, uhlobo-6, uphawu
🙆‍♀	isandla, kulungile, owesimame oveza ukuthi kulungile, owesmame, uphawu
🙆🏻‍♀	isandla, kulungile, owesimame oveza ukuthi kulungile, owesimame oveza ukuthi kulungile: uhlobo-1-2, owesmame, uhlobo-1-2, uphawu
🙆🏼‍♀	isandla, kulungile, owesimame oveza ukuthi kulungile, owesimame oveza ukuthi kulungile: uhlobo-3, owesmame, uhlobo-3, uphawu
🙆🏽‍♀	isandla, kulungile, owesimame oveza ukuthi kulungile, owesimame oveza ukuthi kulungile: uhlobo-4, owesmame, uhlobo-4, uphawu
🙆🏾‍♀	isandla, kulungile, owesimame oveza ukuthi kulungile, owesimame oveza ukuthi kulungile: uhlobo-5, owesmame, uhlobo-5, uphawu
🙆🏿‍♀	isandla, kulungile, owesimame oveza ukuthi kulungile, owesimame oveza ukuthi kulungile: uhlobo-6, owesmame, uhlobo-6, uphawu
💁	imali, isandla, ulwazi, umuntu ocela ngesandla, usizo
💁🏻	imali, isandla, uhlobo-1-2, ulwazi, umuntu ocela ngesandla, umuntu ocela ngesandla: uhlobo-1-2, usizo
💁🏼	imali, isandla, uhlobo-3, ulwazi, umuntu ocela ngesandla, umuntu ocela ngesandla: uhlobo-3, usizo
💁🏽	imali, isandla, uhlobo-4, ulwazi, umuntu ocela ngesandla, umuntu ocela ngesandla: uhlobo-4, usizo
💁🏾	imali, isandla, uhlobo-5, ulwazi, umuntu ocela ngesandla, umuntu ocela ngesandla: uhlobo-5, usizo
💁🏿	imali, isandla, uhlobo-6, ulwazi, umuntu ocela ngesandla, umuntu ocela ngesandla: uhlobo-6, usizo
💁‍♂	imali, indoda, indoda ecela ngesandla, isandla, usizo
💁🏻‍♂	imali, indoda, indoda ecela ngesandla, indoda ecela ngesandla: uhlobo-1-2, isandla, uhlobo-1-2, usizo
💁🏼‍♂	imali, indoda, indoda ecela ngesandla, indoda ecela ngesandla: uhlobo-3, isandla, uhlobo-3, usizo
💁🏽‍♂	imali, indoda, indoda ecela ngesandla, indoda ecela ngesandla: uhlobo-4, isandla, uhlobo-4, usizo
💁🏾‍♂	imali, indoda, indoda ecela ngesandla, indoda ecela ngesandla: uhlobo-5, isandla, uhlobo-5, usizo
💁🏿‍♂	imali, indoda, indoda ecela ngesandla, indoda ecela ngesandla: uhlobo-6, isandla, uhlobo-6, usizo
💁‍♀	isandla, owesimame imali, owesimame ocela ngesandla, usizo
💁🏻‍♀	isandla, owesimame imali, owesimame ocela ngesandla, owesimame ocela ngesandla: uhlobo-1-2, uhlobo-1-2, usizo
💁🏼‍♀	isandla, owesimame imali, owesimame ocela ngesandla, owesimame ocela ngesandla: uhlobo-3, uhlobo-3, usizo
💁🏽‍♀	isandla, owesimame imali, owesimame ocela ngesandla, owesimame ocela ngesandla: uhlobo-4, uhlobo-4, usizo
💁🏾‍♀	isandla, owesimame imali, owesimame ocela ngesandla, owesimame ocela ngesandla: uhlobo-5, uhlobo-5, usizo
💁🏿‍♀	isandla, owesimame imali, owesimame ocela ngesandla, owesimame ocela ngesandla: uhlobo-6, uhlobo-6, usizo
🙋	isandla, ukujabula, ukuphakamisa, umuntu ophakamisa isandla, uphawu
🙋🏻	isandla, uhlobo-1-2, ukujabula, ukuphakamisa, umuntu ophakamisa isandla, umuntu ophakamisa isandla: uhlobo-1-2, uphawu
🙋🏼	isandla, uhlobo-3, ukujabula, ukuphakamisa, umuntu ophakamisa isandla, umuntu ophakamisa isandla: uhlobo-3, uphawu
🙋🏽	isandla, uhlobo-4, ukujabula, ukuphakamisa, umuntu ophakamisa isandla, umuntu ophakamisa isandla: uhlobo-4, uphawu
🙋🏾	isandla, uhlobo-5, ukujabula, ukuphakamisa, umuntu ophakamisa isandla, umuntu ophakamisa isandla: uhlobo-5, uphawu
🙋🏿	isandla, uhlobo-6, ukujabula, ukuphakamisa, umuntu ophakamisa isandla, umuntu ophakamisa isandla: uhlobo-6, uphawu
🙋‍♂	indoda, indoda ephakamise isandla, isandla, ukujabula, ukuphakamisa, uphawu
🙋🏻‍♂	indoda, indoda ephakamise isandla, indoda ephakamise isandla: uhlobo-1-2, isandla, uhlobo-1-2, ukujabula, ukuphakamisa, uphawu
🙋🏼‍♂	indoda, indoda ephakamise isandla, indoda ephakamise isandla: uhlobo-3, isandla, uhlobo-3, ukujabula, ukuphakamisa, uphawu
🙋🏽‍♂	indoda, indoda ephakamise isandla, indoda ephakamise isandla: uhlobo-4, isandla, uhlobo-4, ukujabula, ukuphakamisa, uphawu
🙋🏾‍♂	indoda, indoda ephakamise isandla, indoda ephakamise isandla: uhlobo-5, isandla, uhlobo-5, ukujabula, ukuphakamisa, uphawu
🙋🏿‍♂	indoda, indoda ephakamise isandla, indoda ephakamise isandla: uhlobo-6, isandla, uhlobo-6, ukujabula, ukuphakamisa, uphawu
🙋‍♀	isandla, owesimame, owesimame ophakamise isandla, ukujabula, ukuphakamisa, uphawu
🙋🏻‍♀	isandla, owesimame, owesimame ophakamise isandla, owesimame ophakamise isandla: uhlobo-1-2, uhlobo-1-2, ukujabula, ukuphakamisa, uphawu
🙋🏼‍♀	isandla, owesimame, owesimame ophakamise isandla, owesimame ophakamise isandla: uhlobo-3, uhlobo-3, ukujabula, ukuphakamisa, uphawu
🙋🏽‍♀	isandla, owesimame, owesimame ophakamise isandla, owesimame ophakamise isandla: uhlobo-4, uhlobo-4, ukujabula, ukuphakamisa, uphawu
🙋🏾‍♀	isandla, owesimame, owesimame ophakamise isandla, owesimame ophakamise isandla: uhlobo-5, uhlobo-5, ukujabula, ukuphakamisa, uphawu
🙋🏿‍♀	isandla, owesimame, owesimame ophakamise isandla, owesimame ophakamise isandla: uhlobo-6, uhlobo-6, ukujabula, ukuphakamisa, uphawu
🧏	indlebe, ukufinyelela, ukungezwa, ukuzwa, umuntu ongezwa
🧏🏻	indlebe, uhlobo-1-2, ukufinyelela, ukungezwa, ukuzwa, umuntu ongezwa, umuntu ongezwa: uhlobo-1-2
🧏🏼	indlebe, uhlobo-3, ukufinyelela, ukungezwa, ukuzwa, umuntu ongezwa, umuntu ongezwa: uhlobo-3
🧏🏽	indlebe, uhlobo-4, ukufinyelela, ukungezwa, ukuzwa, umuntu ongezwa, umuntu ongezwa: uhlobo-4
🧏🏾	indlebe, uhlobo-5, ukufinyelela, ukungezwa, ukuzwa, umuntu ongezwa, umuntu ongezwa: uhlobo-5
🧏🏿	indlebe, uhlobo-6, ukufinyelela, ukungezwa, ukuzwa, umuntu ongezwa, umuntu ongezwa: uhlobo-6
🧏‍♂	indoda, indoda engezwa, ongezwa
🧏🏻‍♂	indoda, indoda engezwa, indoda engezwa: uhlobo-1-2, ongezwa, uhlobo-1-2
🧏🏼‍♂	indoda, indoda engezwa, indoda engezwa: uhlobo-3, ongezwa, uhlobo-3
🧏🏽‍♂	indoda, indoda engezwa, indoda engezwa: uhlobo-4, ongezwa, uhlobo-4
🧏🏾‍♂	indoda, indoda engezwa, indoda engezwa: uhlobo-5, ongezwa, uhlobo-5
🧏🏿‍♂	indoda, indoda engezwa, indoda engezwa: uhlobo-6, ongezwa, uhlobo-6
🧏‍♀	ongezwa, umama, umama ongezwa
🧏🏻‍♀	ongezwa, uhlobo-1-2, umama, umama ongezwa: uhlobo-1-2
🧏🏼‍♀	ongezwa, uhlobo-3, umama, umama ongezwa: uhlobo-3
🧏🏽‍♀	ongezwa, uhlobo-4, umama, umama ongezwa: uhlobo-4
🧏🏾‍♀	ongezwa, uhlobo-5, umama, umama ongezwa: uhlobo-5
🧏🏿‍♀	ongezwa, uhlobo-6, umama, umama ongezwa: uhlobo-6
🙇	ukuthoba, ukuxolisa, umuntu othobile, uphawu
🙇🏻	uhlobo-1-2, ukuthoba, ukuxolisa, umuntu othobile, umuntu othobile: uhlobo-1-2, uphawu
🙇🏼	uhlobo-3, ukuthoba, ukuxolisa, umuntu othobile, umuntu othobile: uhlobo-3, uphawu
🙇🏽	uhlobo-4, ukuthoba, ukuxolisa, umuntu othobile, umuntu othobile: uhlobo-4, uphawu
🙇🏾	uhlobo-5, ukuthoba, ukuxolisa, umuntu othobile, umuntu othobile: uhlobo-5, uphawu
🙇🏿	uhlobo-6, ukuthoba, ukuxolisa, umuntu othobile, umuntu othobile: uhlobo-6, uphawu
🙇‍♂	indoda, indoda ethobe kakhulu, ukuthoba, ukuxolisa, uphawu
🙇🏻‍♂	indoda, indoda ethobe kakhulu, indoda ethobe kakhulu: uhlobo-1-2, uhlobo-1-2, ukuthoba, ukuxolisa, uphawu
🙇🏼‍♂	indoda, indoda ethobe kakhulu, indoda ethobe kakhulu: uhlobo-3, uhlobo-3, ukuthoba, ukuxolisa, uphawu
🙇🏽‍♂	indoda, indoda ethobe kakhulu, indoda ethobe kakhulu: uhlobo-4, uhlobo-4, ukuthoba, ukuxolisa, uphawu
🙇🏾‍♂	indoda, indoda ethobe kakhulu, indoda ethobe kakhulu: uhlobo-5, uhlobo-5, ukuthoba, ukuxolisa, uphawu
🙇🏿‍♂	indoda, indoda ethobe kakhulu, indoda ethobe kakhulu: uhlobo-6, uhlobo-6, ukuthoba, ukuxolisa, uphawu
🙇‍♀	owesimame, owesimame othobe kakhulu, ukuthoba, ukuxolisa, uphawu
🙇🏻‍♀	owesimame, owesimame othobe kakhulu, owesimame othobe kakhulu: uhlobo-1-2, uhlobo-1-2, ukuthoba, ukuxolisa, uphawu
🙇🏼‍♀	owesimame, owesimame othobe kakhulu, owesimame othobe kakhulu: uhlobo-3, uhlobo-3, ukuthoba, ukuxolisa, uphawu
🙇🏽‍♀	owesimame, owesimame othobe kakhulu, owesimame othobe kakhulu: uhlobo-4, uhlobo-4, ukuthoba, ukuxolisa, uphawu
🙇🏾‍♀	owesimame, owesimame othobe kakhulu, owesimame othobe kakhulu: uhlobo-5, uhlobo-5, ukuthoba, ukuxolisa, uphawu
🙇🏿‍♀	owesimame, owesimame othobe kakhulu, owesimame othobe kakhulu: uhlobo-6, uhlobo-6, ukuthoba, ukuxolisa, uphawu
🤦	intende yesandla, ubuso, ukucikeka, ukungakholwa, ukuzifihla
🤦🏻	intende yesandla, ubuso, uhlobo-1-2, ukucikeka, ukungakholwa, ukuzifihla, ukuzifihla: uhlobo-1-2
🤦🏼	intende yesandla, ubuso, uhlobo-3, ukucikeka, ukungakholwa, ukuzifihla, ukuzifihla: uhlobo-3
🤦🏽	intende yesandla, ubuso, uhlobo-4, ukucikeka, ukungakholwa, ukuzifihla, ukuzifihla: uhlobo-4
🤦🏾	intende yesandla, ubuso, uhlobo-5, ukucikeka, ukungakholwa, ukuzifihla, ukuzifihla: uhlobo-5
🤦🏿	intende yesandla, ubuso, uhlobo-6, ukucikeka, ukungakholwa, ukuzifihla, ukuzifihla: uhlobo-6
🤦‍♂	intende yesandla, ubuso, ukucikeka, ukungakholwa, ukuzifihla kowesilisa
🤦🏻‍♂	intende yesandla, ubuso, uhlobo-1-2, ukucikeka, ukungakholwa, ukuzifihla kowesilisa, ukuzifihla kowesilisa: uhlobo-1-2
🤦🏼‍♂	intende yesandla, ubuso, uhlobo-3, ukucikeka, ukungakholwa, ukuzifihla kowesilisa, ukuzifihla kowesilisa: uhlobo-3
🤦🏽‍♂	intende yesandla, ubuso, uhlobo-4, ukucikeka, ukungakholwa, ukuzifihla kowesilisa, ukuzifihla kowesilisa: uhlobo-4
🤦🏾‍♂	intende yesandla, ubuso, uhlobo-5, ukucikeka, ukungakholwa, ukuzifihla kowesilisa, ukuzifihla kowesilisa: uhlobo-5
🤦🏿‍♂	intende yesandla, ubuso, uhlobo-6, ukucikeka, ukungakholwa, ukuzifihla kowesilisa, ukuzifihla kowesilisa: uhlobo-6
🤦‍♀	intende yesandla, ubuso, ukucikeka, ukungakholwa, ukuzifihla kowesimame
🤦🏻‍♀	intende yesandla, ubuso, uhlobo-1-2, ukucikeka, ukungakholwa, ukuzifihla kowesimame, ukuzifihla kowesimame: uhlobo-1-2
🤦🏼‍♀	intende yesandla, ubuso, uhlobo-3, ukucikeka, ukungakholwa, ukuzifihla kowesimame, ukuzifihla kowesimame: uhlobo-3
🤦🏽‍♀	intende yesandla, ubuso, uhlobo-4, ukucikeka, ukungakholwa, ukuzifihla kowesimame, ukuzifihla kowesimame: uhlobo-4
🤦🏾‍♀	intende yesandla, ubuso, uhlobo-5, ukucikeka, ukungakholwa, ukuzifihla kowesimame, ukuzifihla kowesimame: uhlobo-5
🤦🏿‍♀	intende yesandla, ubuso, uhlobo-6, ukucikeka, ukungakholwa, ukuzifihla kowesimame, ukuzifihla kowesimame: uhlobo-6
🤷	shukuza amahlombe, ukungabaza, ukungabi nandaba, ukunganaki, ukunyakazisa amahlombe
🤷🏻	shukuza amahlombe, shukuza amahlombe: uhlobo-1-2, uhlobo-1-2, ukungabaza, ukungabi nandaba, ukunganaki, ukunyakazisa amahlombe
🤷🏼	shukuza amahlombe, shukuza amahlombe: uhlobo-3, uhlobo-3, ukungabaza, ukungabi nandaba, ukunganaki, ukunyakazisa amahlombe
🤷🏽	shukuza amahlombe, shukuza amahlombe: uhlobo-4, uhlobo-4, ukungabaza, ukungabi nandaba, ukunganaki, ukunyakazisa amahlombe
🤷🏾	shukuza amahlombe, shukuza amahlombe: uhlobo-5, uhlobo-5, ukungabaza, ukungabi nandaba, ukunganaki, ukunyakazisa amahlombe
🤷🏿	shukuza amahlombe, shukuza amahlombe: uhlobo-6, uhlobo-6, ukungabaza, ukungabi nandaba, ukunganaki, ukunyakazisa amahlombe
🤷‍♂	ukungabaza, ukungabi nandaba, ukunganaki, ukunyakazisa amahlombe, ukushukuza amahlombe kowesilisa
🤷🏻‍♂	uhlobo-1-2, ukungabaza, ukungabi nandaba, ukunganaki, ukunyakazisa amahlombe, ukushukuza amahlombe kowesilisa, ukushukuza amahlombe kowesilisa: uhlobo-1-2
🤷🏼‍♂	uhlobo-3, ukungabaza, ukungabi nandaba, ukunganaki, ukunyakazisa amahlombe, ukushukuza amahlombe kowesilisa, ukushukuza amahlombe kowesilisa: uhlobo-3
🤷🏽‍♂	uhlobo-4, ukungabaza, ukungabi nandaba, ukunganaki, ukunyakazisa amahlombe, ukushukuza amahlombe kowesilisa, ukushukuza amahlombe kowesilisa: uhlobo-4
🤷🏾‍♂	uhlobo-5, ukungabaza, ukungabi nandaba, ukunganaki, ukunyakazisa amahlombe, ukushukuza amahlombe kowesilisa, ukushukuza amahlombe kowesilisa: uhlobo-5
🤷🏿‍♂	uhlobo-6, ukungabaza, ukungabi nandaba, ukunganaki, ukunyakazisa amahlombe, ukushukuza amahlombe kowesilisa, ukushukuza amahlombe kowesilisa: uhlobo-6
🤷‍♀	ukungabaza, ukungabi nandaba, ukunganaki, ukunyakazisa amahlombe, ukushukuza amahlombe kowesimame
🤷🏻‍♀	uhlobo-1-2, ukungabaza, ukungabi nandaba, ukunganaki, ukunyakazisa amahlombe, ukushukuza amahlombe kowesimame, ukushukuza amahlombe kowesimame: uhlobo-1-2
🤷🏼‍♀	uhlobo-3, ukungabaza, ukungabi nandaba, ukunganaki, ukunyakazisa amahlombe, ukushukuza amahlombe kowesimame, ukushukuza amahlombe kowesimame: uhlobo-3
🤷🏽‍♀	uhlobo-4, ukungabaza, ukungabi nandaba, ukunganaki, ukunyakazisa amahlombe, ukushukuza amahlombe kowesimame, ukushukuza amahlombe kowesimame: uhlobo-4
🤷🏾‍♀	uhlobo-5, ukungabaza, ukungabi nandaba, ukunganaki, ukunyakazisa amahlombe, ukushukuza amahlombe kowesimame, ukushukuza amahlombe kowesimame: uhlobo-5
🤷🏿‍♀	uhlobo-6, ukungabaza, ukungabi nandaba, ukunganaki, ukunyakazisa amahlombe, ukushukuza amahlombe kowesimame, ukushukuza amahlombe kowesimame: uhlobo-6
👨‍⚕	indoda, udokotela, unesi, unesi wendoda
👨🏻‍⚕	indoda, udokotela, uhlobo-1-2, unesi, unesi wendoda, unesi wendoda: uhlobo-1-2
👨🏼‍⚕	indoda, udokotela, uhlobo-3, unesi, unesi wendoda, unesi wendoda: uhlobo-3
👨🏽‍⚕	indoda, udokotela, uhlobo-4, unesi, unesi wendoda, unesi wendoda: uhlobo-4
👨🏾‍⚕	indoda, udokotela, uhlobo-5, unesi, unesi wendoda, unesi wendoda: uhlobo-5
👨🏿‍⚕	indoda, udokotela, uhlobo-6, unesi, unesi wendoda, unesi wendoda: uhlobo-6
👩‍⚕	iowesimame, udokotela, unesi, unesi wesifazane
👩🏻‍⚕	iowesimame, udokotela, uhlobo-1-2, unesi, unesi wesifazane, unesi wesifazane: uhlobo-1-2
👩🏼‍⚕	iowesimame, udokotela, uhlobo-3, unesi, unesi wesifazane, unesi wesifazane: uhlobo-3
👩🏽‍⚕	iowesimame, udokotela, uhlobo-4, unesi, unesi wesifazane, unesi wesifazane: uhlobo-4
👩🏾‍⚕	iowesimame, udokotela, uhlobo-5, unesi, unesi wesifazane, unesi wesifazane: uhlobo-5
👩🏿‍⚕	iowesimame, udokotela, uhlobo-6, unesi, unesi wesifazane, unesi wesifazane: uhlobo-6
👨‍🎓	indoda, isifundiswa, umfundi, umfundi wesilisa
👨🏻‍🎓	indoda, isifundiswa, uhlobo-1-2, umfundi, umfundi wesilisa, umfundi wesilisa: uhlobo-1-2
👨🏼‍🎓	indoda, isifundiswa, uhlobo-3, umfundi, umfundi wesilisa, umfundi wesilisa: uhlobo-3
👨🏽‍🎓	indoda, isifundiswa, uhlobo-4, umfundi, umfundi wesilisa, umfundi wesilisa: uhlobo-4
👨🏾‍🎓	indoda, isifundiswa, uhlobo-5, umfundi, umfundi wesilisa, umfundi wesilisa: uhlobo-5
👨🏿‍🎓	indoda, isifundiswa, uhlobo-6, umfundi, umfundi wesilisa, umfundi wesilisa: uhlobo-6
👩‍🎓	isifundiswa, owesimame, umfundi, umfundi wesifazane
👩🏻‍🎓	isifundiswa, owesimame, uhlobo-1-2, umfundi, umfundi wesifazane, umfundi wesifazane: uhlobo-1-2
👩🏼‍🎓	isifundiswa, owesimame, uhlobo-3, umfundi, umfundi wesifazane, umfundi wesifazane: uhlobo-3
👩🏽‍🎓	isifundiswa, owesimame, uhlobo-4, umfundi, umfundi wesifazane, umfundi wesifazane: uhlobo-4
👩🏾‍🎓	isifundiswa, owesimame, uhlobo-5, umfundi, umfundi wesifazane, umfundi wesifazane: uhlobo-5
👩🏿‍🎓	isifundiswa, owesimame, uhlobo-6, umfundi, umfundi wesifazane, umfundi wesifazane: uhlobo-6
👨‍🏫	indoda, umyaleli, usolwazi, uthisha, uthisha wesilisa
👨🏻‍🏫	indoda, uhlobo-1-2, umyaleli, usolwazi, uthisha, uthisha wesilisa, uthisha wesilisa: uhlobo-1-2
👨🏼‍🏫	indoda, uhlobo-3, umyaleli, usolwazi, uthisha, uthisha wesilisa, uthisha wesilisa: uhlobo-3
👨🏽‍🏫	indoda, uhlobo-4, umyaleli, usolwazi, uthisha, uthisha wesilisa, uthisha wesilisa: uhlobo-4
👨🏾‍🏫	indoda, uhlobo-5, umyaleli, usolwazi, uthisha, uthisha wesilisa, uthisha wesilisa: uhlobo-5
👨🏿‍🏫	indoda, uhlobo-6, umyaleli, usolwazi, uthisha, uthisha wesilisa, uthisha wesilisa: uhlobo-6
👩‍🏫	owesimame, umyaleli, usolwazi, uthisha, uthisha wesifazane
👩🏻‍🏫	owesimame, uhlobo-1-2, umyaleli, usolwazi, uthisha, uthisha wesifazane, uthisha wesifazane: uhlobo-1-2
👩🏼‍🏫	owesimame, uhlobo-3, umyaleli, usolwazi, uthisha, uthisha wesifazane, uthisha wesifazane: uhlobo-3
👩🏽‍🏫	owesimame, uhlobo-4, umyaleli, usolwazi, uthisha, uthisha wesifazane, uthisha wesifazane: uhlobo-4
👩🏾‍🏫	owesimame, uhlobo-5, umyaleli, usolwazi, uthisha, uthisha wesifazane, uthisha wesifazane: uhlobo-5
👩🏿‍🏫	owesimame, uhlobo-6, umyaleli, usolwazi, uthisha, uthisha wesifazane, uthisha wesifazane: uhlobo-6
👨‍⚖	ijaji lesilisa, indoda, owesilisa, ubulungiswa
👨🏻‍⚖	ijaji lesilisa, ijaji lesilisa: uhlobo-1-2, indoda, owesilisa, ubulungiswa, uhlobo-1-2
👨🏼‍⚖	ijaji lesilisa, ijaji lesilisa: uhlobo-3, indoda, owesilisa, ubulungiswa, uhlobo-3
👨🏽‍⚖	ijaji lesilisa, ijaji lesilisa: uhlobo-4, indoda, owesilisa, ubulungiswa, uhlobo-4
👨🏾‍⚖	ijaji lesilisa, ijaji lesilisa: uhlobo-5, indoda, owesilisa, ubulungiswa, uhlobo-5
👨🏿‍⚖	ijaji lesilisa, ijaji lesilisa: uhlobo-6, indoda, owesilisa, ubulungiswa, uhlobo-6
👩‍⚖	ijaji, ijaji lesifazane, owesmame
👩🏻‍⚖	ijaji, ijaji lesifazane, ijaji lesifazane: uhlobo-1-2, owesmame, uhlobo-1-2
👩🏼‍⚖	ijaji, ijaji lesifazane, ijaji lesifazane: uhlobo-3, owesmame, uhlobo-3
👩🏽‍⚖	ijaji, ijaji lesifazane, ijaji lesifazane: uhlobo-4, owesmame, uhlobo-4
👩🏾‍⚖	ijaji, ijaji lesifazane, ijaji lesifazane: uhlobo-5, owesmame, uhlobo-5
👩🏿‍⚖	ijaji, ijaji lesifazane, ijaji lesifazane: uhlobo-6, owesmame, uhlobo-6
👨‍🌾	indoda, umlimi, umlimi wesilisa
👨🏻‍🌾	indoda, uhlobo-1-2, umlimi, umlimi wesilisa, umlimi wesilisa: uhlobo-1-2
👨🏼‍🌾	indoda, uhlobo-3, umlimi, umlimi wesilisa, umlimi wesilisa: uhlobo-3
👨🏽‍🌾	indoda, uhlobo-4, umlimi, umlimi wesilisa, umlimi wesilisa: uhlobo-4
👨🏾‍🌾	indoda, uhlobo-5, umlimi, umlimi wesilisa, umlimi wesilisa: uhlobo-5
👨🏿‍🌾	indoda, uhlobo-6, umlimi, umlimi wesilisa, umlimi wesilisa: uhlobo-6
👩‍🌾	owesimame, umlimi, umlimi wesimame
👩🏻‍🌾	owesimame, uhlobo-1-2, umlimi, umlimi wesimame, umlimi wesimame: uhlobo-1-2
👩🏼‍🌾	owesimame, uhlobo-3, umlimi, umlimi wesimame, umlimi wesimame: uhlobo-3
👩🏽‍🌾	owesimame, uhlobo-4, umlimi, umlimi wesimame, umlimi wesimame: uhlobo-4
👩🏾‍🌾	owesimame, uhlobo-5, umlimi, umlimi wesimame, umlimi wesimame: uhlobo-5
👩🏿‍🌾	owesimame, uhlobo-6, umlimi, umlimi wesimame, umlimi wesimame: uhlobo-6
👨‍🍳	indoda, umpheki, umpheki wesilisa
👨🏻‍🍳	indoda, uhlobo-1-2, umpheki, umpheki wesilisa, umpheki wesilisa: uhlobo-1-2
👨🏼‍🍳	indoda, uhlobo-3, umpheki, umpheki wesilisa, umpheki wesilisa: uhlobo-3
👨🏽‍🍳	indoda, uhlobo-4, umpheki, umpheki wesilisa, umpheki wesilisa: uhlobo-4
👨🏾‍🍳	indoda, uhlobo-5, umpheki, umpheki wesilisa, umpheki wesilisa: uhlobo-5
👨🏿‍🍳	indoda, uhlobo-6, umpheki, umpheki wesilisa, umpheki wesilisa: uhlobo-6
👩‍🍳	owesimame, umpheki, umpheki wesimame
👩🏻‍🍳	owesimame, uhlobo-1-2, umpheki, umpheki wesimame, umpheki wesimame: uhlobo-1-2
👩🏼‍🍳	owesimame, uhlobo-3, umpheki, umpheki wesimame, umpheki wesimame: uhlobo-3
👩🏽‍🍳	owesimame, uhlobo-4, umpheki, umpheki wesimame, umpheki wesimame: uhlobo-4
👩🏾‍🍳	owesimame, uhlobo-5, umpheki, umpheki wesimame, umpheki wesimame: uhlobo-5
👩🏿‍🍳	owesimame, uhlobo-6, umpheki, umpheki wesimame, umpheki wesimame: uhlobo-6
👨‍🔧	indoda, odayisayo, umakhenikha, umakhenikha wesilisa, umkhandi kagesi, uplamba
