😀	gülmək, gülən üz, üz
🙋🏾	jest, orta-tünd dəri tonu, qaldırılmış, xoşbəxt, əl, əlini qaldıran xoşbəxt adam, əlini qaldıran xoşbəxt adam: orta-tünd dəri tonu
🙋🏿	jest, qaldırılmış, tünd dəri tonu, xoşbəxt, əl, əlini qaldıran xoşbəxt adam, əlini qaldıran xoşbəxt adam: tünd dəri tonu
🙋‍♂	jest, kişi, əl qaldıran kişi, əl qaldırmaq
🙋🏻‍♂	açıq dəri tonu, jest, kişi, əl qaldıran kişi, əl qaldıran kişi: açıq dəri tonu, əl qaldırmaq
🙋🏼‍♂	jest, kişi, orta-açıq dəri tonu, əl qaldıran kişi, əl qaldıran kişi: orta-açıq dəri tonu, əl qaldırmaq
🙋🏽‍♂	jest, kişi, orta dəri tonu, əl qaldıran kişi, əl qaldıran kişi: orta dəri tonu, əl qaldırmaq
🙋🏾‍♂	jest, kişi, orta-tünd dəri tonu, əl qaldıran kişi, əl qaldıran kişi: orta-tünd dəri tonu, əl qaldırmaq
🙋🏿‍♂	jest, kişi, tünd dəri tonu, əl qaldıran kişi, əl qaldıran kişi: tünd dəri tonu, əl qaldırmaq
🙋‍♀	jest, qadın, əl qaldıran qadın, əl qaldırmaq
🙋🏻‍♀	açıq dəri tonu, jest, qadın, əl qaldıran qadın, əl qaldıran qadın: açıq dəri tonu, əl qaldırmaq
🙋🏼‍♀	jest, orta-açıq dəri tonu, qadın, əl qaldıran qadın, əl qaldıran qadın: orta-açıq dəri tonu, əl qaldırmaq
🙋🏽‍♀	jest, orta dəri tonu, qadın, əl qaldıran qadın, əl qaldıran qadın: orta dəri tonu, əl qaldırmaq
🙋🏾‍♀	jest, orta-tünd dəri tonu, qadın, əl qaldıran qadın, əl qaldıran qadın: orta-tünd dəri tonu, əl qaldırmaq
🙋🏿‍♀	jest, qadın, tünd dəri tonu, əl qaldıran qadın, əl qaldıran qadın: tünd dəri tonu, əl qaldırmaq
🧏	eşitmə, kar, kar şəxs, qulaq
🧏🏻	açıq dəri tonu, eşitmə, kar, kar şəxs, kar şəxs: açıq dəri tonu, qulaq
🧏🏼	eşitmə, kar, kar şəxs, kar şəxs: orta-açıq dəri tonu, orta-açıq dəri tonu, qulaq
🧏🏽	eşitmə, kar, kar şəxs, kar şəxs: orta dəri tonu, orta dəri tonu, qulaq
🧏🏾	eşitmə, kar, kar şəxs, kar şəxs: orta-tünd dəri tonu, orta-tünd dəri tonu, qulaq
🧏🏿	eşitmə, kar, kar şəxs, kar şəxs: tünd dəri tonu, qulaq, tünd dəri tonu
🧏‍♂	kar, kar kişi, kişi
🧏🏻‍♂	açıq dəri tonu, kar, kar kişi: açıq dəri tonu, kişi
🧏🏼‍♂	kar, kar kişi: orta-açıq dəri tonu, kişi, orta-açıq dəri tonu
🧏🏽‍♂	kar, kar kişi: orta dəri tonu, kişi, orta dəri tonu
🧏🏾‍♂	kar, kar kişi: orta-tünd dəri tonu, kişi, orta-tünd dəri tonu
🧏🏿‍♂	kar, kar kişi: tünd dəri tonu, kişi, tünd dəri tonu
🧏‍♀	kar, kar qadın, qadın
🧏🏻‍♀	açıq dəri tonu, kar, kar qadın: açıq dəri tonu, qadın
🧏🏼‍♀	kar, kar qadın: orta-açıq dəri tonu, orta-açıq dəri tonu, qadın
🧏🏽‍♀	kar, kar qadın: orta dəri tonu, orta dəri tonu, qadın
🧏🏾‍♀	kar, kar qadın: orta-tünd dəri tonu, orta-tünd dəri tonu, qadın
🧏🏿‍♀	kar, kar qadın: tünd dəri tonu, qadın, tünd dəri tonu
🙇	jest, tənzim edən adam, tənzim etmək, üzr, üzr istəmək
🙇🏻	açıq dəri tonu, jest, tənzim edən adam, tənzim edən adam: açıq dəri tonu, tənzim etmək, üzr, üzr istəmək
🙇🏼	jest, orta-açıq dəri tonu, tənzim edən adam, tənzim edən adam: orta-açıq dəri tonu, tənzim etmək, üzr, üzr istəmək
🙇🏽	jest, orta dəri tonu, tənzim edən adam, tənzim edən adam: orta dəri tonu, tənzim etmək, üzr, üzr istəmək
🙇🏾	jest, orta-tünd dəri tonu, tənzim edən adam, tənzim edən adam: orta-tünd dəri tonu, tənzim etmək, üzr, üzr istəmək
🙇🏿	jest, tünd dəri tonu, tənzim edən adam, tənzim edən adam: tünd dəri tonu, tənzim etmək, üzr, üzr istəmək
🙇‍♂	alqış, baş əyən kişi, jest, kişi, lehinə, tənzim, üzrxahlıq
🙇🏻‍♂	alqış, açıq dəri tonu, baş əyən kişi, baş əyən kişi: açıq dəri tonu, jest, kişi, lehinə, tənzim, üzrxahlıq
🙇🏼‍♂	alqış, baş əyən kişi, baş əyən kişi: orta-açıq dəri tonu, jest, kişi, lehinə, orta-açıq dəri tonu, tənzim, üzrxahlıq
🙇🏽‍♂	alqış, baş əyən kişi, baş əyən kişi: orta dəri tonu, jest, kişi, lehinə, orta dəri tonu, tənzim, üzrxahlıq
🙇🏾‍♂	alqış, baş əyən kişi, baş əyən kişi: orta-tünd dəri tonu, jest, kişi, lehinə, orta-tünd dəri tonu, tənzim, üzrxahlıq
🙇🏿‍♂	alqış, baş əyən kişi, baş əyən kişi: tünd dəri tonu, jest, kişi, lehinə, tünd dəri tonu, tənzim, üzrxahlıq
🙇‍♀	alqış, baş əyən qadın, jest, lehinə, qadın, tənzim, üzrxahlıq
🙇🏻‍♀	alqış, açıq dəri tonu, baş əyən qadın, baş əyən qadın: açıq dəri tonu, jest, lehinə, qadın, tənzim, üzrxahlıq
🙇🏼‍♀	alqış, baş əyən qadın, baş əyən qadın: orta-açıq dəri tonu, jest, lehinə, orta-açıq dəri tonu, qadın, tənzim, üzrxahlıq
🙇🏽‍♀	alqış, baş əyən qadın, baş əyən qadın: orta dəri tonu, jest, lehinə, orta dəri tonu, qadın, tənzim, üzrxahlıq
🙇🏾‍♀	alqış, baş əyən qadın, baş əyən qadın: orta-tünd dəri tonu, jest, lehinə, orta-tünd dəri tonu, qadın, tənzim, üzrxahlıq
🙇🏿‍♀	alqış, baş əyən qadın, baş əyən qadın: tünd dəri tonu, jest, lehinə, qadın, tünd dəri tonu, tənzim, üzrxahlıq
🤦	daha sözüm yoxdur, inanmaq olmur, inanılmaz
🤦🏻	açıq dəri tonu, daha sözüm yoxdur, inanmaq olmur, inanmaq olmur: açıq dəri tonu, inanılmaz
🤦🏼	daha sözüm yoxdur, inanmaq olmur, inanmaq olmur: orta-açıq dəri tonu, inanılmaz, orta-açıq dəri tonu
🤦🏽	daha sözüm yoxdur, inanmaq olmur, inanmaq olmur: orta dəri tonu, inanılmaz, orta dəri tonu
🤦🏾	daha sözüm yoxdur, inanmaq olmur, inanmaq olmur: orta-tünd dəri tonu, inanılmaz, orta-tünd dəri tonu
🤦🏿	daha sözüm yoxdur, inanmaq olmur, inanmaq olmur: tünd dəri tonu, inanılmaz, tünd dəri tonu
🤦‍♂	acıqlanma, inamsızlıq, kişi, üzünü tutan kişi, üzünü tutmaq
🤦🏻‍♂	acıqlanma, açıq dəri tonu, inamsızlıq, kişi, üzünü tutan kişi, üzünü tutan kişi: açıq dəri tonu, üzünü tutmaq
🤦🏼‍♂	acıqlanma, inamsızlıq, kişi, orta-açıq dəri tonu, üzünü tutan kişi, üzünü tutan kişi: orta-açıq dəri tonu, üzünü tutmaq
🤦🏽‍♂	acıqlanma, inamsızlıq, kişi, orta dəri tonu, üzünü tutan kişi, üzünü tutan kişi: orta dəri tonu, üzünü tutmaq
🤦🏾‍♂	acıqlanma, inamsızlıq, kişi, orta-tünd dəri tonu, üzünü tutan kişi, üzünü tutan kişi: orta-tünd dəri tonu, üzünü tutmaq
🤦🏿‍♂	acıqlanma, inamsızlıq, kişi, tünd dəri tonu, üzünü tutan kişi, üzünü tutan kişi: tünd dəri tonu, üzünü tutmaq
🤦‍♀	acıqlanma, inamsızlıq, qadın, üzünü tutan qadın, üzünü tutmaq
🤦🏻‍♀	acıqlanma, açıq dəri tonu, inamsızlıq, qadın, üzünü tutan qadın, üzünü tutan qadın: açıq dəri tonu, üzünü tutmaq
🤦🏼‍♀	acıqlanma, inamsızlıq, orta-açıq dəri tonu, qadın, üzünü tutan qadın, üzünü tutan qadın: orta-açıq dəri tonu, üzünü tutmaq
🤦🏽‍♀	acıqlanma, inamsızlıq, orta dəri tonu, qadın, üzünü tutan qadın, üzünü tutan qadın: orta dəri tonu, üzünü tutmaq
🤦🏾‍♀	acıqlanma, inamsızlıq, orta-tünd dəri tonu, qadın, üzünü tutan qadın, üzünü tutan qadın: orta-tünd dəri tonu, üzünü tutmaq
🤦🏿‍♀	acıqlanma, inamsızlıq, qadın, tünd dəri tonu, üzünü tutan qadın, üzünü tutan qadın: tünd dəri tonu, üzünü tutmaq
🤷	bilməmək, tərəddüd, çiynini çəkmək
🤷🏻	açıq dəri tonu, bilməmək, tərəddüd, çiynini çəkmək, çiynini çəkmək: açıq dəri tonu
🤷🏼	bilməmək, orta-açıq dəri tonu, tərəddüd, çiynini çəkmək, çiynini çəkmək: orta-açıq dəri tonu
🤷🏽	bilməmək, orta dəri tonu, tərəddüd, çiynini çəkmək, çiynini çəkmək: orta dəri tonu
🤷🏾	bilməmək, orta-tünd dəri tonu, tərəddüd, çiynini çəkmək, çiynini çəkmək: orta-tünd dəri tonu
🤷🏿	bilməmək, tünd dəri tonu, tərəddüd, çiynini çəkmək, çiynini çəkmək: tünd dəri tonu
🤷‍♂	bilməzlik, kişi, laqeydlik, çiynini çəkmək, çiynini çəkən kişi, şübhə
🤷🏻‍♂	açıq dəri tonu, bilməzlik, kişi, laqeydlik, çiynini çəkmək, çiynini çəkən kişi, çiynini çəkən kişi: açıq dəri tonu, şübhə
🤷🏼‍♂	bilməzlik, kişi, laqeydlik, orta-açıq dəri tonu, çiynini çəkmək, çiynini çəkən kişi, çiynini çəkən kişi: orta-açıq dəri tonu, şübhə
🤷🏽‍♂	bilməzlik, kişi, laqeydlik, orta dəri tonu, çiynini çəkmək, çiynini çəkən kişi, çiynini çəkən kişi: orta dəri tonu, şübhə
🤷🏾‍♂	bilməzlik, kişi, laqeydlik, orta-tünd dəri tonu, çiynini çəkmək, çiynini çəkən kişi, çiynini çəkən kişi: orta-tünd dəri tonu, şübhə
🤷🏿‍♂	bilməzlik, kişi, laqeydlik, tünd dəri tonu, çiynini çəkmək, çiynini çəkən kişi, çiynini çəkən kişi: tünd dəri tonu, şübhə
🤷‍♀	bilməzlik, laqeydlik, qadın, çiynini çəkmək, çiynini çəkən qadın, şübhə
🤷🏻‍♀	açıq dəri tonu, bilməzlik, laqeydlik, qadın, çiynini çəkmək, çiynini çəkən qadın, çiynini çəkən qadın: açıq dəri tonu, şübhə
🤷🏼‍♀	bilməzlik, laqeydlik, orta-açıq dəri tonu, qadın, çiynini çəkmək, çiynini çəkən qadın, çiynini çəkən qadın: orta-açıq dəri tonu, şübhə
🤷🏽‍♀	bilməzlik, laqeydlik, orta dəri tonu, qadın, çiynini çəkmək, çiynini çəkən qadın, çiynini çəkən qadın: orta dəri tonu, şübhə
🤷🏾‍♀	bilməzlik, laqeydlik, orta-tünd dəri tonu, qadın, çiynini çəkmək, çiynini çəkən qadın, çiynini çəkən qadın: orta-tünd dəri tonu, şübhə
🤷🏿‍♀	bilməzlik, laqeydlik, qadın, tünd dəri tonu, çiynini çəkmək, çiynini çəkən qadın, çiynini çəkən qadın: tünd dəri tonu, şübhə
👨‍⚕	həkim, kişi, kişi həkim, səhiyyə, terapevt, xəstə baxıcısı
👨🏻‍⚕	açıq dəri tonu, həkim, kişi, kişi həkim: açıq dəri tonu, səhiyyə, terapevt, xəstə baxıcısı
👨🏼‍⚕	həkim, kişi, kişi həkim: orta-açıq dəri tonu, orta-açıq dəri tonu, səhiyyə, terapevt, xəstə baxıcısı
👨🏽‍⚕	həkim, kişi, kişi həkim: orta dəri tonu, orta dəri tonu, səhiyyə, terapevt, xəstə baxıcısı
👨🏾‍⚕	həkim, kişi, kişi həkim: orta-tünd dəri tonu, orta-tünd dəri tonu, səhiyyə, terapevt, xəstə baxıcısı
👨🏿‍⚕	həkim, kişi, kişi həkim: tünd dəri tonu, səhiyyə, terapevt, tünd dəri tonu, xəstə baxıcısı
👩‍⚕	həkim, qadın, qadın həkim, səhiyyə, terapevt, tibb bacısı
👩🏻‍⚕	açıq dəri tonu, həkim, qadın, qadın həkim: açıq dəri tonu, səhiyyə, terapevt, tibb bacısı
👩🏼‍⚕	həkim, orta-açıq dəri tonu, qadın, qadın həkim: orta-açıq dəri tonu, səhiyyə, terapevt, tibb bacısı
👩🏽‍⚕	həkim, orta dəri tonu, qadın, qadın həkim: orta dəri tonu, səhiyyə, terapevt, tibb bacısı
👩🏾‍⚕	həkim, orta-tünd dəri tonu, qadın, qadın həkim: orta-tünd dəri tonu, səhiyyə, terapevt, tibb bacısı
👩🏿‍⚕	həkim, qadın, qadın həkim: tünd dəri tonu, səhiyyə, terapevt, tibb bacısı, tünd dəri tonu
👨‍🎓	kişi, məzun, oğlan tələbə, tələbə
👨🏻‍🎓	açıq dəri tonu, kişi, məzun, oğlan tələbə, oğlan tələbə: açıq dəri tonu, tələbə
👨🏼‍🎓	kişi, məzun, orta-açıq dəri tonu, oğlan tələbə, oğlan tələbə: orta-açıq dəri tonu, tələbə
👨🏽‍🎓	kişi, məzun, orta dəri tonu, oğlan tələbə, oğlan tələbə: orta dəri tonu, tələbə
👨🏾‍🎓	kişi, məzun, orta-tünd dəri tonu, oğlan tələbə, oğlan tələbə: orta-tünd dəri tonu, tələbə
👨🏿‍🎓	kişi, məzun, oğlan tələbə, oğlan tələbə: tünd dəri tonu, tünd dəri tonu, tələbə
👩‍🎓	məzun, qadın, qız tələbə, tələbə
👩🏻‍🎓	açıq dəri tonu, məzun, qadın, qız tələbə, qız tələbə: açıq dəri tonu, tələbə
👩🏼‍🎓	məzun, orta-açıq dəri tonu, qadın, qız tələbə, qız tələbə: orta-açıq dəri tonu, tələbə
👩🏽‍🎓	məzun, orta dəri tonu, qadın, qız tələbə, qız tələbə: orta dəri tonu, tələbə
👩🏾‍🎓	məzun, orta-tünd dəri tonu, qadın, qız tələbə, qız tələbə: orta-tünd dəri tonu, tələbə
👩🏿‍🎓	məzun, qadın, qız tələbə, qız tələbə: tünd dəri tonu, tünd dəri tonu, tələbə
👨‍🏫	kişi, kişi müəllim, müəllim, professor
👨🏻‍🏫	açıq dəri tonu, kişi, kişi müəllim: açıq dəri tonu, müəllim, professor
👨🏼‍🏫	kişi, kişi müəllim: orta-açıq dəri tonu, müəllim, orta-açıq dəri tonu, professor
👨🏽‍🏫	kişi, kişi müəllim: orta dəri tonu, müəllim, orta dəri tonu, professor
👨🏾‍🏫	kişi, kişi müəllim: orta-tünd dəri tonu, müəllim, orta-tünd dəri tonu, professor
👨🏿‍🏫	kişi, kişi müəllim: tünd dəri tonu, müəllim, professor, tünd dəri tonu
👩‍🏫	müəllim, professor, qadın, qadın müəllim
👩🏻‍🏫	açıq dəri tonu, müəllim, professor, qadın, qadın müəllim: açıq dəri tonu
👩🏼‍🏫	müəllim, orta-açıq dəri tonu, professor, qadın, qadın müəllim: orta-açıq dəri tonu
👩🏽‍🏫	müəllim, orta dəri tonu, professor, qadın, qadın müəllim: orta dəri tonu
👩🏾‍🏫	müəllim, orta-tünd dəri tonu, professor, qadın, qadın müəllim: orta-tünd dəri tonu
👩🏿‍🏫	müəllim, professor, qadın, qadın müəllim: tünd dəri tonu, tünd dəri tonu
👨‍⚖	kişi, kişi hakim, tərəzi, ədalət
👨🏻‍⚖	açıq dəri tonu, kişi, kişi hakim, kişi hakim: açıq dəri tonu, tərəzi, ədalət
👨🏼‍⚖	kişi, kişi hakim, kişi hakim: orta-açıq dəri tonu, orta-açıq dəri tonu, tərəzi, ədalət
👨🏽‍⚖	kişi, kişi hakim, kişi hakim: orta dəri tonu, orta dəri tonu, tərəzi, ədalət
👨🏾‍⚖	kişi, kişi hakim, kişi hakim: orta-tünd dəri tonu, orta-tünd dəri tonu, tərəzi, ədalət
👨🏿‍⚖	kişi, kişi hakim, kişi hakim: tünd dəri tonu, tünd dəri tonu, tərəzi, ədalət
👩‍⚖	hakim, qadın, qadın hakim, tərəzi
👩🏻‍⚖	açıq dəri tonu, hakim, qadın, qadın hakim: açıq dəri tonu, tərəzi
👩🏼‍⚖	hakim, orta-açıq dəri tonu, qadın, qadın hakim: orta-açıq dəri tonu, tərəzi
👩🏽‍⚖	hakim, orta dəri tonu, qadın, qadın hakim: orta dəri tonu, tərəzi
👩🏾‍⚖	hakim, orta-tünd dəri tonu, qadın, qadın hakim: orta-tünd dəri tonu, tərəzi
👩🏿‍⚖	hakim, qadın, qadın hakim: tünd dəri tonu, tünd dəri tonu, tərəzi
👨‍🌾	bağban, fermer, kişi, kişi fermer
👨🏻‍🌾	açıq dəri tonu, bağban, fermer, kişi, kişi fermer: açıq dəri tonu
👨🏼‍🌾	bağban, fermer, kişi, kişi fermer: orta-açıq dəri tonu, orta-açıq dəri tonu
👨🏽‍🌾	bağban, fermer, kişi, kişi fermer: orta dəri tonu, orta dəri tonu
👨🏾‍🌾	bağban, fermer, kişi, kişi fermer: orta-tünd dəri tonu, orta-tünd dəri tonu
👨🏿‍🌾	bağban, fermer, kişi, kişi fermer: tünd dəri tonu, tünd dəri tonu
👩‍🌾	bağban, fermer, qadın, qadın fermer
👩🏻‍🌾	açıq dəri tonu, bağban, fermer, qadın, qadın fermer: açıq dəri tonu
👩🏼‍🌾	bağban, fermer, orta-açıq dəri tonu, qadın, qadın fermer: orta-açıq dəri tonu
👩🏽‍🌾	bağban, fermer, orta dəri tonu, qadın, qadın fermer: orta dəri tonu
👩🏾‍🌾	bağban, fermer, orta-tünd dəri tonu, qadın, qadın fermer: orta-tünd dəri tonu
👩🏿‍🌾	bağban, fermer, qadın, qadın fermer: tünd dəri tonu, tünd dəri tonu
👨‍🍳	aşbaz, kişi, kişi aşbaz, şef
👨🏻‍🍳	açıq dəri tonu, aşbaz, kişi, kişi aşbaz: açıq dəri tonu, şef
👨🏼‍🍳	aşbaz, kişi, kişi aşbaz: orta-açıq dəri tonu, orta-açıq dəri tonu, şef
👨🏽‍🍳	aşbaz, kişi, kişi aşbaz: orta dəri tonu, orta dəri tonu, şef
👨🏾‍🍳	aşbaz, kişi, kişi aşbaz: orta-tünd dəri tonu, orta-tünd dəri tonu, şef
👨🏿‍🍳	aşbaz, kişi, kişi aşbaz: tünd dəri tonu, tünd dəri tonu, şef
👩‍🍳	aşbaz, qadın, qadın aşbaz, şef
👩🏻‍🍳	açıq dəri tonu, aşbaz, qadın, qadın aşbaz: açıq dəri tonu, şef
👩🏼‍🍳	aşbaz, orta-açıq dəri tonu, qadın, qadın aşbaz: orta-açıq dəri tonu, şef
👩🏽‍🍳	aşbaz, orta dəri tonu, qadın, qadın aşbaz: orta dəri tonu, şef
👩🏾‍🍳	aşbaz, orta-tünd dəri tonu, qadın, qadın aşbaz: orta-tünd dəri tonu, şef
👩🏿‍🍳	aşbaz, qadın, qadın aşbaz: tünd dəri tonu, tünd dəri tonu, şef
👨‍🔧	elektrik, kişi, kişi mexanik, mexanik, peşəkar, çilingər
👨🏻‍🔧	açıq dəri tonu, elektrik, kişi, kişi mexanik: açıq dəri tonu, mexanik, peşəkar, çilingər
👨🏼‍🔧	elektrik, kişi, kişi mexanik: orta-açıq dəri tonu, mexanik, orta-açıq dəri tonu, peşəkar, çilingər
👨🏽‍🔧	elektrik, kişi, kişi mexanik: orta dəri tonu, mexanik, orta dəri tonu, peşəkar, çilingər
👨🏾‍🔧	elektrik, kişi, kişi mexanik: orta-tünd dəri tonu, mexanik, orta-tünd dəri tonu, peşəkar, çilingər
👨🏿‍🔧	elektrik, kişi, kişi mexanik: tünd dəri tonu, mexanik, peşəkar, tünd dəri tonu, çilingər
👩‍🔧	elektrik, mexanik, peşəkar, qadın, qadın mexanik, çilingər
👩🏻‍🔧	açıq dəri tonu, elektrik, mexanik, peşəkar, qadın, qadın mexanik: açıq dəri tonu, çilingər
👩🏼‍🔧	elektrik, mexanik, orta-açıq dəri tonu, peşəkar, qadın, qadın mexanik: orta-açıq dəri tonu, çilingər
👩🏽‍🔧	elektrik, mexanik, orta dəri tonu, peşəkar, qadın, qadın mexanik: orta dəri tonu, çilingər
👩🏾‍🔧	elektrik, mexanik, orta-tünd dəri tonu, peşəkar, qadın, qadın mexanik: orta-tünd dəri tonu, çilingər
👩🏿‍🔧	elektrik, mexanik, peşəkar, qadın, qadın mexanik: tünd dəri tonu, tünd dəri tonu, çilingər
👨‍🏭	fabrik, işçi, kişi, kişi fabrik işçisi, sənaye, yığım
👨🏻‍🏭	açıq dəri tonu, fabrik, işçi, kişi, kişi fabrik işçisi, kişi fabrik işçisi: açıq dəri tonu, sənaye, yığım
👨🏼‍🏭	fabrik, işçi, kişi, kişi fabrik işçisi, kişi fabrik işçisi: orta-açıq dəri tonu, orta-açıq dəri tonu, sənaye, yığım
👨🏽‍🏭	fabrik, işçi, kişi, kişi fabrik işçisi, kişi fabrik işçisi: orta dəri tonu, orta dəri tonu, sənaye, yığım
👨🏾‍🏭	fabrik, işçi, kişi, kişi fabrik işçisi, kişi fabrik işçisi: orta-tünd dəri tonu, orta-tünd dəri tonu, sənaye, yığım
👨🏿‍🏭	fabrik, işçi, kişi, kişi fabrik işçisi, kişi fabrik işçisi: tünd dəri tonu, sənaye, tünd dəri tonu, yığım
👩‍🏭	fabrik, işçi, qadın, qadın fabrik işçisi, sənaye, yığım
👩🏻‍🏭	açıq dəri tonu, fabrik, işçi, qadın, qadın fabrik işçisi, qadın fabrik işçisi: açıq dəri tonu, sənaye, yığım
👩🏼‍🏭	fabrik, işçi, orta-açıq dəri tonu, qadın, qadın fabrik işçisi, qadın fabrik işçisi: orta-açıq dəri tonu, sənaye, yığım
👩🏽‍🏭	fabrik, işçi, orta dəri tonu, qadın, qadın fabrik işçisi, qadın fabrik işçisi: orta dəri tonu, sənaye, yığım
👩🏾‍🏭	fabrik, işçi, orta-tünd dəri tonu, qadın, qadın fabrik işçisi, qadın fabrik işçisi: orta-tünd dəri tonu, sənaye, yığım
👩🏿‍🏭	fabrik, işçi, qadın, qadın fabrik işçisi, qadın fabrik işçisi: tünd dəri tonu, sənaye, tünd dəri tonu, yığım
👨‍💼	ağ yaxalıqlı, biznes, kişi, kişi ofis işçisi, memar, menecer, ofis
👨🏻‍💼	açıq dəri tonu, ağ yaxalıqlı, biznes, kişi, kişi ofis işçisi, kişi ofis işçisi: açıq dəri tonu, memar, menecer, ofis
👨🏼‍💼	ağ yaxalıqlı, biznes, kişi, kişi ofis işçisi, kişi ofis işçisi: orta-açıq dəri tonu, memar, menecer, ofis, orta-açıq dəri tonu
👨🏽‍💼	ağ yaxalıqlı, biznes, kişi, kişi ofis işçisi, kişi ofis işçisi: orta dəri tonu, memar, menecer, ofis, orta dəri tonu
👨🏾‍💼	ağ yaxalıqlı, biznes, kişi, kişi ofis işçisi, kişi ofis işçisi: orta-tünd dəri tonu, memar, menecer, ofis, orta-tünd dəri tonu
👨🏿‍💼	ağ yaxalıqlı, biznes, kişi, kişi ofis işçisi, kişi ofis işçisi: tünd dəri tonu, memar, menecer, ofis, tünd dəri tonu
👩‍💼	ağ yaxalıqlı, biznes, memar, menecer, ofis, qadın, qadın ofis işçisi
👩🏻‍💼	açıq dəri tonu, ağ yaxalıqlı, biznes, memar, menecer, ofis, qadın, qadın ofis işçisi, qadın ofis işçisi: açıq dəri tonu
👩🏼‍💼	ağ yaxalıqlı, biznes, memar, menecer, ofis, orta-açıq dəri tonu, qadın, qadın ofis işçisi, qadın ofis işçisi: orta-açıq dəri tonu
👩🏽‍💼	ağ yaxalıqlı, biznes, memar, menecer, ofis, orta dəri tonu, qadın, qadın ofis işçisi, qadın ofis işçisi: orta dəri tonu
👩🏾‍💼	ağ yaxalıqlı, biznes, memar, menecer, ofis, orta-tünd dəri tonu, qadın, qadın ofis işçisi, qadın ofis işçisi: orta-tünd dəri tonu
👩🏿‍💼	ağ yaxalıqlı, biznes, memar, menecer, ofis, qadın, qadın ofis işçisi, qadın ofis işçisi: tünd dəri tonu, tünd dəri tonu
👨‍🔬	alim, bioloq, fizik, kimyaçı, kişi, kişi alim, mühəndis, riyaziyyatçı
👨🏻‍🔬	alim, açıq dəri tonu, bioloq, fizik, kimyaçı, kişi, kişi alim: açıq dəri tonu, mühəndis, riyaziyyatçı
👨🏼‍🔬	alim, bioloq, fizik, kimyaçı, kişi, kişi alim: orta-açıq dəri tonu, mühəndis, orta-açıq dəri tonu, riyaziyyatçı
👨🏽‍🔬	alim, bioloq, fizik, kimyaçı, kişi, kişi alim: orta dəri tonu, mühəndis, orta dəri tonu, riyaziyyatçı
👨🏾‍🔬	alim, bioloq, fizik, kimyaçı, kişi, kişi alim: orta-tünd dəri tonu, mühəndis, orta-tünd dəri tonu, riyaziyyatçı
👨🏿‍🔬	alim, bioloq, fizik, kimyaçı, kişi, kişi alim: tünd dəri tonu, mühəndis, riyaziyyatçı, tünd dəri tonu
👩‍🔬	alim, bioloq, fizik, kimyaçı, mühəndis, qadın, qadın alim, riyaziyyatçı
👩🏻‍🔬	alim, açıq dəri tonu, bioloq, fizik, kimyaçı, mühəndis, qadın, qadın alim: açıq dəri tonu, riyaziyyatçı
👩🏼‍🔬	alim, bioloq, fizik, kimyaçı, mühəndis, orta-açıq dəri tonu, qadın, qadın alim: orta-açıq dəri tonu, riyaziyyatçı
👩🏽‍🔬	alim, bioloq, fizik, kimyaçı, mühəndis, orta dəri tonu, qadın, qadın alim: orta dəri tonu, riyaziyyatçı
👩🏾‍🔬	alim, bioloq, fizik, kimyaçı, mühəndis, orta-tünd dəri tonu, qadın, qadın alim: orta-tünd dəri tonu, riyaziyyatçı
👩🏿‍🔬	alim, bioloq, fizik, kimyaçı, mühəndis, qadın, qadın alim: tünd dəri tonu, riyaziyyatçı, tünd dəri tonu
👨‍💻	ixtiraçı, kişi, kişi texnoloq, proqram təminatı, texnoloq, tərtibatçı, şifrələyici
👨🏻‍💻	açıq dəri tonu, ixtiraçı, kişi, kişi texnoloq: açıq dəri tonu, proqram təminatı, texnoloq, tərtibatçı, şifrələyici
👨🏼‍💻	ixtiraçı, kişi, kişi texnoloq: orta-açıq dəri tonu, orta-açıq dəri tonu, proqram təminatı, texnoloq, tərtibatçı, şifrələyici
👨🏽‍💻	ixtiraçı, kişi, kişi texnoloq: orta dəri tonu, orta dəri tonu, proqram təminatı, texnoloq, tərtibatçı, şifrələyici
👨🏾‍💻	ixtiraçı, kişi, kişi texnoloq: orta-tünd dəri tonu, orta-tünd dəri tonu, proqram təminatı, texnoloq, tərtibatçı, şifrələyici
👨🏿‍💻	ixtiraçı, kişi, kişi texnoloq: tünd dəri tonu, proqram təminatı, texnoloq, tünd dəri tonu, tərtibatçı, şifrələyici
👩‍💻	ixtiraçı, proqram təminatı, qadın, qadın texnoloq, texnoloq, tərtibatçı, şifrələyici
👩🏻‍💻	açıq dəri tonu, ixtiraçı, proqram təminatı, qadın, qadın texnoloq: açıq dəri tonu, texnoloq, tərtibatçı, şifrələyici
👩🏼‍💻	ixtiraçı, orta-açıq dəri tonu, proqram təminatı, qadın, qadın texnoloq: orta-açıq dəri tonu, texnoloq, tərtibatçı, şifrələyici
👩🏽‍💻	ixtiraçı, orta dəri tonu, proqram təminatı, qadın, qadın texnoloq: orta dəri tonu, texnoloq, tərtibatçı, şifrələyici
👩🏾‍💻	ixtiraçı, orta-tünd dəri tonu, proqram təminatı, qadın, qadın texnoloq: orta-tünd dəri tonu, texnoloq, tərtibatçı, şifrələyici
👩🏿‍💻	ixtiraçı, proqram təminatı, qadın, qadın texnoloq: tünd dəri tonu, texnoloq, tünd dəri tonu, tərtibatçı, şifrələyici
