😀	инээсэн царай, инээх, царай
🙆🏻‍♂	ТИЙМ, ТИЙМ гэсэн дохио үзүүлж буй эрэгтэй, гар, дохио, зүгээр гэж харуулж буй эрэгтэй, зүгээр гэж харуулж буй эрэгтэй: цайвар, цайвар, эрэгтэй
🙆🏼‍♂	ТИЙМ, ТИЙМ гэсэн дохио үзүүлж буй эрэгтэй, бага зэргийн цайвар, гар, дохио, зүгээр гэж харуулж буй эрэгтэй, зүгээр гэж харуулж буй эрэгтэй: бага зэргийн цайвар, эрэгтэй
🙆🏽‍♂	ТИЙМ, ТИЙМ гэсэн дохио үзүүлж буй эрэгтэй, гар, дохио, дунд зэргийн, зүгээр гэж харуулж буй эрэгтэй, зүгээр гэж харуулж буй эрэгтэй: дунд зэргийн, эрэгтэй
🙆🏾‍♂	ТИЙМ, ТИЙМ гэсэн дохио үзүүлж буй эрэгтэй, бордуу, гар, дохио, зүгээр гэж харуулж буй эрэгтэй, зүгээр гэж харуулж буй эрэгтэй: бордуу, эрэгтэй
🙆🏿‍♂	ТИЙМ, ТИЙМ гэсэн дохио үзүүлж буй эрэгтэй, бор, гар, дохио, зүгээр гэж харуулж буй эрэгтэй, зүгээр гэж харуулж буй эрэгтэй: бор, эрэгтэй
🙆‍♀	ТИЙМ, ТИЙМ гэсэн дохио үзүүлж буй эмэгтэй, гар, дохио, зүгээр гэж харуулж буй эмэгтэй, эмэгтэй
🙆🏻‍♀	ТИЙМ, ТИЙМ гэсэн дохио үзүүлж буй эмэгтэй, гар, дохио, зүгээр гэж харуулж буй эмэгтэй, зүгээр гэж харуулж буй эмэгтэй: цайвар, цайвар, эмэгтэй
🙆🏼‍♀	ТИЙМ, ТИЙМ гэсэн дохио үзүүлж буй эмэгтэй, бага зэргийн цайвар, гар, дохио, зүгээр гэж харуулж буй эмэгтэй, зүгээр гэж харуулж буй эмэгтэй: бага зэргийн цайвар, эмэгтэй
🙆🏽‍♀	ТИЙМ, ТИЙМ гэсэн дохио үзүүлж буй эмэгтэй, гар, дохио, дунд зэргийн, зүгээр гэж харуулж буй эмэгтэй, зүгээр гэж харуулж буй эмэгтэй: дунд зэргийн, эмэгтэй
🙆🏾‍♀	ТИЙМ, ТИЙМ гэсэн дохио үзүүлж буй эмэгтэй, бордуу, гар, дохио, зүгээр гэж харуулж буй эмэгтэй, зүгээр гэж харуулж буй эмэгтэй: бордуу, эмэгтэй
🙆🏿‍♀	ТИЙМ, ТИЙМ гэсэн дохио үзүүлж буй эмэгтэй, бор, гар, дохио, зүгээр гэж харуулж буй эмэгтэй, зүгээр гэж харуулж буй эмэгтэй: бор, эмэгтэй
💁	ажилтан, мэдээллийн ажилтан, мэдээлэл, эмэгтэй хүн
💁🏻	ажилтан, мэдээллийн ажилтан, мэдээллийн ажилтан: цайвар, мэдээлэл, цайвар, эмэгтэй хүн
💁🏼	ажилтан, бага зэргийн цайвар, мэдээллийн ажилтан, мэдээллийн ажилтан: бага зэргийн цайвар, мэдээлэл, эмэгтэй хүн
💁🏽	ажилтан, дунд зэргийн, мэдээллийн ажилтан, мэдээллийн ажилтан: дунд зэргийн, мэдээлэл, эмэгтэй хүн
💁🏾	ажилтан, бордуу, мэдээллийн ажилтан, мэдээллийн ажилтан: бордуу, мэдээлэл, эмэгтэй хүн
💁🏿	ажилтан, бор, мэдээллийн ажилтан, мэдээллийн ажилтан: бор, мэдээлэл, эмэгтэй хүн
💁‍♂	гараа дэлгэж буй эрэгтэй, гараа дэлгэх, марзан, эр, эрэгтэй
💁🏻‍♂	гараа дэлгэж буй эрэгтэй, гараа дэлгэж буй эрэгтэй: цайвар, гараа дэлгэх, марзан, цайвар, эр, эрэгтэй
💁🏼‍♂	бага зэргийн цайвар, гараа дэлгэж буй эрэгтэй, гараа дэлгэж буй эрэгтэй: бага зэргийн цайвар, гараа дэлгэх, марзан, эр, эрэгтэй
💁🏽‍♂	гараа дэлгэж буй эрэгтэй, гараа дэлгэж буй эрэгтэй: дунд зэргийн, гараа дэлгэх, дунд зэргийн, марзан, эр, эрэгтэй
💁🏾‍♂	бордуу, гараа дэлгэж буй эрэгтэй, гараа дэлгэж буй эрэгтэй: бордуу, гараа дэлгэх, марзан, эр, эрэгтэй
💁🏿‍♂	бор, гараа дэлгэж буй эрэгтэй, гараа дэлгэж буй эрэгтэй: бор, гараа дэлгэх, марзан, эр, эрэгтэй
💁‍♀	гараа дэлгэж буй эмэгтэй, гараа дэлгэх, марзан, эм, эмэгтэй
💁🏻‍♀	гараа дэлгэж буй эмэгтэй, гараа дэлгэж буй эмэгтэй: цайвар, гараа дэлгэх, марзан, цайвар, эм, эмэгтэй
💁🏼‍♀	бага зэргийн цайвар, гараа дэлгэж буй эмэгтэй, гараа дэлгэж буй эмэгтэй: бага зэргийн цайвар, гараа дэлгэх, марзан, эм, эмэгтэй
💁🏽‍♀	гараа дэлгэж буй эмэгтэй, гараа дэлгэж буй эмэгтэй: дунд зэргийн, гараа дэлгэх, дунд зэргийн, марзан, эм, эмэгтэй
💁🏾‍♀	бордуу, гараа дэлгэж буй эмэгтэй, гараа дэлгэж буй эмэгтэй: бордуу, гараа дэлгэх, марзан, эм, эмэгтэй
💁🏿‍♀	бор, гараа дэлгэж буй эмэгтэй, гараа дэлгэж буй эмэгтэй: бор, гараа дэлгэх, марзан, эм, эмэгтэй
🙋	баярлаж, гараа өргөсөн хүн, баярласан, гар, өргөх хүн
🙋🏻	баярлаж, гараа өргөсөн хүн, баярлаж, гараа өргөсөн хүн: цайвар, баярласан, гар, цайвар, өргөх хүн
🙋🏼	бага зэргийн цайвар, баярлаж, гараа өргөсөн хүн, баярлаж, гараа өргөсөн хүн: бага зэргийн цайвар, баярласан, гар, өргөх хүн
🙋🏽	баярлаж, гараа өргөсөн хүн, баярлаж, гараа өргөсөн хүн: дунд зэргийн, баярласан, гар, дунд зэргийн, өргөх хүн
🙋🏾	баярлаж, гараа өргөсөн хүн, баярлаж, гараа өргөсөн хүн: бордуу, баярласан, бордуу, гар, өргөх хүн
🙋🏿	баярлаж, гараа өргөсөн хүн, баярлаж, гараа өргөсөн хүн: бор, баярласан, бор, гар, өргөх хүн
🙋‍♂	гараа өргөж буй эрэгтэй, гараа өргөх, дохио, эр, эрэгтэй
🙋🏻‍♂	гараа өргөж буй эрэгтэй, гараа өргөж буй эрэгтэй: цайвар, гараа өргөх, дохио, цайвар, эр, эрэгтэй
🙋🏼‍♂	бага зэргийн цайвар, гараа өргөж буй эрэгтэй, гараа өргөж буй эрэгтэй: бага зэргийн цайвар, гараа өргөх, дохио, эр, эрэгтэй
🙋🏽‍♂	гараа өргөж буй эрэгтэй, гараа өргөж буй эрэгтэй: дунд зэргийн, гараа өргөх, дохио, дунд зэргийн, эр, эрэгтэй
🙋🏾‍♂	бордуу, гараа өргөж буй эрэгтэй, гараа өргөж буй эрэгтэй: бордуу, гараа өргөх, дохио, эр, эрэгтэй
🙋🏿‍♂	бор, гараа өргөж буй эрэгтэй, гараа өргөж буй эрэгтэй: бор, гараа өргөх, дохио, эр, эрэгтэй
🙋‍♀	гараа өргөж буй эмэгтэй, гараа өргөх, дохио, эм, эмэгтэй
🙋🏻‍♀	гараа өргөж буй эмэгтэй, гараа өргөж буй эмэгтэй: цайвар, гараа өргөх, дохио, цайвар, эм, эмэгтэй
🙋🏼‍♀	бага зэргийн цайвар, гараа өргөж буй эмэгтэй, гараа өргөж буй эмэгтэй: бага зэргийн цайвар, гараа өргөх, дохио, эм, эмэгтэй
🙋🏽‍♀	гараа өргөж буй эмэгтэй, гараа өргөж буй эмэгтэй: дунд зэргийн, гараа өргөх, дохио, дунд зэргийн, эм, эмэгтэй
🙋🏾‍♀	бордуу, гараа өргөж буй эмэгтэй, гараа өргөж буй эмэгтэй: бордуу, гараа өргөх, дохио, эм, эмэгтэй
🙋🏿‍♀	бор, гараа өргөж буй эмэгтэй, гараа өргөж буй эмэгтэй: бор, гараа өргөх, дохио, эм, эмэгтэй
🧏	дүлий, дүлий хүн, сонсголгүй, хөгжлийн бэрхшээл, чих
🧏🏻	дүлий, дүлий хүн, дүлий хүн: цайвар, сонсголгүй, хөгжлийн бэрхшээл, цайвар, чих
🧏🏼	бага зэргийн цайвар, дүлий, дүлий хүн, дүлий хүн: бага зэргийн цайвар, сонсголгүй, хөгжлийн бэрхшээл, чих
🧏🏽	дунд зэргийн, дүлий, дүлий хүн, дүлий хүн: дунд зэргийн, сонсголгүй, хөгжлийн бэрхшээл, чих
🧏🏾	бордуу, дүлий, дүлий хүн, дүлий хүн: бордуу, сонсголгүй, хөгжлийн бэрхшээл, чих
🧏🏿	бор, дүлий, дүлий хүн, дүлий хүн: бор, сонсголгүй, хөгжлийн бэрхшээл, чих
🧏‍♂	дүлий, дүлий эрэгтэй, эрэгтэй
🧏🏻‍♂	дүлий, дүлий эрэгтэй: цайвар, цайвар, эрэгтэй
🧏🏼‍♂	бага зэргийн цайвар, дүлий, дүлий эрэгтэй: бага зэргийн цайвар, эрэгтэй
🧏🏽‍♂	дунд зэргийн, дүлий, дүлий эрэгтэй: дунд зэргийн, эрэгтэй
🧏🏾‍♂	бордуу, дүлий, дүлий эрэгтэй: бордуу, эрэгтэй
🧏🏿‍♂	бор, дүлий, дүлий эрэгтэй: бор, эрэгтэй
🧏‍♀	дүлий, дүлий эмэгтэй, эмэгтэй
🧏🏻‍♀	дүлий, дүлий эмэгтэй: цайвар, цайвар, эмэгтэй
🧏🏼‍♀	бага зэргийн цайвар, дүлий, дүлий эмэгтэй: бага зэргийн цайвар, эмэгтэй
🧏🏽‍♀	дунд зэргийн, дүлий, дүлий эмэгтэй: дунд зэргийн, эмэгтэй
🧏🏾‍♀	бордуу, дүлий, дүлий эмэгтэй: бордуу, эмэгтэй
🧏🏿‍♀	бор, дүлий, дүлий эмэгтэй: бор, эмэгтэй
🙇	бөхийж буй хүн, бөхийх, дохио, уучлаарай, уучлал
🙇🏻	бөхийж буй хүн, бөхийж буй хүн: цайвар, бөхийх, дохио, уучлаарай, уучлал, цайвар
🙇🏼	бага зэргийн цайвар, бөхийж буй хүн, бөхийж буй хүн: бага зэргийн цайвар, бөхийх, дохио, уучлаарай, уучлал
🙇🏽	бөхийж буй хүн, бөхийж буй хүн: дунд зэргийн, бөхийх, дохио, дунд зэргийн, уучлаарай, уучлал
🙇🏾	бордуу, бөхийж буй хүн, бөхийж буй хүн: бордуу, бөхийх, дохио, уучлаарай, уучлал
🙇🏿	бор, бөхийж буй хүн, бөхийж буй хүн: бор, бөхийх, дохио, уучлаарай, уучлал
🙇‍♂	бөхийж буй эрэгтэй, бөхийх, дохио, тус гуйх, уучлалт, эрэгтэй
🙇🏻‍♂	бөхийж буй эрэгтэй, бөхийж буй эрэгтэй: цайвар, бөхийх, дохио, тус гуйх, уучлалт, цайвар, эрэгтэй
🙇🏼‍♂	бага зэргийн цайвар, бөхийж буй эрэгтэй, бөхийж буй эрэгтэй: бага зэргийн цайвар, бөхийх, дохио, тус гуйх, уучлалт, эрэгтэй
🙇🏽‍♂	бөхийж буй эрэгтэй, бөхийж буй эрэгтэй: дунд зэргийн, бөхийх, дохио, дунд зэргийн, тус гуйх, уучлалт, эрэгтэй
🙇🏾‍♂	бордуу, бөхийж буй эрэгтэй, бөхийж буй эрэгтэй: бордуу, бөхийх, дохио, тус гуйх, уучлалт, эрэгтэй
🙇🏿‍♂	бор, бөхийж буй эрэгтэй, бөхийж буй эрэгтэй: бор, бөхийх, дохио, тус гуйх, уучлалт, эрэгтэй
🙇‍♀	бөхийж буй эмэгтэй, бөхийх, дохио, тус гуйх, уучлалт, эмэгтэй
🙇🏻‍♀	бөхийж буй эмэгтэй, бөхийж буй эмэгтэй: цайвар, бөхийх, дохио, тус гуйх, уучлалт, цайвар, эмэгтэй
🙇🏼‍♀	бага зэргийн цайвар, бөхийж буй эмэгтэй, бөхийж буй эмэгтэй: бага зэргийн цайвар, бөхийх, дохио, тус гуйх, уучлалт, эмэгтэй
🙇🏽‍♀	бөхийж буй эмэгтэй, бөхийж буй эмэгтэй: дунд зэргийн, бөхийх, дохио, дунд зэргийн, тус гуйх, уучлалт, эмэгтэй
🙇🏾‍♀	бордуу, бөхийж буй эмэгтэй, бөхийж буй эмэгтэй: бордуу, бөхийх, дохио, тус гуйх, уучлалт, эмэгтэй
🙇🏿‍♀	бор, бөхийж буй эмэгтэй, бөхийж буй эмэгтэй: бор, бөхийх, дохио, тус гуйх, уучлалт, эмэгтэй
🤦	алга, нүүр, нүүр лүү алгадах, үл итгэл
🤦🏻	алга, нүүр, нүүр лүү алгадах, нүүр лүү алгадах: цайвар, цайвар, үл итгэл
🤦🏼	алга, бага зэргийн цайвар, нүүр, нүүр лүү алгадах, нүүр лүү алгадах: бага зэргийн цайвар, үл итгэл
🤦🏽	алга, дунд зэргийн, нүүр, нүүр лүү алгадах, нүүр лүү алгадах: дунд зэргийн, үл итгэл
🤦🏾	алга, бордуу, нүүр, нүүр лүү алгадах, нүүр лүү алгадах: бордуу, үл итгэл
🤦🏿	алга, бор, нүүр, нүүр лүү алгадах, нүүр лүү алгадах: бор, үл итгэл
🤦‍♂	гараараа нүүрээ дарах, гараараа нүүрээ дарсан эрэгтэй, урам хугарч буй эрэгтэй, эгдүүцэх, эрэгтэй, үл итгэх
🤦🏻‍♂	гараараа нүүрээ дарах, гараараа нүүрээ дарсан эрэгтэй, урам хугарч буй эрэгтэй, урам хугарч буй эрэгтэй: цайвар, цайвар, эгдүүцэх, эрэгтэй, үл итгэх
🤦🏼‍♂	бага зэргийн цайвар, гараараа нүүрээ дарах, гараараа нүүрээ дарсан эрэгтэй, урам хугарч буй эрэгтэй, урам хугарч буй эрэгтэй: бага зэргийн цайвар, эгдүүцэх, эрэгтэй, үл итгэх
🤦🏽‍♂	гараараа нүүрээ дарах, гараараа нүүрээ дарсан эрэгтэй, дунд зэргийн, урам хугарч буй эрэгтэй, урам хугарч буй эрэгтэй: дунд зэргийн, эгдүүцэх, эрэгтэй, үл итгэх
🤦🏾‍♂	бордуу, гараараа нүүрээ дарах, гараараа нүүрээ дарсан эрэгтэй, урам хугарч буй эрэгтэй, урам хугарч буй эрэгтэй: бордуу, эгдүүцэх, эрэгтэй, үл итгэх
🤦🏿‍♂	бор, гараараа нүүрээ дарах, гараараа нүүрээ дарсан эрэгтэй, урам хугарч буй эрэгтэй, урам хугарч буй эрэгтэй: бор, эгдүүцэх, эрэгтэй, үл итгэх
🤦‍♀	гараараа нүүрээ дарах, гараараа нүүрээ дарсан эмэгтэй, урам хугарч буй эмэгтэй, эгдүүцэл, эмэгтэй, үл итгэх
🤦🏻‍♀	гараараа нүүрээ дарах, гараараа нүүрээ дарсан эмэгтэй, урам хугарч буй эмэгтэй, урам хугарч буй эмэгтэй: цайвар, цайвар, эгдүүцэл, эмэгтэй, үл итгэх
🤦🏼‍♀	бага зэргийн цайвар, гараараа нүүрээ дарах, гараараа нүүрээ дарсан эмэгтэй, урам хугарч буй эмэгтэй, урам хугарч буй эмэгтэй: бага зэргийн цайвар, эгдүүцэл, эмэгтэй, үл итгэх
🤦🏽‍♀	гараараа нүүрээ дарах, гараараа нүүрээ дарсан эмэгтэй, дунд зэргийн, урам хугарч буй эмэгтэй, урам хугарч буй эмэгтэй: дунд зэргийн, эгдүүцэл, эмэгтэй, үл итгэх
🤦🏾‍♀	бордуу, гараараа нүүрээ дарах, гараараа нүүрээ дарсан эмэгтэй, урам хугарч буй эмэгтэй, урам хугарч буй эмэгтэй: бордуу, эгдүүцэл, эмэгтэй, үл итгэх
🤦🏿‍♀	бор, гараараа нүүрээ дарах, гараараа нүүрээ дарсан эмэгтэй, урам хугарч буй эмэгтэй, урам хугарч буй эмэгтэй: бор, эгдүүцэл, эмэгтэй, үл итгэх
🤷	мөр хавчих, мөрөө хавчих, эргэлзэх, үл хайхрах
🤷🏻	мөр хавчих, мөрөө хавчих, мөрөө хавчих: цайвар, цайвар, эргэлзэх, үл хайхрах
🤷🏼	бага зэргийн цайвар, мөр хавчих, мөрөө хавчих, мөрөө хавчих: бага зэргийн цайвар, эргэлзэх, үл хайхрах
🤷🏽	дунд зэргийн, мөр хавчих, мөрөө хавчих, мөрөө хавчих: дунд зэргийн, эргэлзэх, үл хайхрах
🤷🏾	бордуу, мөр хавчих, мөрөө хавчих, мөрөө хавчих: бордуу, эргэлзэх, үл хайхрах
🤷🏿	бор, мөр хавчих, мөрөө хавчих, мөрөө хавчих: бор, эргэлзэх, үл хайхрах
🤷‍♂	мөр хавчих, мөрөө хавчиж буй эрэгтэй, хайхрамжгүй, эргэлзэх, үл тоох
🤷🏻‍♂	мөр хавчих, мөрөө хавчиж буй эрэгтэй, мөрөө хавчиж буй эрэгтэй: цайвар, хайхрамжгүй, цайвар, эргэлзэх, үл тоох
🤷🏼‍♂	бага зэргийн цайвар, мөр хавчих, мөрөө хавчиж буй эрэгтэй, мөрөө хавчиж буй эрэгтэй: бага зэргийн цайвар, хайхрамжгүй, эргэлзэх, үл тоох
🤷🏽‍♂	дунд зэргийн, мөр хавчих, мөрөө хавчиж буй эрэгтэй, мөрөө хавчиж буй эрэгтэй: дунд зэргийн, хайхрамжгүй, эргэлзэх, үл тоох
🤷🏾‍♂	бордуу, мөр хавчих, мөрөө хавчиж буй эрэгтэй, мөрөө хавчиж буй эрэгтэй: бордуу, хайхрамжгүй, эргэлзэх, үл тоох
🤷🏿‍♂	бор, мөр хавчих, мөрөө хавчиж буй эрэгтэй, мөрөө хавчиж буй эрэгтэй: бор, хайхрамжгүй, эргэлзэх, үл тоох
🤷‍♀	мөрөө хавчиж буй эмэгтэй, мөрөө хавчих, эмэгтэй, эргэлзээ, ялгаагүй, үл тоох
🤷🏻‍♀	мөрөө хавчиж буй эмэгтэй, мөрөө хавчиж буй эмэгтэй: цайвар, мөрөө хавчих, цайвар, эмэгтэй, эргэлзээ, ялгаагүй, үл тоох
🤷🏼‍♀	бага зэргийн цайвар, мөрөө хавчиж буй эмэгтэй, мөрөө хавчиж буй эмэгтэй: бага зэргийн цайвар, мөрөө хавчих, эмэгтэй, эргэлзээ, ялгаагүй, үл тоох
🤷🏽‍♀	дунд зэргийн, мөрөө хавчиж буй эмэгтэй, мөрөө хавчиж буй эмэгтэй: дунд зэргийн, мөрөө хавчих, эмэгтэй, эргэлзээ, ялгаагүй, үл тоох
🤷🏾‍♀	бордуу, мөрөө хавчиж буй эмэгтэй, мөрөө хавчиж буй эмэгтэй: бордуу, мөрөө хавчих, эмэгтэй, эргэлзээ, ялгаагүй, үл тоох
🤷🏿‍♀	бор, мөрөө хавчиж буй эмэгтэй, мөрөө хавчиж буй эмэгтэй: бор, мөрөө хавчих, эмэгтэй, эргэлзээ, ялгаагүй, үл тоох
👨‍⚕	сувилагч, эмч, эрэгтэй, эрэгтэй эрүүл мэндийн ажилтан, эрүүл мэнд, эрүүл мэндийн эрэгтэй ажилтан
👨🏻‍⚕	сувилагч, цайвар, эмч, эрэгтэй, эрэгтэй эрүүл мэндийн ажилтан, эрэгтэй эрүүл мэндийн ажилтан: цайвар, эрүүл мэнд, эрүүл мэндийн эрэгтэй ажилтан
👨🏼‍⚕	бага зэргийн цайвар, сувилагч, эмч, эрэгтэй, эрэгтэй эрүүл мэндийн ажилтан, эрэгтэй эрүүл мэндийн ажилтан: бага зэргийн цайвар, эрүүл мэнд, эрүүл мэндийн эрэгтэй ажилтан
👨🏽‍⚕	дунд зэргийн, сувилагч, эмч, эрэгтэй, эрэгтэй эрүүл мэндийн ажилтан, эрэгтэй эрүүл мэндийн ажилтан: дунд зэргийн, эрүүл мэнд, эрүүл мэндийн эрэгтэй ажилтан
👨🏾‍⚕	бордуу, сувилагч, эмч, эрэгтэй, эрэгтэй эрүүл мэндийн ажилтан, эрэгтэй эрүүл мэндийн ажилтан: бордуу, эрүүл мэнд, эрүүл мэндийн эрэгтэй ажилтан
👨🏿‍⚕	бор, сувилагч, эмч, эрэгтэй, эрэгтэй эрүүл мэндийн ажилтан, эрэгтэй эрүүл мэндийн ажилтан: бор, эрүүл мэнд, эрүүл мэндийн эрэгтэй ажилтан
👩‍⚕	сувилагч, эмч, эмчлэгч, эмэгтэй эрүүл мэндийн ажилтан, эрүүл мэнд
👩🏻‍⚕	сувилагч, цайвар, эмч, эмчлэгч, эмэгтэй эрүүл мэндийн ажилтан, эмэгтэй эрүүл мэндийн ажилтан: цайвар, эрүүл мэнд
👩🏼‍⚕	бага зэргийн цайвар, сувилагч, эмч, эмчлэгч, эмэгтэй эрүүл мэндийн ажилтан, эмэгтэй эрүүл мэндийн ажилтан: бага зэргийн цайвар, эрүүл мэнд
👩🏽‍⚕	дунд зэргийн, сувилагч, эмч, эмчлэгч, эмэгтэй эрүүл мэндийн ажилтан, эмэгтэй эрүүл мэндийн ажилтан: дунд зэргийн, эрүүл мэнд
👩🏾‍⚕	бордуу, сувилагч, эмч, эмчлэгч, эмэгтэй эрүүл мэндийн ажилтан, эмэгтэй эрүүл мэндийн ажилтан: бордуу, эрүүл мэнд
👩🏿‍⚕	бор, сувилагч, эмч, эмчлэгч, эмэгтэй эрүүл мэндийн ажилтан, эмэгтэй эрүүл мэндийн ажилтан: бор, эрүүл мэнд
👨‍🎓	оюутан, төгсөгч, эр, эрэгтэй, эрэгтэй оюутан
👨🏻‍🎓	оюутан, төгсөгч, цайвар, эр, эрэгтэй, эрэгтэй оюутан: цайвар
👨🏼‍🎓	бага зэргийн цайвар, оюутан, төгсөгч, эр, эрэгтэй, эрэгтэй оюутан: бага зэргийн цайвар
👨🏽‍🎓	дунд зэргийн, оюутан, төгсөгч, эр, эрэгтэй, эрэгтэй оюутан: дунд зэргийн
👨🏾‍🎓	бордуу, оюутан, төгсөгч, эр, эрэгтэй, эрэгтэй оюутан: бордуу
👨🏿‍🎓	бор, оюутан, төгсөгч, эр, эрэгтэй, эрэгтэй оюутан: бор
👩‍🎓	оюутан, төгсөгч, эм, эмэгтэй, эмэгтэй оюутан
👩🏻‍🎓	оюутан, төгсөгч, цайвар, эм, эмэгтэй, эмэгтэй оюутан: цайвар
👩🏼‍🎓	бага зэргийн цайвар, оюутан, төгсөгч, эм, эмэгтэй, эмэгтэй оюутан: бага зэргийн цайвар
👩🏽‍🎓	дунд зэргийн, оюутан, төгсөгч, эм, эмэгтэй, эмэгтэй оюутан: дунд зэргийн
👩🏾‍🎓	бордуу, оюутан, төгсөгч, эм, эмэгтэй, эмэгтэй оюутан: бордуу
👩🏿‍🎓	бор, оюутан, төгсөгч, эм, эмэгтэй, эмэгтэй оюутан: бор
👨‍🏫	багш, профессор, сургагч, эр, эрэгтэй, эрэгтэй багш
👨🏻‍🏫	багш, профессор, сургагч, цайвар, эр, эрэгтэй, эрэгтэй багш: цайвар
👨🏼‍🏫	бага зэргийн цайвар, багш, профессор, сургагч, эр, эрэгтэй, эрэгтэй багш: бага зэргийн цайвар
👨🏽‍🏫	багш, дунд зэргийн, профессор, сургагч, эр, эрэгтэй, эрэгтэй багш: дунд зэргийн
👨🏾‍🏫	багш, бордуу, профессор, сургагч, эр, эрэгтэй, эрэгтэй багш: бордуу
👨🏿‍🏫	багш, бор, профессор, сургагч, эр, эрэгтэй, эрэгтэй багш: бор
👩‍🏫	багш, профессор, сургагч, эм, эмэгтэй, эмэгтэй багш
👩🏻‍🏫	багш, профессор, сургагч, цайвар, эм, эмэгтэй, эмэгтэй багш: цайвар
👩🏼‍🏫	бага зэргийн цайвар, багш, профессор, сургагч, эм, эмэгтэй, эмэгтэй багш: бага зэргийн цайвар
👩🏽‍🏫	багш, дунд зэргийн, профессор, сургагч, эм, эмэгтэй, эмэгтэй багш: дунд зэргийн
👩🏾‍🏫	багш, бордуу, профессор, сургагч, эм, эмэгтэй, эмэгтэй багш: бордуу
👩🏿‍🏫	багш, бор, профессор, сургагч, эм, эмэгтэй, эмэгтэй багш: бор
👨‍⚖	дэнс, шүүх, эр, эрэгтэй, эрэгтэй шүүгч
👨🏻‍⚖	дэнс, цайвар, шүүх, эр, эрэгтэй, эрэгтэй шүүгч, эрэгтэй шүүгч: цайвар
👨🏼‍⚖	бага зэргийн цайвар, дэнс, шүүх, эр, эрэгтэй, эрэгтэй шүүгч, эрэгтэй шүүгч: бага зэргийн цайвар
👨🏽‍⚖	дунд зэргийн, дэнс, шүүх, эр, эрэгтэй, эрэгтэй шүүгч, эрэгтэй шүүгч: дунд зэргийн
👨🏾‍⚖	бордуу, дэнс, шүүх, эр, эрэгтэй, эрэгтэй шүүгч, эрэгтэй шүүгч: бордуу
👨🏿‍⚖	бор, дэнс, шүүх, эр, эрэгтэй, эрэгтэй шүүгч, эрэгтэй шүүгч: бор
👩‍⚖	дэнс, шүүгч, эм, эмэгтэй, эмэгтэй шүүгч
👩🏻‍⚖	дэнс, цайвар, шүүгч, эм, эмэгтэй, эмэгтэй шүүгч: цайвар
👩🏼‍⚖	бага зэргийн цайвар, дэнс, шүүгч, эм, эмэгтэй, эмэгтэй шүүгч: бага зэргийн цайвар
👩🏽‍⚖	дунд зэргийн, дэнс, шүүгч, эм, эмэгтэй, эмэгтэй шүүгч: дунд зэргийн
👩🏾‍⚖	бордуу, дэнс, шүүгч, эм, эмэгтэй, эмэгтэй шүүгч: бордуу
👩🏿‍⚖	бор, дэнс, шүүгч, эм, эмэгтэй, эмэгтэй шүүгч: бор
👨‍🌾	ногооч эр, тариачин, фермер, эрэгтэй, эрэгтэй тариачин
👨🏻‍🌾	ногооч эр, тариачин, фермер, цайвар, эрэгтэй, эрэгтэй тариачин: цайвар
👨🏼‍🌾	бага зэргийн цайвар, ногооч эр, тариачин, фермер, эрэгтэй, эрэгтэй тариачин: бага зэргийн цайвар
👨🏽‍🌾	дунд зэргийн, ногооч эр, тариачин, фермер, эрэгтэй, эрэгтэй тариачин: дунд зэргийн
👨🏾‍🌾	бордуу, ногооч эр, тариачин, фермер, эрэгтэй, эрэгтэй тариачин: бордуу
👨🏿‍🌾	бор, ногооч эр, тариачин, фермер, эрэгтэй, эрэгтэй тариачин: бор
👩‍🌾	ногооч, тариачин, фермер, эм, эмэгтэй, эмэгтэй тариачин
👩🏻‍🌾	ногооч, тариачин, фермер, цайвар, эм, эмэгтэй, эмэгтэй тариачин: цайвар
👩🏼‍🌾	бага зэргийн цайвар, ногооч, тариачин, фермер, эм, эмэгтэй, эмэгтэй тариачин: бага зэргийн цайвар
👩🏽‍🌾	дунд зэргийн, ногооч, тариачин, фермер, эм, эмэгтэй, эмэгтэй тариачин: дунд зэргийн
👩🏾‍🌾	бордуу, ногооч, тариачин, фермер, эм, эмэгтэй, эмэгтэй тариачин: бордуу
👩🏿‍🌾	бор, ногооч, тариачин, фермер, эм, эмэгтэй, эмэгтэй тариачин: бор
👨‍🍳	тогооч, эр, эрэгтэй, эрэгтэй тогооч
👨🏻‍🍳	тогооч, цайвар, эр, эрэгтэй, эрэгтэй тогооч: цайвар
👨🏼‍🍳	бага зэргийн цайвар, тогооч, эр, эрэгтэй, эрэгтэй тогооч: бага зэргийн цайвар
👨🏽‍🍳	дунд зэргийн, тогооч, эр, эрэгтэй, эрэгтэй тогооч: дунд зэргийн
👨🏾‍🍳	бордуу, тогооч, эр, эрэгтэй, эрэгтэй тогооч: бордуу
👨🏿‍🍳	бор, тогооч, эр, эрэгтэй, эрэгтэй тогооч: бор
👩‍🍳	тогооч, эм, эмэгтэй, эмэгтэй тогооч
👩🏻‍🍳	тогооч, цайвар, эм, эмэгтэй, эмэгтэй тогооч: цайвар
👩🏼‍🍳	бага зэргийн цайвар, тогооч, эм, эмэгтэй, эмэгтэй тогооч: бага зэргийн цайвар
👩🏽‍🍳	дунд зэргийн, тогооч, эм, эмэгтэй, эмэгтэй тогооч: дунд зэргийн
