😀	guyu, rai, rai ngguyu
🌿	godhong, jamu
☘️	semanggi, tanduran
🍀	4, godhong, papat, semanggi, semanggi godhong papat
🍁	godhong, godhong mapel, mapel, rontok
🍂	godhong, godhong gogrok, gogrok
🍃	angin, godhong, godhong ngawe-awe kena angin, godhong ngawe-ngawe kena angin, ketiup, ngawe-awe
🍇	anggur, woh-wohan
🍈	melon, woh-wohan
🍉	semangka, woh-wohan
🍊	jeruk, jeruk keprok, woh-wohan
🍋	jeruk lemon, jeruk nipis, woh-wohan
🍌	gedhang, woh-wohan
🍍	nanas, woh-wohan
🥭	pelem, tropis, woh-wohan
🍎	abang, apel, apel abang, woh-wohan
🍏	apel, apel ijo, ijo, woh-wohan
🍐	pir, woh-wohan
🍑	persik, woh-wohan
🍒	abang, beri, ceri, woh ceri, woh-wohan
🍓	beri, stroberi, woh-wohan
🥝	kiwi, panganan, woh kiwi, woh-wohan
🍅	sayuran, tomat, woh-wohan
🥥	kambil, palem, pina colada
🥑	avokad, pangan, woh-wohan
🍆	sayuran, terong, terung
🥔	kenthang, pangan, sayuran
🥕	pangan, sayuran, wortel
🌽	jagung, klembak, maizena, tongkol jagung
🌶️	lombok, pedhes
🥒	acar, pangan, sayuran, timun
🥬	bok coi, kol, kubis, selada, selada ijo
🥦	brokoli, kubis liar
🧄	bawang putih, panyedhep rasa
🧅	bawang bombai, panyedhep rasa
🍄	jamur, jamur payung
🥜	dhaharan, kacang, kacang brol, sayuran
🌰	kenari, tetuwuhan
🍞	roti, sebata
🥐	dhaharan, kroasang, prancis, roti, roti gulung bulan sabit
🥖	baget, dhaharan, prancis, roti, roti baget
🥨	diuntir, pretsel
🥯	pabrik roti, roti bagel, roti semir
🥞	apem, dhaharan, krep, panekuk
🧇	mangu-mangu, wafel, wesi
🧀	keju, keju sairis
🍖	balung, iwak daging, iwak daging sabalunge
🍗	balung, iwak ayam, pupu, pupu sempol, sempol, unggas
🥩	bistik, daging sairis, iwak daging, samata
🥓	bakon, daging, pangan
🍔	burger, hamburger
🍟	balok kenthang goreng, goreng, kenthang balok
🍕	keju, pizza, pizza keju, sairis
🌭	frankfurter, hot dog, hotdog, roti sosis, sosis
🥪	roti, sendwich
🌮	pangan meksiko, tako
🌯	burito, dhaharan meksiko, sega bungkus roti
🥙	dhaharan, falafel, isi, kebab turki, kebab yunani, roti pita, roti pita gulung
🧆	bakso, bakwan falafel, kacang garbanzo
🥚	dhaharan, ndhog
🍳	masak, ndhog, nggoreng, wajan
🥘	dhaharan, jangan sawajan cethek, kaserol, paela, wajan, wajan cethek
🍲	jangan sapanci, panci, semur
🥣	bubur, mangkok karo sendhok, sarapan, sereal
🥗	dhaharan, ijo-ijo, urap, urap-urap sayur
🍿	brondong jagung
🧈	mertega, olahan susu
🧂	ubarampe, uyah, wadhah nyawur uyah
🥫	dhaharan kalengan, kaleng
🍱	bento, kothak, sakothak bento
🍘	krupuk, rengginan
🍙	Jepang, sega, themlek, themlek sega
🍚	mateng, sega, sega mateng
🍛	kare, sega, sega kare
🍜	bakmi, kemepul, mangkok, mangkok kemepul, ramen
🍝	bakmi sepageti, pasta, sepageti
🍠	panggang, tela pendhem, tela pendhem panggang
🍢	iwak laut, kebab, oden, sate, sate oden, sunduk
🍣	susi
🍤	ebi, goreng, tempura, urang, urang goreng
🍥	bakso, bakso iwak Jepang, iwak, pastri
🥮	festival, kuwih bulan, musim gogrok, yuebing
🍡	Jepang, dango, legi, panganan manis, sate, sate dango, sunduk
🥟	empanada, gyoza, jiaozi, pierogi, siomay, siomay goreng, siomay kukus
🥠	ramal, roti begja
🥡	kothak bungkus
🦀	Cancer, palintangan, rajungan, yuyu
🦞	capit, iwak laut, lopster, sop bisque
🦐	cilik, dhaharan, urang, urang-urangan
🦑	cumi-cumi, pangan, sotong
🦪	mutiyara, nyelam, tiram
🍦	alus, es, es krim salju, krim, legi, panganan manis
🍧	es, es kokrok, es puter, legi, panganan manis
🍨	es, es krim, krim, legi, panganan manis
🍩	donat, legi, panganan manis
🍪	biskwit, legi, panganan manis
🎂	ambal taun, kuwih, legi, panganan manis, pastri, pista, roti ambal taun
🍰	kuwih, kuwih lapis, legi, panganan manis, pastri, sairis
🧁	kuwih mangkok, legi, roti-rotian
🥧	isi, pai, pastri
🍫	legi, panganan manis, papan, sapapan soklat, soklat
🍬	legi, panganan manis, permen
🍭	legi, panganan manis, permen, permen loli
🍮	ager-ager hungkwe, hungkwe, legi, panganan manis, podeng
🍯	legi, madu, satoples madu, toples
🍼	bayi, botol, botol kempong, susu, unjukan
🥛	gelas, sagelas susu, susu, unjukan
☕️	kemepul, kopi, panas, teh, unjukan, wedang, wedang panas
🍵	cangkir, cangkir teh tanpa kuping, teh, unjukan, wedang
🍶	bar, botol, cangkir, sabotol sake, sake, unjukan, wedang
🍾	bar, botol, botol mencelat subale, mencelat, subal botol, unjukan
🍷	anggur, bar, gelas, gelas anggur, unjukan, wedang
🍸️	bar, gelas, gelas koktail, koktail, unjukan
🍹	bar, tropis, unjukan, unjukan cara tropis
🍺	bar, bir, gelas bir, unjukan
🍻	bar, bir, gelas bir, gelas bir ditutulake, gelas-gelas bir ditutulake, mak thing, unjukan
🥂	gelas, gelas-gelas ditutulke, mak thing, pista, unjukan
🥃	anggur, gelas, gelas sloki, sloki, unjukan
🥤	gelas mawa sedhotan, soda, wedang jus
🧃	jus kothakan, wedang kothakan
🧉	teh mate, unjukan
🧊	adhem, es, es batu
🥢	hashi, sumpit
🍽️	garpu, masak, peso, piring, sendhok garpu sapiringe
🍴	garpu, garpu lan peso, masak, peso, sendhok garpu
🥄	pranti dhahar, sendhok
🔪	alat, gaman, hocho, masak, peso, peso dhapur
🏺	Aquarius, amphora, guci kuping loro, masak, palintangan, teko, unjukan
🌍	Afrika, Eropa, bumi, donya, globe, globe sing nuduhake benua Eropa-Afrika
🌎️	Amerika, bumi, donya, globe, globe sing nuduhake benua Amerika
🌏	Asia, Australia, bumi, donya, globe, globe sing nuduhake benua Asia-Australia
🌐	bumi, donya, globe, globe mawa garis meridian, meridian
🗺️	donya, peta, peta donya
🗾	Jepang, peta, peta Jepang
🧭	kompas, magnetik, navigasi, pangarahan
🏔️	adhem, gunung, gunung punthuke katutup salju, salju
⛰️	gunung
🌋	gunung, gunung geni, njeblug
🗻	fuji, gunung, gunung fuji
🏕️	kemah
🏖️	pasisir, pasisir karo payung tumancep, payung
🏜️	ara-ara
🏝️	ara-ara, pulo, pulo ara-ara
🏞️	taman, taman nasional
🏟️	stadion
🏛️	kuna, wewangunan kuna
🏗️	konstruksi, konstruksi wewangunan
🧱	bata, lempung, semen, tembok
🏘️	omah-omah
🏚️	bobrok, omah, omah bobrok
🏠️	omah, padunungan
🏡	kebon, omah, omah ana kebone, padunungan
🏢	wewangunan, wewangunan kantor
🏣	Jepang, kantor pos ing Jepang, pos
🏤	Jepang, kantor pos ing Eropa, pos
🏥	dhokter, griya sakit, obat
🏦	bank, wewangunan, wewangunan bank
🏨	hotèl, wewangunan, wewangunan hotel
🏩	hotel, hotel sewan miturut jam, miturut jam
🏪	minimarket, toko
🏫	sekolahan, wewangunan
🏬	supermarket, toko
🏭️	pabrik, wewangunan
🏯	Jepang, puri, puri Jepang
🏰	Eropa, puri
💒	greja, ngantenan, pepasangan
🗼	Tokyo, menara, menara Tokyo
🗽	Patung Liberti, kamardhikan, patung
⛪️	Kristen, agama, greja, salib
🕌	Islam, Muslim, agama, mesjid
🛕	Hindu, pura, pura Hindu
🕍	Yahudi, agama, kuil, sinagoga, wong Yahudi
⛩️	Shinto, agama, kuil, kuil Shinto
🕋	Islam, Kakbah, Muslim, agama
⛲️	banyu muncrat
⛺️	kemah, tendha
🌁	katutup pedhut, pedhut
🌃	bengi, bengi ana lintang, lintang
🏙️	gedhung-gedhung anyakar mega, kutha
🌄	esuk, gunung, srengenge, srengenge mlethek, srengenge mlethek sadhuwuring kendheng
🌅	esuk, srengenge, srengenge mlethek
🌆	bawana, gedhung-gedhung wayah sandhekala, kutha, sandhekala, sore, srengenge mudhun
🌇	sandhekala, srengenge, srengenge mudhun
🌉	bengi, kreteg, kreteg ing wayah bengi
♨️	kemepul, panas, tuk, tuk banyu panas
🎠	jaran, jaran komidhi puter, komidhi puter
🎡	jinantra, rodha, taman hiburan
🎢	kreta, kreta sluncur, sluncur, taman hiburan
💈	cukur rambut, panandha, panandha kiyose tukang cukur, tukang cukur
🎪	sirkus, tendha, tendha sirkus
🚂	jalur ril, lokomotip, mesin, sepur, uwap
🚃	bis jalur ril, bis troli, jalur ril, listrik, montor, sepur
🚄	jalur ril, kacepetan, sepur, sepur rikat, shinkansen
🚅	jalur ril, kacepetan, pelor, sepur, sepur pelor, shinkansen
🚆	jalur ril, sepur
🚇️	metro, sepur metro, sepur ngisor lemah
🚈	jalur ril, sepur LRT
🚉	jalur ril, sepur, setasiun
🚊	bis troli, trem
🚝	monoril, tetumpakan
🚞	gunung, jalur ril, jalur sepur nggunung, montor
🚋	bis troli, montor, montor trem, trem
🚌	bis, tetumpakan
🚍️	bis, bis katon mara, mara
🚎	bis, bis troli, trem, troli
🚐	bis, bis cilik
🚑️	ambulan, tetumpakan
🚒	blamwir, kobongan, trek
🚓	montor, montor pulisi, patroli, pulisi
🚔️	mara, montor, montor pulisi katon mara, pulisi
🚕	taksi, tetumpakan
🚖	mara, taksi, taksi mara
🚗	montor, montor otomatis
🚘️	mara, montor, montor otomatis, montor otomatis mara
🚙	rekreasi, srana ulah raga, tetumpakan srana ulah raga
🚚	pangiriman, prahoto, prahoto pangiriman
🚛	lori, lori gandheng, prahoto
🚜	tetumpakan, traktor
🏎️	balapan, montor, montor balap
🏍️	balapan, pit montor
🛵	pespa, pit
🦽	kalancaran, kursi rodha manual
🦼	kalancaran, kursi rodha mesin
🛺	bemo, bemo tuk tuk
🚲️	pit, sepedha
🛴	jejek, otopet, otopet jejek
🛹	papan, papan skate
🚏	bis, halte bis, mandheg
🛣️	dalan, dalan gedhe, dalan tol
🛤️	jalur ril, jalur sepur, sepur
🛢️	drim, drim lenga, lenga
⛽️	bensin, disel, gas, pom, pompa, pompa bensin
🚨	cemlorot, lampu, lampu montor pulisi, montor, mubeng-mubeng, pulisi
🚥	aba-aba, lalu lintas, lampu, lampu bangjo turu
🚦	aba-aba, lalu lintas, lampu, lampu bangjo ngadeg
🛑	mandheg, oktagonal, setop, tandha, tandha setop
🚧	konstruksi, pager wates
⚓️	jangkar, kapal, pralatan
⛵️	kapal layar, prau, prau layar, resor, segara
🛶	kano, prau
🚤	kapal rikat, prau
🛳️	kapal, kapal panumpang, panumpang
⛴️	feri, kapal, kapal feri, panumpang
🛥️	kapal, kapal motor
🚢	kapal, kapal gedhe, panumpang
✈️	montor mabur
🛩️	montor mabur, montor mabur cilik
🛫	cek in, mangkat, montor mabur, montor mabur mangkat
🛬	montor mabur, montor mabur teka, ndharat, tekan
🪂	parasit, skydive, terjun payung
💺	kursi, lungguhan
🚁	helikopter, tetumpakan
🚟	jalur ril, jalur ril suspensi, suspensi
🚠	gantole, gunung, jalur kabel gunung, kabel
🚡	gantole, jalur trem, jalur trem nggantung, kabel, montor, nggantung
🛰️	antariksa, satelit
🚀	antariksa, roket
🛸	UFO, piring mabur
🛎️	bel, bel leladen, hotel
🧳	koper, lelungan, ngepak
⌛️	jam pasir tuntas, pangatur wektu, pasir
⏳️	jam pasir, jam pasir isih mlaku, pangatur wektu, pasir
⌚️	erloji, jam
⏰	jam, jam weker, weker
⏱️	jam, pangatur wektu
⏲️	jam, jam pangatur wektu, pangatur wektu
🕰️	jam, jam dhudhuk kuna
🕛️	00, 12, 12:00, jam, jam rolas, rolas, theng
🕧	12, 12:30, jam, jam setengah siji, setengah, siji
🕐️	00, 1, 1:00, jam, jam siji, siji, theng
🕜	1, 1:30, jam, jam setengah loro, loro, setengah
🕑️	00, 2, 2:00, jam, jam loro, loro, theng
🕝	2, 2:30, jam, jam setengah telu, setengah, telu
🕒️	00, 3, 3:00, jam, jam telu, telu, theng
🕞	3, 3:30, jam, jam setengah papat, papat, setengah
🕓️	00, 4, 4:00, jam, jam papat, papat, theng
🕟	4, 4:30, jam, jam setengah lima, lima, setengah
🕔️	00, 5, 5:00, jam, jam lima, lima, theng
🕠	jam enem, jam setengah enem
🕕️	00, 6, 6:00, enem, jam, jam enem, theng
🕡	6, 6:30, jam, jam setengah pitu, pitu, setengah
🕖️	00, 7, 7:00, jam, jam pitu, pitu, theng
🕢	7, 7:30, jam, jam setengah wolu, setengah, wolu
🕗️	00, 8, 8:00, jam, jam wolu, theng, wolu
🕣	8, 8:30, jam, jam setengah sanga, sanga, setengah
🕘️	00, 9, 9:00, jam, jam sanga, sanga, theng
🕤	9, 9:30, jam, jam setengah sepuluh, sepuluh, setengah
🕙️	00, 10, 10:00, jam, jam sepuluh, sepuluh, theng
🕥	10, 10:30, jam, jam setengah sewelas, setengah, sewelas
🕚️	00, 11, 11:00, jam, jam sewelas, sewelas, theng
🕦	11, 11:30, jam, jam setengah rolas, rolas, setengah
🌑	bulan, bulan kawitan, peteng
🌒	bulan, bulan tanggal sepisan, padhange nambah sithik-sithik, tanggal sepisan
🌓	bulan, bulan separo, separo
🌔	bulan, bulan separo luwih, padhange meh kebak, padhange sithik-sithik
🌕️	bulan, purnama, purnama sidi
🌖	bulan, bulan ilang seprapat, padhange ilang sithik-sithik, padhange meh kebak
🌗	bulan, bulan peteng separo, separo
🌘	bulan, bulan gari seprapat, padhange ilang sithik-sithik, seprapat
🌙	bulan, bulan nanggal sepisan, nanggal sepisan
🌚	bulan, rai, rai bulan kawitan
🌛	bulan, rai, rai bulan separo marep ngiwa, separo
🌜️	bulan, rai, rai bulan separo marep nengen, separo
🌡️	cuaca, termometer
☀️	clorot, ketiga, padhing, srengenge
🌝	bulan, padhang, purnama, rai, rai purnama sidi
🌞	padhang, rai, srengenge, srengenge katon raine
🪐	planet anganggo ali-ali, saturnus, wong sing lairane ketiban sipating saturnus
⭐️	lintang
🌟	clorot, kelip-kelip, kerlip-kerlip, lintang, lintang cemlorot
🌠	buntut, lintang, lintang abuntut, tumiba
🌌	antariksa, bima sekti
☁️	cuaca, mega mendhung, mendhung
⛅️	mega, srengenge, srengenge saburine mega
⛈️	bledhek, mega, mega ngemu bledhek lan udan, udan
🌤️	mega, srengenge, srengenge saburine mega cilik
🌥️	mega, srengenge, srengenge saburine mega gedhe
🌦️	mega, srengenge, srengenge saburine mega ngemu udan, udan
🌧️	mega, mega ngemu udan, udan
🌨️	adhem, mega, mega ngemu salju, salju
🌩️	bledhek, mega, mega ngemu bledhek
🌪️	angin puyuh, mendhung, tornado
🌫️	mega, pedhut
🌬️	angin, mega, nyebul, rai, rai anyebul angin
🌀	angin ribut, angin siklon, muser-muser, siklon, topan, tornado
🌈	kluwung, plangi, udan
🌂	payung, payung mingkup, sandhangan, udan
☂️	payung, sandhangan, udan
☔️	payung, payung ketiban udan, sandhangan, tletik, udan
⛱️	payung, payung tumancep lemah, srengenge, udan
⚡️	bebaya, bledhek, listrik, mak byar, tegangan, tegangan dhuwur
❄️	adhem, salju, satesing salju
☃️	adhem, salju, wong-wongan salju
⛄️	adhem, salju, wong-wongan salju, wong-wongan salju tanpa salju
☄️	antariksa, komet
🔥	bekakas, geni, mbulating geni
💧	adhem, komik, kringet, tes, tesing
🌊	banyu, ombak, ombak banyu, segara
🎃	halloween, jack, jack-o-lantern, lampion jack-o-lantern, lampion labu, perayaan
🎄	Natal, Uwit Natal, perayaan, uwit
🎆	kembang api, perayaan
🎇	bang api, kembang api, mbang api, mletik, perayaan
🧨	bahan peledak, dinamit, kembang api, petasan
✨	*, bang api, lintang, mbang api
🎈	balon, perayaan
🎉	hiasan, hiasan pesta, perayaan, pesta, riasan
🎊	balon, balon konfeti, konfeti, perayaan
🎋	Jepang, perayaan, spanduk, wit, wit tanabata
🎍	Jepang, bambu, dekorasi pinus, perayaan, pinus
🎎	Jepang, boneka, boneka Jepang, festival, perayaan
🎏	gendera, gendera koinobori, koinobori, perayaan
🎐	angin, klinthingan, klinthingan angin, lonceng, perayaan
🎑	mbulan, perayaan, upacara, upacara nyawang mbulan
🧧	andum pandonga, ang pao, dhuwit, hóngbāo, kado, lai see
🎀	perayaan, pita
🎁	bingkisan, dibungkus, kado, kado dibungkus, kothak, perayaan
🎗️	pangeling, perayaan, pita, pita pangeling
🎟️	mlebu, tiket, tiket mlebu
🎫	mlebu, tiket
🎖️	medali, medali militer, militer, perayaan
🏆️	hadiah, trofi
🏅	medali, medali olahraga
🥇	emas, kasiji, medali, medali juara ka-1
🥈	kaloro, medali, medali juara ka-2, perak
🥉	katelu, medali, medali juara ka-3, tembaga
⚽️	bal, bal sepak bola, sepak bola, sepak bola amerika
⚾️	bal, bisbol
🥎	bal, kelek, sarung tangan, sofbol
🏀	bal, bola basket, mlumpat
🏐	bal, game, voli
🏈	amerika, bal, sepak bola, sepak bola amerika
🏉	bal, rugby, sepak bola, sepak bola rugby
🎾	bal, raket, tenis
🥏	cakram mabur, mutakhir
🎳	bal, boling, game
🏏	bal, bat, game, game kriket
🏑	bal, game, hoki, hoki lapangan, lapangan, tongkat
🏒	es, game, hoki, hoki es, puk, tongkat
🥍	bal, gol, lacrosse, tongkat
🏓	bal, bat, dayung, ping pong, tenis meja
🏸	badminton, game, kok, manuk, raket
🥊	sarung tangan, sarung tangan tinju, tinju
🥋	bela diri, judo, karate, sragam, sragam bela diri, taekwondo
🥅	gawang, jaring, jaring gawang
⛳️	bolongan, gendera golf, golf
⛸️	es, luncur es
🎣	iwak, tongkat, tongkat pancing
🤿	masker nyilem, nyilem, skuba, snorkeling
🎽	atletik, kaos, kaos mlayu, mlayu, selempang
🎿	luncur ski, salju, ski
🛷	kreta luncur, kreta salju, kreta salju ditarik jaran
🥌	game, watu cadhas, watu curling stone
🎯	dart, kena, kena sasaran, target, tepat sasaran
🪀	dolanan, yoyo
🪁	layangan, mabur, nglayang
🎱	8, bal, bilyar, game, pool bal 8, wolu
🔮	bal, bal kristal, dongeng, fantasi, kristal, perkakas, raja brana
🧿	azimat, jimat nazar, manik-manik, mantra, mata setan, nazar
🎮️	game, game video, pangontrol
🕹️	game, game video, tuas kontrol
🎰	game, mesin slot, slot
🎲	dhadhu, dhadhu game, game
🧩	cuwilan teka-teki, jigsaw, kemunci, pituduh, potongan, teka-teki
🧸	alat dolanan, beruang teddy, dijejeli, dolanan, mewah
♠️	game, kertu, kertu sekop
♥️	game, kertu, kertu ati
♦️	game, kertu, kertu berlian
♣️	game, kertu, kertu waru
♟️	bisa dibuwang, catur, dupe, pion
🃏	game, joker, kertu, kertu joker, kertu liar
🀄️	abang, game, mahyong, naga abang mahyong
🎴	Jepang, dolanan, game, kembang, kertu, kertu gambar kembang
🎭️	pagelaran, seni, seni pagelaran, teater, topeng
🖼️	gambar, gambar nganggo pigura, lukisan, museum, pigura, seni
🎨	lukisan, museum, palet, palet pelukis, seni
🧵	benang, dom, njait, senar, sepul
🧶	bal, bolah, rajut, renda
👓️	kaca tingal, kacamata, mata, panganggo mripat, sandangan
🕶️	kacamata, kacamata ireng, mripat, panganggo mripat, peteng
🥽	gogel, ngelas, nglangi, proteksi mripat
🥼	dokter, eksperimen, ilmuwan, jas lab
🦺	darurat, keslametan, rompi, rompi keslametan
👔	dasi, sandhangan
👕	kaos, kaos lengen cendhak, kaus, sandhangan
👖	jins, kathok, kathok dawa, sandhangan
🧣	gulu, skarf
🧤	sarung tangan, tangan
🧥	jaket, mantel
🧦	kaos sikil, stoking
👗	rok, sandhangan
👘	kimono, sandhangan
🥻	rok, sandhangan, sari
🩱	klambi adus, klambi nglangi terusan
🩲	kathok njero, klambi nglangi, klambi njero, mantel adus, terusan
🩳	kathok, kathok cendhak, klambi adus, klambi njero
👙	bikini, nglangi, sandhangan
👚	sandhangan, sandhangan wong wadon, wong wadon
👛	koin, sandhangan, tas
👜	sandhangan, tas, tas tangan
👝	dompet, sandhangan, tas, tas jinjing
🛍️	blanja, hotel, tas, tas blanja
🎒	ransel, sekolah, tas, tas cangklong, tas gendhong
👞	lanang, sandhangan, sepatu lanang
👟	atletik, kets, sandhangan, sepatu, sepatu mlayu
🥾	backpacking, bot, hiking, kemping, sepatu bot hiking
🥿	pantofel, selop, sepatu trepes, trepes balet
👠	hak, sandhangan, sepatu, sepatu hak dhuwur, wadon
👡	sandhal, sandhal wadon, sandhangan, sepatu, wadon
🩰	balet, sepatu balet, tarian
👢	bot, sandhangan, sepatu, sepatu bot wadon, wadon
👑	makutha, raja, ratu, sandhangan
👒	sandhangan, topi, topi wadon, wadon
🎩	dhuwur, sandhangan, sepatu dhuwur, topi, topi dhuwur
🎓️	perayaan, sandhangan, topi, topi wisuda, wisuda
🧢	topi bisbol, topi pet
⛑️	bantuan, helm, helm tim SAR, palang, rai, topi
📿	agama, kalung, manik-manik, sandhangan, tesbih
💄	kosmetik, lipstik, riasan
💍	ali-ali, berlian
💎	batu permata, berlian, permata, ratna
🔇	anteng, bisu, meneng, speaker, speaker bisu
🔈️	alus, volume lirih speaker
🔉	medium, volume medium speaker
🔊	sero, volume banter speaker
📢	sero, speaker sero, wara-wara
📣	megapon, sorak-sorak
📯	pos, trompet, trompet pos
🔔	lonceng
🔕	anteng, bisu, larangan, lonceng, lonceng kacorek, meneng
🎼	musik, notasi, notasi musik
🎵	musik, tangga nada, tangga nada musik
🎶	musik, tangga nada, tangga nada musik
🎙️	mik, mikropon, mikropon studio, musik, studio
🎚️	musik, panggeser, panggeser tingkat, tingkat
🎛️	kenop, kenop kontrol, kontrol, musik
🎤	karaoke, mik, mikropon
🎧️	earbud, headphone
📻️	radio, video
🎷	instrumen, musik, saks, saksofon
🎸	gitar, instrumen, musik
🎹	instrumen, kibor, kibor musik, musik, piano
🎺	instrumen, musik, trompet
🎻	biola, instrumen, musik
🪕	dawai, gitar banjo, musik
🥁	drum, musik, stik drum
📱	sel, seluler, telepon, telepon seluler, telpon
📲	nampa, panah, sel, seluler, telepon, telepon seluler nganggo panah
☎️	telepon, telpon
📞	gagang, gagang telpon, telepon, telpon
📟️	penyeranta
📠	faks, mesin faks
🔋	baterai
🔌	colokan, colokan listrik, kelistrikan, listrik
💻️	komputer, komputer laptop, pc, personal
🖥️	desktop, komputer, komputer desktop
🖨️	komputer, printer
⌨️	keyboard, komputer
🖱️	komputer, mouse komputer
🖲️	trackbal, trackbal komputer
💽	cakram, cakram komputer, cakram mini, komputer, optik
💾	disket, disket flopi, flopi, komputer
💿️	cakram, cakram optikal, cd, komputer, optikal
📀	blu-ray, cakram, cakram dvd, dvd, komputer, optikal
🧮	itung-itungan, sempoa
🎥	film, kamera, kamera film, sinema
🎞️	film, klise, klise film, sinema
📽️	film, proyektor, proyektor film, sinema, vidio
🎬️	aba-aba, film, papan aba-aba adhegan
📺️	radio, televisi, tv
📷️	kamera, vidio
📸	kamera, kamera mawa lampu jepret, lampu jepret, vidio
📹️	kamera, kamera vidio, vidio
📼	kaset vidio, tape, vhs, vidio
🔍	kaca, nggedhekkake, nggoleki, pranti, suryakantha minger ngiwa
🔎	kaca, nggedhekkake, nggoleki, pranti, suryakantha minger nengen
🕯️	cahya, lilin
💡	bohlam, cahya, elektrik, ide, komik
🔦	cahya, elektrik, lampu sorot, pranti, senter
🏮	abang, bar, cahya, lampion, lampion kertas abang
🪔	diyan, lampu, lampu diyan, minyak
📔	buku, kanthong wadhah, motif, notebook, notebook wadhahe motif apik
📕	buku, nutup, tutup buku
📖	buku, mbukak, mbukak buku
📗	buku, buku ijo, ijo
📘	biru, buku, buku biru
📙	buku, buku kunir, werna kunir
📚️	buku, buku-buku
📓	notebook
📒	buku besar, notebook
📃	dokumen, klunthung, lembaran, salembar kertas nglunthung
📜	gulungan, kertas
📄	dhokumen, lembaran, lembaran kertas katon ngarep
📰	kabar, kertas, koran
🗞	digulung, kabar, kertas, koran, koran digulung
📑	panandha, tandha, tenger, tetenger
🔖	tandha, tenger
🏷️	label tenger
💰️	dhuwit, dolar, kanthong, kanthong dhuwit
💴	dhuwit, dhuwit kertas, dhuwit kertas yen, mata uang, yen
💵	dhuwit, dhuwit kertas, dhuwit kertas dolar, euro, mata uang
💶	dhuwit kertas, dhuwit kertas euro, euro, mata uang
💷	dhuwit, dhuwit kertas ponsterling, kertas, mata uang, ponsterling
💸	dhuwit, dhuwit kertas, dhuwit nduwe swiwi, mabur, swiwi
💳️	dhuwit, kertu, kertu kredhit, kredhit
🧾	akuntansi, bukti, kwitansi, pembukuan, struk tetukon
💹	dhuwit, grafik, grafik mata uang yen mundhak, mundhak, yen
💱	bank, dhuwit, ijol-ijolan, mata uang, rega ijol mata uang
💲	dhuwit, dolar, mata uang, tandha dolar kandel
✉️	amplop, email, layang
📧	e-mail, email, layang, surat
📨	amplop, amplop layang teka, e-mail, email, katampa, layang teka
📩	amplop, amplop mawa panah, e-mail, email, layang kakirim, panah
📤️	baki, kakirim, kothak, layang, surat, wadhah layang kakirim
📥️	baki, katampa, kothak, kothak layang teka, layang, surat
📦️	kothak, paket, parsel
📫️	kothak pos, kothak surat, kothak surat nutup genderane ngadeg, layang, nutup
📪️	kothak pos, kothak surat, kothak surat nutup genderane mudhun, layang, mudhun, nutup
📬️	kothak pos, kothak surat, kothak surat menga genderane ngadeg, layang, menga
📭️	kothak pos, kothak surat, kothak surat menga genderane mudhun, layang, menga, mudhun
📮	kothak pos, kothak surat, layang
🗳️	kothak, kothak pemilu mawa layang swara, layang swara
✏️	potlot
✒️	dom mangsi, dom mangsi ireng, ireng, pen
🖋️	isen mangsi, pen, pen mangsi
🖊️	bolpen, pen
🖌️	kuwas, kuwas kanggo nglukis, nglukis
🖍️	krayon
📝	cathetan cilik, memo, potlot
💼	tas koper
📁	berkas, map, map berkas
📂	berkas, map, map berkas mbukak, mbukak
🗂️	indeks, kertu, pambagi, pambagi indeks kertu
📅	tanggal, tanggalan
📆	tanggalan, tanggalan suwek
🗒️	buku, buku cathetan spiral, cathetan, lemek, spiral
🗓️	lemek, spiral, tanggalan, tanggalan spiral
📇	indeks, indeks kertu, kertu, rolodeks
📈	grafik, grafik mundhak, mendhuwur, munggah, tren
📉	grafik, grafik mudhun, mudhun, tren
📊	balok, grafik, grafik balok
📋️	papan lemek
📌	pines
📍	pines bendhul
📎	klip kertas
🖇️	klip kertas, klip kertas karonce, ngronce
📏	garisan, garisan jejeg, pinggir jejeg
📐	garisan, garisan pesagi telu, pesagi telu, saprangkat
✂️	gunting, ngethok, pranti
🗃️	berkas, kertu, kothak, kothak berkas kertu
🗄️	berkas, panyimpenan berkas, slorogan, slorogan berkas
🗑️	kranjang sampah
🔒️	gembok ngunci, nggembok, nutup
🔓️	gembok mbukak, kunci, nggembok
🔏	dom mangsi, gembok, gembok nutup karo pen, mangsi, pen, privasi
🔐	aman, gembok, gembok nutup karo kunci, kunci, nutup
🔑	gembok, kunci, ukara sandhi
🗝️	gembok, kuna, kunci, kunci kuna, pituduh
🔨	bekakas, pukul
🪓	belah, kampak, kampak cilik, kayu, plathok
⛏️	bekakas, nambang, pipril
⚒️	bekakas, pipril, pukul, pukul lan pipril
🛠️	bekakas, kunci inggris, kunci pas, pukul, pukul lan kunci pas
🗡️	gegaman, pedhang endhek, peso
⚔️	gegaman, pedhang, pedhang loro timpuk, timpuk
🔫	bedhil, gegaman, pistul, pranti, revolver, senjata
🏹	Sagittarius, gendewa, gendewa lan panah, palintangan, pamanah, panah
🛡️	gegaman, tameng
🔧	bekakas, kunci inggris, kunci pas
🔩	baut, bekakas, mur, mur lan baut
⚙️	bekakas, gir, ring gir
🗜️	bekakas, cathok, penet
⚖️	Libra, adil, imbang, palintangan, timbangan
🦯	kalancaran, teken, wuta
🔗	sambungan rante
⛓️	rante
