😀	dareenka wajiga, gariir, wajiga
🙍🏼‍♀	jidh fudud oo dhexe, meedaar, naag, naag wajiga kaduudaya, naag wajiga kaduudaya: jidh fudud oo dhexe, waji kaduudidda
🙍🏽‍♀	jidh nooc dhexe, meedaar, naag, naag wajiga kaduudaya, naag wajiga kaduudaya: jidh nooc dhexe, waji kaduudidda
🙍🏾‍♀	jidh nooc madaw oo dhexe, meedaar, naag, naag wajiga kaduudaya, naag wajiga kaduudaya: jidh nooc madaw oo dhexe, waji kaduudidda
🙍🏿‍♀	jidh madaw, meedaar, naag, naag wajiga kaduudaya, naag wajiga kaduudaya: jidh madaw, waji kaduudidda
🙎	bushin qaniinidda, meedaar, qof bushinta qaniinaya
🙎🏻	bushin qaniinidda, bushin qaniinidda: jidh fudud, jidh fudud, meedaar, qof bushinta qaniinaya
🙎🏼	bushin qaniinidda, bushin qaniinidda: jidh fudud oo dhexe, jidh fudud oo dhexe, meedaar, qof bushinta qaniinaya
🙎🏽	bushin qaniinidda, bushin qaniinidda: jidh nooc dhexe, jidh nooc dhexe, meedaar, qof bushinta qaniinaya
🙎🏾	bushin qaniinidda, bushin qaniinidda: jidh nooc madaw oo dhexe, jidh nooc madaw oo dhexe, meedaar, qof bushinta qaniinaya
🙎🏿	bushin qaniinidda, bushin qaniinidda: jidh madaw, jidh madaw, meedaar, qof bushinta qaniinaya
🙎‍♂	bushin qaniinidda, meedaar, nin, nin bushinta qaniinaya
🙎🏻‍♂	bushin qaniinidda, jidh fudud, meedaar, nin, nin bushinta qaniinaya, nin bushinta qaniinaya: jidh fudud
🙎🏼‍♂	bushin qaniinidda, jidh fudud oo dhexe, meedaar, nin, nin bushinta qaniinaya, nin bushinta qaniinaya: jidh fudud oo dhexe
🙎🏽‍♂	bushin qaniinidda, jidh nooc dhexe, meedaar, nin, nin bushinta qaniinaya, nin bushinta qaniinaya: jidh nooc dhexe
🙎🏾‍♂	bushin qaniinidda, jidh nooc madaw oo dhexe, meedaar, nin, nin bushinta qaniinaya, nin bushinta qaniinaya: jidh nooc madaw oo dhexe
🙎🏿‍♂	bushin qaniinidda, jidh madaw, meedaar, nin, nin bushinta qaniinaya, nin bushinta qaniinaya: jidh madaw
🙎‍♀	bushin qaniinidda, meedaar, naag, naag bushinta qaniinaysa
🙎🏻‍♀	bushin qaniinidda, jidh fudud, meedaar, naag, naag bushinta qaniinaysa, naag bushinta qaniinaysa: jidh fudud
🙎🏼‍♀	bushin qaniinidda, jidh fudud oo dhexe, meedaar, naag, naag bushinta qaniinaysa, naag bushinta qaniinaysa: jidh fudud oo dhexe
🙎🏽‍♀	bushin qaniinidda, jidh nooc dhexe, meedaar, naag, naag bushinta qaniinaysa, naag bushinta qaniinaysa: jidh nooc dhexe
🙎🏾‍♀	bushin qaniinidda, jidh nooc madaw oo dhexe, meedaar, naag, naag bushinta qaniinaysa, naag bushinta qaniinaysa: jidh nooc madaw oo dhexe
🙎🏿‍♀	bushin qaniinidda, jidh madaw, meedaar, naag, naag bushinta qaniinaysa, naag bushinta qaniinaysa: jidh madaw
🙅	gacan, mamnuuc, meedaar, qof ku meedaaraya MAYA, reebban
🙅🏻	gacan, jidh fudud, mamnuuc, meedaar, qof ku meedaaraya MAYA, qof ku meedaaraya MAYA: jidh fudud, reebban
🙅🏼	gacan, jidh fudud oo dhexe, mamnuuc, meedaar, qof ku meedaaraya MAYA, qof ku meedaaraya MAYA: jidh fudud oo dhexe, reebban
🙅🏽	gacan, jidh nooc dhexe, mamnuuc, meedaar, qof ku meedaaraya MAYA, qof ku meedaaraya MAYA: jidh nooc dhexe, reebban
🙅🏾	gacan, jidh nooc madaw oo dhexe, mamnuuc, meedaar, qof ku meedaaraya MAYA, qof ku meedaaraya MAYA: jidh nooc madaw oo dhexe, reebban
🙅🏿	gacan, jidh madaw, mamnuuc, meedaar, qof ku meedaaraya MAYA, qof ku meedaaraya MAYA: jidh madaw, reebban
🙅‍♂	gacan, mamnuuc, meedaar, nin ku meedaaraya MAYA, qof ku meedaaraya MAYA, reebban
🙅🏻‍♂	gacan, jidh fudud, mamnuuc, meedaar, nin ku meedaaraya MAYA, nin ku meedaaraya MAYA: jidh fudud, qof ku meedaaraya MAYA, reebban
🙅🏼‍♂	gacan, jidh fudud oo dhexe, mamnuuc, meedaar, nin ku meedaaraya MAYA, nin ku meedaaraya MAYA: jidh fudud oo dhexe, qof ku meedaaraya MAYA, reebban
🙅🏽‍♂	gacan, jidh nooc dhexe, mamnuuc, meedaar, nin ku meedaaraya MAYA, nin ku meedaaraya MAYA: jidh nooc dhexe, qof ku meedaaraya MAYA, reebban
🙅🏾‍♂	gacan, jidh nooc madaw oo dhexe, mamnuuc, meedaar, nin ku meedaaraya MAYA, nin ku meedaaraya MAYA: jidh nooc madaw oo dhexe, qof ku meedaaraya MAYA, reebban
🙅🏿‍♂	gacan, jidh madaw, mamnuuc, meedaar, nin ku meedaaraya MAYA, nin ku meedaaraya MAYA: jidh madaw, qof ku meedaaraya MAYA, reebban
🙅‍♀	gacan, mamnuuc, meedaar, naag, naag ku meedaaraysa MAYA, reebban
🙅🏻‍♀	gacan, jidh fudud, mamnuuc, meedaar, naag, naag ku meedaaraysa MAYA, naag ku meedaaraysa MAYA: jidh fudud, reebban
🙅🏼‍♀	gacan, jidh fudud oo dhexe, mamnuuc, meedaar, naag, naag ku meedaaraysa MAYA, naag ku meedaaraysa MAYA: jidh fudud oo dhexe, reebban
🙅🏽‍♀	gacan, jidh nooc dhexe, mamnuuc, meedaar, naag, naag ku meedaaraysa MAYA, naag ku meedaaraysa MAYA: jidh nooc dhexe, reebban
🙅🏾‍♀	gacan, jidh nooc madaw oo dhexe, mamnuuc, meedaar, naag, naag ku meedaaraysa MAYA, naag ku meedaaraysa MAYA: jidh nooc madaw oo dhexe, reebban
🙅🏿‍♀	gacan, jidh madaw, mamnuuc, meedaar, naag, naag ku meedaaraysa MAYA, naag ku meedaaraysa MAYA: jidh madaw, reebban
🙆	HAA, gacan, meedaar, naag ku meedaaraysa HAA, qof ku meedaaraya HAA
🙆🏻	HAA, gacan, jidh fudud, meedaar, naag ku meedaaraysa HAA, naag ku meedaaraysa HAA: jidh fudud, qof ku meedaaraya HAA
🙆🏼	HAA, gacan, jidh fudud oo dhexe, meedaar, naag ku meedaaraysa HAA, naag ku meedaaraysa HAA: jidh fudud oo dhexe, qof ku meedaaraya HAA
🙆🏽	HAA, gacan, jidh nooc dhexe, meedaar, naag ku meedaaraysa HAA, naag ku meedaaraysa HAA: jidh nooc dhexe, qof ku meedaaraya HAA
🙆🏾	HAA, gacan, jidh nooc madaw oo dhexe, meedaar, naag ku meedaaraysa HAA, naag ku meedaaraysa HAA: jidh nooc madaw oo dhexe, qof ku meedaaraya HAA
🙆🏿	HAA, gacan, jidh madaw, meedaar, naag ku meedaaraysa HAA, naag ku meedaaraysa HAA: jidh madaw, qof ku meedaaraya HAA
🙆‍♂	gacan, meedaar, nin, nin ku meedaaraya HAA
🙆🏻‍♂	gacan, jidh fudud, meedaar, nin, nin ku meedaaraya HAA, nin ku meedaaraya HAA: jidh fudud
🙆🏼‍♂	gacan, jidh fudud oo dhexe, meedaar, nin, nin ku meedaaraya HAA, nin ku meedaaraya HAA: jidh fudud oo dhexe
🙆🏽‍♂	gacan, jidh nooc dhexe, meedaar, nin, nin ku meedaaraya HAA, nin ku meedaaraya HAA: jidh nooc dhexe
🙆🏾‍♂	gacan, jidh nooc madaw oo dhexe, meedaar, nin, nin ku meedaaraya HAA, nin ku meedaaraya HAA: jidh nooc madaw oo dhexe
🙆🏿‍♂	gacan, jidh madaw, meedaar, nin, nin ku meedaaraya HAA, nin ku meedaaraya HAA: jidh madaw
🙆‍♀	gacan } HAA, haweeney ku meedaaraysa MAYA, meedaar, naag, naag ku meedaaraysa HAA
🙆🏻‍♀	gacan } HAA, haweeney ku meedaaraysa MAYA, haweeney ku meedaaraysa MAYA: jidh fudud, jidh fudud, meedaar, naag, naag ku meedaaraysa HAA
🙆🏼‍♀	gacan } HAA, haweeney ku meedaaraysa MAYA, haweeney ku meedaaraysa MAYA: jidh fudud oo dhexe, jidh fudud oo dhexe, meedaar, naag, naag ku meedaaraysa HAA
🙆🏽‍♀	gacan } HAA, haweeney ku meedaaraysa MAYA, haweeney ku meedaaraysa MAYA: jidh nooc dhexe, jidh nooc dhexe, meedaar, naag, naag ku meedaaraysa HAA
🙆🏾‍♀	gacan } HAA, haweeney ku meedaaraysa MAYA, haweeney ku meedaaraysa MAYA: jidh nooc madaw oo dhexe, jidh nooc madaw oo dhexe, meedaar, naag, naag ku meedaaraysa HAA
🙆🏿‍♀	gacan } HAA, haweeney ku meedaaraysa MAYA, haweeney ku meedaaraysa MAYA: jidh madaw, jidh madaw, meedaar, naag, naag ku meedaaraysa HAA
💁	bixinaya, caawin, daacad ah, gacan, qof warbixin bixinaya, warbixin
💁🏻	bixinaya, caawin, daacad ah, gacan, jidh fudud, qof warbixin bixinaya, qof warbixin bixinaya: jidh fudud, warbixin
💁🏼	bixinaya, caawin, daacad ah, gacan, jidh fudud oo dhexe, qof warbixin bixinaya, qof warbixin bixinaya: jidh fudud oo dhexe, warbixin
💁🏽	bixinaya, caawin, daacad ah, gacan, jidh nooc dhexe, qof warbixin bixinaya, qof warbixin bixinaya: jidh nooc dhexe, warbixin
💁🏾	bixinaya, caawin, daacad ah, gacan, jidh nooc madaw oo dhexe, qof warbixin bixinaya, qof warbixin bixinaya: jidh nooc madaw oo dhexe, warbixin
💁🏿	bixinaya, caawin, daacad ah, gacan, jidh madaw, qof warbixin bixinaya, qof warbixin bixinaya: jidh madaw, warbixin
💁‍♂	daacad, nin, nin war bixinaya, nin warbixin bixinaya, warbixin bixin
💁🏻‍♂	daacad, jidh fudud, nin, nin war bixinaya, nin war bixinaya: jidh fudud, nin warbixin bixinaya, warbixin bixin
💁🏼‍♂	daacad, jidh fudud oo dhexe, nin, nin war bixinaya, nin war bixinaya: jidh fudud oo dhexe, nin warbixin bixinaya, warbixin bixin
💁🏽‍♂	daacad, jidh nooc dhexe, nin, nin war bixinaya, nin war bixinaya: jidh nooc dhexe, nin warbixin bixinaya, warbixin bixin
💁🏾‍♂	daacad, jidh nooc madaw oo dhexe, nin, nin war bixinaya, nin war bixinaya: jidh nooc madaw oo dhexe, nin warbixin bixinaya, warbixin bixin
💁🏿‍♂	daacad, jidh madaw, nin, nin war bixinaya, nin war bixinaya: jidh madaw, nin warbixin bixinaya, warbixin bixin
💁‍♀	daacad, naag, naag warbixin bixinaysa, warbixin bixin
💁🏻‍♀	daacad, jidh fudud, naag, naag warbixin bixinaysa, naag warbixin bixinaysa: jidh fudud, warbixin bixin
💁🏼‍♀	daacad, jidh fudud oo dhexe, naag, naag warbixin bixinaysa, naag warbixin bixinaysa: jidh fudud oo dhexe, warbixin bixin
💁🏽‍♀	daacad, jidh nooc dhexe, naag, naag warbixin bixinaysa, naag warbixin bixinaysa: jidh nooc dhexe, warbixin bixin
💁🏾‍♀	daacad, jidh nooc madaw oo dhexe, naag, naag warbixin bixinaysa, naag warbixin bixinaysa: jidh nooc madaw oo dhexe, warbixin bixin
💁🏿‍♀	daacad, jidh madaw, naag, naag warbixin bixinaysa, naag warbixin bixinaysa: jidh madaw, warbixin bixin
🙋	farxad, gacan, meedaar, qof gacan taagaya, qof gcan taagaya, taagay
🙋🏻	farxad, gacan, jidh fudud, meedaar, qof gacan taagaya, qof gacan taagaya: jidh fudud, qof gcan taagaya, taagay
🙋🏼	farxad, gacan, jidh fudud oo dhexe, meedaar, qof gacan taagaya, qof gacan taagaya: jidh fudud oo dhexe, qof gcan taagaya, taagay
🙋🏽	farxad, gacan, jidh nooc dhexe, meedaar, qof gacan taagaya, qof gacan taagaya: jidh nooc dhexe, qof gcan taagaya, taagay
🙋🏾	farxad, gacan, jidh nooc madaw oo dhexe, meedaar, qof gacan taagaya, qof gacan taagaya: jidh nooc madaw oo dhexe, qof gcan taagaya, taagay
🙋🏿	farxad, gacan, jidh madaw, meedaar, qof gacan taagaya, qof gacan taagaya: jidh madaw, qof gcan taagaya, taagay
🙋‍♂	gacan taagid, meedaar, nin, nin gacan taagaya, nin gcan taagaya
🙋🏻‍♂	gacan taagid, jidh fudud, meedaar, nin, nin gacan taagaya, nin gcan taagaya, nin gcan taagaya: jidh fudud
🙋🏼‍♂	gacan taagid, jidh fudud oo dhexe, meedaar, nin, nin gacan taagaya, nin gcan taagaya, nin gcan taagaya: jidh fudud oo dhexe
🙋🏽‍♂	gacan taagid, jidh nooc dhexe, meedaar, nin, nin gacan taagaya, nin gcan taagaya, nin gcan taagaya: jidh nooc dhexe
🙋🏾‍♂	gacan taagid, jidh nooc madaw oo dhexe, meedaar, nin, nin gacan taagaya, nin gcan taagaya, nin gcan taagaya: jidh nooc madaw oo dhexe
🙋🏿‍♂	gacan taagid, jidh madaw, meedaar, nin, nin gacan taagaya, nin gcan taagaya, nin gcan taagaya: jidh madaw
🙋‍♀	gacan taagid, meedaar, naag, naag gacan taagaysa
🙋🏻‍♀	gacan taagid, jidh fudud, meedaar, naag, naag gacan taagaysa, naag gacan taagaysa: jidh fudud
🙋🏼‍♀	gacan taagid, jidh fudud oo dhexe, meedaar, naag, naag gacan taagaysa, naag gacan taagaysa: jidh fudud oo dhexe
🙋🏽‍♀	gacan taagid, jidh nooc dhexe, meedaar, naag, naag gacan taagaysa, naag gacan taagaysa: jidh nooc dhexe
🙋🏾‍♀	gacan taagid, jidh nooc madaw oo dhexe, meedaar, naag, naag gacan taagaysa, naag gacan taagaysa: jidh nooc madaw oo dhexe
🙋🏿‍♀	gacan taagid, jidh madaw, meedaar, naag, naag gacan taagaysa, naag gacan taagaysa: jidh madaw
🧏	awood u yeelid, dhag, dhagoole, maqal, qof dhagoole ah
🧏🏻	awood u yeelid, dhag, dhagoole, jidh fudud, maqal, qof dhagoole ah, qof dhagoole ah: jidh fudud
🧏🏼	awood u yeelid, dhag, dhagoole, jidh fudud oo dhexe, maqal, qof dhagoole ah, qof dhagoole ah: jidh fudud oo dhexe
🧏🏽	awood u yeelid, dhag, dhagoole, jidh nooc dhexe, maqal, qof dhagoole ah, qof dhagoole ah: jidh nooc dhexe
🧏🏾	awood u yeelid, dhag, dhagoole, jidh nooc madaw oo dhexe, maqal, qof dhagoole ah, qof dhagoole ah: jidh nooc madaw oo dhexe
🧏🏿	awood u yeelid, dhag, dhagoole, jidh madaw, maqal, qof dhagoole ah, qof dhagoole ah: jidh madaw
🧏‍♂	dhagoole, nin, nin dhagoole ah
🧏🏻‍♂	dhagoole, jidh fudud, nin, nin dhagoole ah, nin dhagoole ah: jidh fudud
🧏🏼‍♂	dhagoole, jidh fudud oo dhexe, nin, nin dhagoole ah, nin dhagoole ah: jidh fudud oo dhexe
🧏🏽‍♂	dhagoole, jidh nooc dhexe, nin, nin dhagoole ah, nin dhagoole ah: jidh nooc dhexe
🧏🏾‍♂	dhagoole, jidh nooc madaw oo dhexe, nin, nin dhagoole ah, nin dhagoole ah: jidh nooc madaw oo dhexe
🧏🏿‍♂	dhagoole, jidh madaw, nin, nin dhagoole ah, nin dhagoole ah: jidh madaw
🧏‍♀	dhagoole, naag, naag dhagoole ah
🧏🏻‍♀	dhagoole, jidh fudud, naag, naag dhagoole ah, naag dhagoole ah: jidh fudud
🧏🏼‍♀	dhagoole, jidh fudud oo dhexe, naag, naag dhagoole ah, naag dhagoole ah: jidh fudud oo dhexe
🧏🏽‍♀	dhagoole, jidh nooc dhexe, naag, naag dhagoole ah, naag dhagoole ah: jidh nooc dhexe
🧏🏾‍♀	dhagoole, jidh nooc madaw oo dhexe, naag, naag dhagoole ah, naag dhagoole ah: jidh nooc madaw oo dhexe
🧏🏿‍♀	dhagoole, jidh madaw, naag, naag dhagoole ah, naag dhagoole ah: jidh madaw
🙇	ka xummaansho, meedaar, qof fooraraya, raaligalin, waji foorarin
🙇🏻	jidh fudud, ka xummaansho, meedaar, qof fooraraya, qof fooraraya: jidh fudud, raaligalin, waji foorarin
🙇🏼	jidh fudud oo dhexe, ka xummaansho, meedaar, qof fooraraya, qof fooraraya: jidh fudud oo dhexe, raaligalin, waji foorarin
🙇🏽	jidh nooc dhexe, ka xummaansho, meedaar, qof fooraraya, qof fooraraya: jidh nooc dhexe, raaligalin, waji foorarin
🙇🏾	jidh nooc madaw oo dhexe, ka xummaansho, meedaar, qof fooraraya, qof fooraraya: jidh nooc madaw oo dhexe, raaligalin, waji foorarin
🙇🏿	jidh madaw, ka xummaansho, meedaar, qof fooraraya, qof fooraraya: jidh madaw, raaligalin, waji foorarin
🙇‍♂	ka xummaansho, meedaar, nin, nin fooraraya, raaligalin, roonaan, waji foorarin
🙇🏻‍♂	jidh fudud, ka xummaansho, meedaar, nin, nin fooraraya, nin fooraraya: jidh fudud, raaligalin, roonaan, waji foorarin
🙇🏼‍♂	jidh fudud oo dhexe, ka xummaansho, meedaar, nin, nin fooraraya, nin fooraraya: jidh fudud oo dhexe, raaligalin, roonaan, waji foorarin
🙇🏽‍♂	jidh nooc dhexe, ka xummaansho, meedaar, nin, nin fooraraya, nin fooraraya: jidh nooc dhexe, raaligalin, roonaan, waji foorarin
🙇🏾‍♂	jidh nooc madaw oo dhexe, ka xummaansho, meedaar, nin, nin fooraraya, nin fooraraya: jidh nooc madaw oo dhexe, raaligalin, roonaan, waji foorarin
🙇🏿‍♂	jidh madaw, ka xummaansho, meedaar, nin, nin fooraraya, nin fooraraya: jidh madaw, raaligalin, roonaan, waji foorarin
🙇‍♀	ka xummaansho, madax foorarin, meedaar, naag, naag fooraraysa, raaligalin, roonaan
🙇🏻‍♀	jidh fudud, ka xummaansho, madax foorarin, meedaar, naag, naag fooraraysa, naag fooraraysa: jidh fudud, raaligalin, roonaan
🙇🏼‍♀	jidh fudud oo dhexe, ka xummaansho, madax foorarin, meedaar, naag, naag fooraraysa, naag fooraraysa: jidh fudud oo dhexe, raaligalin, roonaan
🙇🏽‍♀	jidh nooc dhexe, ka xummaansho, madax foorarin, meedaar, naag, naag fooraraysa, naag fooraraysa: jidh nooc dhexe, raaligalin, roonaan
🙇🏾‍♀	jidh nooc madaw oo dhexe, ka xummaansho, madax foorarin, meedaar, naag, naag fooraraysa, naag fooraraysa: jidh nooc madaw oo dhexe, raaligalin, roonaan
🙇🏿‍♀	jidh madaw, ka xummaansho, madax foorarin, meedaar, naag, naag fooraraysa, naag fooraraysa: jidh madaw, raaligalin, roonaan
🤦	aammin darro, calaacal, caro, qof calaacal waji saaranaya, qof waji calaacal saaranaya, waji
🤦🏻	aammin darro, calaacal, caro, jidh fudud, qof calaacal waji saaranaya, qof calaacal waji saaranaya: jidh fudud, qof waji calaacal saaranaya, waji
🤦🏼	aammin darro, calaacal, caro, jidh fudud oo dhexe, qof calaacal waji saaranaya, qof calaacal waji saaranaya: jidh fudud oo dhexe, qof waji calaacal saaranaya, waji
🤦🏽	aammin darro, calaacal, caro, jidh nooc dhexe, qof calaacal waji saaranaya, qof calaacal waji saaranaya: jidh nooc dhexe, qof waji calaacal saaranaya, waji
🤦🏾	aammin darro, calaacal, caro, jidh nooc madaw oo dhexe, qof calaacal waji saaranaya, qof calaacal waji saaranaya: jidh nooc madaw oo dhexe, qof waji calaacal saaranaya, waji
🤦🏿	aammin darro, calaacal, caro, jidh madaw, qof calaacal waji saaranaya, qof calaacal waji saaranaya: jidh madaw, qof waji calaacal saaranaya, waji
🤦‍♂	aammin darro, calaacal waji saaris, caro, nin calaacal waji saaranaya
🤦🏻‍♂	aammin darro, calaacal waji saaris, caro, jidh fudud, nin calaacal waji saaranaya, nin calaacal waji saaranaya: jidh fudud
🤦🏼‍♂	aammin darro, calaacal waji saaris, caro, jidh fudud oo dhexe, nin calaacal waji saaranaya, nin calaacal waji saaranaya: jidh fudud oo dhexe
🤦🏽‍♂	aammin darro, calaacal waji saaris, caro, jidh nooc dhexe, nin calaacal waji saaranaya, nin calaacal waji saaranaya: jidh nooc dhexe
🤦🏾‍♂	aammin darro, calaacal waji saaris, caro, jidh nooc madaw oo dhexe, nin calaacal waji saaranaya, nin calaacal waji saaranaya: jidh nooc madaw oo dhexe
🤦🏿‍♂	aammin darro, calaacal waji saaris, caro, jidh madaw, nin calaacal waji saaranaya, nin calaacal waji saaranaya: jidh madaw
🤦‍♀	aammin darro, calaal waji saar, caro, naag, naag calaacal waji saaranaysa
🤦🏻‍♀	aammin darro, calaal waji saar, caro, jidh fudud, naag, naag calaacal waji saaranaysa, naag calaacal waji saaranaysa: jidh fudud
🤦🏼‍♀	aammin darro, calaal waji saar, caro, jidh fudud oo dhexe, naag, naag calaacal waji saaranaysa, naag calaacal waji saaranaysa: jidh fudud oo dhexe
🤦🏽‍♀	aammin darro, calaal waji saar, caro, jidh nooc dhexe, naag, naag calaacal waji saaranaysa, naag calaacal waji saaranaysa: jidh nooc dhexe
🤦🏾‍♀	aammin darro, calaal waji saar, caro, jidh nooc madaw oo dhexe, naag, naag calaacal waji saaranaysa, naag calaacal waji saaranaysa: jidh nooc madaw oo dhexe
🤦🏿‍♀	aammin darro, calaal waji saar, caro, jidh madaw, naag, naag calaacal waji saaranaysa, naag calaacal waji saaranaysa: jidh madaw
🤷	aan danaynayn, garba-ruxida, jaahilnimo, qof garba-ruxaya, shaki
🤷🏻	aan danaynayn, garba-ruxida, jaahilnimo, jidh fudud, qof garba-ruxaya, qof garba-ruxaya: jidh fudud, shaki
🤷🏼	aan danaynayn, garba-ruxida, jaahilnimo, jidh fudud oo dhexe, qof garba-ruxaya, qof garba-ruxaya: jidh fudud oo dhexe, shaki
🤷🏽	aan danaynayn, garba-ruxida, jaahilnimo, jidh nooc dhexe, qof garba-ruxaya, qof garba-ruxaya: jidh nooc dhexe, shaki
🤷🏾	aan danaynayn, garba-ruxida, jaahilnimo, jidh nooc madaw oo dhexe, qof garba-ruxaya, qof garba-ruxaya: jidh nooc madaw oo dhexe, shaki
🤷🏿	aan danaynayn, garba-ruxida, jaahilnimo, jidh madaw, qof garba-ruxaya, qof garba-ruxaya: jidh madaw, shaki
🤷‍♂	aan danaynayn, garba-ruxid, jaahilnimo, nin, nin garba-ruxaya, shaki
🤷🏻‍♂	aan danaynayn, garba-ruxid, jaahilnimo, jidh fudud, nin, nin garba-ruxaya, nin garba-ruxaya: jidh fudud, shaki
🤷🏼‍♂	aan danaynayn, garba-ruxid, jaahilnimo, jidh fudud oo dhexe, nin, nin garba-ruxaya, nin garba-ruxaya: jidh fudud oo dhexe, shaki
🤷🏽‍♂	aan danaynayn, garba-ruxid, jaahilnimo, jidh nooc dhexe, nin, nin garba-ruxaya, nin garba-ruxaya: jidh nooc dhexe, shaki
🤷🏾‍♂	aan danaynayn, garba-ruxid, jaahilnimo, jidh nooc madaw oo dhexe, nin, nin garba-ruxaya, nin garba-ruxaya: jidh nooc madaw oo dhexe, shaki
🤷🏿‍♂	aan danaynayn, garba-ruxid, jaahilnimo, jidh madaw, nin, nin garba-ruxaya, nin garba-ruxaya: jidh madaw, shaki
🤷‍♀	aan danaynayn, garba-ruxid, jaahilnimo, naag, naag garba-ruxaysa, shaki
🤷🏻‍♀	aan danaynayn, garba-ruxid, jaahilnimo, jidh fudud, naag, naag garba-ruxaysa, naag garba-ruxaysa: jidh fudud, shaki
🤷🏼‍♀	aan danaynayn, garba-ruxid, jaahilnimo, jidh fudud oo dhexe, naag, naag garba-ruxaysa, naag garba-ruxaysa: jidh fudud oo dhexe, shaki
🤷🏽‍♀	aan danaynayn, garba-ruxid, jaahilnimo, jidh nooc dhexe, naag, naag garba-ruxaysa, naag garba-ruxaysa: jidh nooc dhexe, shaki
🤷🏾‍♀	aan danaynayn, garba-ruxid, jaahilnimo, jidh nooc madaw oo dhexe, naag, naag garba-ruxaysa, naag garba-ruxaysa: jidh nooc madaw oo dhexe, shaki
🤷🏿‍♀	aan danaynayn, garba-ruxid, jaahilnimo, jidh madaw, naag, naag garba-ruxaysa, naag garba-ruxaysa: jidh madaw, shaki
👨‍⚕	daryeel caafimaad, daweeye, dhakhtar, kalkaaliye, nin, nin shaqaale caafimaad ah
👨🏻‍⚕	daryeel caafimaad, daweeye, dhakhtar, jidh fudud, kalkaaliye, nin, nin shaqaale caafimaad ah, nin shaqaale caafimaad ah: jidh fudud
👨🏼‍⚕	daryeel caafimaad, daweeye, dhakhtar, jidh fudud oo dhexe, kalkaaliye, nin, nin shaqaale caafimaad ah, nin shaqaale caafimaad ah: jidh fudud oo dhexe
👨🏽‍⚕	daryeel caafimaad, daweeye, dhakhtar, jidh nooc dhexe, kalkaaliye, nin, nin shaqaale caafimaad ah, nin shaqaale caafimaad ah: jidh nooc dhexe
👨🏾‍⚕	daryeel caafimaad, daweeye, dhakhtar, jidh nooc madaw oo dhexe, kalkaaliye, nin, nin shaqaale caafimaad ah, nin shaqaale caafimaad ah: jidh nooc madaw oo dhexe
👨🏿‍⚕	daryeel caafimaad, daweeye, dhakhtar, jidh madaw, kalkaaliye, nin, nin shaqaale caafimaad ah, nin shaqaale caafimaad ah: jidh madaw
👩‍⚕	daryeel caafimaad, daweeye, dhakhtar, kalkaaliso, naag, naag shaqaale caafimaad ah
👩🏻‍⚕	daryeel caafimaad, daweeye, dhakhtar, jidh fudud, kalkaaliso, naag, naag shaqaale caafimaad ah, naag shaqaale caafimaad ah: jidh fudud
👩🏼‍⚕	daryeel caafimaad, daweeye, dhakhtar, jidh fudud oo dhexe, kalkaaliso, naag, naag shaqaale caafimaad ah, naag shaqaale caafimaad ah: jidh fudud oo dhexe
👩🏽‍⚕	daryeel caafimaad, daweeye, dhakhtar, jidh nooc dhexe, kalkaaliso, naag, naag shaqaale caafimaad ah, naag shaqaale caafimaad ah: jidh nooc dhexe
👩🏾‍⚕	daryeel caafimaad, daweeye, dhakhtar, jidh nooc madaw oo dhexe, kalkaaliso, naag, naag shaqaale caafimaad ah, naag shaqaale caafimaad ah: jidh nooc madaw oo dhexe
👩🏿‍⚕	daryeel caafimaad, daweeye, dhakhtar, jidh madaw, kalkaaliso, naag, naag shaqaale caafimaad ah, naag shaqaale caafimaad ah: jidh madaw
👨‍🎓	arday, nin, nin arday ah, qallinjabin
👨🏻‍🎓	arday, jidh fudud, nin, nin arday ah, nin arday ah: jidh fudud, qallinjabin
👨🏼‍🎓	arday, jidh fudud oo dhexe, nin, nin arday ah, nin arday ah: jidh fudud oo dhexe, qallinjabin
👨🏽‍🎓	arday, jidh nooc dhexe, nin, nin arday ah, nin arday ah: jidh nooc dhexe, qallinjabin
👨🏾‍🎓	arday, jidh nooc madaw oo dhexe, nin, nin arday ah, nin arday ah: jidh nooc madaw oo dhexe, qallinjabin
👨🏿‍🎓	arday, jidh madaw, nin, nin arday ah, nin arday ah: jidh madaw, qallinjabin
👩‍🎓	arday, naag, naag ardayad ah, qallinjabin
👩🏻‍🎓	arday, jidh fudud, naag, naag ardayad ah, naag ardayad ah: jidh fudud, qallinjabin
👩🏼‍🎓	arday, jidh fudud oo dhexe, naag, naag ardayad ah, naag ardayad ah: jidh fudud oo dhexe, qallinjabin
👩🏽‍🎓	arday, jidh nooc dhexe, naag, naag ardayad ah, naag ardayad ah: jidh nooc dhexe, qallinjabin
👩🏾‍🎓	arday, jidh nooc madaw oo dhexe, naag, naag ardayad ah, naag ardayad ah: jidh nooc madaw oo dhexe, qallinjabin
👩🏿‍🎓	arday, jidh madaw, naag, naag ardayad ah, naag ardayad ah: jidh madaw, qallinjabin
👨‍🏫	barafasoor, hagge, macallin, nin, nin macallin ah
👨🏻‍🏫	barafasoor, hagge, jidh fudud, macallin, nin, nin macallin ah, nin macallin ah: jidh fudud
👨🏼‍🏫	barafasoor, hagge, jidh fudud oo dhexe, macallin, nin, nin macallin ah, nin macallin ah: jidh fudud oo dhexe
