😀	muka, muka tersengih, sengih
🥠	biskut nasib, tilikan
🥡	kotak bungkus, tong tiram
🦀	cancer, ketam, zodiak
🦞	bisk, makanan laut, sepit, udang karang
🦐	kecil, makanan, udang
🦑	makanan, moluska, sotong
🦪	menyelam, mutiara, tiram
🍦	ais, ais krim lembut, krim, lembut, manis, pencuci mulut
🍧	air batu campur, ais, kisar, manis, pencuci mulut
🍨	ais, ais krim, krim, manis, pencuci mulut
🍩	donat, manis, pencuci mulut
🍪	biskut, manis, pencuci mulut
🎂	hari jadi, kek, kek hari jadi, manisan, pastri, pemanis mulut, sambutan
🍰	hirisan, kek, kek rapuh, manisan, pastri, pemanis mulut, sepotong kek
🧁	bakeri, kek cawan, manis
🥧	inti, pai, pastri
🍫	bar, coklat, manis, pencuci mulut, sekeping coklat
🍬	gula-gula, manis, pencuci mulut
🍭	gula-gula, lolipop, manis, pencuci mulut
🍮	kastard, manis, pencuci mulut, puding
🍯	madu, manis, periuk, periuk madu
🍼	bayi, botol, botol susu, minum, susu
🥛	gelas, minuman, segelas susu, susu
☕️	berasap, kopi, minum, minuman, minuman panas, panas, teh
🍵	cawan, cawan teh tanpa tangkai, minum, minuman, teh
🍶	bar, botol, cawan, minum, minuman, sake
🍾	bar, botol, botol dengan penutup gabus terbuka, botol gabus terbuka, gabus, minum, pop
🍷	bar, gelas, gelas wain, minum, minuman, wain
🍸️	bar, gelas, gelas koktel, koktel, minum
🍹	bar, minum, minuman tropika, tropika
🍺	bar, bir, kole, kole bir, minum
🍻	bar, berdenting, bir, kole, kole bir berdenting, minum
🥂	gelas, melaga gelas, meraikan, minuman
🥃	arak, gelas, gelas pendek, pendek
🥤	cawan dan straw, jus, soda
🧃	jus air kotak, minuman air kotak
🧉	mate, minuman
🧊	aisberg, kiub ais, sejuk
🥢	hashi, penyepit
🍽️	garpu, garpu dan pisau dengan pinggan, memasak, pinggan, pisau
🍴	garpu, garpu dan pisau, memasak, pisau
🥄	kutleri, sudu
🔪	alat, hocho, memasak, pisau, pisau dapur, senjata
🏺	amfora, aquarius, kendi, memasak, minum, zodiak
🌍	afrika, bumi, dunia, eropah, glob, peta glob Eropah-Afrika
🌎️	amerika, bumi, dunia, glob, peta glob Amerika
🌏	asia, australia, bumi, dunia, glob, peta glob Asia-Australia
🌐	bumi, dunia, glob, glob dengan garisan meridian, meridian
🗺️	dunia, peta, peta dunia
🗾	jepun, peta, peta Jepun
🧭	bermagnet, kompas, mengorientasi, navigasi
🏔️	gunung, gunung dengan puncak bersalji, salji, sejuk
⛰️	gunung
🌋	cuaca, gunung, gunung berapi, letusan
🗻	fuji, gunung, gunung fuji
🏕️	berkhemah
🏖️	pantai, pantai dengan payung, payung
🏜️	padang pasir
🏝️	padang pasir, pulau, pulau padang pasir
🏞️	taman, taman negara
🏟️	stadium
🏛️	bangunan, bangunan klasik, klasik
🏗️	bangunan, pembinaan, pembinaan bangunan
🧱	bata, batu-bata, dinding, mortar, tanah liat
🏘️	bangunan, bangunan perumahan, rumah
🏚️	bangunan, rumah, rumah terbiar, terbiar
🏠️	bangunan, kediaman, rumah
🏡	bangunan, kediaman, rumah, rumah dengan taman, taman
🏢	bangunan, bangunan pejabat
🏣	Pejabat pos Jepun, bangunan, jepun, pos
🏤	bangunan, eropah, pejabat pos, pos
🏥	bangunan, doktor, hospital, perubatan
🏦	bangunan, bank
🏨	bangunan, hotel
🏩	bangunan, cinta, hotel, hotel cinta
🏪	bangunan, kedai, kedai serbaneka, serbaneka
🏫	bangunan, sekolah
🏬	bangunan, gedung, gedung serbaneka, serbaneka
🏭️	bangunan, kilang
🏯	bangunan, istana, istana Jepun, jepun
🏰	bangunan, eropah, istana
💒	gereja, percintaan, perkahwinan
🗼	menara, menara Tokyo, tokyo
🗽	Patung Liberty, kebebasan, patung
⛪️	agama, bangunan, gereja, kristian, salib
🕌	agama, islam, masjid, orang islam
🛕	hindu, kuil, kuil hindu
🕍	agama, kuil, orang yahudi, saumaah, yahudi
⛩️	agama, kuil, kuil shinto, shinto
🕋	agama, islam, kaabah, orang islam
⛲️	air pancut
⛺️	khemah, perkhemahan
🌁	berkabus, cuaca, kabus
🌃	bintang, cuaca, malam, malam berbintang
🏙️	bandar, bangunan, panorama kota
🌄	gunung, matahari terbit, matahari terbit di banjaran pergunungan, pagi
🌅	cuaca, matahari, matahari terbit, pagi
🌆	bandar, bangunan, cuaca, landskap, matahari, matahari terbenam, panorama kota waktu senja, petang, senja
🌇	bangunan, cuaca, matahari, matahari terbenam, senja
🌉	cuaca, jambatan, jambatan pada waktu malam, malam
♨️	berwap, mata air, mata air panas, panas
🎠	karusel, kuda, kuda karusel
🎡	ferris, roda, roda ferris, taman hiburan
🎢	coaster, roller, roller coaster, taman hiburan
💈	gunting rambut, jalur, jalur kedai gunting rambut, tukang gunting
🎪	khemah, khemah sarkas, sarkas
🚂	enjin, kenderaan, kereta api, landasan kereta api, lokomotif, wap
🚃	bas letrik, elektrik, gerabak kereta api, kenderaan, kereta, kereta api, landasan kereta api, trem
🚄	kelajuan, kenderaan, kereta api, kereta api laju, shinkansen
🚅	kelajuan, kenderaan, kereta api, kereta api laju dengan muncung peluru, peluru, shinkansen
🚆	kenderaan, kereta api, rel kereta api
🚇️	kenderaan, kereta api bawah tanah, kereta bawah tanah
🚈	kenderaan, rel kereta api, rel ringan
🚉	kenderaan, kereta api, rel kereta api, stesen
🚊	bas letrik, kenderaan, trem
🚝	kenderaan, monorel
🚞	gunung, kenderaan, kereta, kereta api gunung, rel kereta api
🚋	bas letrik, gerabak trem, kenderaan, kereta, trem
🚌	bas, kenderaan
🚍️	bas, bas dari arah depan, dari arah depan, kenderaan
🚎	bas, bas troli, kenderaan, trem, troli
🚐	bas, bas mini, kenderaan
🚑️	ambulans, kenderaan
🚒	api, enjin, kenderaan, kereta bomba, trak
🚓	kenderaan, kereta, kereta polis, polis, ronda
🚔️	dari arah depan, kereta, kereta polis dari arah depan, polis
🚕	kenderaan, teksi
🚖	dari arah depan, teksi, teksi dari arah depan
🚗	kenderaan, kereta
🚘️	automobil, dari arah depan, kereta, kereta dari arah depan
🚙	kenderaan, kenderaan rekreasi, rekreasi, rv
🚚	kenderaan, penghantaran, trak, trak penghantaran
🚛	kenderaan, lori, lori bersendi, semi, trak
🚜	kenderaan, traktor
🏎️	kereta, kereta lumba, lumba
🏍️	lumba, motosikal
🛵	motosikal, skuter, skuter bermotor
🦽	kebolehcapaian, kerusi roda manual
🦼	kebolehcapaian, kerosi roda bermotor
🛺	lanca auto, tuk tuk
🚲️	basikal, kenderaan
🛴	skuter, skuter tolak, tolak
🛹	papan, papan luncur
🚏	bas, berhenti, perhentian bas
🛣️	jalan raya, lebuh raya
🛤️	jalan kereta api, kereta api, rel kereta api
🛢️	minyak, tong, tong minyak
⛽️	bahan api, gas, pam, pam bahan api, pam minyak, stesen
🚨	berputar, kenderaan, kereta, lampu, lampu kereta polis, polis, suar
🚥	isyarat, lalu lintas, lampu, lampu isyarat melintang
🚦	isyarat, lalu lintas, lampu, lampu isyarat menegak
🛑	berhenti, oktagon, tanda, tanda berhenti
🚧	halangan, pembinaan
⚓️	alat, kapal, sauh
⛵️	bot, kapal layar, kenderaan, laut, perahu layar, resort
🛶	kanu, perahu
🚤	bot, bot laju, kenderaan
🛳️	kapal, kapal penumpang, penumpang
⛴️	bot, feri
🛥️	bot, motobot
🚢	kapal, kenderaan
✈️	kapal terbang, kenderaan
🛩️	kapal terbang, kapal terbang kecil, kenderaan
🛫	berlepas, daftar masuk, kapal terbang, kapal terbang berlepas
🛬	kapal terbang, kapal terbang mendarat, ketibaan, mendarat, tiba
🪂	geluncur angin, paracut, parasail, terjun udara
💺	kerusi, tempat duduk
🚁	helikopter, kenderaan
🚟	kereta api landasan tergantung, rel kereta api, tergantung
🚠	gondola, gunung, jalan kabel gunung, kabel
🚡	gondola, jalan tali, jalan trem, jalan trem udara, kabel, kenderaan, kereta, udara
🛰️	angkasa lepas, satelit
🚀	angkasa lepas, kenderaan, roket
🛸	UFO, piring terbang
🛎️	hotel, loceng, loceng porter, tukang angkut
🧳	bagasi, kembara, menyusun
⌛️	jam pasir, pasir, pemasa
⏳️	jam pasir, jam pasir dengan pasir mengalir, pasir, pemasa
⌚️	jam, jam tangan
⏰	jam, jam loceng, penggera
⏱️	jam, jam randik
⏲️	jam, jam pemasa, pemasa
🕰️	jam, jam para pendiang
🕛️	00, 12, 12:00, dua belas, jam, pukul, pukul dua belas
🕧	12, 12:30, 30, dua belas, dua belas setengah, jam, tiga puluh
🕐️	00, 1, 1:00, jam, pukul, pukul satu, satu
🕜	1, 1:30, 30, jam, satu, satu setengah, tiga puluh
🕑️	00, 2, 2:00, dua, jam, pukul, pukul dua
🕝	2, 2:30, 30, dua, dua setengah, jam, tiga puluh
🕒️	00, 3, 3:00, jam, pukul, pukul 3, tiga
🕞	3, 30, 3:30, jam, tiga, tiga puluh, tiga setengah
🕓️	00, 4, 4:00, empat, jam, pukul, pukul empat
🕟	30, 4, 4:30, empat, empat setengah, jam, tiga puluh
🕔️	00, 5, 5:00, jam, lima, pukul, pukul lima
🕠	30, 5, 5:30, jam, lima, lima setengah, tiga puluh
🕕️	00, 6, 6:00, enam, jam, pukul, pukul enam
🕡	30, 6, 6:30, enam, enam setengah, jam, tiga puluh
🕖️	00, 7, 7:00, jam, pukul, pukul tujuh, tujuh
🕢	30, 7, 7:30, jam, tiga puluh, tujuh, tujuh setengah
🕗️	00, 8:00, jam, lapan, pukul, pukul lapan
🕣	30, 8, 8:30, jam, lapan, lapan setengah, tiga puluh
🕘️	00, 9, 9:00, jam, pukul, pukul sembilan, sembilan
🕤	30, 9, 9:30, jam, sembilan, sembilan setengah, tiga puluh
🕙️	00, 10, 10:00, jam, pukul, pukul sepuluh, sepuluh
🕥	10, 10:30, 30, jam, sepuluh, sepuluh setengah, tiga puluh
🕚️	00, 11, 11:00, jam, pukul, pukul sebelas, sebelas
🕦	11, 11:30, 30, jam, sebelas, sebelas setengah, tiga puluh
🌑	angkasa lepas, bulan, bulan baharu, cuaca, gelap
🌒	angkasa lepas, bulan, bulan sabit, bulan sabit membesar, cuaca, membesar
🌓	angkasa lepas, bulan, bulan suku pertama, cuaca, suku
🌔	angkasa lepas, bulan, bulan hampir purnama mengambang, cuaca, hampir purnama, membesar
🌕️	angkasa lepas, bulan, bulan purnama, cuaca, penuh
🌖	angkasa lepas, bulan, bulan hampir purnama memalap, cuaca, hampir purnama, memalap
🌗	angkasa lepas, bulan, bulan suku terakhir, cuaca, suku
🌘	angkasa lepas, bulan, bulan sabit, bulan sabit memalap, cuaca, memalap
🌙	angkasa lepas, bulan, bulan sabit, cuaca
🌚	angkasa lepas, bulan, cuaca, muka, muka bulan baharu
🌛	angkasa lepas, bulan, cuaca, muka, muka bulan suku pertama, suku
🌜️	angkasa lepas, bulan, cuaca, muka, muka bulan suku terakhir, suku
🌡️	cuaca, termometer
☀️	angkasa lepas, cahaya, cerah, cuaca, matahari, terang
🌝	angkasa lepas, bulan, cuaca, muka, muka bulan purnama, penuh, terang
🌞	angkasa lepas, cuaca, matahari, matahari dengan muka, muka, terang
🪐	planet bergelang, suram, zuhal
⭐️	bintang, bintang sederhana putih
🌟	bercahaya, berkilau, berkilauan, bersinar, bintang, bintang bersinar
🌠	angkasa lepas, bintang, jatuh, tahi bintang
🌌	angkasa lepas, bima sakti, cuaca
☁️	awan, cuaca
⛅️	awan, cuaca, matahari, matahari di sebalik awan
⛈️	awan, awan dengan kilat dan hujan, cuaca, guruh, hujan
🌤️	awan, cuaca, matahari, matahari di sebalik awan kecil
🌥️	awan, cuaca, matahari, matahari di sebalik awan besar
🌦️	awan, cuaca, hujan, matahari, matahari di sebalik awan hujan
🌧️	awan, awan dengan hujan, cuaca, hujan
🌨️	awan, awan dengan salji, cuaca, salji, sejuk
🌩️	awan, awan dengan kilat, cuaca, kilat
🌪️	awan, cuaca, puting beliung
🌫️	awan, cuaca, kabus
🌬️	angin, awan, cuaca, meniup, muka, muka angin
🌀	cuaca, pening, puting beliung, taufan
🌈	cuaca, hujan, pelangi
🌂	cuaca, hujan, pakaian, payung, payung tertutup
☂️	cuaca, hujan, pakaian, payung
☔️	cuaca, hujan, pakaian, payung, payung dengan titisan hujan, rintik
⛱️	cuaca, hujan, matahari, payung, payung di atas tanah
⚡️	bahaya, elektrik, kilat, kuasa elektrik, voltan, voltan tinggi, zap
❄️	cuaca, emping salji, salji, sejuk
☃️	cuaca, orang-orang salji, salji, sejuk
⛄️	cuaca, orang-orang salji, orang-orang salji tanpa salji, salji, sejuk
☄️	angkasa lepas, komet
🔥	alat, api
💧	cuaca, komik, peluh, sejuk, titisan, titisan air
🌊	air, cuaca, gelombang, lautan, ombak laut
🎃	halloween, jack, perayaan, tanglung, tanglung labu
🎄	krismas, perayaan, pokok, pokok krismas
🎆	bunga api, perayaan
🎇	berkilau, bunga api, mercun, perayaan
🧨	bahan letupan, bunga api, dinamit, petasan
✨	berkilau, berkilauan, bintang
🎈	belon, perayaan
🎉	parti, pencetus bunyi, pencetus bunyi parti, perayaan, tada
🎊	bebola konfeti, bola, konfeti, perayaan
🎋	jepun, perayaan, pokok, pokok tanabata, sepanduk
🎍	Jepun, buluh, hiasan pain, pain, perayaan
🎎	anak patung, anak patung Jepun, jepun, perayaan, pesta
🎏	kap, panji-panji, panji-panji kap, perayaan
🎐	angin, loceng, peranggu, peranggu loceng angin, perayaan
🎑	bulan, perayaan, upacara, upacara bulan
🧧	angpau, hadiah, paket merah, tuah, wang
🎀	perayaan, reben
🎁	berbalut, bungkusan hadiah, hadiah, kotak, perayaan
🎗️	perayaan, peringatan, reben, reben peringatan
🎟️	masuk, tiket, tiket masuk
🎫	masuk, tiket
🎖️	perayaan, pingat, pingat tentera, tentera
🏆️	hadiah, piala
🏅	pingat, pingat sukan
🥇	emas, medal, pertama, pingat tempat pertama
🥈	kedua, medal, perak, pingat tempat kedua
🥉	gangsa, ketiga, medal, pingat tempat ketiga
⚽️	bola, bola sepak
⚾️	besbol, bola
🥎	bola, bola lisut, paras rusuk, sarung tangan
🏀	bola, bola keranjang, jaring
🏐	bola, bola tampar, permainan
🏈	amerika, bola, bola sepak, bola sepak amerika
🏉	bola, bola sepak, bola sepak ragbi, ragbi
🎾	bola, raket, tenis
🥏	cakera terbang, muktamad
🎳	bola, boling, permainan
🏏	bola, kriket, pemukul, permainan
🏑	bola, hoki, hoki padang, kayu, padang, permainan
🏒	ais, hoki, hoki ais, kayu, pak, permainan
🥍	bola, gol, kayu, lacrosse
🏓	bola, padel, pemukul, permainan, ping pong
🏸	badminton, birdie, bulu tangkis, permainan, raket
🥊	sarung tangan, sarung tangan tinju, sukan, tinju
🥋	judo, karate, pakaian seni bela diri, seni bela diri, taekwondo
🥅	gol, jaring, jaring gol, sukan
⛳️	bendera dalam lubang, golf, lubang
⛸️	ais, luncur, sepatu luncur ais
🎣	batang kail, ikan, joran mengail, kail
🤿	menyelam, skuba, snorkeling, topeng menyelam
🎽	baju, baju larian, berlari, selemang
🎿	salji, ski
🛷	geluncur, kereta luncur salji
🥌	batu, batu curling, permainan
🎯	baling damak, balingan tepat, kena, kena tepat, permainan, pusat sasaran, sasaran
🪀	mainan, naik turun, yo-yo
🪁	layang-layang, melayang, terbang
🎱	8, biliard, bola, lapan, permainan
🔮	alat, bola, bola kristal, cerita dongeng, fantasi, kristal, nasib
🧿	azimat nazar, manik, mantera, mata syaitan, nazar, tangkal
🎮️	alat kawalan, permainan, permainan video
🕹️	kayu bedik, permainan, permainan video
🎰	mesin judi, permainan, slot
🎲	dadu, dadu permainan, dadu-dadu, permainan
🧩	cantuman, kepingan, kepingan suai gambar, petunjuk, suai gambar, susun
🧸	barang mainan, beruang teddy, mainan, plusy, sumbat
♠️	daun, daun sped, kad, permainan, sped
♥️	daun, daun lekuk, hati, kad, lekuk, permainan
♦️	berlian, daiman, daun, daun daiman, kad, permainan
♣️	daun, daun kelawar, kad, kelab, kelawar, permainan
♟️	bidak catur, boleh kembang, catur, memperdaya
🃏	bermain, joker, kad, permainan
🀄️	mahjung, merah, naga merah mahjung, permainan
🎴	Jepun, bermain, bunga, kad, permainan, terup bunga
🎭️	panggung, persembahan, seni, seni persembahan, teater, topeng
🖼️	bingkai, bingkai dengan gambar, gambar, gambar berbingkai, lukisan, muzium, seni
🎨	lukisan, muzium, palet, palet artis, seni
🧵	benang, gelendong, jarum, menjahit, tali
🧶	bola, kait, krusye, yarn
👓️	cermin mata, kaca mata, mata, pakaian
🕶️	cermin mata, gelap, kaca mata, kaca mata hitam, mata
🥽	berenang, gogal, mengimpal, perlindungan mata
🥼	doktor, eksperimen, kot makmal, saintis
🦺	kecemasan, keselamatan, rompi, rompi keselamatan
👔	pakaian, tali leher
👕	kemeja, kemeja-t, pakaian
👖	celana, pakaian, seluar, seluar jean
🧣	leher, skaf
🧤	sarung tangan, tangan
🧥	jaket, kot
🧦	stoking
👗	gaun, pakaian
👘	kimono, pakaian
🥻	baju, pakaian, sari
🩱	sut mandi, sut renang terus
🩲	pakaian dalam, seluar dalam, sut mandi, sut renang, terus
🩳	baju mandi, pakaian dalam, seluar, seluar pendek
👙	bikini, pakaian, renang
👚	pakaian, pakaian wanita, wanita
👛	dompet, duit syiling, pakaian
👜	beg, beg tangan, pakaian
👝	beg, pakaian, pau
🛍️	beg, beg beli-belah, hotel, membeli-belah
🎒	beg, beg galas, beg galas sekolah, sekolah
👞	kasut, kasut lelaki, lelaki, pakaian
👟	kasut, kasut lari, olahraga, pakaian, sneaker
🥾	berkhemah, but, but kembara, kembara, membawa beg galas
🥿	kasut rata, kasut sarung, rata balet, selipar
👠	kasut, kasut tumit tinggi, pakaian, tumit, wanita
👡	kasut, pakaian, sandal, sandal wanita, wanita
🩰	balet, kasut balet, tarian
👢	but, but wanita, kasut, pakaian, wanita
👑	mahkota, pakaian, permaisuri, raja
👒	pakaian, topi, topi wanita, wanita
🎩	pakaian, tinggi, topi, topi tinggi
🎓️	kep, pakaian, rai, tamat pengajian, topi konvokesyen
🧢	kep berbil, topi besbol
⛑️	bantuan, helmet pekerja bantaun keselamatan, muka, palang, topi, topi keselamatan dengan palang putih
📿	agama, doa, kalung, manik, pakaian, tasbih
💄	alat solek, gincu, kosmetik
💍	berlian, cincin
💎	batu permata, berlian, intan, permata
🔇	pembesar suara, pembesar suara dimatikan, redam, senyap, tenang
🔈️	kelantangan rendah pembesar suara, perlahan
🔉	kelantangan sederhana pembesar suara, sederhana
🔊	kelantangan tinggi pembesar suara, kuat
📢	corong pembesar suara, kuat, siar raya
📣	bersorak, megafon
📯	hon, hon pos, pos, wakil pos
🔔	loceng
🔕	dilarang, loceng, loceng berpalang, redam, senyap
🎼	muzik, skor, skor muzik
🎵	muzik, nota, nota muzik
🎶	muzik, nota, nota-nota, nota-nota muzik
🎙️	mikrofon, mikrofon studio, muzik, studio
🎚️	aras, muzik, pelungsur, pelungsur aras
🎛️	kawalan, muzik, tombol, tombol kawalan
🎤	karaoke, mike, mikrofon
🎧️	fon kepala, fon telinga
📻️	radio, video
🎷	alat, muzik, saks, saksofon
🎸	alat, gitar, muzik
🎹	instrumen, keyboard, keyboard muzik, muzik, piano
🎺	alat, muzik, trompet
🎻	alat, biola, muzik
🪕	banjo, bertali, muzik
🥁	dram, kayu dram, muzik
📱	mudah alih, sel, telefon, telefon bimbit
📲	anak panah, mudah alih, sel, telefon, telefon bimbit dengan anak panah, terima
☎️	fon, telefon
📞	gagang telefon, penerima, telefon
📟️	alat kelui
📠	faks, mesin faksimili
🔋	bateri
🔌	elektrik, kuasa elektrik, palam, palam elektrik
💻️	komputer, komputer riba, pc, peribadi
🖥️	komputer, komputer meja, meja
🖨️	komputer, pencetak
⌨️	komputer, papan kekunci
🖱️	komputer, tetikus komputer
🖲️	bebola jejak, komputer
💽	cakera, cakera komputer, cakera mini, komputer, optik
💾	cakera, cakera liut, komputer, liut
💿️	cakera, cakera optik, cd, komputer, optik
📀	blu-ray, cakera, dvd, komputer, optik
🧮	pengiraan, sempua
🎥	filem, kamera, kamera filem, pawagam
🎞️	bingkai, bingkai filem, filem, pawagam, wayang
📽️	filem, pawagam, projektor, projektor filem, video, wayang
🎬️	filem, papan pengetap, pengetap
📺️	televisyen, tv, video
📷️	kamera, video
📸	denyar, kamera, kamera dengan denyar, video
📹️	kamera, kamera video, video
📼	pita, pita video, vhs, video
🔍	alat, carian, kanta, kanta pembesar condong ke kiri, pembesar
🔎	alat, carian, kanta, kanta pembesar condong ke kanan, pembesar
🕯️	cahaya, lilin
💡	cahaya, elektrik, idea, komik, mentol, mentol lampu
🔦	alat, cahaya, elektrik, lampu suluh
🏮	bar, cahaya, merah, tanglung, tanglung kertas merah
🪔	diya, lampu, lampu diya, minyak
📔	berhias, buku, buku nota, buku nota dengan kulit berhias, kulit
📕	buku, buku tertutup, tertutup
📖	buka terbuka, buku, terbuka
📗	buku, buku hijau, hijau
📘	biru, buku, buku biru
📙	buku, buku oren, oren
📚️	buku
📓	buku nota
📒	buku nota, lejar
📃	dokumen, halaman, halaman ikal, ikal
📜	kertas, skrol
📄	dokumen, halaman, halaman menghadap atas
📰	akhbar, berita, kertas
🗞	akhbar, akhbar bergulung, bergulung, berita, kertas
📑	penanda, penanda halaman, tab, tab penanda halaman, tanda
🔖	penanda buku, tanda
🏷️	label
💰️	beg, dolar, karung duit, wang
💴	duit, duit kertas, mata wang, wang, wang kertas yen, yen
💵	dolar, mata wang, wang, wang kertas, wang kertas dolar
💶	euro, mata wang, wang, wang kertas, wang kertas euro
💷	mata wang, pound, wang, wang kertas, wang kertas paun
💸	sayap, terbang, wang, wang dengan sayap, wang kertas, wang kertas bersayap
💳️	bank, kad, kad kredit, kredit, wang
🧾	bukti, keterangan, perakaunan, resit, simpan kira
💹	carta, carta meningkat dengan yen, carta yen meningkat, graf, pertumbuhan, wang, yen
💱	bank, mata wang, pertukaran, pertukaran mata wang, wang
💲	dolar, mata wang, tanda dolar tebal, wang
✉️	e-mel, sampul surat, surat
📧	e-mel, mel, surat
📨	e-mel, emel, masuk, sampul surat, sampul surat masuk, surat, terima
📩	anak panah, e-mel, emel, keluar, mel, sampul surat, sampul surat dengan anak panah
📤️	dihantar, dulang, dulang keluar, kotak, mel, peti keluar, surat
📥️	dulang, dulang masuk, kotak, mel, peti masuk, surat, terima
📦️	bungkusan, kotak, pakej
📫️	mel, peti mel, peti surat, peti surat tertutup dengan bendera dinaikkan, tertutup
📪️	diturunkan, mel, peti mel, peti surat, peti surat tertutup dengan bendera diturunkan, tertutup
📬️	mel, peti mel, peti surat, peti surat terbuka dengan bendera dinaikkan, terbuka
📭️	diturunkan, mel, peti mel, peti surat, peti surat terbuka dengan bendera diturunkan, terbuka
📮	mel, peti mel, peti pos
🗳️	kotak, peti undi dengan undian, undi
✏️	pensel
✒️	mata pen, mata pen hitam, pen
🖋️	pen, pena
🖊️	mata bulat, pen
🖌️	berus cat, lukisan
🖍️	krayon
📝	memo, pensel
💼	beg bimbit
📁	fail, folder, folder fail
📂	fail, folder, folder buka fail, terbuka
🗂️	indeks, kad, pembahagi, pembahagi indeks kad
📅	kalendar, tarikh
📆	kalendar, kalendar koyak
🗒️	nota, pad, pad nota pilin, pilin
🗓️	kalendar, kalendar pilin, pad, pilin
📇	indeks, indeks kad, kad, rolodex
📈	arah aliran, carta, carta menaik, graf, menaik, pertumbuhan
📉	arah aliran, carta, carta menurun, graf, menurun
📊	bar, carta, carta bar, graf
📋️	papan klip
📌	paku tekan, pin
📍	paku tekan bulat, pin, pin tekan
📎	klip kertas
🖇️	bersambung, klip kertas, klip kertas berpaut
📏	pembaris, pembaris lurus, tepi lurus
📐	pembaris, pembaris segi tiga, segi tiga, set
✂️	alat, gunting
🗃️	fail, kad, kotak, kotak fail kad
🗄️	fail, kabinet, kabinet fail
🗑️	tong sampah
🔒️	berkunci, bermangga
🔓️	buka kunci, kunci, mangga terbuka, terbuka
🔏	dakwat, kunci, mangga dengan pen, mata pen, pen, privasi
🔐	berkunci, kunci, mangga terkunci dengan anak kunci, mengunci, selamat
🔑	kata laluan, kunci
🗝️	kunci, kunci lama, lama, mengunci, petunjuk
🔨	alat, tukul
🪓	belah, kapak, kapak kecil, kayu, tetak
⛏️	alat, beliung, perlombongan
⚒️	alat, beliung, tukul, tukul dan beliung
🛠️	alat, perengkuh, tukul, tukul dan perengkuh
🗡️	pisau, pisau belati, senjata
⚔️	bersilang, pedang, pedang bersilang, senjata
🔫	alat, pistol, revolver, senjata
🏹	alat, busar, panah, panah dan busur, pemanah, sagittarius, senjata, zodiak
🛡️	perisai, senjata
🔧	alat, perengkuh
🔩	alat, bolt, nat, nat dan bolt
⚙️	alat, gear
🗜️	alat, pemampatan, ragum
⚖️	keadilan, libra, neraca timbang, penimbang, zodiak
🦯	buta, kebolehcapaian, tongkat penduga
🔗	pautan, rantai
⛓️	rantai, rantaian
🧰	alat, kotak alat, mekanik, peti
🧲	bermagnet, ladam kuda, magnet, tarikan
⚗️	alat, alembic, kimia
🧪	ahli kimia, eksperimen, kimia, makmal, sains, tabung uji
🧫	ahli biologi, bakteria, biologi, kultur, makmal, piring petri
🧬	ahli biologi, dna, evolusi, gen, genetik, hayat
🔬	alat, mikroskop, sains
🔭	alat, sains, teleskop
📡	antena, antena satelit, piring, satelit
💉	alat, doktor, jarum, perubatan, picagari, sakit, suntikan
🩸	derma darah, haid, perubatan, titisan darah
💊	doktor, perubatan, pil, sakit
🩹	pembalut, pembalut adhesif
🩺	doktor, jantung, perubatan, stetoskop
🚪	pintu
🛏️	hotel, katil, tidur
🛋️	hotel, lampu, sofa, sofa dan lampu
🪑	duduk, kerusi, tempat duduk
🚽	mangkuk tandas, tandas
🚿	air, pancuran
🛁	mandi, tab mandi
🪒	cukur, pisau cukur, tajam
🧴	botol losyen, losyen, pelembab, penapis suria, syampu
🧷	lampin, pin dawai, punk rock
🧹	ahli sihir, membersih, menyapu, penyapu
🧺	bakul, berkelah, berladang, dobi-mendobi
🧻	gulungan kertas, kertas tandas, tuala kertas
🧼	bekas sabun, buih, mandi, membersih, sabun, sebuku
🧽	membersih, menyerap, poros, span
🧯	alat pemadam api, api, lindap, padam
🛒	beli-belah, troli, troli beli-belah
🚬	merokok, rokok
⚰️	kematian, keranda
⚱️	kematian, pengebumian, takar, takar abu mayat
🗿	moyai, muka, patung
🏧	atm, automatik, bank, juruwang, tanda ATM
🚮	sampah, tanda buang ke dalam tong sampah, tong sampah
🚰	air, air minum, boleh diminum, minum
♿️	akses, kerusi roda
🚹️	bilik air, lelaki, tandas, tandas lelaki, wc
🚺️	bilik air, tandas, tandas wanita, wanita, wc
🚻	bilik air, tandas, wc
🚼️	bayi, simbol bayi, tukar lampin
🚾	air, bilik, tandas pam, wc
🛂	kawalan, kawalan pasport, pasport
🛃	kastam
🛄	bagasi, tuntutan, tuntutan bagasi
🛅	bagasi, bagasi tertinggal, lokar
⚠️	amaran
🚸	kanak-kanak, kanak-kanak melintas, lalu lintas, melintas, pejalan kaki, trafik
⛔️	bukan, dilarang, dilarang masuk, ditegah, lalu lintas, masuk, tidak
🚫	bukan, dilarang, masuk, tidak
🚳	basikal, basikal dilarang, bukan, dilarang, ditegah, sepeda, tidak
🚭️	dilarang, dilarang merokok, ditegah, merokok, tidak
🚯	dilarang, dilarang membuang sampah, ditegah, sampah, tidak
🚱	air, air tak boleh minum, air tidak boleh minum, tidak boleh minum
🚷	dilarang, ditegah, pejalan kaki, pejalan kaki dilarang, tidak
📵	dilarang, dilarang guna telefon bimbit, fon, mudah alih, sel, telefon, tidak
🔞	18, bawah lapan belas tidak dibenarkan, bawah umur, bukan, dilarang, lapan belas, sekatan umur
☢️	radioaktif, simbol
