😀	tirjaygan yuz, tirjayish, yuz
🙎🏼	3-teri turi, imo-ishora, norozi, norozi odam, norozi odam: 3-teri turi
🙎🏽	4-teri turi, imo-ishora, norozi, norozi odam, norozi odam: 4-teri turi
🙎🏾	5-teri turi, imo-ishora, norozi, norozi odam, norozi odam: 5-teri turi
🙎🏿	6-teri turi, imo-ishora, norozi, norozi odam, norozi odam: 6-teri turi
🙎‍♂	arazlagan, arazlagan erkak, erkak, yuz ifodasi
🙎🏻‍♂	1–2-teri turi, arazlagan, arazlagan erkak: 1–2-teri turi, erkak, yuz ifodasi
🙎🏼‍♂	3-teri turi, arazlagan, arazlagan erkak: 3-teri turi, erkak, yuz ifodasi
🙎🏽‍♂	4-teri turi, arazlagan, arazlagan erkak: 4-teri turi, erkak, yuz ifodasi
🙎🏾‍♂	5-teri turi, arazlagan, arazlagan erkak: 5-teri turi, erkak, yuz ifodasi
🙎🏿‍♂	6-teri turi, arazlagan, arazlagan erkak: 6-teri turi, erkak, yuz ifodasi
🙎‍♀	arazlagan, arazlagan ayol, ayol, yuz ifodasi
🙎🏻‍♀	1–2-teri turi, arazlagan, arazlagan ayol: 1–2-teri turi, ayol, yuz ifodasi
🙎🏼‍♀	3-teri turi, arazlagan, arazlagan ayol: 3-teri turi, ayol, yuz ifodasi
🙎🏽‍♀	4-teri turi, arazlagan, arazlagan ayol: 4-teri turi, ayol, yuz ifodasi
🙎🏾‍♀	5-teri turi, arazlagan, arazlagan ayol: 5-teri turi, ayol, yuz ifodasi
🙎🏿‍♀	6-teri turi, arazlagan, arazlagan ayol: 6-teri turi, ayol, yuz ifodasi
🙅	imo-ishora, man qilingan, qo‘l, taqiqlangan, yo‘q, yo‘q ishorasi
🙅🏻	1–2-teri turi, imo-ishora, man qilingan, qo‘l, taqiqlangan, yo‘q, yo‘q ishorasi, yo‘q ishorasi: 1–2-teri turi
🙅🏼	3-teri turi, imo-ishora, man qilingan, qo‘l, taqiqlangan, yo‘q, yo‘q ishorasi, yo‘q ishorasi: 3-teri turi
🙅🏽	4-teri turi, imo-ishora, man qilingan, qo‘l, taqiqlangan, yo‘q, yo‘q ishorasi, yo‘q ishorasi: 4-teri turi
🙅🏾	5-teri turi, imo-ishora, man qilingan, qo‘l, taqiqlangan, yo‘q, yo‘q ishorasi, yo‘q ishorasi: 5-teri turi
🙅🏿	6-teri turi, imo-ishora, man qilingan, qo‘l, taqiqlangan, yo‘q, yo‘q ishorasi, yo‘q ishorasi: 6-teri turi
🙅‍♂	erkak yo‘q demoqda, imo-ishora, qo‘l, taqiqlangan, yo‘q
🙅🏻‍♂	1–2-teri turi, erkak yo‘q demoqda, erkak yo‘q demoqda: 1–2-teri turi, imo-ishora, qo‘l, taqiqlangan, yo‘q
🙅🏼‍♂	3-teri turi, erkak yo‘q demoqda, erkak yo‘q demoqda: 3-teri turi, imo-ishora, qo‘l, taqiqlangan, yo‘q
🙅🏽‍♂	4-teri turi, erkak yo‘q demoqda, erkak yo‘q demoqda: 4-teri turi, imo-ishora, qo‘l, taqiqlangan, yo‘q
🙅🏾‍♂	5-teri turi, erkak yo‘q demoqda, erkak yo‘q demoqda: 5-teri turi, imo-ishora, qo‘l, taqiqlangan, yo‘q
🙅🏿‍♂	6-teri turi, erkak yo‘q demoqda, erkak yo‘q demoqda: 6-teri turi, imo-ishora, qo‘l, taqiqlangan, yo‘q
🙅‍♀	ayol yo‘q demoqda, imo-ishora, qo‘l, taqiqlangan, yo‘q
🙅🏻‍♀	1–2-teri turi, ayol yo‘q demoqda, ayol yo‘q demoqda: 1–2-teri turi, imo-ishora, qo‘l, taqiqlangan, yo‘q
🙅🏼‍♀	3-teri turi, ayol yo‘q demoqda, ayol yo‘q demoqda: 3-teri turi, imo-ishora, qo‘l, taqiqlangan, yo‘q
🙅🏽‍♀	4-teri turi, ayol yo‘q demoqda, ayol yo‘q demoqda: 4-teri turi, imo-ishora, qo‘l, taqiqlangan, yo‘q
🙅🏾‍♀	5-teri turi, ayol yo‘q demoqda, ayol yo‘q demoqda: 5-teri turi, imo-ishora, qo‘l, taqiqlangan, yo‘q
🙅🏿‍♀	6-teri turi, ayol yo‘q demoqda, ayol yo‘q demoqda: 6-teri turi, imo-ishora, qo‘l, taqiqlangan, yo‘q
🙆	imo-ishora, ok, ok ishorasi, qo‘l
🙆🏻	1–2-teri turi, imo-ishora, ok, ok ishorasi, ok ishorasi: 1–2-teri turi, qo‘l
🙆🏼	3-teri turi, imo-ishora, ok, ok ishorasi, ok ishorasi: 3-teri turi, qo‘l
🙆🏽	4-teri turi, imo-ishora, ok, ok ishorasi, ok ishorasi: 4-teri turi, qo‘l
🙆🏾	5-teri turi, imo-ishora, ok, ok ishorasi, ok ishorasi: 5-teri turi, qo‘l
🙆🏿	6-teri turi, imo-ishora, ok, ok ishorasi, ok ishorasi: 6-teri turi, qo‘l
🙆‍♂	erkak, erkak ha demoqda, ha, imo-ishora, qo‘l
🙆🏻‍♂	1–2-teri turi, erkak, erkak ha demoqda, erkak ha demoqda: 1–2-teri turi, ha, imo-ishora, qo‘l
🙆🏼‍♂	3-teri turi, erkak, erkak ha demoqda, erkak ha demoqda: 3-teri turi, ha, imo-ishora, qo‘l
🙆🏽‍♂	4-teri turi, erkak, erkak ha demoqda, erkak ha demoqda: 4-teri turi, ha, imo-ishora, qo‘l
🙆🏾‍♂	5-teri turi, erkak, erkak ha demoqda, erkak ha demoqda: 5-teri turi, ha, imo-ishora, qo‘l
🙆🏿‍♂	6-teri turi, erkak, erkak ha demoqda, erkak ha demoqda: 6-teri turi, ha, imo-ishora, qo‘l
🙆‍♀	ayol, ayol ha demoqda, ha, imo-ishora, qo‘l
🙆🏻‍♀	1–2-teri turi, ayol, ayol ha demoqda, ayol ha demoqda: 1–2-teri turi, ha, imo-ishora, qo‘l
🙆🏼‍♀	3-teri turi, ayol, ayol ha demoqda, ayol ha demoqda: 3-teri turi, ha, imo-ishora, qo‘l
🙆🏽‍♀	4-teri turi, ayol, ayol ha demoqda, ayol ha demoqda: 4-teri turi, ha, imo-ishora, qo‘l
🙆🏾‍♀	5-teri turi, ayol, ayol ha demoqda, ayol ha demoqda: 5-teri turi, ha, imo-ishora, qo‘l
🙆🏿‍♀	6-teri turi, ayol, ayol ha demoqda, ayol ha demoqda: 6-teri turi, ha, imo-ishora, qo‘l
💁	ma’lumot, ma’lumotxona xodimi, qo‘l, surbet, yordam
💁🏻	1–2-teri turi, ma’lumot, ma’lumotxona xodimi, ma’lumotxona xodimi: 1–2-teri turi, qo‘l, surbet, yordam
💁🏼	3-teri turi, ma’lumot, ma’lumotxona xodimi, ma’lumotxona xodimi: 3-teri turi, qo‘l, surbet, yordam
💁🏽	4-teri turi, ma’lumot, ma’lumotxona xodimi, ma’lumotxona xodimi: 4-teri turi, qo‘l, surbet, yordam
💁🏾	5-teri turi, ma’lumot, ma’lumotxona xodimi, ma’lumotxona xodimi: 5-teri turi, qo‘l, surbet, yordam
💁🏿	6-teri turi, ma’lumot, ma’lumotxona xodimi, ma’lumotxona xodimi: 6-teri turi, qo‘l, surbet, yordam
💁‍♂	erkak, erkak qo‘l cho‘zmoqda, qo‘l cho‘zish, surbet
💁🏻‍♂	1–2-teri turi, erkak, erkak qo‘l cho‘zmoqda, erkak qo‘l cho‘zmoqda: 1–2-teri turi, qo‘l cho‘zish, surbet
💁🏼‍♂	3-teri turi, erkak, erkak qo‘l cho‘zmoqda, erkak qo‘l cho‘zmoqda: 3-teri turi, qo‘l cho‘zish, surbet
💁🏽‍♂	4-teri turi, erkak, erkak qo‘l cho‘zmoqda, erkak qo‘l cho‘zmoqda: 4-teri turi, qo‘l cho‘zish, surbet
💁🏾‍♂	5-teri turi, erkak, erkak qo‘l cho‘zmoqda, erkak qo‘l cho‘zmoqda: 5-teri turi, qo‘l cho‘zish, surbet
💁🏿‍♂	6-teri turi, erkak, erkak qo‘l cho‘zmoqda, erkak qo‘l cho‘zmoqda: 6-teri turi, qo‘l cho‘zish, surbet
💁‍♀	ayol, ayol qo‘l cho‘zmoqda, qo‘l cho‘zish, surbet
💁🏻‍♀	1–2-teri turi, ayol, ayol qo‘l cho‘zmoqda, ayol qo‘l cho‘zmoqda: 1–2-teri turi, qo‘l cho‘zish, surbet
💁🏼‍♀	3-teri turi, ayol, ayol qo‘l cho‘zmoqda, ayol qo‘l cho‘zmoqda: 3-teri turi, qo‘l cho‘zish, surbet
💁🏽‍♀	4-teri turi, ayol, ayol qo‘l cho‘zmoqda, ayol qo‘l cho‘zmoqda: 4-teri turi, qo‘l cho‘zish, surbet
💁🏾‍♀	5-teri turi, ayol, ayol qo‘l cho‘zmoqda, ayol qo‘l cho‘zmoqda: 5-teri turi, qo‘l cho‘zish, surbet
💁🏿‍♀	6-teri turi, ayol, ayol qo‘l cho‘zmoqda, ayol qo‘l cho‘zmoqda: 6-teri turi, qo‘l cho‘zish, surbet
🙋	imo-ishora, ko‘tarilgan, qo‘l, qo‘lini ko‘tarib turgan xursand odam, xursand
🙋🏻	1–2-teri turi, imo-ishora, ko‘tarilgan, qo‘l, qo‘lini ko‘tarib turgan xursand odam, qo‘lini ko‘tarib turgan xursand odam: 1–2-teri turi, xursand
🙋🏼	3-teri turi, imo-ishora, ko‘tarilgan, qo‘l, qo‘lini ko‘tarib turgan xursand odam, qo‘lini ko‘tarib turgan xursand odam: 3-teri turi, xursand
🙋🏽	4-teri turi, imo-ishora, ko‘tarilgan, qo‘l, qo‘lini ko‘tarib turgan xursand odam, qo‘lini ko‘tarib turgan xursand odam: 4-teri turi, xursand
🙋🏾	5-teri turi, imo-ishora, ko‘tarilgan, qo‘l, qo‘lini ko‘tarib turgan xursand odam, qo‘lini ko‘tarib turgan xursand odam: 5-teri turi, xursand
🙋🏿	6-teri turi, imo-ishora, ko‘tarilgan, qo‘l, qo‘lini ko‘tarib turgan xursand odam, qo‘lini ko‘tarib turgan xursand odam: 6-teri turi, xursand
🙋‍♂	erkak, erkak qo‘l ko‘tarmoqda, imo-ishora, qo‘l ko‘tarish
🙋🏻‍♂	1–2-teri turi, erkak, erkak qo‘l ko‘tarmoqda, erkak qo‘l ko‘tarmoqda: 1–2-teri turi, imo-ishora, qo‘l ko‘tarish
🙋🏼‍♂	3-teri turi, erkak, erkak qo‘l ko‘tarmoqda, erkak qo‘l ko‘tarmoqda: 3-teri turi, imo-ishora, qo‘l ko‘tarish
🙋🏽‍♂	4-teri turi, erkak, erkak qo‘l ko‘tarmoqda, erkak qo‘l ko‘tarmoqda: 4-teri turi, imo-ishora, qo‘l ko‘tarish
🙋🏾‍♂	5-teri turi, erkak, erkak qo‘l ko‘tarmoqda, erkak qo‘l ko‘tarmoqda: 5-teri turi, imo-ishora, qo‘l ko‘tarish
🙋🏿‍♂	6-teri turi, erkak, erkak qo‘l ko‘tarmoqda, erkak qo‘l ko‘tarmoqda: 6-teri turi, imo-ishora, qo‘l ko‘tarish
🙋‍♀	ayol, ayol qo‘l ko‘tarmoqda, imo-ishora, qo‘l ko‘tarish
🙋🏻‍♀	1–2-teri turi, ayol, ayol qo‘l ko‘tarmoqda, ayol qo‘l ko‘tarmoqda: 1–2-teri turi, imo-ishora, qo‘l ko‘tarish
🙋🏼‍♀	3-teri turi, ayol, ayol qo‘l ko‘tarmoqda, ayol qo‘l ko‘tarmoqda: 3-teri turi, imo-ishora, qo‘l ko‘tarish
🙋🏽‍♀	4-teri turi, ayol, ayol qo‘l ko‘tarmoqda, ayol qo‘l ko‘tarmoqda: 4-teri turi, imo-ishora, qo‘l ko‘tarish
🙋🏾‍♀	5-teri turi, ayol, ayol qo‘l ko‘tarmoqda, ayol qo‘l ko‘tarmoqda: 5-teri turi, imo-ishora, qo‘l ko‘tarish
🙋🏿‍♀	6-teri turi, ayol, ayol qo‘l ko‘tarmoqda, ayol qo‘l ko‘tarmoqda: 6-teri turi, imo-ishora, qo‘l ko‘tarish
🧏	eshitish, kar, kar odam, nogironlik, quloq
🧏🏻	1–2-teri turi, eshitish, kar, kar odam, kar odam: 1–2-teri turi, nogironlik, quloq
🧏🏼	3-teri turi, eshitish, kar, kar odam, kar odam: 3-teri turi, nogironlik, quloq
🧏🏽	4-teri turi, eshitish, kar, kar odam, kar odam: 4-teri turi, nogironlik, quloq
🧏🏾	5-teri turi, eshitish, kar, kar odam, kar odam: 5-teri turi, nogironlik, quloq
🧏🏿	6-teri turi, eshitish, kar, kar odam, kar odam: 6-teri turi, nogironlik, quloq
🧏‍♂	erkak, kar, kar erkak
🧏🏻‍♂	1–2-teri turi, erkak, kar, kar erkak: 1–2-teri turi
🧏🏼‍♂	3-teri turi, erkak, kar, kar erkak: 3-teri turi
🧏🏽‍♂	4-teri turi, erkak, kar, kar erkak: 4-teri turi
🧏🏾‍♂	5-teri turi, erkak, kar, kar erkak: 5-teri turi
🧏🏿‍♂	6-teri turi, erkak, kar, kar erkak: 6-teri turi
🧏‍♀	ayol, kar, kar ayol
🧏🏻‍♀	1–2-teri turi, ayol, kar, kar ayol: 1–2-teri turi
🧏🏼‍♀	3-teri turi, ayol, kar, kar ayol: 3-teri turi
🧏🏽‍♀	4-teri turi, ayol, kar, kar ayol: 4-teri turi
🧏🏾‍♀	5-teri turi, ayol, kar, kar ayol: 5-teri turi
🧏🏿‍♀	6-teri turi, ayol, kar, kar ayol: 6-teri turi
🙇	imo-ishora, kechirim so‘rash, ta’zim, ta’zim qilayotgan odam, uzr so‘rash
🙇🏻	1–2-teri turi, imo-ishora, kechirim so‘rash, ta’zim, ta’zim qilayotgan odam, ta’zim qilayotgan odam: 1–2-teri turi, uzr so‘rash
🙇🏼	3-teri turi, imo-ishora, kechirim so‘rash, ta’zim, ta’zim qilayotgan odam, ta’zim qilayotgan odam: 3-teri turi, uzr so‘rash
🙇🏽	4-teri turi, imo-ishora, kechirim so‘rash, ta’zim, ta’zim qilayotgan odam, ta’zim qilayotgan odam: 4-teri turi, uzr so‘rash
🙇🏾	5-teri turi, imo-ishora, kechirim so‘rash, ta’zim, ta’zim qilayotgan odam, ta’zim qilayotgan odam: 5-teri turi, uzr so‘rash
🙇🏿	6-teri turi, imo-ishora, kechirim so‘rash, ta’zim, ta’zim qilayotgan odam, ta’zim qilayotgan odam: 6-teri turi, uzr so‘rash
🙇‍♂	erkak, erkak ta’zim qilmoqda, imo-ishora, uzr
🙇🏻‍♂	1–2-teri turi, erkak, erkak ta’zim qilmoqda, erkak ta’zim qilmoqda: 1–2-teri turi, imo-ishora, uzr
🙇🏼‍♂	3-teri turi, erkak, erkak ta’zim qilmoqda, erkak ta’zim qilmoqda: 3-teri turi, imo-ishora, uzr
🙇🏽‍♂	4-teri turi, erkak, erkak ta’zim qilmoqda, erkak ta’zim qilmoqda: 4-teri turi, imo-ishora, uzr
🙇🏾‍♂	5-teri turi, erkak, erkak ta’zim qilmoqda, erkak ta’zim qilmoqda: 5-teri turi, imo-ishora, uzr
🙇🏿‍♂	6-teri turi, erkak, erkak ta’zim qilmoqda, erkak ta’zim qilmoqda: 6-teri turi, imo-ishora, uzr
🙇‍♀	ayol, ayol ta’zim qilmoqda, imo-ishora, uzr
🙇🏻‍♀	1–2-teri turi, ayol, ayol ta’zim qilmoqda, ayol ta’zim qilmoqda: 1–2-teri turi, imo-ishora, uzr
🙇🏼‍♀	3-teri turi, ayol, ayol ta’zim qilmoqda, ayol ta’zim qilmoqda: 3-teri turi, imo-ishora, uzr
🙇🏽‍♀	4-teri turi, ayol, ayol ta’zim qilmoqda, ayol ta’zim qilmoqda: 4-teri turi, imo-ishora, uzr
🙇🏾‍♀	5-teri turi, ayol, ayol ta’zim qilmoqda, ayol ta’zim qilmoqda: 5-teri turi, imo-ishora, uzr
🙇🏿‍♀	6-teri turi, ayol, ayol ta’zim qilmoqda, ayol ta’zim qilmoqda: 6-teri turi, imo-ishora, uzr
🤦	boshqa gapim yo‘q, feyspalm, gap yo‘q, g‘ijinish, ishonchsizlik, jahl chiqish, qo‘l, yuz
🤦🏻	1–2-teri turi, boshqa gapim yo‘q, boshqa gapim yo‘q: 1–2-teri turi, feyspalm, gap yo‘q, g‘ijinish, ishonchsizlik, jahl chiqish, qo‘l, yuz
🤦🏼	3-teri turi, boshqa gapim yo‘q, boshqa gapim yo‘q: 3-teri turi, feyspalm, gap yo‘q, g‘ijinish, ishonchsizlik, jahl chiqish, qo‘l, yuz
🤦🏽	4-teri turi, boshqa gapim yo‘q, boshqa gapim yo‘q: 4-teri turi, feyspalm, gap yo‘q, g‘ijinish, ishonchsizlik, jahl chiqish, qo‘l, yuz
🤦🏾	5-teri turi, boshqa gapim yo‘q, boshqa gapim yo‘q: 5-teri turi, feyspalm, gap yo‘q, g‘ijinish, ishonchsizlik, jahl chiqish, qo‘l, yuz
🤦🏿	6-teri turi, boshqa gapim yo‘q, boshqa gapim yo‘q: 6-teri turi, feyspalm, gap yo‘q, g‘ijinish, ishonchsizlik, jahl chiqish, qo‘l, yuz
🤦‍♂	achchiqlanish, erkak, erkak yuzini berkitmoqda, feyspalm, ishonmaslik
🤦🏻‍♂	1–2-teri turi, achchiqlanish, erkak, erkak yuzini berkitmoqda, erkak yuzini berkitmoqda: 1–2-teri turi, feyspalm, ishonmaslik
🤦🏼‍♂	3-teri turi, achchiqlanish, erkak, erkak yuzini berkitmoqda, erkak yuzini berkitmoqda: 3-teri turi, feyspalm, ishonmaslik
🤦🏽‍♂	4-teri turi, achchiqlanish, erkak, erkak yuzini berkitmoqda, erkak yuzini berkitmoqda: 4-teri turi, feyspalm, ishonmaslik
🤦🏾‍♂	5-teri turi, achchiqlanish, erkak, erkak yuzini berkitmoqda, erkak yuzini berkitmoqda: 5-teri turi, feyspalm, ishonmaslik
🤦🏿‍♂	6-teri turi, achchiqlanish, erkak, erkak yuzini berkitmoqda, erkak yuzini berkitmoqda: 6-teri turi, feyspalm, ishonmaslik
🤦‍♀	achchiqlanish, ayol, ayol yuzini berkitmoqda, feyspalm, ishonmaslik
🤦🏻‍♀	1–2-teri turi, achchiqlanish, ayol, ayol yuzini berkitmoqda, ayol yuzini berkitmoqda: 1–2-teri turi, feyspalm, ishonmaslik
🤦🏼‍♀	3-teri turi, achchiqlanish, ayol, ayol yuzini berkitmoqda, ayol yuzini berkitmoqda: 3-teri turi, feyspalm, ishonmaslik
🤦🏽‍♀	4-teri turi, achchiqlanish, ayol, ayol yuzini berkitmoqda, ayol yuzini berkitmoqda: 4-teri turi, feyspalm, ishonmaslik
🤦🏾‍♀	5-teri turi, achchiqlanish, ayol, ayol yuzini berkitmoqda, ayol yuzini berkitmoqda: 5-teri turi, feyspalm, ishonmaslik
🤦🏿‍♀	6-teri turi, achchiqlanish, ayol, ayol yuzini berkitmoqda, ayol yuzini berkitmoqda: 6-teri turi, feyspalm, ishonmaslik
🤷	bilmayman, bilmayman ishorasi, ikkilanish, shubha
🤷🏻	1–2-teri turi, bilmayman, bilmayman ishorasi, bilmayman ishorasi: 1–2-teri turi, ikkilanish, shubha
🤷🏼	3-teri turi, bilmayman, bilmayman ishorasi, bilmayman ishorasi: 3-teri turi, ikkilanish, shubha
🤷🏽	4-teri turi, bilmayman, bilmayman ishorasi, bilmayman ishorasi: 4-teri turi, ikkilanish, shubha
🤷🏾	5-teri turi, bilmayman, bilmayman ishorasi, bilmayman ishorasi: 5-teri turi, ikkilanish, shubha
🤷🏿	6-teri turi, bilmayman, bilmayman ishorasi, bilmayman ishorasi: 6-teri turi, ikkilanish, shubha
🤷‍♂	erkak, erkak yelka qismoqda, shubha, yelka qisish
🤷🏻‍♂	1–2-teri turi, erkak, erkak yelka qismoqda, erkak yelka qismoqda: 1–2-teri turi, shubha, yelka qisish
🤷🏼‍♂	3-teri turi, erkak, erkak yelka qismoqda, erkak yelka qismoqda: 3-teri turi, shubha, yelka qisish
🤷🏽‍♂	4-teri turi, erkak, erkak yelka qismoqda, erkak yelka qismoqda: 4-teri turi, shubha, yelka qisish
🤷🏾‍♂	5-teri turi, erkak, erkak yelka qismoqda, erkak yelka qismoqda: 5-teri turi, shubha, yelka qisish
🤷🏿‍♂	6-teri turi, erkak, erkak yelka qismoqda, erkak yelka qismoqda: 6-teri turi, shubha, yelka qisish
🤷‍♀	ayol, ayol yelka qismoqda, shubha, yelka qisish
🤷🏻‍♀	1–2-teri turi, ayol, ayol yelka qismoqda, ayol yelka qismoqda: 1–2-teri turi, shubha, yelka qisish
🤷🏼‍♀	3-teri turi, ayol, ayol yelka qismoqda, ayol yelka qismoqda: 3-teri turi, shubha, yelka qisish
🤷🏽‍♀	4-teri turi, ayol, ayol yelka qismoqda, ayol yelka qismoqda: 4-teri turi, shubha, yelka qisish
🤷🏾‍♀	5-teri turi, ayol, ayol yelka qismoqda, ayol yelka qismoqda: 5-teri turi, shubha, yelka qisish
🤷🏿‍♀	6-teri turi, ayol, ayol yelka qismoqda, ayol yelka qismoqda: 6-teri turi, shubha, yelka qisish
👨‍⚕	doktor, erkak shifokor, salomatlik, shifokor, terapevt
👨🏻‍⚕	1–2-teri turi, doktor, erkak shifokor, erkak shifokor: 1–2-teri turi, salomatlik, shifokor, terapevt
👨🏼‍⚕	3-teri turi, doktor, erkak shifokor, erkak shifokor: 3-teri turi, salomatlik, shifokor, terapevt
👨🏽‍⚕	4-teri turi, doktor, erkak shifokor, erkak shifokor: 4-teri turi, salomatlik, shifokor, terapevt
👨🏾‍⚕	5-teri turi, doktor, erkak shifokor, erkak shifokor: 5-teri turi, salomatlik, shifokor, terapevt
👨🏿‍⚕	6-teri turi, doktor, erkak shifokor, erkak shifokor: 6-teri turi, salomatlik, shifokor, terapevt
👩‍⚕	ayol, ayol shifokor, doktor, hamshira, sog‘liqni saqlash
👩🏻‍⚕	1–2-teri turi, ayol, ayol shifokor, ayol shifokor: 1–2-teri turi, doktor, hamshira, sog‘liqni saqlash
👩🏼‍⚕	3-teri turi, ayol, ayol shifokor, ayol shifokor: 3-teri turi, doktor, hamshira, sog‘liqni saqlash
👩🏽‍⚕	4-teri turi, ayol, ayol shifokor, ayol shifokor: 4-teri turi, doktor, hamshira, sog‘liqni saqlash
👩🏾‍⚕	5-teri turi, ayol, ayol shifokor, ayol shifokor: 5-teri turi, doktor, hamshira, sog‘liqni saqlash
👩🏿‍⚕	6-teri turi, ayol, ayol shifokor, ayol shifokor: 6-teri turi, doktor, hamshira, sog‘liqni saqlash
👨‍🎓	bitiruvchi, erkak, erkak talaba, kishi, talaba
👨🏻‍🎓	1–2-teri turi, bitiruvchi, erkak, erkak talaba: 1–2-teri turi, kishi, talaba
👨🏼‍🎓	3-teri turi, bitiruvchi, erkak, erkak talaba: 3-teri turi, kishi, talaba
👨🏽‍🎓	4-teri turi, bitiruvchi, erkak, erkak talaba: 4-teri turi, kishi, talaba
👨🏾‍🎓	5-teri turi, bitiruvchi, erkak, erkak talaba: 5-teri turi, kishi, talaba
👨🏿‍🎓	6-teri turi, bitiruvchi, erkak, erkak talaba: 6-teri turi, kishi, talaba
👩‍🎓	ayol, ayol talaba, bitiruvchi, talaba
👩🏻‍🎓	1–2-teri turi, ayol, ayol talaba: 1–2-teri turi, bitiruvchi, talaba
👩🏼‍🎓	3-teri turi, ayol, ayol talaba: 3-teri turi, bitiruvchi, talaba
👩🏽‍🎓	4-teri turi, ayol, ayol talaba: 4-teri turi, bitiruvchi, talaba
👩🏾‍🎓	5-teri turi, ayol, ayol talaba: 5-teri turi, bitiruvchi, talaba
👩🏿‍🎓	6-teri turi, ayol, ayol talaba: 6-teri turi, bitiruvchi, talaba
👨‍🏫	erkak, erkak o‘qituvchi, o‘qituvchi, professor
👨🏻‍🏫	1–2-teri turi, erkak, erkak o‘qituvchi: 1–2-teri turi, o‘qituvchi, professor
👨🏼‍🏫	3-teri turi, erkak, erkak o‘qituvchi: 3-teri turi, o‘qituvchi, professor
👨🏽‍🏫	4-teri turi, erkak, erkak o‘qituvchi: 4-teri turi, o‘qituvchi, professor
👨🏾‍🏫	5-teri turi, erkak, erkak o‘qituvchi: 5-teri turi, o‘qituvchi, professor
👨🏿‍🏫	6-teri turi, erkak, erkak o‘qituvchi: 6-teri turi, o‘qituvchi, professor
👩‍🏫	ayol, ayol o‘qituvchi, o‘qituvchi, professor
👩🏻‍🏫	1–2-teri turi, ayol, ayol o‘qituvchi: 1–2-teri turi, o‘qituvchi, professor
👩🏼‍🏫	3-teri turi, ayol, ayol o‘qituvchi: 3-teri turi, o‘qituvchi, professor
👩🏽‍🏫	4-teri turi, ayol, ayol o‘qituvchi: 4-teri turi, o‘qituvchi, professor
👩🏾‍🏫	5-teri turi, ayol, ayol o‘qituvchi: 5-teri turi, o‘qituvchi, professor
👩🏿‍🏫	6-teri turi, ayol, ayol o‘qituvchi: 6-teri turi, o‘qituvchi, professor
👨‍⚖	adliya, erkak, erkak sudya, kishi, tarozi
👨🏻‍⚖	1–2-teri turi, adliya, erkak, erkak sudya, erkak sudya: 1–2-teri turi, kishi, tarozi
👨🏼‍⚖	3-teri turi, adliya, erkak, erkak sudya, erkak sudya: 3-teri turi, kishi, tarozi
👨🏽‍⚖	4-teri turi, adliya, erkak, erkak sudya, erkak sudya: 4-teri turi, kishi, tarozi
👨🏾‍⚖	5-teri turi, adliya, erkak, erkak sudya, erkak sudya: 5-teri turi, kishi, tarozi
👨🏿‍⚖	6-teri turi, adliya, erkak, erkak sudya, erkak sudya: 6-teri turi, kishi, tarozi
👩‍⚖	ayol, ayol sudya, sudya, tarozi, xotin
👩🏻‍⚖	1–2-teri turi, ayol, ayol sudya: 1–2-teri turi, sudya, tarozi, xotin
👩🏼‍⚖	3-teri turi, ayol, ayol sudya: 3-teri turi, sudya, tarozi, xotin
👩🏽‍⚖	4-teri turi, ayol, ayol sudya: 4-teri turi, sudya, tarozi, xotin
👩🏾‍⚖	5-teri turi, ayol, ayol sudya: 5-teri turi, sudya, tarozi, xotin
👩🏿‍⚖	6-teri turi, ayol, ayol sudya: 6-teri turi, sudya, tarozi, xotin
👨‍🌾	bog‘bon, erkak, erkak fermer, fermer, rancho egasi
👨🏻‍🌾	1–2-teri turi, bog‘bon, erkak, erkak fermer: 1–2-teri turi, fermer, rancho egasi
👨🏼‍🌾	3-teri turi, bog‘bon, erkak, erkak fermer: 3-teri turi, fermer, rancho egasi
👨🏽‍🌾	4-teri turi, bog‘bon, erkak, erkak fermer: 4-teri turi, fermer, rancho egasi
👨🏾‍🌾	5-teri turi, bog‘bon, erkak, erkak fermer: 5-teri turi, fermer, rancho egasi
👨🏿‍🌾	6-teri turi, bog‘bon, erkak, erkak fermer: 6-teri turi, fermer, rancho egasi
👩‍🌾	ayol, ayol fermer, bog‘bon, fermer, rancho egasi
👩🏻‍🌾	1–2-teri turi, ayol, ayol fermer: 1–2-teri turi, bog‘bon, fermer, rancho egasi
👩🏼‍🌾	3-teri turi, ayol, ayol fermer: 3-teri turi, bog‘bon, fermer, rancho egasi
👩🏽‍🌾	4-teri turi, ayol, ayol fermer: 4-teri turi, bog‘bon, fermer, rancho egasi
👩🏾‍🌾	5-teri turi, ayol, ayol fermer: 5-teri turi, bog‘bon, fermer, rancho egasi
👩🏿‍🌾	6-teri turi, ayol, ayol fermer: 6-teri turi, bog‘bon, fermer, rancho egasi
👨‍🍳	bosh oshpaz, erkak, erkak oshpaz, kishi, oshpaz
👨🏻‍🍳	1–2-teri turi, bosh oshpaz, erkak, erkak oshpaz: 1–2-teri turi, kishi, oshpaz
👨🏼‍🍳	3-teri turi, bosh oshpaz, erkak, erkak oshpaz: 3-teri turi, kishi, oshpaz
👨🏽‍🍳	4-teri turi, bosh oshpaz, erkak, erkak oshpaz: 4-teri turi, kishi, oshpaz
👨🏾‍🍳	5-teri turi, bosh oshpaz, erkak, erkak oshpaz: 5-teri turi, kishi, oshpaz
