😀	arc, nevetés, nevető arc
🤦🏾‍♀	arc, arcát a kezébe temető nő, arcát a kezébe temető nő: közepesen sötét bőrtónus, elkeseredés, hitetlenség, kézbe temetett arc, közepesen sötét bőrtónus, nő
🤦🏿‍♀	arc, arcát a kezébe temető nő, arcát a kezébe temető nő: sötét bőrtónus, elkeseredés, hitetlenség, kézbe temetett arc, nő, sötét bőrtónus
🤷	közömbös, nem érdekel, rándít, váll, vállrándítás
🤷🏻	közömbös, nem érdekel, rándít, világos bőrtónus, váll, vállrándítás, vállrándítás: világos bőrtónus
🤷🏼	közepesen világos bőrtónus, közömbös, nem érdekel, rándít, váll, vállrándítás, vállrándítás: közepesen világos bőrtónus
🤷🏽	közepes bőrtónus, közömbös, nem érdekel, rándít, váll, vállrándítás, vállrándítás: közepes bőrtónus
🤷🏾	közepesen sötét bőrtónus, közömbös, nem érdekel, rándít, váll, vállrándítás, vállrándítás: közepesen sötét bőrtónus
🤷🏿	közömbös, nem érdekel, rándít, sötét bőrtónus, váll, vállrándítás, vállrándítás: sötét bőrtónus
🤷‍♂	férfi, kétség, közömbös, nem érdekel, vállrándítás, vállrándító férfi, érdektelenség
🤷🏻‍♂	férfi, kétség, közömbös, nem érdekel, világos bőrtónus, vállrándítás, vállrándító férfi, vállrándító férfi: világos bőrtónus, érdektelenség
🤷🏼‍♂	férfi, kétség, közepesen világos bőrtónus, közömbös, nem érdekel, vállrándítás, vállrándító férfi, vállrándító férfi: közepesen világos bőrtónus, érdektelenség
🤷🏽‍♂	férfi, kétség, közepes bőrtónus, közömbös, nem érdekel, vállrándítás, vállrándító férfi, vállrándító férfi: közepes bőrtónus, érdektelenség
🤷🏾‍♂	férfi, kétség, közepesen sötét bőrtónus, közömbös, nem érdekel, vállrándítás, vállrándító férfi, vállrándító férfi: közepesen sötét bőrtónus, érdektelenség
🤷🏿‍♂	férfi, kétség, közömbös, nem érdekel, sötét bőrtónus, vállrándítás, vállrándító férfi, vállrándító férfi: sötét bőrtónus, érdektelenség
🤷‍♀	kétség, közömbös, nem érdekel, nő, vállrándítás, vállrándító nő, érdektelenség
🤷🏻‍♀	kétség, közömbös, nem érdekel, nő, világos bőrtónus, vállrándítás, vállrándító nő, vállrándító nő: világos bőrtónus, érdektelenség
🤷🏼‍♀	kétség, közepesen világos bőrtónus, közömbös, nem érdekel, nő, vállrándítás, vállrándító nő, vállrándító nő: közepesen világos bőrtónus, érdektelenség
🤷🏽‍♀	kétség, közepes bőrtónus, közömbös, nem érdekel, nő, vállrándítás, vállrándító nő, vállrándító nő: közepes bőrtónus, érdektelenség
🤷🏾‍♀	kétség, közepesen sötét bőrtónus, közömbös, nem érdekel, nő, vállrándítás, vállrándító nő, vállrándító nő: közepesen sötét bőrtónus, érdektelenség
🤷🏿‍♀	kétség, közömbös, nem érdekel, nő, sötét bőrtónus, vállrándítás, vállrándító nő, vállrándító nő: sötét bőrtónus, érdektelenség
👨‍⚕	doktor, orvos, terapeuta, ápoló
👨🏻‍⚕	doktor, doktor: világos bőrtónus, orvos, terapeuta, világos bőrtónus, ápoló
👨🏼‍⚕	doktor, doktor: közepesen világos bőrtónus, közepesen világos bőrtónus, orvos, terapeuta, ápoló
👨🏽‍⚕	doktor, doktor: közepes bőrtónus, közepes bőrtónus, orvos, terapeuta, ápoló
👨🏾‍⚕	doktor, doktor: közepesen sötét bőrtónus, közepesen sötét bőrtónus, orvos, terapeuta, ápoló
👨🏿‍⚕	doktor, doktor: sötét bőrtónus, orvos, sötét bőrtónus, terapeuta, ápoló
👩‍⚕	doktornő, nővér, orvos, terapeuta, ápolónő
👩🏻‍⚕	doktornő, doktornő: világos bőrtónus, nővér, orvos, terapeuta, világos bőrtónus, ápolónő
👩🏼‍⚕	doktornő, doktornő: közepesen világos bőrtónus, közepesen világos bőrtónus, nővér, orvos, terapeuta, ápolónő
👩🏽‍⚕	doktornő, doktornő: közepes bőrtónus, közepes bőrtónus, nővér, orvos, terapeuta, ápolónő
👩🏾‍⚕	doktornő, doktornő: közepesen sötét bőrtónus, közepesen sötét bőrtónus, nővér, orvos, terapeuta, ápolónő
👩🏿‍⚕	doktornő, doktornő: sötét bőrtónus, nővér, orvos, sötét bőrtónus, terapeuta, ápolónő
👨‍🎓	diák, egyetemista, férfi, férfi tanuló, tanuló
👨🏻‍🎓	diák, egyetemista, férfi, férfi tanuló: világos bőrtónus, tanuló, világos bőrtónus
👨🏼‍🎓	diák, egyetemista, férfi, férfi tanuló: közepesen világos bőrtónus, közepesen világos bőrtónus, tanuló
👨🏽‍🎓	diák, egyetemista, férfi, férfi tanuló: közepes bőrtónus, közepes bőrtónus, tanuló
👨🏾‍🎓	diák, egyetemista, férfi, férfi tanuló: közepesen sötét bőrtónus, közepesen sötét bőrtónus, tanuló
👨🏿‍🎓	diák, egyetemista, férfi, férfi tanuló: sötét bőrtónus, sötét bőrtónus, tanuló
👩‍🎓	diák, egyetemista, nő, női tanuló, tanuló
👩🏻‍🎓	diák, egyetemista, nő, női tanuló, női tanuló: világos bőrtónus, tanuló, világos bőrtónus
👩🏼‍🎓	diák, egyetemista, közepesen világos bőrtónus, nő, női tanuló, női tanuló: közepesen világos bőrtónus, tanuló
👩🏽‍🎓	diák, egyetemista, közepes bőrtónus, nő, női tanuló, női tanuló: közepes bőrtónus, tanuló
👩🏾‍🎓	diák, egyetemista, közepesen sötét bőrtónus, nő, női tanuló, női tanuló: közepesen sötét bőrtónus, tanuló
👩🏿‍🎓	diák, egyetemista, nő, női tanuló, női tanuló: sötét bőrtónus, sötét bőrtónus, tanuló
👨‍🏫	férfi, oktató, professzor, tanár
👨🏻‍🏫	férfi, oktató, professzor, tanár, tanár: világos bőrtónus, világos bőrtónus
👨🏼‍🏫	férfi, közepesen világos bőrtónus, oktató, professzor, tanár, tanár: közepesen világos bőrtónus
👨🏽‍🏫	férfi, közepes bőrtónus, oktató, professzor, tanár, tanár: közepes bőrtónus
👨🏾‍🏫	férfi, közepesen sötét bőrtónus, oktató, professzor, tanár, tanár: közepesen sötét bőrtónus
👨🏿‍🏫	férfi, oktató, professzor, sötét bőrtónus, tanár, tanár: sötét bőrtónus
👩‍🏫	nő, oktató, professzorasszony, tanárnő
👩🏻‍🏫	nő, oktató, professzorasszony, tanárnő, tanárnő: világos bőrtónus, világos bőrtónus
👩🏼‍🏫	közepesen világos bőrtónus, nő, oktató, professzorasszony, tanárnő, tanárnő: közepesen világos bőrtónus
👩🏽‍🏫	közepes bőrtónus, nő, oktató, professzorasszony, tanárnő, tanárnő: közepes bőrtónus
👩🏾‍🏫	közepesen sötét bőrtónus, nő, oktató, professzorasszony, tanárnő, tanárnő: közepesen sötét bőrtónus
👩🏿‍🏫	nő, oktató, professzorasszony, sötét bőrtónus, tanárnő, tanárnő: sötét bőrtónus
👨‍⚖	bíró
👨🏻‍⚖	bíró, bíró: világos bőrtónus, világos bőrtónus
👨🏼‍⚖	bíró, bíró: közepesen világos bőrtónus, közepesen világos bőrtónus
👨🏽‍⚖	bíró, bíró: közepes bőrtónus, közepes bőrtónus
👨🏾‍⚖	bíró, bíró: közepesen sötét bőrtónus, közepesen sötét bőrtónus
👨🏿‍⚖	bíró, bíró: sötét bőrtónus, sötét bőrtónus
👩‍⚖	bírónő
👩🏻‍⚖	bírónő, bírónő: világos bőrtónus, világos bőrtónus
👩🏼‍⚖	bírónő, bírónő: közepesen világos bőrtónus, közepesen világos bőrtónus
👩🏽‍⚖	bírónő, bírónő: közepes bőrtónus, közepes bőrtónus
👩🏾‍⚖	bírónő, bírónő: közepesen sötét bőrtónus, közepesen sötét bőrtónus
👩🏿‍⚖	bírónő, bírónő: sötét bőrtónus, sötét bőrtónus
👨‍🌾	férfi, földműves, gazda, kertész
👨🏻‍🌾	férfi, földműves, gazda, gazda: világos bőrtónus, kertész, világos bőrtónus
👨🏼‍🌾	férfi, földműves, gazda, gazda: közepesen világos bőrtónus, kertész, közepesen világos bőrtónus
👨🏽‍🌾	férfi, földműves, gazda, gazda: közepes bőrtónus, kertész, közepes bőrtónus
👨🏾‍🌾	férfi, földműves, gazda, gazda: közepesen sötét bőrtónus, kertész, közepesen sötét bőrtónus
👨🏿‍🌾	férfi, földműves, gazda, gazda: sötét bőrtónus, kertész, sötét bőrtónus
👩‍🌾	földműves, gazda, kertész, nő, női gazda
👩🏻‍🌾	földműves, gazda, kertész, nő, női gazda, női gazda: világos bőrtónus, világos bőrtónus
👩🏼‍🌾	földműves, gazda, kertész, közepesen világos bőrtónus, nő, női gazda, női gazda: közepesen világos bőrtónus
👩🏽‍🌾	földműves, gazda, kertész, közepes bőrtónus, nő, női gazda, női gazda: közepes bőrtónus
👩🏾‍🌾	földműves, gazda, kertész, közepesen sötét bőrtónus, nő, női gazda, női gazda: közepesen sötét bőrtónus
👩🏿‍🌾	földműves, gazda, kertész, nő, női gazda, női gazda: sötét bőrtónus, sötét bőrtónus
👨‍🍳	férfi, szakács, séf
👨🏻‍🍳	férfi, szakács, szakács: világos bőrtónus, séf, világos bőrtónus
👨🏼‍🍳	férfi, közepesen világos bőrtónus, szakács, szakács: közepesen világos bőrtónus, séf
👨🏽‍🍳	férfi, közepes bőrtónus, szakács, szakács: közepes bőrtónus, séf
👨🏾‍🍳	férfi, közepesen sötét bőrtónus, szakács, szakács: közepesen sötét bőrtónus, séf
👨🏿‍🍳	férfi, szakács, szakács: sötét bőrtónus, séf, sötét bőrtónus
👩‍🍳	nő, szakácsnő, séf
👩🏻‍🍳	nő, szakácsnő, szakácsnő: világos bőrtónus, séf, világos bőrtónus
👩🏼‍🍳	közepesen világos bőrtónus, nő, szakácsnő, szakácsnő: közepesen világos bőrtónus, séf
👩🏽‍🍳	közepes bőrtónus, nő, szakácsnő, szakácsnő: közepes bőrtónus, séf
👩🏾‍🍳	közepesen sötét bőrtónus, nő, szakácsnő, szakácsnő: közepesen sötét bőrtónus, séf
👩🏿‍🍳	nő, szakácsnő, szakácsnő: sötét bőrtónus, séf, sötét bőrtónus
👨‍🔧	férfi, szerelő, villanyszerelő, vízszerelő
👨🏻‍🔧	férfi, szerelő, szerelő: világos bőrtónus, villanyszerelő, világos bőrtónus, vízszerelő
👨🏼‍🔧	férfi, közepesen világos bőrtónus, szerelő, szerelő: közepesen világos bőrtónus, villanyszerelő, vízszerelő
👨🏽‍🔧	férfi, közepes bőrtónus, szerelő, szerelő: közepes bőrtónus, villanyszerelő, vízszerelő
👨🏾‍🔧	férfi, közepesen sötét bőrtónus, szerelő, szerelő: közepesen sötét bőrtónus, villanyszerelő, vízszerelő
👨🏿‍🔧	férfi, szerelő, szerelő: sötét bőrtónus, sötét bőrtónus, villanyszerelő, vízszerelő
👩‍🔧	nő, szerelő, szerelőnő, villanyszerelő, vízszerelő
👩🏻‍🔧	nő, szerelő, szerelőnő, szerelőnő: világos bőrtónus, villanyszerelő, világos bőrtónus, vízszerelő
👩🏼‍🔧	közepesen világos bőrtónus, nő, szerelő, szerelőnő, szerelőnő: közepesen világos bőrtónus, villanyszerelő, vízszerelő
👩🏽‍🔧	közepes bőrtónus, nő, szerelő, szerelőnő, szerelőnő: közepes bőrtónus, villanyszerelő, vízszerelő
👩🏾‍🔧	közepesen sötét bőrtónus, nő, szerelő, szerelőnő, szerelőnő: közepesen sötét bőrtónus, villanyszerelő, vízszerelő
👩🏿‍🔧	nő, szerelő, szerelőnő, szerelőnő: sötét bőrtónus, sötét bőrtónus, villanyszerelő, vízszerelő
👨‍🏭	dolgozó, férfi, férfi munkás, gyári, munkás
👨🏻‍🏭	dolgozó, férfi, férfi munkás: világos bőrtónus, gyári, munkás, világos bőrtónus
👨🏼‍🏭	dolgozó, férfi, férfi munkás: közepesen világos bőrtónus, gyári, közepesen világos bőrtónus, munkás
👨🏽‍🏭	dolgozó, férfi, férfi munkás: közepes bőrtónus, gyári, közepes bőrtónus, munkás
👨🏾‍🏭	dolgozó, férfi, férfi munkás: közepesen sötét bőrtónus, gyári, közepesen sötét bőrtónus, munkás
👨🏿‍🏭	dolgozó, férfi, férfi munkás: sötét bőrtónus, gyári, munkás, sötét bőrtónus
👩‍🏭	dolgozó, gyári, munkás, nő, női munkás
👩🏻‍🏭	dolgozó, gyári, munkás, nő, női munkás, női munkás: világos bőrtónus, világos bőrtónus
👩🏼‍🏭	dolgozó, gyári, közepesen világos bőrtónus, munkás, nő, női munkás, női munkás: közepesen világos bőrtónus
👩🏽‍🏭	dolgozó, gyári, közepes bőrtónus, munkás, nő, női munkás, női munkás: közepes bőrtónus
👩🏾‍🏭	dolgozó, gyári, közepesen sötét bőrtónus, munkás, nő, női munkás, női munkás: közepesen sötét bőrtónus
👩🏿‍🏭	dolgozó, gyári, munkás, nő, női munkás, női munkás: sötét bőrtónus, sötét bőrtónus
👨‍💼	alkalmazott, férfi, férfi irodista, irodai
👨🏻‍💼	alkalmazott, férfi, férfi irodista, férfi irodista: világos bőrtónus, irodai, világos bőrtónus
👨🏼‍💼	alkalmazott, férfi, férfi irodista, férfi irodista: közepesen világos bőrtónus, irodai, közepesen világos bőrtónus
👨🏽‍💼	alkalmazott, férfi, férfi irodista, férfi irodista: közepes bőrtónus, irodai, közepes bőrtónus
👨🏾‍💼	alkalmazott, férfi, férfi irodista, férfi irodista: közepesen sötét bőrtónus, irodai, közepesen sötét bőrtónus
👨🏿‍💼	alkalmazott, férfi, férfi irodista, férfi irodista: sötét bőrtónus, irodai, sötét bőrtónus
👩‍💼	alkalmazott, irodai, női, női irodista
👩🏻‍💼	alkalmazott, irodai, női, női irodista, női irodista: világos bőrtónus, világos bőrtónus
👩🏼‍💼	alkalmazott, irodai, közepesen világos bőrtónus, női, női irodista, női irodista: közepesen világos bőrtónus
👩🏽‍💼	alkalmazott, irodai, közepes bőrtónus, női, női irodista, női irodista: közepes bőrtónus
👩🏾‍💼	alkalmazott, irodai, közepesen sötét bőrtónus, női, női irodista, női irodista: közepesen sötét bőrtónus
👩🏿‍💼	alkalmazott, irodai, női, női irodista, női irodista: sötét bőrtónus, sötét bőrtónus
👨‍🔬	fizikus, férfi, férfi tudós, kémikus, matematikus
👨🏻‍🔬	fizikus, férfi, férfi tudós, férfi tudós: világos bőrtónus, kémikus, matematikus, világos bőrtónus
👨🏼‍🔬	fizikus, férfi, férfi tudós, férfi tudós: közepesen világos bőrtónus, kémikus, közepesen világos bőrtónus, matematikus
👨🏽‍🔬	fizikus, férfi, férfi tudós, férfi tudós: közepes bőrtónus, kémikus, közepes bőrtónus, matematikus
👨🏾‍🔬	fizikus, férfi, férfi tudós, férfi tudós: közepesen sötét bőrtónus, kémikus, közepesen sötét bőrtónus, matematikus
👨🏿‍🔬	fizikus, férfi, férfi tudós, férfi tudós: sötét bőrtónus, kémikus, matematikus, sötét bőrtónus
👩‍🔬	fizikus, kémikus, matematikus, nő, női tudós
👩🏻‍🔬	fizikus, kémikus, matematikus, nő, női tudós, női tudós: világos bőrtónus, világos bőrtónus
👩🏼‍🔬	fizikus, kémikus, közepesen világos bőrtónus, matematikus, nő, női tudós, női tudós: közepesen világos bőrtónus
👩🏽‍🔬	fizikus, kémikus, közepes bőrtónus, matematikus, nő, női tudós, női tudós: közepes bőrtónus
👩🏾‍🔬	fizikus, kémikus, közepesen sötét bőrtónus, matematikus, nő, női tudós, női tudós: közepesen sötét bőrtónus
👩🏿‍🔬	fizikus, kémikus, matematikus, nő, női tudós, női tudós: sötét bőrtónus, sötét bőrtónus
👨‍💻	fejlesztő, feltaláló, férfi, kódoló, programozó, programozó férfi, szoftver
👨🏻‍💻	fejlesztő, feltaláló, férfi, kódoló, programozó, programozó férfi: világos bőrtónus, szoftver, világos bőrtónus
👨🏼‍💻	fejlesztő, feltaláló, férfi, kódoló, közepesen világos bőrtónus, programozó, programozó férfi: közepesen világos bőrtónus, szoftver
👨🏽‍💻	fejlesztő, feltaláló, férfi, kódoló, közepes bőrtónus, programozó, programozó férfi: közepes bőrtónus, szoftver
👨🏾‍💻	fejlesztő, feltaláló, férfi, kódoló, közepesen sötét bőrtónus, programozó, programozó férfi: közepesen sötét bőrtónus, szoftver
👨🏿‍💻	fejlesztő, feltaláló, férfi, kódoló, programozó, programozó férfi: sötét bőrtónus, szoftver, sötét bőrtónus
👩‍💻	fejlesztő, feltaláló, kódoló, nő, programozó, programozó nő, szoftver
👩🏻‍💻	fejlesztő, feltaláló, kódoló, nő, programozó, programozó nő: világos bőrtónus, szoftver, világos bőrtónus
👩🏼‍💻	fejlesztő, feltaláló, kódoló, közepesen világos bőrtónus, nő, programozó, programozó nő: közepesen világos bőrtónus, szoftver
👩🏽‍💻	fejlesztő, feltaláló, kódoló, közepes bőrtónus, nő, programozó, programozó nő: közepes bőrtónus, szoftver
👩🏾‍💻	fejlesztő, feltaláló, kódoló, közepesen sötét bőrtónus, nő, programozó, programozó nő: közepesen sötét bőrtónus, szoftver
👩🏿‍💻	fejlesztő, feltaláló, kódoló, nő, programozó, programozó nő: sötét bőrtónus, szoftver, sötét bőrtónus
👨‍🎤	előadó, férfi, férfi énekes, művész, rock, sztár, énekes
👨🏻‍🎤	előadó, férfi, férfi énekes: világos bőrtónus, művész, rock, sztár, világos bőrtónus, énekes
👨🏼‍🎤	előadó, férfi, férfi énekes: közepesen világos bőrtónus, közepesen világos bőrtónus, művész, rock, sztár, énekes
👨🏽‍🎤	előadó, férfi, férfi énekes: közepes bőrtónus, közepes bőrtónus, művész, rock, sztár, énekes
👨🏾‍🎤	előadó, férfi, férfi énekes: közepesen sötét bőrtónus, közepesen sötét bőrtónus, művész, rock, sztár, énekes
👨🏿‍🎤	előadó, férfi, férfi énekes: sötét bőrtónus, művész, rock, sztár, sötét bőrtónus, énekes
👩‍🎤	előadó, művész, nő, női énekes, rock, sztár, énekes
👩🏻‍🎤	előadó, művész, nő, női énekes, női énekes: világos bőrtónus, rock, sztár, világos bőrtónus, énekes
👩🏼‍🎤	előadó, közepesen világos bőrtónus, művész, nő, női énekes, női énekes: közepesen világos bőrtónus, rock, sztár, énekes
👩🏽‍🎤	előadó, közepes bőrtónus, művész, nő, női énekes, női énekes: közepes bőrtónus, rock, sztár, énekes
👩🏾‍🎤	előadó, közepesen sötét bőrtónus, művész, nő, női énekes, női énekes: közepesen sötét bőrtónus, rock, sztár, énekes
👩🏿‍🎤	előadó, művész, nő, női énekes, női énekes: sötét bőrtónus, rock, sztár, sötét bőrtónus, énekes
👨‍🎨	festő, férfi, férfi művész, művész, paletta
👨🏻‍🎨	festő, férfi, férfi művész: világos bőrtónus, művész, paletta, világos bőrtónus
👨🏼‍🎨	festő, férfi, férfi művész: közepesen világos bőrtónus, közepesen világos bőrtónus, művész, paletta
👨🏽‍🎨	festő, férfi, férfi művész: közepes bőrtónus, közepes bőrtónus, művész, paletta
👨🏾‍🎨	festő, férfi, férfi művész: közepesen sötét bőrtónus, közepesen sötét bőrtónus, művész, paletta
👨🏿‍🎨	festő, férfi, férfi művész: sötét bőrtónus, művész, paletta, sötét bőrtónus
👩‍🎨	festő, művész, nő, női művész, paletta
👩🏻‍🎨	festő, művész, nő, női művész, női művész: világos bőrtónus, paletta, világos bőrtónus
👩🏼‍🎨	festő, közepesen világos bőrtónus, művész, nő, női művész, női művész: közepesen világos bőrtónus, paletta
👩🏽‍🎨	festő, közepes bőrtónus, művész, nő, női művész, női művész: közepes bőrtónus, paletta
👩🏾‍🎨	festő, közepesen sötét bőrtónus, művész, nő, női művész, női művész: közepesen sötét bőrtónus, paletta
👩🏿‍🎨	festő, művész, nő, női művész, női művész: sötét bőrtónus, paletta, sötét bőrtónus
👨‍✈	férfi, pilóta, repülő
👨🏻‍✈	férfi, pilóta, pilóta: világos bőrtónus, repülő, világos bőrtónus
👨🏼‍✈	férfi, közepesen világos bőrtónus, pilóta, pilóta: közepesen világos bőrtónus, repülő
👨🏽‍✈	férfi, közepes bőrtónus, pilóta, pilóta: közepes bőrtónus, repülő
👨🏾‍✈	férfi, közepesen sötét bőrtónus, pilóta, pilóta: közepesen sötét bőrtónus, repülő
👨🏿‍✈	férfi, pilóta, pilóta: sötét bőrtónus, repülő, sötét bőrtónus
👩‍✈	nő, pilóta, pilótanő, repülő
👩🏻‍✈	nő, pilóta, pilótanő, pilótanő: világos bőrtónus, repülő, világos bőrtónus
👩🏼‍✈	közepesen világos bőrtónus, nő, pilóta, pilótanő, pilótanő: közepesen világos bőrtónus, repülő
👩🏽‍✈	közepes bőrtónus, nő, pilóta, pilótanő, pilótanő: közepes bőrtónus, repülő
👩🏾‍✈	közepesen sötét bőrtónus, nő, pilóta, pilótanő, pilótanő: közepesen sötét bőrtónus, repülő
👩🏿‍✈	nő, pilóta, pilótanő, pilótanő: sötét bőrtónus, repülő, sötét bőrtónus
👨‍🚀	férfi, rakéta, űr, űrhajós
👨🏻‍🚀	férfi, rakéta, világos bőrtónus, űr, űrhajós, űrhajós: világos bőrtónus
👨🏼‍🚀	férfi, közepesen világos bőrtónus, rakéta, űr, űrhajós, űrhajós: közepesen világos bőrtónus
👨🏽‍🚀	férfi, közepes bőrtónus, rakéta, űr, űrhajós, űrhajós: közepes bőrtónus
👨🏾‍🚀	férfi, közepesen sötét bőrtónus, rakéta, űr, űrhajós, űrhajós: közepesen sötét bőrtónus
👨🏿‍🚀	férfi, rakéta, sötét bőrtónus, űr, űrhajós, űrhajós: sötét bőrtónus
👩‍🚀	nő, rakéta, űr, űrhajós, űrhajósnő
👩🏻‍🚀	nő, rakéta, világos bőrtónus, űr, űrhajós, űrhajósnő, űrhajósnő: világos bőrtónus
👩🏼‍🚀	közepesen világos bőrtónus, nő, rakéta, űr, űrhajós, űrhajósnő, űrhajósnő: közepesen világos bőrtónus
👩🏽‍🚀	közepes bőrtónus, nő, rakéta, űr, űrhajós, űrhajósnő, űrhajósnő: közepes bőrtónus
👩🏾‍🚀	közepesen sötét bőrtónus, nő, rakéta, űr, űrhajós, űrhajósnő, űrhajósnő: közepesen sötét bőrtónus
👩🏿‍🚀	nő, rakéta, sötét bőrtónus, űr, űrhajós, űrhajósnő, űrhajósnő: sötét bőrtónus
👨‍🚒	férfi, tűz, tűzoltó
👨🏻‍🚒	férfi, tűz, tűzoltó, tűzoltó: világos bőrtónus, világos bőrtónus
👨🏼‍🚒	férfi, közepesen világos bőrtónus, tűz, tűzoltó, tűzoltó: közepesen világos bőrtónus
👨🏽‍🚒	férfi, közepes bőrtónus, tűz, tűzoltó, tűzoltó: közepes bőrtónus
👨🏾‍🚒	férfi, közepesen sötét bőrtónus, tűz, tűzoltó, tűzoltó: közepesen sötét bőrtónus
👨🏿‍🚒	férfi, sötét bőrtónus, tűz, tűzoltó, tűzoltó: sötét bőrtónus
👩‍🚒	nő, tűz, tűzoltó, tűzoltónő
👩🏻‍🚒	nő, tűz, tűzoltó, tűzoltónő, tűzoltónő: világos bőrtónus, világos bőrtónus
👩🏼‍🚒	közepesen világos bőrtónus, nő, tűz, tűzoltó, tűzoltónő, tűzoltónő: közepesen világos bőrtónus
👩🏽‍🚒	közepes bőrtónus, nő, tűz, tűzoltó, tűzoltónő, tűzoltónő: közepes bőrtónus
👩🏾‍🚒	közepesen sötét bőrtónus, nő, tűz, tűzoltó, tűzoltónő, tűzoltónő: közepesen sötét bőrtónus
👩🏿‍🚒	nő, sötét bőrtónus, tűz, tűzoltó, tűzoltónő, tűzoltónő: sötét bőrtónus
👮	rendőrség, zsaru
👮🏻	rendőrség, világos bőrtónus, zsaru, zsaru: világos bőrtónus
👮🏼	közepesen világos bőrtónus, rendőrség, zsaru, zsaru: közepesen világos bőrtónus
👮🏽	közepes bőrtónus, rendőrség, zsaru, zsaru: közepes bőrtónus
👮🏾	közepesen sötét bőrtónus, rendőrség, zsaru, zsaru: közepesen sötét bőrtónus
👮🏿	rendőrség, sötét bőrtónus, zsaru, zsaru: sötét bőrtónus
👮‍♂	férfi, rendőr, zsaru
👮🏻‍♂	férfi, rendőr, rendőr: világos bőrtónus, világos bőrtónus, zsaru
👮🏼‍♂	férfi, közepesen világos bőrtónus, rendőr, rendőr: közepesen világos bőrtónus, zsaru
👮🏽‍♂	férfi, közepes bőrtónus, rendőr, rendőr: közepes bőrtónus, zsaru
👮🏾‍♂	férfi, közepesen sötét bőrtónus, rendőr, rendőr: közepesen sötét bőrtónus, zsaru
👮🏿‍♂	férfi, rendőr, rendőr: sötét bőrtónus, sötét bőrtónus, zsaru
👮‍♀	nő, rendőr, rendőrnő, zsaru
👮🏻‍♀	nő, rendőr, rendőrnő, rendőrnő: világos bőrtónus, világos bőrtónus, zsaru
👮🏼‍♀	közepesen világos bőrtónus, nő, rendőr, rendőrnő, rendőrnő: közepesen világos bőrtónus, zsaru
👮🏽‍♀	közepes bőrtónus, nő, rendőr, rendőrnő, rendőrnő: közepes bőrtónus, zsaru
👮🏾‍♀	közepesen sötét bőrtónus, nő, rendőr, rendőrnő, rendőrnő: közepesen sötét bőrtónus, zsaru
👮🏿‍♀	nő, rendőr, rendőrnő, rendőrnő: sötét bőrtónus, sötét bőrtónus, zsaru
🕵️	detektív, kopó
🕵🏻	detektív, detektív: világos bőrtónus, kopó, világos bőrtónus
🕵🏼	detektív, detektív: közepesen világos bőrtónus, kopó, közepesen világos bőrtónus
🕵🏽	detektív, detektív: közepes bőrtónus, kopó, közepes bőrtónus
🕵🏾	detektív, detektív: közepesen sötét bőrtónus, kopó, közepesen sötét bőrtónus
🕵🏿	detektív, detektív: sötét bőrtónus, kopó, sötét bőrtónus
🕵‍♂	detektív, férfi, kém, nyomozó
🕵🏻‍♂	detektív, férfi, kém, nyomozó, nyomozó: világos bőrtónus, világos bőrtónus
🕵🏼‍♂	detektív, férfi, kém, közepesen világos bőrtónus, nyomozó, nyomozó: közepesen világos bőrtónus
🕵🏽‍♂	detektív, férfi, kém, közepes bőrtónus, nyomozó, nyomozó: közepes bőrtónus
🕵🏾‍♂	detektív, férfi, kém, közepesen sötét bőrtónus, nyomozó, nyomozó: közepesen sötét bőrtónus
🕵🏿‍♂	detektív, férfi, kém, nyomozó, nyomozó: sötét bőrtónus, sötét bőrtónus
🕵‍♀	detektív, kém, kémnő, nyomozó, nyomozónő, nő
🕵🏻‍♀	detektív, kém, kémnő, nyomozó, nyomozónő, nyomozónő: világos bőrtónus, nő, világos bőrtónus
🕵🏼‍♀	detektív, kém, kémnő, közepesen világos bőrtónus, nyomozó, nyomozónő, nyomozónő: közepesen világos bőrtónus, nő
🕵🏽‍♀	detektív, kém, kémnő, közepes bőrtónus, nyomozó, nyomozónő, nyomozónő: közepes bőrtónus, nő
🕵🏾‍♀	detektív, kém, kémnő, közepesen sötét bőrtónus, nyomozó, nyomozónő, nyomozónő: közepesen sötét bőrtónus, nő
🕵🏿‍♀	detektív, kém, kémnő, nyomozó, nyomozónő, nyomozónő: sötét bőrtónus, nő, sötét bőrtónus
💂	gárdista, őrség
💂🏻	gárdista, gárdista: világos bőrtónus, világos bőrtónus, őrség
💂🏼	gárdista, gárdista: közepesen világos bőrtónus, közepesen világos bőrtónus, őrség
💂🏽	gárdista, gárdista: közepes bőrtónus, közepes bőrtónus, őrség
💂🏾	gárdista, gárdista: közepesen sötét bőrtónus, közepesen sötét bőrtónus, őrség
💂🏿	gárdista, gárdista: sötét bőrtónus, sötét bőrtónus, őrség
💂‍♂	férfi, őr
💂🏻‍♂	férfi, világos bőrtónus, őr, őr: világos bőrtónus
💂🏼‍♂	férfi, közepesen világos bőrtónus, őr, őr: közepesen világos bőrtónus
💂🏽‍♂	férfi, közepes bőrtónus, őr, őr: közepes bőrtónus
💂🏾‍♂	férfi, közepesen sötét bőrtónus, őr, őr: közepesen sötét bőrtónus
💂🏿‍♂	férfi, sötét bőrtónus, őr, őr: sötét bőrtónus
💂‍♀	nő, női őr, őr
