😀	sourire, visage rieur
🗣️	parler, silhouette, tête qui parle
👤	buste, silhouette de buste
👥	bustes, silhouettes de bustes
👣	pied, traces de pas
🦰	cheveux roux, rouquin, rouquine
🦱	afro, boucles, bouclés, cheveux bouclés
🦳	blancs, cheveux, cheveux blancs, gris, vieux
🦲	chauve, chimiothérapie, imberbe, rasé, sans cheveux
🐵	animal, singe, tête de singe
🐒	animal, singe
🦍	animal, gorille
🦧	animal, orang-outan, primate, singe
🐶	animal, chien, tête de chien
🐕️	animal, chien
🦮	accessibilité, animal, aveugle, chien guide, guide, non-voyant
🐕‍🦺	accessibilité, aide, animal, assistance, chien d’assistance
🐩	animal, caniche, chien
🐺	animal, loup, tête
🦊	animal, renard, tête
🦝	animal, curieux, raton laveur, sournois
🐱	animal, chat, tête de chat
🐈️	animal, chat
🦁	animal, lion, tête de lion, zodiaque
🐯	animal, tigre, tête de tigre
🐅	animal, tigre
🐆	animal, léopard
🐴	animal, cheval, tête de cheval
🐎	animal, cheval
🦄	animal, licorne, tête
🦓	animal, rayure, zèbre, zébrure
🦌	animal, cerf
🐮	animal, tête de vache, vache
🐂	animal, bœuf
🐃	animal, buffle
🐄	animal, vache
🐷	animal, cochon, tête de cochon
🐖	animal, cochon
🐗	animal, sanglier
🐽	animal, cochon, groin
🐏	animal, bélier
🐑	animal, mouton
🐐	animal, chèvre
🐪	animal, dromadaire
🐫	animal, chameau
🦙	alpaga, guanaco, laine, lama, vigogne
🦒	animal, girafe, taches
🐘	animal, éléphant
🦏	animal, rhinocéros
🦛	animal, hippopotame
🐭	animal, souris, tête de souris
🐁	animal, souris
🐀	animal, rat
🐹	animal, hamster, tête
🐰	animal, lapin, tête de lapin
🐇	animal, lapin
🐿️	animal, écureuil
🦔	animal, hérisson, épineux
🦇	animal, chauve-souris, vampire
🐻	animal, ours, tête
🐨	animal, koala
🐼	animal, panda, tête
🦥	animal, aï, endormi, lent, paresseux
🦦	animal, joueur, loutre, pêcheur
🦨	animal, mouffette, odeur, puer, putois
🦘	Australie, joey, kangourou, marsupial, saut
🦡	animal, blaireau, ratel
🐾	empreintes, empreintes d’animaux, pattes
🦃	animal, dindon, oiseau
🐔	animal, oiseau, poule
🐓	animal, coq, oiseau
🐣	animal, oiseau, poussin, poussin qui éclôt
🐤	animal, oiseau, poussin
🐥	animal, oiseau, poussin de face
🐦️	animal, oiseau
🐧	animal, oiseau, pingouin
🕊️	animal, colombe, oiseau
🦅	aigle, animal, oiseau, rapace
🦆	animal, canard, oiseau
🦢	animal, cygne, jeune cygne, oiseau, vilain petit canard
🦉	animal, chouette, oiseau
🦩	animal, flamant, oiseau, rose, tropical
🦚	animal, fier, oiseau, paon, paonne, prétentieux
🦜	animal, oiseau, parle, perroquet, pirate
🐸	animal, grenouille, tête
🐊	animal, crocodile, reptile
🐢	animal, reptile, tortue
🦎	animal, lézard, reptile
🐍	animal, reptile, serpent
🐲	animal, dragon, tête de dragon
🐉	animal, dragon
🦕	animal, brachiosaure, brontosaure, diplodocus, sauropode
🦖	T-Rex, Tyrannosaurus Rex, tyrannosaure
🐳	animal, baleine, baleine soufflant par son évent
🐋	animal, baleine
🐬	animal, dauphin
🐟️	animal, poisson, poissons, zodiaque
🐠	animal, poisson, poisson tropical
🐡	animal, poisson, poisson-lune
🦈	animal, poisson, requin
🐙	animal, mollusque, pieuvre
🐚	coquille, coquille en spirale, spirale
🐌	animal, escargot
🦋	insecte, mignon, papillon
🐛	animal, chenille, insecte
🐜	animal, fourmi, insecte
🐝	abeille, animal, insecte
🐞	animal, coccinelle, insecte
🦗	animal, criquet, insecte, sauterelle
🕷️	animal, araignée, insecte
🕸️	araignée, toile, toile d’araignée
🦂	animal, scorpion
🦟	fièvre, insecte, maladie, malaria, moustique, virus
🦠	amibe, bactérie, microbe, virus
💐	bouquet, fleur, plante
🌸	fleur, fleur de cerisier
💮	fleur, fleur blanche
🏵️	plante, rosette
🌹	fleur, rose
🥀	fanée, fleur, fleur fanée
🌺	fleur, hibiscus
🌻	fleur, tournesol
🌼	bourgeon, fleur
🌷	fleur, tulipe
🌱	jeune plant, jeune pousse, plantule
🌲	arbre, conifère
🌳	arbre, arbre à feuilles caduques, feuilles caduques, feuillu
🌴	arbre, palmier
🌵	cactus, plante
🌾	plant de riz, riz
🌿	feuille, plante
☘️	plante, trèfle
🍀	chance, trèfle, trèfle à quatre feuilles
🍁	feuille, feuille d’érable
🍂	feuille, feuille morte
🍃	feuille, feuille virevoltante, souffle, vent
🍇	fruit, raisin
🍈	fruit, melon
🍉	fruit, pastèque
🍊	fruit, mandarine, orange
🍋	citron, fruit
🍌	banane, fruit
🍍	ananas, fruit
🥭	fruit, mangue, tropical
🍎	fruit, pomme, pomme rouge
🍏	fruit, pomme, pomme verte
🍐	fruit, poire
🍑	fruit, pêche
🍒	cerises, fruit
🍓	fraise, fruit
🥝	fruit, kiwi
🍅	légume, plante, tomate
🥥	fruit, noix de coco, palmier, piña colada
🥑	avocat, fruit
🍆	aubergine, légume
🥔	légume, patate, pomme de terre
🥕	carotte, légume
🌽	maïs, épi, épi de maïs
🌶️	piment, piment rouge
🥒	concombre, légume
🥬	chou, chou chinois, chou frisé, chou pommé, laitue, légume à feuilles vertes
🥦	broccoli, chou sauvage, légume
🧄	ail, assaisonnement, condiment, légume
🧅	assaisonnement, condiment, légume, oignon
🍄	champignon, plante
🥜	arachide, cacahuète, cacahuètes, noisette
🌰	châtaigne, plante
🍞	miche, pain
🥐	croissant, pain, viennoiserie
🥖	baguette, pain
🥨	bretzel, torsade
🥯	bagel, boulangerie, schmear
🥞	crêpe, pancake, pancakes
🧇	gaufre, gourmandise, moule, pâtisserie
🧀	fromage, part de fromage
🍖	viande, viande sur un os
🍗	cuisse de poulet, poulet
🥩	côtelette, côtelette de porc, côtelette d’agneau, morceau de viande, steak
🥓	bacon, lard, viande
🍔	burger, hamburger
🍟	frites, potatœs
🍕	fromage, part, pizza
🌭	hot dog, saucisse, saucisse de Francfort
🥪	pain, sandwich
🌮	mexicain, taco
🌯	burrito, mexicain
🥙	falafel, kebab
🧆	boulettes, falafels, pois chiches, seitan, soja, viande
🥚	œuf
🍳	friture, poêle, œuf, œuf au plat
🥘	casserole, paella, plat, plat mitonné, poêle
🍲	marmite, ragoût
🥣	bol avec cuillère, congee, céréales, déjeuner
🥗	salade, salade verte, verte
🍿	pop-corn
🧈	beurre, gras, produit laitier
🧂	condiment, sel, shaker
🥫	aliments en conserve, conserve
🍱	boîte, boîte déjeuner, déjeuner
🍘	galette, galette de riz, riz
🍙	boulette, boulette de riz, japonais, riz
🍚	bol de riz, riz
🍛	curry, riz, riz au curry
🍜	bol, bol fumant, nouilles, ramen, vapeur
🍝	pâtes, spaghetti
🍠	patate, patate douce
🍢	brochette, brochette de poisson
🍣	sushi
🍤	beignet de crevette, crevette
🍥	croquette de poisson, poisson
🥮	automne, festival, gâteau de lune, yuèbǐng
🍡	bonbons, brochette de bonbons
🥟	boulette de pâte, empanada, gyōza, jiaozi, pierogi, potsticker
🥠	biscuit chinois, prophétie
🥡	boîte à emporter, seau d’huîtres
🦀	animal, crabe
🦞	bisque, fruits de mer, homard, pinces
🦐	crevette, crustacé
🦑	calamar, mollusque
🦪	coquille, huître, mollusque, perle
🍦	glace, glace italienne
🍧	glace, granité
🍨	crème, dessert, glace, sucré
🍩	dessert, doughnut, sucré
🍪	cookie, dessert, sucré
🎂	anniversaire, gâteau d’anniversaire
🍰	dessert, gâteau, gâteau sablé, pâtisserie, sucré
🧁	cupcake, pâtisserie, sucrerie
🥧	décoration, garniture, gâteau, pâtisserie, tarte
🍫	barre, barre chocolatée, chocolat, dessert, sucré
🍬	bonbon, dessert, sucré
🍭	dessert, sucette, sucrerie, sucré
🍮	crème renversée, dessert, pudding, sucré
🍯	miel, pot, pot de miel, sucré
🍼	biberon, boisson, bébé, lait
🥛	boisson, lait, verre, verre de lait
☕️	boisson, boisson chaude
🍵	tasse, thé
🍶	bouteille, saké
🍾	boisson, bouchon, bouteille, bouteille de champagne, pop
🍷	verre, verre de vin, vin
🍸️	cocktail, verre
🍹	cocktail tropical, verre
🍺	bière, chope
🍻	bière, chopes de bière, trinquer
🥂	célébrer, fêter, trinquer, verre
🥃	liqueur, tumbler, verre, verre tumbler, whisky
🥤	gobelet avec paille, jus de fruits, soda, tasse avec paille
🧃	briquette de jus, carton, jus de fruits
🧉	boisson, maté
🧊	froid, glace, glaçon, iceberg
🥢	baguettes, hashi
🍽️	assiette, assiette et couverts, couteau, cuisine, fourchette
🍴	couteau et fourchette, restaurant
🥄	couvert, cuillère
🔪	arme, couteau, couteau de cuisine, cuisine, outil
🏺	amphore, cuisine, vase
🌍	afrique, europe, globe tourné sur l’Afrique et l’Europe
🌎️	amérique, globe tourné sur les Amériques
🌏	asie, australie, globe tourné sur l’Asie et l’Australie
🌐	globe avec méridiens, globe terrestre
🗺️	carte, carte du monde
🗾	carte, carte du Japon, japon
🧭	boussole, magnétique, navigation, orientation
🏔️	montagne, montagne enneigée
⛰️	montagne
🌋	volcan, éruption
🗻	mont Fuji, montagne
🏕️	camping
🏖️	parasol, plage, plage avec parasol
🏜️	désert
🏝️	île, île déserte
🏞️	nature, parc national
🏟️	stade
🏛️	monument, monument classique
🏗️	construction, construction d’un bâtiment
🧱	argile, brique, briques, mortier, mur
🏘️	bâtiments, maisons
🏚️	maison, maison abandonnée
🏠️	bâtiment, maison, pavillon
🏡	jardin, maison, maison avec jardin
🏢	immeuble, immeuble de bureaux
🏣	Japon, bureau de poste japonais, bâtiment, poste
🏤	bureau de poste, poste
🏥	bâtiment, hôpital
🏦	banque, bâtiment
🏨	bâtiment, hôtel
🏩	bâtiment, love hotel
🏪	magasin, supérette, épicerie
🏫	bâtiment, école
🏬	grand magasin, magasin
🏭️	bâtiment, usine
🏯	bâtiment, château japonais
🏰	bâtiment, château, européen
💒	amour, chapelle, mariage, église
🗼	Tokyo, tour, tour de Tokyo
🗽	statue, statue de la Liberté
⛪️	bâtiment, chrétien, croix, religion, église
🕌	islam, mosquée, musulman, religion
🛕	hindou, religion, stūpa, temple, temple hindou
🕍	juif, juive, religion, synagogue, temple
⛩️	sanctuaire shinto, shinto
🕋	islam, kaaba, musulman, religion
⛲️	fontaine
⛺️	camping, tente
🌁	brouillard, brume
🌃	nuit, nuit étoilée, étoiles
🏙️	bâtiment, ville
🌄	soleil, soleil levant derrière les montagnes
🌅	soleil, soleil levant
🌆	soleil, ville au crépuscule
🌇	coucher de soleil, soleil
🌉	pont, pont de nuit
♨️	source, sources chaudes
🎠	cheval, cheval de manège, manège
🎡	grande roue, roue
🎢	montagnes, montagnes russes, russes
💈	barbier, coiffure, enseigne, enseigne de barbier
🎪	chapiteau, cirque
🚂	locomotive, train
🚃	chemin de fer, train, voiture, wagon
🚄	TGV, train
🚅	train, train à grande vitesse
🚆	chemin de fer, train
🚇️	métro
🚈	métro, métro léger
🚉	gare, train
🚊	tramway
🚝	monorail, véhicule
🚞	train, train de montagne
🚋	tram, trolleybus, voiture, wagon de tramway
🚌	bus, véhicule
🚍️	bus, bus de face
🚎	bus, trolley, trolleybus
🚐	bus, minibus
🚑️	ambulance, véhicule
🚒	camion de pompier, pompier
🚓	police, voiture de police
🚔️	police, voiture de police de face
🚕	taxi, véhicule
🚖	taxi, taxi de face
🚗	automobile, voiture
🚘️	automobile, voiture de face
🚙	loisirs, voiture, véhicule utilitaire sport
🚚	camion, camion de livraison
🚛	camion, poids lourd, semi, semi-remorque
🚜	tracteur, véhicule
🏎️	course, voiture, voiture de course
🏍️	course, moto
🛵	scooter
🦽	accessibilité, fauteuil roulant manuel
🦼	accessibilité, fauteuil motorisé, fauteuil roulant
🛺	rickshaw, taxi, tricycle, tuk tuk
🚲️	vélo
🛴	trottinette
🛹	planche, planche à roulettes
🚏	arrêt de bus, bus
🛣️	autoroute, route
🛤️	train, voie ferrée
🛢️	baril de pétrole, pétrole
⛽️	essence, pompe à essence, station
🚨	gyrophare, lumière, police, voiture
🚥	feu, feu tricolore horizontal, tricolore
🚦	feu, feu tricolore vertical, tricolore
🛑	signe, stop
🚧	barrière, travaux
⚓️	ancre, bateau, outil
⛵️	bateau, mer, voilier, yacht
🛶	bateau, canoë
🚤	bateau, hors-bord
🛳️	bateau, paquebot
⛴️	bateau, ferry
🛥️	bateau, bateau à moteur
🚢	bateau, navire
✈️	avion, véhicule
🛩️	avion, petit avion
🛫	avion, avion au décollage
🛬	avion, avion à l’atterrissage
🪂	parachute, parachute ascensionnel, parapente
💺	fauteuil, siège
🚁	hélicoptère, véhicule
🚟	train, train suspendu
🚠	montagne, télécabine, téléphérique
🚡	tramway, tramway aérien, télécabine
🛰️	espace, satellite
🚀	espace, fusée
🛸	OVNI, soucoupe volante
🛎️	cloche, cloche de comptoir, hôtel
🧳	bagage, valise, voyage
⌛️	minuteur, sable, sablier
⏳️	sablier, sablier avec sable qui coule
⌚️	heure, montre
⏰	alarme, heure, réveil
⏱️	chronomètre, heure
⏲️	heure, horloge, minuteur
🕰️	horloge, pendule
🕛️	0 h, 12 h, midi/minuit
🕧	00 h 30, 12 h 30, midi/minuit et demie
🕐️	1 h, 13 h, une heure
🕜	1 h 30, 13 h 30, une heure et demie
🕑️	14 h, 2 h, deux heures
🕝	14 h 30, 2 h 30, deux heures et demie
🕒️	15 h, 3 h, trois heures
🕞	15 h 30, 3 h 30, trois heures et demie
🕓️	16 h, 4 h, quatre heures
🕟	16 h 30, 4 h 30, quatre heures et demie
🕔️	17 h, 5 h, cinq heures
🕠	17 h 30, 5 h 30, cinq heures et demie
🕕️	18 h, 6 h, six heures
🕡	18 h 30, 6 h 30, six heures et demie
🕖️	19 h, 7 h, sept heures
🕢	19 h 30, 7 h 30, sept heures et demie
🕗️	20 h, 8 h, huit heures
🕣	20 h 30, 8 h 30, huit heures et demie
🕘️	21 h, 9 h, neuf heures
🕤	21 h 30, 9 h 30, neuf heures et demie
🕙️	10 h, 22 h, dix heures
🕥	10 h 30, 22 h 30, dix heures et demie
🕚️	11 h, 23 h, onze heures
🕦	11 h 30, 23 h 30, onze heures et demie
🌑	lune, nouvelle lune
🌒	lune, lune croissante
🌓	lune, premier quartier de lune
🌔	lune, lune gibbeuse croissante
🌕️	lune, pleine lune
🌖	lune, lune gibbeuse décroissante
🌗	dernier quartier, lune
🌘	lune, lune décroissante
🌙	croissant de lune, lune
🌚	lune, nouvelle lune avec visage
🌛	lune, premier quartier de lune avec visage
🌜️	dernier quartier de lune avec visage, lune
🌡️	météo, thermomètre
☀️	brillant, météo, rayons, soleil
🌝	lune, pleine lune avec visage
🌞	soleil, soleil avec visage
🪐	planète à anneaux, saturne, saturnien
⭐️	étoile
🌟	étoile, étoile brillante
🌠	étoile, étoile filante
🌌	espace, voie lactée
☁️	météo, nuage
⛅️	nuageux, soleil, soleil derrière les nuages
⛈️	nuage, nuage avec éclair et pluie
🌤️	nuage, soleil derrière un petit nuage
🌥️	nuage, soleil derrière un gros nuage
🌦️	nuage, soleil derrière un nuage de pluie
🌧️	nuage, nuage avec pluie
🌨️	nuage, nuage avec neige
🌩️	nuage, nuage avec éclair
🌪️	météo, nuage, tornade, tourbillon
🌫️	brouillard, météo, nuage
🌬️	météo, souffle, vent, vent avec visage, visage
🌀	cyclone, tourbillon
🌈	arc-en-ciel, météo, pluie
🌂	parapluie, parapluie fermé
☂️	parapluie, parapluie ouvert
☔️	parapluie, parapluie avec gouttes de pluie
⛱️	météo, parapluie, parasol sur le sol, pluie, soleil
⚡️	danger, haute tension, symbole de haute tension
❄️	flocon, neige
☃️	bonhomme de neige, neige
⛄️	bonhomme de neige sans neige, neige
☄️	comète, espace
🔥	feu, flamme
💧	goutte d’eau, sueur
🌊	mer, océan, vague
🎃	citrouille, citrouille lanterne, halloween
🎄	Noël, arbre, fête, sapin de Noël
🎆	artifice, feu d’artifice
🎇	cierge magique, feu d’artifice, fête, étincelle
🧨	dynamite, explosif, feu d’artifice, pétard
✨	*, scintiller, étincelles, étoile
🎈	ballon gonflable, fête
🎉	cotillons, fête
🎊	confettis, fête
🎋	arbre, arbre à vœux, vœux
🎍	bambou, bambou décoratif, fête, japonais, plante
🎎	poupées, poupées japonaises
🎏	carpe, fête, koinobori
🎐	carillon, carillon éolien, clochette, fête, vent
🎑	cérémonie, cérémonie de la lune, lune
🧧	argent, bonne chance, cadeau, enveloppe rouge, hóngbāo, lai see
🎀	fête, ruban
🎁	anniversaire, cadeau, fête
🎗️	ruban, ruban de mémoire
🎟️	billet d’entrée, spectacle
🎫	billet, spectacle
🎖️	médaille, médaille militaire
🏆️	prix, trophée
🏅	médaille, médaille sportive
🥇	1er, médaille, médaille d’or, or
🥈	2e, argent, médaille, médaille d’argent
🥉	3e, bronze, médaille, médaille de bronze
⚽️	ballon, ballon de football, football, sport
⚾️	balle, baseball, sport
🥎	balle, gant, par le dessous, softball
🏀	ballon, basket, panier, sport
🏐	ballon, match, sport, volley-ball
🏈	ballon, football américain, sport
🏉	ballon, rugby, sport
🎾	balle, sport, tennis
🥏	disque-volant, sport, ultimate
🎳	boule, bowling, jeu, partie
🏏	balle, batte, cricket, match, sport
🏑	balle, crosse, hockey, hockey sur gazon, sport
🏒	crosse, hockey, hockey sur glace, palet, sport
🥍	balle, but, crosse, sport
🏓	partie, ping-pong, raquette, sport, tennis de table
🏸	badminton, match, raquette, sport, volant
🥊	boxe, gant, gant de boxe, sport
🥋	arts martiaux, judo, karaté, sport, taekwondo, tenue, tenue d’arts martiaux
🥅	cage, filet, sport
⛳️	drapeau de golf, golf, sport, trou
⛸️	glace, patin, patin à glace, sport
🎣	pêche, pêche à la ligne
🤿	apnée, masque de plongée, plonger, snorkeling, tuba
🎽	maillot de course, sport
🎿	ski, sport
🛷	luge, traîneau
🥌	granit, match, partie, pierre de curling, sport
🎯	cible, dans le mille
🪀	descendre, jouet, monter, osciller, yoyo
🪁	cerf-volant, planer, voler
🎱	billard, jeu
🔮	boule de cristal, cristal
🧿	amulette, mauvais œil, nazar, perle, talisman
🎮️	jeu vidéo, manette
🕹️	jeu, jeu vidéo, joystick, manette de jeu
🎰	jeu, machine à sous
🎲	dés, jeu
🧩	assemblage, indice, pièce de puzzle, puzzle
🧸	jeu, jouet, ours en peluche, peluche
♠️	carte, couleur, jeu, pique
♥️	couleur, cœur, cœur cartes, jeu
♦️	carreau, carreaux, carte, couleur, jeu
♣️	couleur, jeu, trèfle, trèfle cartes
♟️	duper, pion d’échec, sacrifiable, échec
🃏	Joker, carte Joker, jeu
🀄️	dragon rouge mahjong, jeu, mahjong, rouge
🎴	carte, fleur, japonais, jeu, jeu des fleurs
🎭️	art, masque, spectacle, spectacle vivant, théâtre
🖼️	art, cadre avec image, image, musée, peinture
🎨	art, musée de peinture, palette de peinture, peinture
🧵	aiguille, bobine, bobine de fil, couture, ficelle
🧶	boule, crochet, fil, tricot
👓️	lunettes, lunettes de vue, vêtements, œil
🕶️	lunettes, lunettes de soleil, soleil
🥽	lunettes, natation, protection des yeux, soudage
🥼	blouse blanche, docteur, expérience, scientifique
🦺	fluo, gilet de sécurité, sécurité, sûreté, visibilité
👔	cravate, vêtements
👕	T-shirt, tee-shirt, vêtements
👖	jean, pantalon, vêtements
🧣	cou, foulard, vêtements
🧤	gants, main, vêtements
🧥	manteau, veste, vêtements
🧦	chaussettes, pieds, vêtements
👗	robe, vêtements
👘	kimono, vêtements
🥻	mode, robe, sari, vêtement
🩱	maillot de bain, maillot de bain une pièce
🩲	maillot de bain, slip, sous-vêtement
🩳	caleçon, maillot de bain, short, sous-vêtement
👙	bikini, maillot de bain
👚	femme, vêtements, vêtements de femme
👛	monnaie, porte-monnaie, vêtements
👜	sac, sac à main, vêtements
👝	pochette, sac, vêtements
🛍️	sac, sacs de shopping, shopping
🎒	cartable, sac, sac à dos, école
👞	chaussure, chaussure d’homme, homme, vêtements
👟	chaussure, chaussure de sport, vêtements
🥾	camping, chaussure, chaussure de randonnée, marche, randonnée, vêtements
🥿	ballerine, chaussure plate, chaussure sans lacets, mule, vêtements
👠	chaussure, chaussure à talon haut, vêtements
👡	chaussure, sandale de femme, vêtements
🩰	ballet, chaussons de danse, chaussures, danse
👢	botte, botte de femme, chaussure, vêtements
👑	couronne, reine, roi, vêtements
👒	chapeau, chapeau de femme, femme, vêtements
🎩	chapeau, haut de forme, vêtements
🎓️	chapeau, toque universitaire, vêtements
🧢	casquette américaine, casquette de baseball, vêtements
⛑️	assistance, casque, casque de secouriste, croix
📿	chapelet, prière, religion, vêtements
💄	maquillage, rouge à lèvres
💍	amour, bague, diamant
💎	bijou, diamant, joyau, pierre précieuse
🔇	muet, silence, son
🔈️	son, volume des enceintes faible
🔉	son, volume des enceintes moyen
🔊	son, volume des enceintes élevé
📢	haut-parleur, son
📣	manifestation, mégaphone, porte-voix
📯	cor postal, facteur
🔔	cloche
🔕	alarme désactivée, barrée, cloche, silence
🎼	musique, partition
🎵	musique, note, note de musique
🎶	musique, note, notes, notes de musique
🎙️	micro, micro de studio
🎚️	curseur, curseur de niveau, musique, niveau
🎛️	boutons, boutons de commande, boutons de réglage
🎤	karaoke, micro
🎧️	casque, écouteurs
📻️	radio, vidéo
🎷	instrument, musique, saxophone
🎸	guitare, instrument, musique
🎹	clavier, instrument, musique, piano
🎺	instrument, musique, trompette
🎻	instrument, musique, violon
🪕	banjo, cordes, instrument à cordes, musique
🥁	baguettes, batterie, musique, tambour
📱	téléphone, téléphone portable
📲	appel, appel entrant
☎️	téléphone
📞	combiné téléphonique, téléphone
📟️	bipeur, pager
📠	fax, télécopieur
🔋	pile
🔌	câble avec fiche électrique, prise
💻️	ordinateur, ordinateur portable
🖥️	ordinateur, ordinateur de bureau
🖨️	imprimante, ordinateur
⌨️	clavier, ordinateur
🖱️	souris, souris d’ordinateur
🖲️	boule de commande, ordinateur, souris à boule
💽	disque, disque d’ordinateur
💾	disque, disquette, ordinateur
💿️	CD, disque
📀	DVD, disque
🧮	abaque, calcul
🎥	caméra, cinéma, film
🎞️	bande, cinéma, film, pellicule
📽️	projecteur, projecteur cinématographique
🎬️	clap, film
📺️	TV, téléviseur, télévision
📷️	appareil photo, vidéo
📸	appareil photo, appareil photo avec flash
📹️	caméra, caméscope, vidéo
📼	cassette vidéo, vhs, vidéocassette
🔍	loupe, loupe orientée à gauche, recherche
🔎	loupe, loupe orientée à droite, recherche
🕯️	bougie, lumière
💡	ampoule, dessin, idée, lumière
🔦	lumière, torche
🏮	japonais, lampion rouge, lanterne, lumière, rouge
🪔	Diwali, diya, huile, lampe, lampe à beurre, ārtī
📔	carnet, carnet avec couverture
📕	livre, livre fermé
📖	livre, livre ouvert
📗	livre, livre vert
📘	livre, livre bleu
📙	livre, livre orange
📚️	livre, livres
📓	carnet
📒	carnet de compte, grand livre
📃	page, page enroulée
📜	papier, parchemin
📄	document, page
📰	actualités, journal
🗞	journal, journal roulé
📑	marque, marqueur, onglets, signet, signets
🔖	marque-page, marqueur
🏷️	étiquette
💰️	argent, dollar, sac, sac d’argent, sac plein d’argent
💴	billet, billet en yens
💵	billet, billet en dollars
💶	billet, billet en euros
💷	billet, billet en livres
💸	billet, billet avec des ailes
💳️	bancaire, carte, carte bancaire
🧾	comptabilité, justificatif, preuve, reçu
💹	banque, courbe avec yen en hausse, graphique, hausse, monnaie
💱	argent, banque, change, conversion, conversion de devise, devise
💲	argent, dollar
✉️	courrier électronique, e-mail, enveloppe
📧	courrier électronique, e-mail, message
📨	courrier électronique, e-mail, message, message reçu
📩	courrier électronique, e-mail, enveloppe avec flèche, message
📤️	boîte d’envoi, courrier électronique, e-mail, message
📥️	boîte de réception, courrier électronique, e-mail, message
📦️	colis, paquet
📫️	boîte aux lettres fermée drapeau levé, courrier
📪️	boîte aux lettres fermée drapeau baissé, courrier
📬️	boîte aux lettres ouverte drapeau levé, courrier
📭️	boîte aux lettres ouverte drapeau baissé, courrier
📮	boîte aux lettres, courrier
🗳️	urne, urne électorale
✏️	crayon
✒️	stylo, stylo plume noir
🖋️	stylo, stylo plume
🖊️	stylo, stylo bille
🖌️	peinture, pinceau
🖍️	crayon pastel, pastel
📝	crayon, mémo
💼	porte-documents
📁	dossier, fichier
📂	dossier, dossier ouvert
🗂️	classement, index, intercalaire, intercalaires
📅	calendrier, date
📆	calendrier, date, éphéméride
🗒️	bloc-notes à spirale, notes
🗓️	calendrier, calendrier à spirale
📇	carnet d’adresses, fiche, index, rolodex
📈	graphique, graphique en hausse, hausse, tendance
📉	baisse, graphique, graphique en baisse, tendance
📊	graphique, graphiques à barres
📋️	fournitures, porte-bloc
📌	fournitures, punaise
📍	fournitures, épingle
📎	fournitures, trombone
🖇️	fournitures, trombones
📏	fournitures, règle
📐	fournitures, équerre
✂️	ciseaux, fournitures
🗃️	boîte à dossiers, dossier
🗄️	classement, classer, dossier, meuble, meuble à dossiers
🗑️	corbeille, corbeille à papiers
🔒️	cadenas, cadenas fermé, verrouillé
🔓️	cadenas, cadenas ouvert
🔏	cadenas fermé avec stylo, verrouillé
🔐	cadenas fermé avec clé, sécurisé
🔑	clé, mot de passe, serrure
🗝️	clé, clé ancienne, serrure
🔨	marteau, outil
🪓	bois, fendre, hache, hachette
⛏️	mine, outil, pioche
⚒️	marteau, marteau et pioche, outil, pioche
🛠️	clé, clé à molette, marteau, marteau et clé à molette, outil
🗡️	arme, couteau, dague, poignard
⚔️	arme, croisées, épées, épées croisées
🔫	arme, arme à feu, pistolet, revolver
🏹	Sagittaire, arc, arc et flèche, archer, flèche
🛡️	arme, bouclier
🔧	clé, clé à molette, outil
🔩	outil, vis, vis et écrou, écrou
⚙️	engrenage, outil, roue dentée
🗜️	outil, serre-joint
⚖️	balance, balance à poids, justice
🦯	accessibilité, aveugle, canne blanche, déficient visuel, malvoyant
🔗	chaînons, maillons
⛓️	chaîne, chaînes
🧰	boîte à outils, coffre, mécanique, outil
🧲	aimant, attraction, fer à cheval, magnétique
⚗️	alambic, chimie, outil
🧪	chimie, chimiste, expérience, labo, sciences, tube à essai
🧫	bactérie, biologie, biologiste, boîte de pétri, culture, labo
🧬	adn, biologiste, gène, génétique, vie, évolution
🔬	microscope, outil, science
🔭	outil, science, télescope
📡	antenne, antenne parabolique, antenne satellite, parabole
💉	aiguille, docteur, malade, médecine, seringue
🩸	don du sang, goutte de sang, menstruation, médecine, règles
💊	docteur, malade, médecine, pilule
🩹	bandage, médecine, pansement, premiers secours, sparadrap
🩺	cœur, docteur, médecine, poumons, stéthoscope
🚪	porte
🛏️	dormir, hôtel, lit
🛋️	canapé, canapé et lampe, lampe
🪑	assis, chaise, siège
🚽	toilettes
🚿	douche, eau
🛁	baignoire, bain
🪒	coupant, lame, raser, rasoir, tranchant
🧴	bouteille de lotion, crème hydratante, crème solaire, flacon, lotion, shampooing
🧷	couche, lange, punk rock, épingle de sûreté
🧹	balai, balayage, nettoyage, sorcière
🧺	agriculture, linge, panier, pique-nique
🧻	essuie-tout, papier hygiénique, papier toilette, rouleau de papier
🧼	bain, lavage, mousse, pain, savon, soapdish
🧽	absorbante, nettoyage, poreuse, éponge
🧯	extincteur, feu, incendie, éteindre
🛒	chariot, panier, shopping
🚬	cigarette, fumeur
⚰️	cercueil, mort
⚱️	urne, urne funéraire
🗿	moai, statue
🏧	argent, dab, distributeur de billets
🚮	icône Poubelle, poubelle
🚰	eau, eau potable
♿️	accès handicapés, symbole Accès handicapés
🚹️	WC, homme, symbole Toilettes hommes, toilettes
🚺️	WC, femme, symbole Toilettes femmes, toilettes
🚻	WC, panneau Toilettes, toilettes
🚼️	bébé, espace de change, symbole Bébé
🚾	WC, toilettes
🛂	contrôle, contrôle des passeports, passeport
🛃	douane
🛄	bagages, retrait des bagages
🛅	bagages, consigne
