😀	face, grin, grinning face
🐄	cow
🐷	face, pig, pig face
🐖	pig, sow
🐗	boar, pig
🐽	face, nose, pig, pig nose
🐏	Aries, male, ram, sheep, zodiac
🐑	ewe, female, sheep
🐐	Capricorn, goat, zodiac
🐪	camel, dromedary, hump
🐫	bactrian, camel, hump, two-hump camel
🦙	alpaca, guanaco, llama, vicuña, wool
🦒	giraffe, spots
🐘	elephant
🦏	rhinoceros
🦛	hippo, hippopotamus
🐭	face, mouse, mouse face
🐁	mouse
🐀	rat
🐹	face, hamster, pet
🐰	bunny, face, pet, rabbit, rabbit face
🐇	bunny, pet, rabbit
🐿️	chipmunk, squirrel
🦔	hedgehog, spiny
🦇	bat, vampire
🐻	bear, face
🐨	bear, koala
🐼	face, panda
🦥	lazy, sloth, slow
🦦	fishing, otter, playful
🦨	skunk, stink
🦘	Australia, joey, jump, kangaroo, marsupial
🦡	badger, honey badger, pester
🐾	feet, paw, paw prints, print
🦃	bird, turkey
🐔	bird, chicken
🐓	bird, rooster
🐣	baby, bird, chick, hatching, hatching chick
🐤	baby, baby chick, bird, chick
🐥	baby, bird, chick, front-facing baby chick
🐦️	bird
🐧	bird, penguin
🕊️	bird, dove, fly, peace
🦅	bird, eagle
🦆	bird, duck
🦢	bird, cygnet, swan, ugly duckling
🦉	bird, owl, wise
🦩	flamboyant, flamingo, tropical
🦚	bird, ostentatious, peacock, peahen, proud
🦜	bird, parrot, pirate, talk
🐸	face, frog
🐊	crocodile
🐢	terrapin, tortoise, turtle
🦎	lizard, reptile
🐍	Ophiuchus, bearer, serpent, snake, zodiac
🐲	dragon, dragon face, face, fairy tale
🐉	dragon, fairy tale
🦕	brachiosaurus, brontosaurus, diplodocus, sauropod
🦖	T-Rex, Tyrannosaurus Rex
🐳	face, spouting, spouting whale, whale
🐋	whale
🐬	dolphin, flipper
🐟️	Pisces, fish, zodiac
🐠	fish, tropical, tropical fish
🐡	blowfish, fish
🦈	fish, shark
🐙	octopus
🐚	shell, spiral, spiral shell
🐌	snail
🦋	butterfly, insect, pretty
🐛	bug, insect
🐜	ant, insect
🐝	bee, honeybee, insect
🐞	beetle, insect, lady beetle, ladybird, ladybug
🦗	cricket, grasshopper
🕷️	insect, spider
🕸️	spider, spider web, web
🦂	Scorpio, scorpio, scorpion, zodiac
🦟	disease, fever, insect, malaria, mosquito, virus
🦠	amoeba, bacteria, microbe, virus
💐	bouquet, flower
🌸	blossom, cherry, cherry blossom, flower
💮	flower, white flower
🏵️	plant, rosette
🌹	flower, rose
🥀	flower, wilted, wilted flower
🌺	flower, hibiscus
🌻	flower, sun, sunflower
🌼	blossom, flower
🌷	flower, tulip
🌱	seedling, young
🌲	evergreen tree, tree
🌳	deciduous, deciduous tree, shedding, tree
🌴	palm, palm tree, tree
🌵	cactus, plant
🌾	ear, grain, rice, sheaf of rice
🌿	herb, leaf
☘️	plant, shamrock
🍀	4, clover, four, four leaf clover, four-leaf clover, leaf
🍁	falling, leaf, maple, maple leaf
🍂	fallen leaf, falling, leaf
🍃	blow, flutter, leaf, leaf fluttering in wind, wind
🍇	fruit, grape, grapes
🍈	fruit, melon
🍉	fruit, watermelon
🍊	fruit, orange, tangerine
🍋	citrus, fruit, lemon
🍌	banana, fruit
🍍	fruit, pineapple
🥭	fruit, mango, tropical
🍎	apple, fruit, red, red apple
🍏	apple, fruit, green, green apple
🍐	fruit, pear
🍑	fruit, peach
🍒	berries, cherries, cherry, fruit, red
🍓	berry, fruit, strawberry
🥝	food, fruit, kiwi, kiwi fruit
🍅	fruit, tomato, vegetable
🥥	coconut, palm, piña colada
🥑	avocado, food, fruit
🍆	aubergine, eggplant, vegetable
🥔	food, potato, vegetable
🥕	carrot, food, vegetable
🌽	corn, ear, ear of corn, maize, maze
🌶️	hot, hot pepper, pepper
🥒	cucumber, food, pickle, vegetable
🥬	bok choy, cabbage, kale, leafy green, lettuce
🥦	broccoli, wild cabbage
🧄	flavoring, garlic
🧅	flavoring, onion
🍄	mushroom, toadstool
🥜	food, nut, peanut, peanuts, vegetable
🌰	chestnut, plant
🍞	bread, loaf
🥐	bread, crescent roll, croissant, food, french
🥖	baguette, baguette bread, bread, food, french
🥨	pretzel, twisted
🥯	bagel, bakery, schmear
🥞	crêpe, food, hotcake, pancake, pancakes
🧇	indecisive, iron, waffle
🧀	cheese, cheese wedge
🍖	bone, meat, meat on bone
🍗	bone, chicken, drumstick, leg, poultry, poultry leg
🥩	chop, cut of meat, lambchop, porkchop, steak
🥓	bacon, food, meat
🍔	burger, hamburger
🍟	french, french fries, fries
🍕	cheese, pizza, slice
🌭	frankfurter, hot dog, hotdog, sausage
🥪	bread, sandwich
🌮	mexican, taco
🌯	burrito, mexican, wrap
🥙	falafel, flatbread, food, gyro, kebab, stuffed, stuffed flatbread
🧆	chickpea, falafel, meatball
🥚	egg, food
🍳	cooking, egg, frying, pan
🥘	casserole, food, paella, pan, shallow, shallow pan of food
🍲	pot, pot of food, stew
🥣	bowl with spoon, breakfast, cereal, congee
🥗	food, green, green salad, salad
🍿	popcorn
🧈	butter, dairy
🧂	condiment, salt, shaker
🥫	can, canned food
🍱	bento, bento box, box
🍘	cracker, rice, rice cracker
🍙	Japanese, ball, rice, rice ball
🍚	cooked, cooked rice, rice
🍛	curry, curry rice, rice
🍜	bowl, noodle, ramen, steaming, steaming bowl
🍝	pasta, spaghetti
🍠	potato, roasted, roasted sweet potato, sweet
🍢	kebab, oden, seafood, skewer, stick
🍣	sushi
🍤	fried, fried shrimp, prawn, shrimp, tempura
🍥	cake, fish, fish cake with swirl, pastry, swirl
🥮	autumn, festival, moon cake, yuèbǐng
🍡	Japanese, dango, dessert, skewer, stick, sweet
🥟	dumpling, empanada, gyōza, jiaozi, pierogi, potsticker
🥠	fortune cookie, prophecy
🥡	oyster pail, takeout box
🦀	Cancer, crab, zodiac
🦞	bisque, claws, lobster, seafood
🦐	food, shellfish, shrimp, small
🦑	food, molusc, squid
🦪	diving, oyster, pearl
🍦	cream, dessert, ice, icecream, soft, soft ice cream, sweet
🍧	dessert, ice, shaved, shaved ice, sweet
🍨	cream, dessert, ice, ice cream, sweet
🍩	dessert, donut, doughnut, sweet
🍪	cookie, dessert, sweet
🎂	birthday, birthday cake, cake, celebration, dessert, pastry, sweet
🍰	cake, dessert, pastry, shortcake, slice, sweet
🧁	bakery, cupcake, sweet
🥧	filling, pastry, pie
🍫	bar, chocolate, chocolate bar, dessert, sweet
🍬	candy, dessert, sweet
🍭	candy, dessert, lollipop, sweet
🍮	custard, dessert, pudding, sweet
🍯	honey, honey pot, honeypot, pot, sweet
🍼	baby, baby bottle, bottle, drink, milk
🥛	drink, glass, glass of milk, milk
☕️	beverage, coffee, drink, hot, hot beverage, steaming, tea
🍵	beverage, cup, drink, tea, teacup, teacup without handle
🍶	bar, beverage, bottle, cup, drink, sake
🍾	bar, bottle, bottle with popping cork, cork, drink, popping
🍷	bar, beverage, drink, glass, wine, wine glass
🍸️	bar, cocktail, cocktail glass, drink, glass
🍹	bar, drink, tropical, tropical drink
🍺	bar, beer, beer mug, drink, mug
🍻	bar, beer, clink, clinking beer mugs, drink, mug
🥂	celebrate, clink, clinking glasses, drink, glass
🥃	glass, liquor, shot, tumbler, tumbler glass, whisky
🥤	cup with straw, juice, soda
🧃	beverage box, juice box
🧉	drink, mate
🧊	cold, ice, ice cube, iceberg
🥢	chopsticks, hashi
🍽️	cooking, fork, fork and knife with plate, knife, plate
🍴	cooking, cutlery, fork, fork and knife, knife
🥄	spoon, tableware
🔪	cooking, hocho, kitchen knife, knife, tool, weapon
🏺	Aquarius, amphora, cooking, drink, jug, zodiac
🌍	Africa, Europe, earth, globe, globe showing Europe-Africa, world
🌎️	Americas, earth, globe, globe showing Americas, world
🌏	Asia, Australia, earth, globe, globe showing Asia-Australia, world
🌐	earth, globe, globe with meridians, meridians, world
🗺️	map, world, world map
🗾	Japan, map, map of Japan
🧭	compass, magnetic, navigation, orienteering
🏔️	cold, mountain, snow, snow-capped mountain
⛰️	mountain
🌋	eruption, mountain, volcano
🗻	fuji, mount fuji, mountain
🏕️	camping
🏖️	beach, beach with umbrella, umbrella
🏜️	desert
🏝️	desert, desert island, island
🏞️	national park, park
🏟️	stadium
🏛️	classical, classical building
🏗️	building construction, construction
🧱	brick, bricks, clay, mortar, wall
🏘️	houses
🏚️	derelict, derelict house, house
🏠️	home, house
🏡	garden, home, house, house with garden
🏢	building, office building
🏣	Japanese, Japanese post office, post
🏤	European, post, post office
🏥	doctor, hospital, medicine
🏦	bank, building
🏨	building, hotel
🏩	hotel, love, love hotel
🏪	convenience, convenience store, store
🏫	building, school
🏬	department, department store, store
🏭️	building, factory
🏯	Japanese, Japanese castle, castle
🏰	European, castle
💒	chapel, romance, wedding
🗼	Tokyo, Tokyo tower, tower
🗽	Statue of Liberty, liberty, statue
⛪️	Christian, church, cross, religion
🕌	Muslim, islam, mosque, religion
🛕	hindu, hindu temple, temple
🕍	Jew, Jewish, religion, synagogue, temple
⛩️	religion, shinto, shinto shrine, shrine
🕋	Muslim, islam, kaaba, religion
⛲️	fountain
⛺️	camping, tent
🌁	fog, foggy
🌃	night, night with stars, star
🏙️	city, cityscape
🌄	morning, mountain, sun, sunrise, sunrise over mountains
🌅	morning, sun, sunrise
🌆	city, cityscape at dusk, dusk, evening, landscape, sunset
🌇	dusk, sun, sunset
🌉	bridge, bridge at night, night
♨️	hot, hot springs, hotsprings, springs, steaming
🎠	carousel, carousel horse, horse
🎡	amusement park, ferris, ferris wheel, wheel
🎢	amusement park, coaster, roller, roller coaster
💈	barber, barber pole, haircut, pole
🎪	circus, circus tent, tent
🚂	engine, locomotive, railway, steam, train
🚃	car, electric, railway, railway car, train, tram, trolleybus
🚄	high-speed train, railway, shinkansen, speed, train
🚅	bullet, bullet train, railway, shinkansen, speed, train
🚆	railway, train
🚇️	metro, subway
🚈	light rail, railway
🚉	railway, station, train
🚊	tram, trolleybus
🚝	monorail, vehicle
🚞	car, mountain, mountain railway, railway
🚋	car, tram, tram car, trolleybus
🚌	bus, vehicle
🚍️	bus, oncoming, oncoming bus
🚎	bus, tram, trolley, trolleybus
🚐	bus, minibus
🚑️	ambulance, vehicle
🚒	engine, fire, fire engine, truck
🚓	car, patrol, police, police car
🚔️	car, oncoming, oncoming police car, police
🚕	taxi, vehicle
🚖	oncoming, oncoming taxi, taxi
🚗	automobile, car
🚘️	automobile, car, oncoming, oncoming automobile
🚙	recreational, sport utility, sport utility vehicle
🚚	delivery, delivery truck, truck
🚛	articulated lorry, lorry, semi, truck
🚜	tractor, vehicle
🏎️	car, racing, racing car
🏍️	motorcycle, racing
🛵	motor, motor scooter, scooter
🦽	accessibility, manual wheelchair
🦼	accessibility, motorized wheelchair
🛺	auto rickshaw, tuk tuk
🚲️	bicycle, bike
🛴	kick, kick scooter, scooter
🛹	board, skateboard
🚏	bus, bus stop, busstop, stop
🛣️	highway, motorway, road
🛤️	railway, railway track, train
🛢️	drum, oil, oil drum
⛽️	diesel, fuel, fuel pump, fuelpump, gas, pump, station
🚨	beacon, car, light, police, police car light, revolving
🚥	horizontal traffic light, light, signal, traffic
🚦	light, signal, traffic, vertical traffic light
🛑	octagonal, sign, stop, stop sign
🚧	barrier, construction
⚓️	anchor, ship, tool
⛵️	boat, resort, sailboat, sea, yacht
🛶	boat, canoe
🚤	boat, speedboat
🛳️	passenger, passenger ship, ship
⛴️	boat, ferry, passenger
🛥️	boat, motor boat, motorboat
🚢	boat, passenger, ship
✈️	aeroplane, airplane
🛩️	aeroplane, airplane, small airplane
🛫	aeroplane, airplane, airplane departure, check-in, departure, departures
🛬	aeroplane, airplane, airplane arrival, arrivals, arriving, landing
🪂	hang-glide, parachute, parasail, skydive
💺	chair, seat
🚁	helicopter, vehicle
🚟	railway, suspension, suspension railway
🚠	cable, gondola, mountain, mountain cableway
🚡	aerial, aerial tramway, cable, car, gondola, tramway
🛰️	satellite, space
🚀	rocket, space
🛸	UFO, flying saucer
🛎️	bell, bellhop, bellhop bell, hotel
🧳	luggage, packing, travel
⌛️	hourglass done, sand, timer
⏳️	hourglass, hourglass not done, sand, timer
⌚️	clock, watch
⏰	alarm, alarm clock, clock
⏱️	clock, stopwatch
⏲️	clock, timer, timer clock
🕰️	clock, mantelpiece clock
🕛️	00, 12, 12:00, clock, o’clock, twelve, twelve o’clock
🕧	12, 12:30, clock, thirty, twelve, twelve-thirty
🕐️	00, 1, 1:00, clock, one, one o’clock, o’clock
🕜	1, 1:30, clock, one, one-thirty, thirty
🕑️	00, 2, 2:00, clock, o’clock, two, two o’clock
🕝	2, 2:30, clock, thirty, two, two-thirty
🕒️	00, 3, 3:00, clock, o’clock, three, three o’clock
🕞	3, 3:30, clock, thirty, three, three-thirty
🕓️	00, 4, 4:00, clock, four, four o’clock, o’clock
🕟	4, 4:30, clock, four, four-thirty, thirty
🕔️	00, 5, 5:00, clock, five, five o’clock, o’clock
🕠	5, 5:30, clock, five, five-thirty, thirty
🕕️	00, 6, 6:00, clock, o’clock, six, six o’clock
🕡	6, 6:30, clock, six, six-thirty, thirty
🕖️	00, 7, 7:00, clock, o’clock, seven, seven o’clock
🕢	7, 7:30, clock, seven, seven-thirty, thirty
🕗️	00, 8, 8:00, clock, eight, eight o’clock, o’clock
🕣	8, 8:30, clock, eight, eight-thirty, thirty
🕘️	00, 9, 9:00, clock, nine, nine o’clock, o’clock
🕤	9, 9:30, clock, nine, nine-thirty, thirty
🕙️	00, 10, 10:00, clock, o’clock, ten, ten o’clock
🕥	10, 10:30, clock, ten, ten-thirty, thirty
🕚️	00, 11, 11:00, clock, eleven, eleven o’clock, o’clock
🕦	11, 11:30, clock, eleven, eleven-thirty, thirty
🌑	dark, moon, new moon
🌒	crescent, moon, waxing, waxing crescent moon
🌓	first quarter moon, moon, quarter
🌔	gibbous, moon, waxing, waxing gibbous moon
🌕️	full, full moon, moon
🌖	gibbous, moon, waning, waning gibbous moon
🌗	last quarter moon, moon, quarter
🌘	crescent, moon, waning, waning crescent moon
🌙	crescent, crescent moon, moon
🌚	face, moon, new moon face
🌛	face, first quarter moon face, moon, quarter
🌜️	face, last quarter moon face, moon, quarter
🌡️	thermometer, weather
☀️	bright, rays, sun, sunny
🌝	bright, face, full, full moon face, moon
🌞	bright, face, sun, sun with face
🪐	ringed planet, saturn, saturnine
⭐️	star
🌟	glittery, glow, glowing star, shining, sparkle, star
🌠	falling, shooting, shooting star, star
🌌	milky way, space
☁️	cloud, weather
⛅️	cloud, sun, sun behind cloud
⛈️	cloud, cloud with lightning and rain, rain, thunder
🌤️	cloud, sun, sun behind small cloud
🌥️	cloud, sun, sun behind large cloud
🌦️	cloud, rain, sun, sun behind rain cloud
🌧️	cloud, cloud with rain, rain
🌨️	cloud, cloud with snow, cold, snow
🌩️	cloud, cloud with lightning, lightning
🌪️	cloud, tornado, whirlwind
🌫️	cloud, fog
🌬️	blow, cloud, face, wind, wind face
🌀	cyclone, dizzy, hurricane, twister, typhoon
🌈	rain, rainbow
🌂	closed umbrella, clothing, rain, umbrella
☂️	clothing, rain, umbrella
☔️	clothing, drop, rain, umbrella, umbrella with rain drops
⛱️	rain, sun, umbrella, umbrella on ground
⚡️	danger, electric, high voltage, lightning, voltage, zap
❄️	cold, snow, snowflake
☃️	cold, snow, snowman
⛄️	cold, snow, snowman, snowman without snow
☄️	comet, space
🔥	fire, flame, tool
💧	cold, comic, drop, droplet, sweat
🌊	ocean, water, water wave, wave
🎃	celebration, halloween, jack, jack-o-lantern, lantern
🎄	Christmas, Christmas tree, celebration, tree
🎆	celebration, fireworks
🎇	celebration, fireworks, sparkle, sparkler
🧨	dynamite, explosive, firecracker, fireworks
✨	*, sparkle, sparkles, star
🎈	balloon, celebration
🎉	celebration, party, party popper, popper, tada
🎊	ball, celebration, confetti, confetti ball
🎋	Japanese, banner, celebration, tanabata tree, tree
🎍	Japanese, bamboo, celebration, pine, pine decoration
🎎	Japanese, Japanese dolls, celebration, doll, festival
🎏	carp, carp streamer, celebration, streamer
🎐	bell, celebration, chime, wind, wind chime
🎑	celebration, ceremony, moon, moon viewing ceremony
🧧	gift, good luck, hóngbāo, lai see, money, red envelope
🎀	celebration, ribbon
🎁	box, celebration, gift, present, wrapped, wrapped gift
🎗️	celebration, reminder, reminder ribbon, ribbon
🎟️	admission, admission tickets, ticket
🎫	admission, ticket
🎖️	celebration, medal, military, military medal
🏆️	prize, trophy
🏅	medal, sports medal
🥇	1st place medal, first, gold, medal
🥈	2nd place medal, medal, second, silver
🥉	3rd place medal, bronze, medal, third
⚽️	ball, football, soccer, soccer ball
⚾️	ball, baseball
🥎	ball, glove, softball, underarm
🏀	ball, basketball, hoop
🏐	ball, game, volleyball
🏈	american, american football, ball, football
🏉	ball, football, rugby, rugby football
🎾	ball, racquet, tennis
🥏	flying disc, ultimate
🎳	ball, bowling, game
🏏	ball, bat, cricket game, game
🏑	ball, field, field hockey, game, hockey, stick
🏒	game, hockey, ice, ice hockey, puck, stick
🥍	ball, goal, lacrosse, stick
🏓	ball, bat, game, paddle, ping pong, table tennis
🏸	badminton, birdie, game, racquet, shuttlecock
🥊	boxing, boxing glove, glove
🥋	judo, karate, martial arts, martial arts uniform, taekwondo, uniform
🥅	goal, goal net, net
⛳️	flag in hole, golf, hole
⛸️	ice, ice skate, skate
🎣	fish, fishing pole, pole
🤿	diving, diving mask, scuba, snorkeling
🎽	athletics, running, running shirt, sash, shirt
🎿	ski, skis, snow
🛷	sled, sledge, sleigh
🥌	curling stone, game, rock
🎯	bullseye, dart, direct hit, game, hit, target
🪀	fluctuate, toy, yo-yo
🪁	fly, kite, soar
🎱	8, ball, billiard, eight, game, pool 8 ball
🔮	ball, crystal, crystal ball, fairy tale, fantasy, fortune, tool
🧿	bead, charm, evil-eye, nazar, nazar amulet, talisman
🎮️	controller, game, video game
🕹️	game, joystick, video game
🎰	game, slot, slot machine
🎲	dice, die, game, game die
🧩	clue, interlocking, jigsaw, piece, puzzle, puzzle piece
🧸	plaything, plush, stuffed, teddy bear, toy
♠️	card, game, spade suit
♥️	card, game, heart suit
♦️	card, diamond suit, game
♣️	card, club suit, game
♟️	chess, chess pawn, dupe, expendable
🃏	card, game, joker, wildcard
🀄️	game, mahjong, mahjong red dragon, red
🎴	Japanese, card, flower, flower playing cards, game, playing
🎭️	art, mask, performing, performing arts, theater, theatre
🖼️	art, frame, framed picture, museum, painting, picture
🎨	art, artist palette, museum, painting, palette
🧵	needle, sewing, spool, string, thread
🧶	ball, crochet, knit, yarn
👓️	clothing, eye, eyeglasses, eyewear, glasses
🕶️	dark, eye, eyewear, glasses, sunglasses
🥽	eye protection, goggles, swimming, welding
🥼	doctor, experiment, lab coat, scientist
🦺	emergency, safety, safety vest, vest
👔	clothing, necktie, tie
👕	clothing, shirt, t-shirt, tshirt
👖	clothing, jeans, pants, trousers
🧣	neck, scarf
🧤	gloves, hand
🧥	coat, jacket
🧦	socks, stocking
👗	clothing, dress
👘	clothing, kimono
🥻	clothing, dress, sari
🩱	bathing suit, one-piece swimsuit
🩲	bathing suit, briefs, one-piece, swimsuit, underwear
🩳	bathing suit, pants, shorts, underwear
👙	bikini, clothing, swim
👚	clothing, woman, woman’s clothes
👛	clothing, coin, purse
👜	bag, clothing, handbag, purse
👝	bag, clothing, clutch bag, pouch
🛍️	bag, hotel, shopping, shopping bags
🎒	backpack, bag, rucksack, satchel, school
👞	clothing, man, man’s shoe, shoe
👟	athletic, clothing, running shoe, shoe, sneaker
🥾	backpacking, boot, camping, hiking, hiking boot
🥿	ballet flat, flat shoe, slip-on, slipper
👠	clothing, heel, high-heeled shoe, shoe, woman
👡	clothing, sandal, shoe, woman, woman’s sandal
🩰	ballet, ballet shoes, dance
👢	boot, clothing, shoe, woman, woman’s boot
👑	clothing, crown, king, queen
👒	clothing, hat, woman, woman’s hat
🎩	clothing, hat, top, top hat, tophat
🎓️	cap, celebration, clothing, graduation, graduation cap, hat
🧢	baseball cap, billed cap
⛑️	aid, cross, face, hat, helmet, rescue worker’s helmet
📿	beads, clothing, necklace, prayer, prayer beads, religion
💄	cosmetics, lipstick, makeup
💍	diamond, ring
💎	diamond, gem, gem stone, jewel
🔇	mute, muted speaker, quiet, silent, speaker
🔈️	soft, speaker low volume
🔉	medium, speaker medium volume
🔊	loud, speaker high volume
📢	loud, loudspeaker, public address
📣	cheering, megaphone
📯	horn, post, postal, postal horn
🔔	bell
🔕	bell, bell with slash, forbidden, mute, quiet, silent
🎼	music, musical score, score
🎵	music, musical note, note
🎶	music, musical notes, note, notes
🎙️	mic, microphone, music, studio, studio microphone
🎚️	level, level slider, music, slider
🎛️	control, control knobs, knobs, music
🎤	karaoke, mic, microphone
🎧️	earbud, headphone
📻️	radio, video
🎷	instrument, music, sax, saxophone
🎸	guitar, instrument, music
🎹	instrument, keyboard, music, musical keyboard, piano
🎺	instrument, music, trumpet
🎻	instrument, music, violin
🪕	banjo, music, stringed
🥁	drum, drumsticks, music
📱	cell, mobile, mobile phone, phone, telephone
📲	arrow, cell, mobile, mobile phone with arrow, phone, receive
☎️	phone, telephone
📞	phone, receiver, telephone, telephone receiver
📟️	pager
📠	fax, fax machine
🔋	battery
🔌	electric, electric plug, electricity, plug
💻️	computer, laptop computer, pc, personal
🖥️	computer, desktop, desktop computer
🖨️	computer, printer
⌨️	computer, keyboard
🖱️	computer, computer mouse
🖲️	computer, trackball
💽	computer, computer disk, disk, minidisk, optical
💾	computer, disk, floppy, floppy disk
💿️	cd, computer, disk, optical, optical disk
📀	blu-ray, computer, disk, dvd, optical
🧮	abacus, calculation
🎥	camera, cinema, movie, movie camera
🎞️	cinema, film, film frames, frames, movie
📽️	cinema, film, film projector, movie, projector, video
🎬️	clapper, clapper board, movie
📺️	television, tv, video
📷️	camera, video
📸	camera, camera with flash, flash, video
📹️	camera, video, video camera
📼	tape, vhs, video, videocassette
🔍	glass, magnifying, magnifying glass tilted left, search, tool
🔎	glass, magnifying, magnifying glass tilted right, search, tool
🕯️	candle, light
💡	bulb, comic, electric, idea, light, light bulb
🔦	electric, flashlight, light, tool, torch
🏮	bar, lantern, light, red, red paper lantern
🪔	diya, diya lamp, lamp, oil
📔	book, cover, decorated, notebook, notebook with decorative cover
📕	book, closed, closed book
📖	book, open, open book
📗	book, green, green book
📘	blue, blue book, book
📙	book, orange, orange book
📚️	book, books
📓	notebook
📒	ledger, notebook
📃	curl, document, page, page with curl
📜	paper, scroll
📄	document, page, page facing up
📰	news, newspaper, paper
🗞	news, newspaper, paper, rolled, rolled-up newspaper
📑	bookmark, bookmark tabs, mark, marker, tabs
🔖	bookmark, mark
🏷️	label
💰️	bag, dollar, money, money bag, moneybag
💴	banknote, bill, currency, money, note, yen, yen banknote
💵	banknote, bill, currency, dollar, dollar banknote, money, note
💶	banknote, bill, currency, euro, euro banknote, money, note
💷	banknote, bill, currency, money, note, pound, pound banknote
💸	banknote, bill, fly, money, money with wings, wings
💳️	card, credit, credit card, money
🧾	accounting, bookkeeping, evidence, proof, receipt
💹	chart, chart increasing with yen, graph, growth, money, yen
💱	bank, currency, currency exchange, exchange, money
💲	currency, dollar, heavy dollar sign, money
✉️	email, envelope, letter
📧	e-mail, email, letter, mail
📨	e-mail, email, envelope, incoming, incoming envelope, letter, receive
📩	arrow, e-mail, email, envelope, envelope with arrow, outgoing
📤️	box, letter, mail, outbox, outbox tray, sent, tray
📥️	box, inbox, inbox tray, letter, mail, receive, tray
📦️	box, package, parcel
📫️	closed, closed mailbox with raised flag, mail, mailbox, postbox
📪️	closed, closed mailbox with lowered flag, lowered, mail, mailbox, postbox
📬️	mail, mailbox, open, open mailbox with raised flag, postbox
📭️	lowered, mail, mailbox, open, open mailbox with lowered flag, postbox
📮	mail, mailbox, postbox
🗳️	ballot, ballot box with ballot, box
✏️	pencil
✒️	black nib, nib, pen
🖋️	fountain, fountain pen, pen
🖊️	ballpoint, pen
🖌️	paintbrush, painting
🖍️	crayon
📝	memo, pencil
💼	briefcase
📁	file, file folder, folder
📂	file, folder, open, open file folder
🗂️	card, card index dividers, dividers, index
📅	calendar, date
📆	calendar, tear-off calendar
🗒️	note, pad, spiral, spiral notepad
🗓️	calendar, pad, spiral, spiral calendar
📇	card, card index, index, rolodex
📈	chart, chart increasing, graph, growth, trend, upward
📉	chart, chart decreasing, down, graph, trend
📊	bar, bar chart, chart, graph
📋️	clipboard
📌	pin, pushpin
📍	pin, pushpin, round pushpin
📎	paperclip
🖇️	link, linked paperclips, paperclip
📏	ruler, straight edge, straight ruler
📐	ruler, set, triangle, triangular ruler
✂️	cutting, scissors, tool
🗃️	box, card, card file box, file
🗄️	cabinet, file, file cabinet, filing
🗑️	wastebasket
🔒️	closed, locked
🔓️	lock, open, unlock, unlocked
🔏	ink, lock, locked with pen, nib, pen, privacy
🔐	closed, key, lock, locked with key, secure
🔑	key, lock, password
🗝️	clue, key, lock, old, old key
🔨	hammer, tool
🪓	axe, chop, hatchet, split, wood
⛏️	mining, pick, tool
⚒️	hammer, hammer and pick, pick, tool
🛠️	hammer, hammer and wrench, spanner, tool, wrench
🗡️	dagger, knife, weapon
⚔️	crossed, crossed swords, swords, weapon
🔫	gun, handgun, pistol, revolver, tool, weapon
🏹	Sagittarius, archer, arrow, bow, bow and arrow, zodiac
🛡️	shield, weapon
🔧	spanner, tool, wrench
🔩	bolt, nut, nut and bolt, tool
⚙️	cog, cogwheel, gear, tool
🗜️	clamp, compress, tool, vice
⚖️	Libra, balance, balance scale, justice, scale, zodiac
🦯	accessibility, blind, probing cane
🔗	link
⛓️	chain, chains
🧰	chest, mechanic, tool, toolbox
🧲	attraction, horseshoe, magnet, magnetic
⚗️	alembic, chemistry, tool
🧪	chemist, chemistry, experiment, lab, science, test tube
🧫	bacteria, biologist, biology, culture, lab, petri dish
🧬	biologist, dna, evolution, gene, genetics, life
🔬	microscope, science, tool
🔭	science, telescope, tool
📡	antenna, dish, satellite, satellite antenna
💉	medicine, needle, shot, sick, syringe
🩸	bleed, blood donation, drop of blood, injury, medicine, menstruation
💊	doctor, medicine, pill, sick
🩹	adhesive bandage, bandage
🩺	doctor, heart, medicine, stethoscope
🚪	door
🛏️	bed, hotel, sleep
🛋️	couch, couch and lamp, hotel, lamp
🪑	chair, seat, sit
🚽	toilet
🚿	shower, water
🛁	bath, bathtub
🪒	razor, sharp, shave
🧴	lotion, lotion bottle, moisturizer, shampoo, sunscreen
🧷	diaper, punk rock, safety pin
🧹	broom, cleaning, sweeping, witch
🧺	basket, farming, laundry, picnic
🧻	paper towels, roll of paper, toilet paper
🧼	bar, bathing, cleaning, lather, soap, soapdish
🧽	absorbing, cleaning, porous, sponge
🧯	extinguish, fire, fire extinguisher, quench
🛒	cart, shopping, shopping cart, trolley
🚬	cigarette, smoking
⚰️	coffin, death
⚱️	ashes, death, funeral, funeral urn, urn
🗿	face, moai, moyai, statue
🏧	ATM sign, atm, automated, bank, teller
🚮	litter, litter bin, litter in bin sign
🚰	drinking, potable, potable water, water
♿️	access, wheelchair symbol
🚹️	lavatory, man, men’s room, restroom, wc
🚺️	lavatory, restroom, wc, woman, women’s room
🚻	WC, lavatory, restroom
🚼️	baby, baby symbol, changing
🚾	closet, lavatory, restroom, water, water closet, wc
🛂	control, passport, passport control
🛃	customs
🛄	baggage, baggage claim, claim
🛅	baggage, left luggage, locker, luggage
⚠️	warning
🚸	child, children crossing, crossing, pedestrian, traffic
⛔️	entry, forbidden, no, no entry, not, prohibited, traffic
🚫	entry, forbidden, no, not, prohibited
🚳	bicycle, bike, forbidden, no, no bicycles, prohibited
🚭️	forbidden, no, no smoking, not, prohibited, smoking
🚯	forbidden, litter, no, no littering, not, prohibited
🚱	non-drinking, non-potable, non-potable water, water
