😀	išsišiepti, išsišiepęs veidas, veidas
💁🏿‍♂	gyvas, itin tamsios odos, lengvai pakelta ranka, lengvai ranką pakėlęs vyras, lengvai ranką pakėlęs vyras: itin tamsios odos, vyras
💁‍♀	gyvas, lengvai pakelta ranka, moteris, ranką pakėlusi moteris
💁🏻‍♀	gyvas, lengvai pakelta ranka, moteris, ranką pakėlusi moteris, ranką pakėlusi moteris: šviesios odos, šviesios odos
💁🏼‍♀	gyvas, lengvai pakelta ranka, moteris, ranką pakėlusi moteris, ranką pakėlusi moteris: vidutinio gymio, vidutinio gymio
💁🏽‍♀	gyvas, lengvai pakelta ranka, moteris, ranką pakėlusi moteris, ranką pakėlusi moteris: rusvos odos, rusvos odos
💁🏾‍♀	gyvas, lengvai pakelta ranka, moteris, ranką pakėlusi moteris, ranką pakėlusi moteris: tamsios odos, tamsios odos
💁🏿‍♀	gyvas, itin tamsios odos, lengvai pakelta ranka, moteris, ranką pakėlusi moteris, ranką pakėlusi moteris: itin tamsios odos
🙋	gestas, iškelta, laimingas, ranka, žmogus, iškėlęs ranką
🙋🏻	gestas, iškelta, laimingas, ranka, šviesios odos, žmogus, iškėlęs ranką, žmogus, iškėlęs ranką: šviesios odos
🙋🏼	gestas, iškelta, laimingas, ranka, vidutinio gymio, žmogus, iškėlęs ranką, žmogus, iškėlęs ranką: vidutinio gymio
🙋🏽	gestas, iškelta, laimingas, ranka, rusvos odos, žmogus, iškėlęs ranką, žmogus, iškėlęs ranką: rusvos odos
🙋🏾	gestas, iškelta, laimingas, ranka, tamsios odos, žmogus, iškėlęs ranką, žmogus, iškėlęs ranką: tamsios odos
🙋🏿	gestas, itin tamsios odos, iškelta, laimingas, ranka, žmogus, iškėlęs ranką, žmogus, iškėlęs ranką: itin tamsios odos
🙋‍♂	gestas, pakelta ranka, ranką pakėlęs vyras, vyras
🙋🏻‍♂	gestas, pakelta ranka, ranką pakėlęs vyras, ranką pakėlęs vyras: šviesios odos, vyras, šviesios odos
🙋🏼‍♂	gestas, pakelta ranka, ranką pakėlęs vyras, ranką pakėlęs vyras: vidutinio gymio, vidutinio gymio, vyras
🙋🏽‍♂	gestas, pakelta ranka, ranką pakėlęs vyras, ranką pakėlęs vyras: rusvos odos, rusvos odos, vyras
🙋🏾‍♂	gestas, pakelta ranka, ranką pakėlęs vyras, ranką pakėlęs vyras: tamsios odos, tamsios odos, vyras
🙋🏿‍♂	gestas, itin tamsios odos, pakelta ranka, ranką pakėlęs vyras, ranką pakėlęs vyras: itin tamsios odos, vyras
🙋‍♀	gestas, moteris, pakelta ranka, ranką iškėlusi moteris
🙋🏻‍♀	gestas, moteris, pakelta ranka, ranką iškėlusi moteris, ranką iškėlusi moteris: šviesios odos, šviesios odos
🙋🏼‍♀	gestas, moteris, pakelta ranka, ranką iškėlusi moteris, ranką iškėlusi moteris: vidutinio gymio, vidutinio gymio
🙋🏽‍♀	gestas, moteris, pakelta ranka, ranką iškėlusi moteris, ranką iškėlusi moteris: rusvos odos, rusvos odos
🙋🏾‍♀	gestas, moteris, pakelta ranka, ranką iškėlusi moteris, ranką iškėlusi moteris: tamsios odos, tamsios odos
🙋🏿‍♀	gestas, itin tamsios odos, moteris, pakelta ranka, ranką iškėlusi moteris, ranką iškėlusi moteris: itin tamsios odos
🧏	ausis, girdėti, kurčias, kurčias žmogus, prieinamumas
🧏🏻	ausis, girdėti, kurčias, kurčias žmogus, kurčias žmogus: šviesios odos, prieinamumas, šviesios odos
🧏🏼	ausis, girdėti, kurčias, kurčias žmogus, kurčias žmogus: vidutinio gymio, prieinamumas, vidutinio gymio
🧏🏽	ausis, girdėti, kurčias, kurčias žmogus, kurčias žmogus: rusvos odos, prieinamumas, rusvos odos
🧏🏾	ausis, girdėti, kurčias, kurčias žmogus, kurčias žmogus: tamsios odos, prieinamumas, tamsios odos
🧏🏿	ausis, girdėti, itin tamsios odos, kurčias, kurčias žmogus, kurčias žmogus: itin tamsios odos, prieinamumas
🧏‍♂	kurčias, kurčias vyras, vyras
🧏🏻‍♂	kurčias, kurčias vyras: šviesios odos, vyras, šviesios odos
🧏🏼‍♂	kurčias, kurčias vyras: vidutinio gymio, vidutinio gymio, vyras
🧏🏽‍♂	kurčias, kurčias vyras: rusvos odos, rusvos odos, vyras
🧏🏾‍♂	kurčias, kurčias vyras: tamsios odos, tamsios odos, vyras
🧏🏿‍♂	itin tamsios odos, kurčias, kurčias vyras: itin tamsios odos, vyras
🧏‍♀	kurčia, kurčia moteris, moteris
🧏🏻‍♀	kurčia, kurčia moteris: šviesios odos, moteris, šviesios odos
🧏🏼‍♀	kurčia, kurčia moteris: vidutinio gymio, moteris, vidutinio gymio
🧏🏽‍♀	kurčia, kurčia moteris: rusvos odos, moteris, rusvos odos
🧏🏾‍♀	kurčia, kurčia moteris: tamsios odos, moteris, tamsios odos
🧏🏿‍♀	itin tamsios odos, kurčia, kurčia moteris: itin tamsios odos, moteris
🙇	atsiprašymas, gestas, nusilenkimas, nusilenkęs žmogus
🙇🏻	atsiprašymas, gestas, nusilenkimas, nusilenkęs žmogus, nusilenkęs žmogus: šviesios odos, šviesios odos
🙇🏼	atsiprašymas, gestas, nusilenkimas, nusilenkęs žmogus, nusilenkęs žmogus: vidutinio gymio, vidutinio gymio
🙇🏽	atsiprašymas, gestas, nusilenkimas, nusilenkęs žmogus, nusilenkęs žmogus: rusvos odos, rusvos odos
🙇🏾	atsiprašymas, gestas, nusilenkimas, nusilenkęs žmogus, nusilenkęs žmogus: tamsios odos, tamsios odos
🙇🏿	atsiprašymas, gestas, itin tamsios odos, nusilenkimas, nusilenkęs žmogus, nusilenkęs žmogus: itin tamsios odos
🙇‍♂	apgailestavimas, atsiprašymas, gestas, nusilenkiantis vyras, nusilenkimas, paslauga, vyras
🙇🏻‍♂	apgailestavimas, atsiprašymas, gestas, nusilenkiantis vyras, nusilenkiantis vyras: šviesios odos, nusilenkimas, paslauga, vyras, šviesios odos
🙇🏼‍♂	apgailestavimas, atsiprašymas, gestas, nusilenkiantis vyras, nusilenkiantis vyras: vidutinio gymio, nusilenkimas, paslauga, vidutinio gymio, vyras
🙇🏽‍♂	apgailestavimas, atsiprašymas, gestas, nusilenkiantis vyras, nusilenkiantis vyras: rusvos odos, nusilenkimas, paslauga, rusvos odos, vyras
🙇🏾‍♂	apgailestavimas, atsiprašymas, gestas, nusilenkiantis vyras, nusilenkiantis vyras: tamsios odos, nusilenkimas, paslauga, tamsios odos, vyras
🙇🏿‍♂	apgailestavimas, atsiprašymas, gestas, itin tamsios odos, nusilenkiantis vyras, nusilenkiantis vyras: itin tamsios odos, nusilenkimas, paslauga, vyras
🙇‍♀	apgailestavimas, atsiprašymas, gestas, moteris, nusilenkianti moteris, nusilenkimas, paslauga
🙇🏻‍♀	apgailestavimas, atsiprašymas, gestas, moteris, nusilenkianti moteris, nusilenkianti moteris: šviesios odos, nusilenkimas, paslauga, šviesios odos
🙇🏼‍♀	apgailestavimas, atsiprašymas, gestas, moteris, nusilenkianti moteris, nusilenkianti moteris: vidutinio gymio, nusilenkimas, paslauga, vidutinio gymio
🙇🏽‍♀	apgailestavimas, atsiprašymas, gestas, moteris, nusilenkianti moteris, nusilenkianti moteris: rusvos odos, nusilenkimas, paslauga, rusvos odos
🙇🏾‍♀	apgailestavimas, atsiprašymas, gestas, moteris, nusilenkianti moteris, nusilenkianti moteris: tamsios odos, nusilenkimas, paslauga, tamsios odos
🙇🏿‍♀	apgailestavimas, atsiprašymas, gestas, itin tamsios odos, moteris, nusilenkianti moteris, nusilenkianti moteris: itin tamsios odos, nusilenkimas, paslauga
🤦	beviltiškumas, neįtikėtinumas, o varge, susierzinimas, veidas
🤦🏻	beviltiškumas, neįtikėtinumas, o varge, o varge: šviesios odos, susierzinimas, veidas, šviesios odos
🤦🏼	beviltiškumas, neįtikėtinumas, o varge, o varge: vidutinio gymio, susierzinimas, veidas, vidutinio gymio
🤦🏽	beviltiškumas, neįtikėtinumas, o varge, o varge: rusvos odos, rusvos odos, susierzinimas, veidas
🤦🏾	beviltiškumas, neįtikėtinumas, o varge, o varge: tamsios odos, susierzinimas, tamsios odos, veidas
🤦🏿	beviltiškumas, itin tamsios odos, neįtikėtinumas, o varge, o varge: itin tamsios odos, susierzinimas, veidas
🤦‍♂	netikėjimas, susierzinimas, susierzinęs vyras, vyras
🤦🏻‍♂	netikėjimas, susierzinimas, susierzinęs vyras, susierzinęs vyras: šviesios odos, vyras, šviesios odos
🤦🏼‍♂	netikėjimas, susierzinimas, susierzinęs vyras, susierzinęs vyras: vidutinio gymio, vidutinio gymio, vyras
🤦🏽‍♂	netikėjimas, rusvos odos, susierzinimas, susierzinęs vyras, susierzinęs vyras: rusvos odos, vyras
🤦🏾‍♂	netikėjimas, susierzinimas, susierzinęs vyras, susierzinęs vyras: tamsios odos, tamsios odos, vyras
🤦🏿‍♂	itin tamsios odos, netikėjimas, susierzinimas, susierzinęs vyras, susierzinęs vyras: itin tamsios odos, vyras
🤦‍♀	moteris, netikėjimas, susierzinimas, susierzinusi moteris
🤦🏻‍♀	moteris, netikėjimas, susierzinimas, susierzinusi moteris, susierzinusi moteris: šviesios odos, šviesios odos
🤦🏼‍♀	moteris, netikėjimas, susierzinimas, susierzinusi moteris, susierzinusi moteris: vidutinio gymio, vidutinio gymio
🤦🏽‍♀	moteris, netikėjimas, rusvos odos, susierzinimas, susierzinusi moteris, susierzinusi moteris: rusvos odos
🤦🏾‍♀	moteris, netikėjimas, susierzinimas, susierzinusi moteris, susierzinusi moteris: tamsios odos, tamsios odos
🤦🏿‍♀	itin tamsios odos, moteris, netikėjimas, susierzinimas, susierzinusi moteris, susierzinusi moteris: itin tamsios odos
🤷	abejonė, gūžtelėjimas, gūžtelėjimas pečiais, nežinojimas
🤷🏻	abejonė, gūžtelėjimas, gūžtelėjimas pečiais, gūžtelėjimas pečiais: šviesios odos, nežinojimas, šviesios odos
🤷🏼	abejonė, gūžtelėjimas, gūžtelėjimas pečiais, gūžtelėjimas pečiais: vidutinio gymio, nežinojimas, vidutinio gymio
🤷🏽	abejonė, gūžtelėjimas, gūžtelėjimas pečiais, gūžtelėjimas pečiais: rusvos odos, nežinojimas, rusvos odos
🤷🏾	abejonė, gūžtelėjimas, gūžtelėjimas pečiais, gūžtelėjimas pečiais: tamsios odos, nežinojimas, tamsios odos
🤷🏿	abejonė, gūžtelėjimas, gūžtelėjimas pečiais, gūžtelėjimas pečiais: itin tamsios odos, itin tamsios odos, nežinojimas
🤷‍♂	abejingumas, abejojantis vyras, abejonė, nežinojimas, trūkčioti pečiais, vyras
🤷🏻‍♂	abejingumas, abejojantis vyras, abejojantis vyras: šviesios odos, abejonė, nežinojimas, trūkčioti pečiais, vyras, šviesios odos
🤷🏼‍♂	abejingumas, abejojantis vyras, abejojantis vyras: vidutinio gymio, abejonė, nežinojimas, trūkčioti pečiais, vidutinio gymio, vyras
🤷🏽‍♂	abejingumas, abejojantis vyras, abejojantis vyras: rusvos odos, abejonė, nežinojimas, rusvos odos, trūkčioti pečiais, vyras
🤷🏾‍♂	abejingumas, abejojantis vyras, abejojantis vyras: tamsios odos, abejonė, nežinojimas, tamsios odos, trūkčioti pečiais, vyras
🤷🏿‍♂	abejingumas, abejojantis vyras, abejojantis vyras: itin tamsios odos, abejonė, itin tamsios odos, nežinojimas, trūkčioti pečiais, vyras
🤷‍♀	abejingumas, abejojanti moteris, abejonė, moteris, nežinojimas, trūkčioti pečiais
🤷🏻‍♀	abejingumas, abejojanti moteris, abejojanti moteris: šviesios odos, abejonė, moteris, nežinojimas, trūkčioti pečiais, šviesios odos
🤷🏼‍♀	abejingumas, abejojanti moteris, abejojanti moteris: vidutinio gymio, abejonė, moteris, nežinojimas, trūkčioti pečiais, vidutinio gymio
🤷🏽‍♀	abejingumas, abejojanti moteris, abejojanti moteris: rusvos odos, abejonė, moteris, nežinojimas, rusvos odos, trūkčioti pečiais
🤷🏾‍♀	abejingumas, abejojanti moteris, abejojanti moteris: tamsios odos, abejonė, moteris, nežinojimas, tamsios odos, trūkčioti pečiais
🤷🏿‍♀	abejingumas, abejojanti moteris, abejojanti moteris: itin tamsios odos, abejonė, itin tamsios odos, moteris, nežinojimas, trūkčioti pečiais
👨‍⚕	gydytojas, medikas, slaugytojas, sveikata, terapeutas, vyras
👨🏻‍⚕	gydytojas, medikas, medikas: šviesios odos, slaugytojas, sveikata, terapeutas, vyras, šviesios odos
👨🏼‍⚕	gydytojas, medikas, medikas: vidutinio gymio, slaugytojas, sveikata, terapeutas, vidutinio gymio, vyras
👨🏽‍⚕	gydytojas, medikas, medikas: rusvos odos, rusvos odos, slaugytojas, sveikata, terapeutas, vyras
👨🏾‍⚕	gydytojas, medikas, medikas: tamsios odos, slaugytojas, sveikata, tamsios odos, terapeutas, vyras
👨🏿‍⚕	gydytojas, itin tamsios odos, medikas, medikas: itin tamsios odos, slaugytojas, sveikata, terapeutas, vyras
👩‍⚕	gydytoja, medikė, moteris, seselė, sveikata, terapeutė
👩🏻‍⚕	gydytoja, medikė, medikė: šviesios odos, moteris, seselė, sveikata, terapeutė, šviesios odos
👩🏼‍⚕	gydytoja, medikė, medikė: vidutinio gymio, moteris, seselė, sveikata, terapeutė, vidutinio gymio
👩🏽‍⚕	gydytoja, medikė, medikė: rusvos odos, moteris, rusvos odos, seselė, sveikata, terapeutė
👩🏾‍⚕	gydytoja, medikė, medikė: tamsios odos, moteris, seselė, sveikata, tamsios odos, terapeutė
👩🏿‍⚕	gydytoja, itin tamsios odos, medikė, medikė: itin tamsios odos, moteris, seselė, sveikata, terapeutė
👨‍🎓	absolventas, studentas, vyras
👨🏻‍🎓	absolventas, studentas, studentas: šviesios odos, vyras, šviesios odos
👨🏼‍🎓	absolventas, studentas, studentas: vidutinio gymio, vidutinio gymio, vyras
👨🏽‍🎓	absolventas, rusvos odos, studentas, studentas: rusvos odos, vyras
👨🏾‍🎓	absolventas, studentas, studentas: tamsios odos, tamsios odos, vyras
👨🏿‍🎓	absolventas, itin tamsios odos, studentas, studentas: itin tamsios odos, vyras
👩‍🎓	absolventė, moteris, studentė
👩🏻‍🎓	absolventė, moteris, studentė, studentė: šviesios odos, šviesios odos
👩🏼‍🎓	absolventė, moteris, studentė, studentė: vidutinio gymio, vidutinio gymio
👩🏽‍🎓	absolventė, moteris, rusvos odos, studentė, studentė: rusvos odos
👩🏾‍🎓	absolventė, moteris, studentė, studentė: tamsios odos, tamsios odos
👩🏿‍🎓	absolventė, itin tamsios odos, moteris, studentė, studentė: itin tamsios odos
👨‍🏫	dėstytojas, mokytojas, profesorius, vyras
👨🏻‍🏫	dėstytojas, mokytojas, mokytojas: šviesios odos, profesorius, vyras, šviesios odos
👨🏼‍🏫	dėstytojas, mokytojas, mokytojas: vidutinio gymio, profesorius, vidutinio gymio, vyras
👨🏽‍🏫	dėstytojas, mokytojas, mokytojas: rusvos odos, profesorius, rusvos odos, vyras
👨🏾‍🏫	dėstytojas, mokytojas, mokytojas: tamsios odos, profesorius, tamsios odos, vyras
👨🏿‍🏫	dėstytojas, itin tamsios odos, mokytojas, mokytojas: itin tamsios odos, profesorius, vyras
👩‍🏫	dėstytoja, mokytoja, moteris, profesorė
👩🏻‍🏫	dėstytoja, mokytoja, mokytoja: šviesios odos, moteris, profesorė, šviesios odos
👩🏼‍🏫	dėstytoja, mokytoja, mokytoja: vidutinio gymio, moteris, profesorė, vidutinio gymio
👩🏽‍🏫	dėstytoja, mokytoja, mokytoja: rusvos odos, moteris, profesorė, rusvos odos
👩🏾‍🏫	dėstytoja, mokytoja, mokytoja: tamsios odos, moteris, profesorė, tamsios odos
👩🏿‍🏫	dėstytoja, itin tamsios odos, mokytoja, mokytoja: itin tamsios odos, moteris, profesorė
👨‍⚖	svarstyklės, teisingumas, teisėjas, vyras
👨🏻‍⚖	svarstyklės, teisingumas, teisėjas, teisėjas: šviesios odos, vyras, šviesios odos
👨🏼‍⚖	svarstyklės, teisingumas, teisėjas, teisėjas: vidutinio gymio, vidutinio gymio, vyras
👨🏽‍⚖	rusvos odos, svarstyklės, teisingumas, teisėjas, teisėjas: rusvos odos, vyras
👨🏾‍⚖	svarstyklės, tamsios odos, teisingumas, teisėjas, teisėjas: tamsios odos, vyras
👨🏿‍⚖	itin tamsios odos, svarstyklės, teisingumas, teisėjas, teisėjas: itin tamsios odos, vyras
👩‍⚖	moteris, svarstyklės, teisingumas, teisėja
👩🏻‍⚖	moteris, svarstyklės, teisingumas, teisėja, teisėja: šviesios odos, šviesios odos
👩🏼‍⚖	moteris, svarstyklės, teisingumas, teisėja, teisėja: vidutinio gymio, vidutinio gymio
👩🏽‍⚖	moteris, rusvos odos, svarstyklės, teisingumas, teisėja, teisėja: rusvos odos
👩🏾‍⚖	moteris, svarstyklės, tamsios odos, teisingumas, teisėja, teisėja: tamsios odos
👩🏿‍⚖	itin tamsios odos, moteris, svarstyklės, teisingumas, teisėja, teisėja: itin tamsios odos
👨‍🌾	darbininkas, sodininkas, vyras, ūkininkas
👨🏻‍🌾	darbininkas, sodininkas, vyras, šviesios odos, ūkininkas, ūkininkas: šviesios odos
👨🏼‍🌾	darbininkas, sodininkas, vidutinio gymio, vyras, ūkininkas, ūkininkas: vidutinio gymio
👨🏽‍🌾	darbininkas, rusvos odos, sodininkas, vyras, ūkininkas, ūkininkas: rusvos odos
👨🏾‍🌾	darbininkas, sodininkas, tamsios odos, vyras, ūkininkas, ūkininkas: tamsios odos
👨🏿‍🌾	darbininkas, itin tamsios odos, sodininkas, vyras, ūkininkas, ūkininkas: itin tamsios odos
👩‍🌾	darbininkė, moteris, sodininkė, ūkininkė
👩🏻‍🌾	darbininkė, moteris, sodininkė, šviesios odos, ūkininkė, ūkininkė: šviesios odos
👩🏼‍🌾	darbininkė, moteris, sodininkė, vidutinio gymio, ūkininkė, ūkininkė: vidutinio gymio
👩🏽‍🌾	darbininkė, moteris, rusvos odos, sodininkė, ūkininkė, ūkininkė: rusvos odos
👩🏾‍🌾	darbininkė, moteris, sodininkė, tamsios odos, ūkininkė, ūkininkė: tamsios odos
👩🏿‍🌾	darbininkė, itin tamsios odos, moteris, sodininkė, ūkininkė, ūkininkė: itin tamsios odos
👨‍🍳	virėjas, vyras, šefas
👨🏻‍🍳	virėjas, virėjas: šviesios odos, vyras, šefas, šviesios odos
👨🏼‍🍳	vidutinio gymio, virėjas, virėjas: vidutinio gymio, vyras, šefas
👨🏽‍🍳	rusvos odos, virėjas, virėjas: rusvos odos, vyras, šefas
👨🏾‍🍳	tamsios odos, virėjas, virėjas: tamsios odos, vyras, šefas
👨🏿‍🍳	itin tamsios odos, virėjas, virėjas: itin tamsios odos, vyras, šefas
👩‍🍳	moteris, virėja, šefė
👩🏻‍🍳	moteris, virėja, virėja: šviesios odos, šefė, šviesios odos
👩🏼‍🍳	moteris, vidutinio gymio, virėja, virėja: vidutinio gymio, šefė
👩🏽‍🍳	moteris, rusvos odos, virėja, virėja: rusvos odos, šefė
👩🏾‍🍳	moteris, tamsios odos, virėja, virėja: tamsios odos, šefė
👩🏿‍🍳	itin tamsios odos, moteris, virėja, virėja: itin tamsios odos, šefė
👨‍🔧	elektrikas, mechanikas, prekybininkas, santechnikas, vyras
👨🏻‍🔧	elektrikas, mechanikas, mechanikas: šviesios odos, prekybininkas, santechnikas, vyras, šviesios odos
👨🏼‍🔧	elektrikas, mechanikas, mechanikas: vidutinio gymio, prekybininkas, santechnikas, vidutinio gymio, vyras
👨🏽‍🔧	elektrikas, mechanikas, mechanikas: rusvos odos, prekybininkas, rusvos odos, santechnikas, vyras
👨🏾‍🔧	elektrikas, mechanikas, mechanikas: tamsios odos, prekybininkas, santechnikas, tamsios odos, vyras
👨🏿‍🔧	elektrikas, itin tamsios odos, mechanikas, mechanikas: itin tamsios odos, prekybininkas, santechnikas, vyras
👩‍🔧	elektrikė, mechanikė, moteris, prekybininkė, santechnikė
👩🏻‍🔧	elektrikė, mechanikė, mechanikė: šviesios odos, moteris, prekybininkė, santechnikė, šviesios odos
👩🏼‍🔧	elektrikė, mechanikė, mechanikė: vidutinio gymio, moteris, prekybininkė, santechnikė, vidutinio gymio
👩🏽‍🔧	elektrikė, mechanikė, mechanikė: rusvos odos, moteris, prekybininkė, rusvos odos, santechnikė
👩🏾‍🔧	elektrikė, mechanikė, mechanikė: tamsios odos, moteris, prekybininkė, santechnikė, tamsios odos
👩🏿‍🔧	elektrikė, itin tamsios odos, mechanikė, mechanikė: itin tamsios odos, moteris, prekybininkė, santechnikė
👨‍🏭	darbuotojas, fabrikas, fabriko darbininkas, gamyba, susirinkimas, vyras
👨🏻‍🏭	darbuotojas, fabrikas, fabriko darbininkas, fabriko darbininkas: šviesios odos, gamyba, susirinkimas, vyras, šviesios odos
👨🏼‍🏭	darbuotojas, fabrikas, fabriko darbininkas, fabriko darbininkas: vidutinio gymio, gamyba, susirinkimas, vidutinio gymio, vyras
👨🏽‍🏭	darbuotojas, fabrikas, fabriko darbininkas, fabriko darbininkas: rusvos odos, gamyba, rusvos odos, susirinkimas, vyras
👨🏾‍🏭	darbuotojas, fabrikas, fabriko darbininkas, fabriko darbininkas: tamsios odos, gamyba, susirinkimas, tamsios odos, vyras
👨🏿‍🏭	darbuotojas, fabrikas, fabriko darbininkas, fabriko darbininkas: itin tamsios odos, gamyba, itin tamsios odos, susirinkimas, vyras
👩‍🏭	darbuotoja, fabrikas, fabriko darbininkė, gamyba, moteris, susirinkimas
👩🏻‍🏭	darbuotoja, fabrikas, fabriko darbininkė, fabriko darbininkė: šviesios odos, gamyba, moteris, susirinkimas, šviesios odos
👩🏼‍🏭	darbuotoja, fabrikas, fabriko darbininkė, fabriko darbininkė: vidutinio gymio, gamyba, moteris, susirinkimas, vidutinio gymio
👩🏽‍🏭	darbuotoja, fabrikas, fabriko darbininkė, fabriko darbininkė: rusvos odos, gamyba, moteris, rusvos odos, susirinkimas
👩🏾‍🏭	darbuotoja, fabrikas, fabriko darbininkė, fabriko darbininkė: tamsios odos, gamyba, moteris, susirinkimas, tamsios odos
👩🏿‍🏭	darbuotoja, fabrikas, fabriko darbininkė, fabriko darbininkė: itin tamsios odos, gamyba, itin tamsios odos, moteris, susirinkimas
👨‍💼	architektas, biuras, biuro darbuotojas, darbas įstaigoje, vadybininkas, verslas, vyras
👨🏻‍💼	architektas, biuras, biuro darbuotojas, biuro darbuotojas: šviesios odos, darbas įstaigoje, vadybininkas, verslas, vyras, šviesios odos
👨🏼‍💼	architektas, biuras, biuro darbuotojas, biuro darbuotojas: vidutinio gymio, darbas įstaigoje, vadybininkas, verslas, vidutinio gymio, vyras
👨🏽‍💼	architektas, biuras, biuro darbuotojas, biuro darbuotojas: rusvos odos, darbas įstaigoje, rusvos odos, vadybininkas, verslas, vyras
👨🏾‍💼	architektas, biuras, biuro darbuotojas, biuro darbuotojas: tamsios odos, darbas įstaigoje, tamsios odos, vadybininkas, verslas, vyras
👨🏿‍💼	architektas, biuras, biuro darbuotojas, biuro darbuotojas: itin tamsios odos, darbas įstaigoje, itin tamsios odos, vadybininkas, verslas, vyras
👩‍💼	architektė, biuro darbuotoja, darbas įstaigoje, moteris, vadybininkė, verslas
👩🏻‍💼	architektė, biuro darbuotoja, biuro darbuotoja: šviesios odos, darbas įstaigoje, moteris, vadybininkė, verslas, šviesios odos
👩🏼‍💼	architektė, biuro darbuotoja, biuro darbuotoja: vidutinio gymio, darbas įstaigoje, moteris, vadybininkė, verslas, vidutinio gymio
👩🏽‍💼	architektė, biuro darbuotoja, biuro darbuotoja: rusvos odos, darbas įstaigoje, moteris, rusvos odos, vadybininkė, verslas
👩🏾‍💼	architektė, biuro darbuotoja, biuro darbuotoja: tamsios odos, darbas įstaigoje, moteris, tamsios odos, vadybininkė, verslas
👩🏿‍💼	architektė, biuro darbuotoja, biuro darbuotoja: itin tamsios odos, darbas įstaigoje, itin tamsios odos, moteris, vadybininkė, verslas
👨‍🔬	biologas, chemikas, fizikas, inžinierius, matematikas, mokslininkas, vyras
👨🏻‍🔬	biologas, chemikas, fizikas, inžinierius, matematikas, mokslininkas, mokslininkas: šviesios odos, vyras, šviesios odos
👨🏼‍🔬	biologas, chemikas, fizikas, inžinierius, matematikas, mokslininkas, mokslininkas: vidutinio gymio, vidutinio gymio, vyras
👨🏽‍🔬	biologas, chemikas, fizikas, inžinierius, matematikas, mokslininkas, mokslininkas: rusvos odos, rusvos odos, vyras
👨🏾‍🔬	biologas, chemikas, fizikas, inžinierius, matematikas, mokslininkas, mokslininkas: tamsios odos, tamsios odos, vyras
👨🏿‍🔬	biologas, chemikas, fizikas, inžinierius, itin tamsios odos, matematikas, mokslininkas, mokslininkas: itin tamsios odos, vyras
👩‍🔬	biologė, chemikė, fizikė, inžinierė, matematikė, mokslininkė, moteris
👩🏻‍🔬	biologė, chemikė, fizikė, inžinierė, matematikė, mokslininkė, mokslininkė: šviesios odos, moteris, šviesios odos
👩🏼‍🔬	biologė, chemikė, fizikė, inžinierė, matematikė, mokslininkė, mokslininkė: vidutinio gymio, moteris, vidutinio gymio
👩🏽‍🔬	biologė, chemikė, fizikė, inžinierė, matematikė, mokslininkė, mokslininkė: rusvos odos, moteris, rusvos odos
👩🏾‍🔬	biologė, chemikė, fizikė, inžinierė, matematikė, mokslininkė, mokslininkė: tamsios odos, moteris, tamsios odos
👩🏿‍🔬	biologė, chemikė, fizikė, inžinierė, itin tamsios odos, matematikė, mokslininkė, mokslininkė: itin tamsios odos, moteris
👨‍💻	išradėjas, kūrėjas, programinė įranga, programuotojas, technologas, vyras
👨🏻‍💻	išradėjas, kūrėjas, programinė įranga, programuotojas, technologas, technologas: šviesios odos, vyras, šviesios odos
👨🏼‍💻	išradėjas, kūrėjas, programinė įranga, programuotojas, technologas, technologas: vidutinio gymio, vidutinio gymio, vyras
👨🏽‍💻	išradėjas, kūrėjas, programinė įranga, programuotojas, rusvos odos, technologas, technologas: rusvos odos, vyras
👨🏾‍💻	išradėjas, kūrėjas, programinė įranga, programuotojas, tamsios odos, technologas, technologas: tamsios odos, vyras
👨🏿‍💻	itin tamsios odos, išradėjas, kūrėjas, programinė įranga, programuotojas, technologas, technologas: itin tamsios odos, vyras
👩‍💻	išradėja, kūrėja, moteris, programinė įranga, programuotoja, technologė
👩🏻‍💻	išradėja, kūrėja, moteris, programinė įranga, programuotoja, technologė, technologė: šviesios odos, šviesios odos
👩🏼‍💻	išradėja, kūrėja, moteris, programinė įranga, programuotoja, technologė, technologė: vidutinio gymio, vidutinio gymio
👩🏽‍💻	išradėja, kūrėja, moteris, programinė įranga, programuotoja, rusvos odos, technologė, technologė: rusvos odos
👩🏾‍💻	išradėja, kūrėja, moteris, programinė įranga, programuotoja, tamsios odos, technologė, technologė: tamsios odos
👩🏿‍💻	itin tamsios odos, išradėja, kūrėja, moteris, programinė įranga, programuotoja, technologė, technologė: itin tamsios odos
👨‍🎤	aktorius, dainininkas, rokas, vyras, žvaigždė
👨🏻‍🎤	aktorius, dainininkas, dainininkas: šviesios odos, rokas, vyras, šviesios odos, žvaigždė
👨🏼‍🎤	aktorius, dainininkas, dainininkas: vidutinio gymio, rokas, vidutinio gymio, vyras, žvaigždė
👨🏽‍🎤	aktorius, dainininkas, dainininkas: rusvos odos, rokas, rusvos odos, vyras, žvaigždė
👨🏾‍🎤	aktorius, dainininkas, dainininkas: tamsios odos, rokas, tamsios odos, vyras, žvaigždė
👨🏿‍🎤	aktorius, dainininkas, dainininkas: itin tamsios odos, itin tamsios odos, rokas, vyras, žvaigždė
👩‍🎤	aktorė, dainininkė, moteris, rokas, žvaigždė
👩🏻‍🎤	aktorė, dainininkė, dainininkė: šviesios odos, moteris, rokas, šviesios odos, žvaigždė
