😀	syrtarma, syrtarýan ýüz, ýüz
🙅🏽‍♂	bolanok, el, erkek, gadagan, orta deri reňki, ÝOK ümleýän erkek, ÝOK ümleýän erkek: orta deri reňki, üm, ýok
🙅🏾‍♂	bolanok, el, erkek, gadagan, orta goýy deri reňki, ÝOK ümleýän erkek, ÝOK ümleýän erkek: orta goýy deri reňki, üm, ýok
🙅🏿‍♂	bolanok, el, erkek, gadagan, goýy deri reňki, ÝOK ümleýän erkek, ÝOK ümleýän erkek: goýy deri reňki, üm, ýok
🙅‍♀	bolanok, el, gadagan, zenan, ÝOK ümleýän zenan, üm, ýok
🙅🏻‍♀	açyk deri reňki, bolanok, el, gadagan, zenan, ÝOK ümleýän zenan, ÝOK ümleýän zenan: açyk deri reňki, üm, ýok
🙅🏼‍♀	bolanok, el, gadagan, orta açyk deri reňki, zenan, ÝOK ümleýän zenan, ÝOK ümleýän zenan: orta açyk deri reňki, üm, ýok
🙅🏽‍♀	bolanok, el, gadagan, orta deri reňki, zenan, ÝOK ümleýän zenan, ÝOK ümleýän zenan: orta deri reňki, üm, ýok
🙅🏾‍♀	bolanok, el, gadagan, orta goýy deri reňki, zenan, ÝOK ümleýän zenan, ÝOK ümleýän zenan: orta goýy deri reňki, üm, ýok
🙅🏿‍♀	bolanok, el, gadagan, goýy deri reňki, zenan, ÝOK ümleýän zenan, ÝOK ümleýän zenan: goýy deri reňki, üm, ýok
🙆	Bolýar ümleýän adam, bolýar, el, üm
🙆🏻	Bolýar ümleýän adam, Bolýar ümleýän adam: açyk deri reňki, açyk deri reňki, bolýar, el, üm
🙆🏼	Bolýar ümleýän adam, Bolýar ümleýän adam: orta açyk deri reňki, bolýar, el, orta açyk deri reňki, üm
🙆🏽	Bolýar ümleýän adam, Bolýar ümleýän adam: orta deri reňki, bolýar, el, orta deri reňki, üm
🙆🏾	Bolýar ümleýän adam, Bolýar ümleýän adam: orta goýy deri reňki, bolýar, el, orta goýy deri reňki, üm
🙆🏿	Bolýar ümleýän adam, Bolýar ümleýän adam: goýy deri reňki, bolýar, el, goýy deri reňki, üm
🙆‍♂	Bolýar ümleýän erkek, bolýar, el, erkek, üm
🙆🏻‍♂	Bolýar ümleýän erkek, Bolýar ümleýän erkek: açyk deri reňki, açyk deri reňki, bolýar, el, erkek, üm
🙆🏼‍♂	Bolýar ümleýän erkek, Bolýar ümleýän erkek: orta açyk deri reňki, bolýar, el, erkek, orta açyk deri reňki, üm
🙆🏽‍♂	Bolýar ümleýän erkek, Bolýar ümleýän erkek: orta deri reňki, bolýar, el, erkek, orta deri reňki, üm
🙆🏾‍♂	Bolýar ümleýän erkek, Bolýar ümleýän erkek: orta goýy deri reňki, bolýar, el, erkek, orta goýy deri reňki, üm
🙆🏿‍♂	Bolýar ümleýän erkek, Bolýar ümleýän erkek: goýy deri reňki, bolýar, el, erkek, goýy deri reňki, üm
🙆‍♀	Bolýar ümleýän zenan, bolýar, el, zenan, üm
🙆🏻‍♀	Bolýar ümleýän zenan, Bolýar ümleýän zenan: açyk deri reňki, açyk deri reňki, bolýar, el, zenan, üm
🙆🏼‍♀	Bolýar ümleýän zenan, Bolýar ümleýän zenan: orta açyk deri reňki, bolýar, el, orta açyk deri reňki, zenan, üm
🙆🏽‍♀	Bolýar ümleýän zenan, Bolýar ümleýän zenan: orta deri reňki, bolýar, el, orta deri reňki, zenan, üm
🙆🏾‍♀	Bolýar ümleýän zenan, Bolýar ümleýän zenan: orta goýy deri reňki, bolýar, el, orta goýy deri reňki, zenan, üm
🙆🏿‍♀	Bolýar ümleýän zenan, Bolýar ümleýän zenan: goýy deri reňki, bolýar, el, goýy deri reňki, zenan, üm
💁	batyrgaý, el, elini açan adam, kömek, maglumat, çaý puly bermek
💁🏻	açyk deri reňki, batyrgaý, el, elini açan adam, elini açan adam: açyk deri reňki, kömek, maglumat, çaý puly bermek
💁🏼	batyrgaý, el, elini açan adam, elini açan adam: orta açyk deri reňki, kömek, maglumat, orta açyk deri reňki, çaý puly bermek
💁🏽	batyrgaý, el, elini açan adam, elini açan adam: orta deri reňki, kömek, maglumat, orta deri reňki, çaý puly bermek
💁🏾	batyrgaý, el, elini açan adam, elini açan adam: orta goýy deri reňki, kömek, maglumat, orta goýy deri reňki, çaý puly bermek
💁🏿	batyrgaý, el, elini açan adam, elini açan adam: goýy deri reňki, goýy deri reňki, kömek, maglumat, çaý puly bermek
💁‍♂	batyrgaý, elini açan erkek, erkek, çaý puly berýän el
💁🏻‍♂	açyk deri reňki, batyrgaý, elini açan erkek, elini açan erkek: açyk deri reňki, erkek, çaý puly berýän el
💁🏼‍♂	batyrgaý, elini açan erkek, elini açan erkek: orta açyk deri reňki, erkek, orta açyk deri reňki, çaý puly berýän el
💁🏽‍♂	batyrgaý, elini açan erkek, elini açan erkek: orta deri reňki, erkek, orta deri reňki, çaý puly berýän el
💁🏾‍♂	batyrgaý, elini açan erkek, elini açan erkek: orta goýy deri reňki, erkek, orta goýy deri reňki, çaý puly berýän el
💁🏿‍♂	batyrgaý, elini açan erkek, elini açan erkek: goýy deri reňki, erkek, goýy deri reňki, çaý puly berýän el
💁‍♀	batyrgaý, elini açan zenan, zenan, çaý puly berýän el
💁🏻‍♀	açyk deri reňki, batyrgaý, elini açan zenan, elini açan zenan: açyk deri reňki, zenan, çaý puly berýän el
💁🏼‍♀	batyrgaý, elini açan zenan, elini açan zenan: orta açyk deri reňki, orta açyk deri reňki, zenan, çaý puly berýän el
💁🏽‍♀	batyrgaý, elini açan zenan, elini açan zenan: orta deri reňki, orta deri reňki, zenan, çaý puly berýän el
💁🏾‍♀	batyrgaý, elini açan zenan, elini açan zenan: orta goýy deri reňki, orta goýy deri reňki, zenan, çaý puly berýän el
💁🏿‍♀	batyrgaý, elini açan zenan, elini açan zenan: goýy deri reňki, goýy deri reňki, zenan, çaý puly berýän el
🙋	bagtly, el, elini galdyrýan adam, galdyrylan, üm
🙋🏻	açyk deri reňki, bagtly, el, elini galdyrýan adam, elini galdyrýan adam: açyk deri reňki, galdyrylan, üm
🙋🏼	bagtly, el, elini galdyrýan adam, elini galdyrýan adam: orta açyk deri reňki, galdyrylan, orta açyk deri reňki, üm
🙋🏽	bagtly, el, elini galdyrýan adam, elini galdyrýan adam: orta deri reňki, galdyrylan, orta deri reňki, üm
🙋🏾	bagtly, el, elini galdyrýan adam, elini galdyrýan adam: orta goýy deri reňki, galdyrylan, orta goýy deri reňki, üm
🙋🏿	bagtly, el, elini galdyrýan adam, elini galdyrýan adam: goýy deri reňki, galdyrylan, goýy deri reňki, üm
🙋‍♂	elini galdyrýan erkek, eliňi galdyrmak, erkek, üm
🙋🏻‍♂	açyk deri reňki, elini galdyrýan erkek, elini galdyrýan erkek: açyk deri reňki, eliňi galdyrmak, erkek, üm
🙋🏼‍♂	elini galdyrýan erkek, elini galdyrýan erkek: orta açyk deri reňki, eliňi galdyrmak, erkek, orta açyk deri reňki, üm
🙋🏽‍♂	elini galdyrýan erkek, elini galdyrýan erkek: orta deri reňki, eliňi galdyrmak, erkek, orta deri reňki, üm
🙋🏾‍♂	elini galdyrýan erkek, elini galdyrýan erkek: orta goýy deri reňki, eliňi galdyrmak, erkek, orta goýy deri reňki, üm
🙋🏿‍♂	elini galdyrýan erkek, elini galdyrýan erkek: goýy deri reňki, eliňi galdyrmak, erkek, goýy deri reňki, üm
🙋‍♀	elini galdyrýan zenan, eliňi galdyrmak, zenan, üm
🙋🏻‍♀	açyk deri reňki, elini galdyrýan zenan, elini galdyrýan zenan: açyk deri reňki, eliňi galdyrmak, zenan, üm
🙋🏼‍♀	elini galdyrýan zenan, elini galdyrýan zenan: orta açyk deri reňki, eliňi galdyrmak, orta açyk deri reňki, zenan, üm
🙋🏽‍♀	elini galdyrýan zenan, elini galdyrýan zenan: orta deri reňki, eliňi galdyrmak, orta deri reňki, zenan, üm
🙋🏾‍♀	elini galdyrýan zenan, elini galdyrýan zenan: orta goýy deri reňki, eliňi galdyrmak, orta goýy deri reňki, zenan, üm
🙋🏿‍♀	elini galdyrýan zenan, elini galdyrýan zenan: goýy deri reňki, eliňi galdyrmak, goýy deri reňki, zenan, üm
🧏	elýeterlilik, eşit, gulak, ker, ker adam
🧏🏻	açyk deri reňki, elýeterlilik, eşit, gulak, ker, ker adam, ker adam: açyk deri reňki
🧏🏼	elýeterlilik, eşit, gulak, ker, ker adam, ker adam: orta açyk deri reňki, orta açyk deri reňki
🧏🏽	elýeterlilik, eşit, gulak, ker, ker adam, ker adam: orta deri reňki, orta deri reňki
🧏🏾	elýeterlilik, eşit, gulak, ker, ker adam, ker adam: orta goýy deri reňki, orta goýy deri reňki
🧏🏿	elýeterlilik, eşit, goýy deri reňki, gulak, ker, ker adam, ker adam: goýy deri reňki
🧏‍♂	erkek, ker, ker erkek
🧏🏻‍♂	açyk deri reňki, erkek, ker, ker erkek: açyk deri reňki
🧏🏼‍♂	erkek, ker, ker erkek: orta açyk deri reňki, orta açyk deri reňki
🧏🏽‍♂	erkek, ker, ker erkek: orta deri reňki, orta deri reňki
🧏🏾‍♂	erkek, ker, ker erkek: orta goýy deri reňki, orta goýy deri reňki
🧏🏿‍♂	erkek, goýy deri reňki, ker, ker erkek: goýy deri reňki
🧏‍♀	ker, ker zenan, zenan
🧏🏻‍♀	açyk deri reňki, ker, ker zenan: açyk deri reňki, zenan
🧏🏼‍♀	ker, ker zenan: orta açyk deri reňki, orta açyk deri reňki, zenan
🧏🏽‍♀	ker, ker zenan: orta deri reňki, orta deri reňki, zenan
🧏🏾‍♀	ker, ker zenan: orta goýy deri reňki, orta goýy deri reňki, zenan
🧏🏿‍♀	goýy deri reňki, ker, ker zenan: goýy deri reňki, zenan
🙇	bagyşlaň, tagzym, tagzym edýän adam, ötünç, üm
🙇🏻	açyk deri reňki, bagyşlaň, tagzym, tagzym edýän adam, tagzym edýän adam: açyk deri reňki, ötünç, üm
🙇🏼	bagyşlaň, orta açyk deri reňki, tagzym, tagzym edýän adam, tagzym edýän adam: orta açyk deri reňki, ötünç, üm
🙇🏽	bagyşlaň, orta deri reňki, tagzym, tagzym edýän adam, tagzym edýän adam: orta deri reňki, ötünç, üm
🙇🏾	bagyşlaň, orta goýy deri reňki, tagzym, tagzym edýän adam, tagzym edýän adam: orta goýy deri reňki, ötünç, üm
🙇🏿	bagyşlaň, goýy deri reňki, tagzym, tagzym edýän adam, tagzym edýän adam: goýy deri reňki, ötünç, üm
🙇‍♂	bagyşlaň, erkek, hemaýat, tagzym, tagzym edýän erkek, ötünç, üm
🙇🏻‍♂	açyk deri reňki, bagyşlaň, erkek, hemaýat, tagzym, tagzym edýän erkek, tagzym edýän erkek: açyk deri reňki, ötünç, üm
🙇🏼‍♂	bagyşlaň, erkek, hemaýat, orta açyk deri reňki, tagzym, tagzym edýän erkek, tagzym edýän erkek: orta açyk deri reňki, ötünç, üm
🙇🏽‍♂	bagyşlaň, erkek, hemaýat, orta deri reňki, tagzym, tagzym edýän erkek, tagzym edýän erkek: orta deri reňki, ötünç, üm
🙇🏾‍♂	bagyşlaň, erkek, hemaýat, orta goýy deri reňki, tagzym, tagzym edýän erkek, tagzym edýän erkek: orta goýy deri reňki, ötünç, üm
🙇🏿‍♂	bagyşlaň, erkek, goýy deri reňki, hemaýat, tagzym, tagzym edýän erkek, tagzym edýän erkek: goýy deri reňki, ötünç, üm
🙇‍♀	bagyşlaň, hemaýat, tagzym, tagzym edýän zenan, zenan, ötünç, üm
🙇🏻‍♀	açyk deri reňki, bagyşlaň, hemaýat, tagzym, tagzym edýän zenan, tagzym edýän zenan: açyk deri reňki, zenan, ötünç, üm
🙇🏼‍♀	bagyşlaň, hemaýat, orta açyk deri reňki, tagzym, tagzym edýän zenan, tagzym edýän zenan: orta açyk deri reňki, zenan, ötünç, üm
🙇🏽‍♀	bagyşlaň, hemaýat, orta deri reňki, tagzym, tagzym edýän zenan, tagzym edýän zenan: orta deri reňki, zenan, ötünç, üm
🙇🏾‍♀	bagyşlaň, hemaýat, orta goýy deri reňki, tagzym, tagzym edýän zenan, tagzym edýän zenan: orta goýy deri reňki, zenan, ötünç, üm
🙇🏿‍♀	bagyşlaň, goýy deri reňki, hemaýat, tagzym, tagzym edýän zenan, tagzym edýän zenan: goýy deri reňki, zenan, ötünç, üm
🤦	aýa, elini maňlaýyna urýan adam, gyzmalyk, ynanmazlyk, ýüz
🤦🏻	açyk deri reňki, aýa, elini maňlaýyna urýan adam, elini maňlaýyna urýan adam: açyk deri reňki, gyzmalyk, ynanmazlyk, ýüz
🤦🏼	aýa, elini maňlaýyna urýan adam, elini maňlaýyna urýan adam: orta açyk deri reňki, gyzmalyk, orta açyk deri reňki, ynanmazlyk, ýüz
🤦🏽	aýa, elini maňlaýyna urýan adam, elini maňlaýyna urýan adam: orta deri reňki, gyzmalyk, orta deri reňki, ynanmazlyk, ýüz
🤦🏾	aýa, elini maňlaýyna urýan adam, elini maňlaýyna urýan adam: orta goýy deri reňki, gyzmalyk, orta goýy deri reňki, ynanmazlyk, ýüz
🤦🏿	aýa, elini maňlaýyna urýan adam, elini maňlaýyna urýan adam: goýy deri reňki, goýy deri reňki, gyzmalyk, ynanmazlyk, ýüz
🤦‍♂	aýasy bilen ýüzüne urmak, elini maňlaýyna urýan erkek, erkek, gyzmalyk, ynanmazlyk
🤦🏻‍♂	açyk deri reňki, aýasy bilen ýüzüne urmak, elini maňlaýyna urýan erkek, elini maňlaýyna urýan erkek: açyk deri reňki, erkek, gyzmalyk, ynanmazlyk
🤦🏼‍♂	aýasy bilen ýüzüne urmak, elini maňlaýyna urýan erkek, elini maňlaýyna urýan erkek: orta açyk deri reňki, erkek, gyzmalyk, orta açyk deri reňki, ynanmazlyk
🤦🏽‍♂	aýasy bilen ýüzüne urmak, elini maňlaýyna urýan erkek, elini maňlaýyna urýan erkek: orta deri reňki, erkek, gyzmalyk, orta deri reňki, ynanmazlyk
🤦🏾‍♂	aýasy bilen ýüzüne urmak, elini maňlaýyna urýan erkek, elini maňlaýyna urýan erkek: orta goýy deri reňki, erkek, gyzmalyk, orta goýy deri reňki, ynanmazlyk
🤦🏿‍♂	aýasy bilen ýüzüne urmak, elini maňlaýyna urýan erkek, elini maňlaýyna urýan erkek: goýy deri reňki, erkek, goýy deri reňki, gyzmalyk, ynanmazlyk
🤦‍♀	aýal, aýasy bilen ýüzüne urmak, elini maňlaýyna urýan zenan, gyzmalyk, ynanmazlyk
🤦🏻‍♀	açyk deri reňki, aýal, aýasy bilen ýüzüne urmak, elini maňlaýyna urýan zenan, elini maňlaýyna urýan zenan: açyk deri reňki, gyzmalyk, ynanmazlyk
🤦🏼‍♀	aýal, aýasy bilen ýüzüne urmak, elini maňlaýyna urýan zenan, elini maňlaýyna urýan zenan: orta açyk deri reňki, gyzmalyk, orta açyk deri reňki, ynanmazlyk
🤦🏽‍♀	aýal, aýasy bilen ýüzüne urmak, elini maňlaýyna urýan zenan, elini maňlaýyna urýan zenan: orta deri reňki, gyzmalyk, orta deri reňki, ynanmazlyk
🤦🏾‍♀	aýal, aýasy bilen ýüzüne urmak, elini maňlaýyna urýan zenan, elini maňlaýyna urýan zenan: orta goýy deri reňki, gyzmalyk, orta goýy deri reňki, ynanmazlyk
🤦🏿‍♀	aýal, aýasy bilen ýüzüne urmak, elini maňlaýyna urýan zenan, elini maňlaýyna urýan zenan: goýy deri reňki, goýy deri reňki, gyzmalyk, ynanmazlyk
🤷	biparhlyk, egnini gysýan adam, egniňi gysmak, üns bermezlik, şübhe
🤷🏻	açyk deri reňki, biparhlyk, egnini gysýan adam, egnini gysýan adam: açyk deri reňki, egniňi gysmak, üns bermezlik, şübhe
🤷🏼	biparhlyk, egnini gysýan adam, egnini gysýan adam: orta açyk deri reňki, egniňi gysmak, orta açyk deri reňki, üns bermezlik, şübhe
🤷🏽	biparhlyk, egnini gysýan adam, egnini gysýan adam: orta deri reňki, egniňi gysmak, orta deri reňki, üns bermezlik, şübhe
🤷🏾	biparhlyk, egnini gysýan adam, egnini gysýan adam: orta goýy deri reňki, egniňi gysmak, orta goýy deri reňki, üns bermezlik, şübhe
🤷🏿	biparhlyk, egnini gysýan adam, egnini gysýan adam: goýy deri reňki, egniňi gysmak, goýy deri reňki, üns bermezlik, şübhe
🤷‍♂	biparhlyk, egnini gysýan erkek, egniňi gysmak, erkek, üns bermezlik, şübhe
🤷🏻‍♂	açyk deri reňki, biparhlyk, egnini gysýan erkek, egnini gysýan erkek: açyk deri reňki, egniňi gysmak, erkek, üns bermezlik, şübhe
🤷🏼‍♂	biparhlyk, egnini gysýan erkek, egnini gysýan erkek: orta açyk deri reňki, egniňi gysmak, erkek, orta açyk deri reňki, üns bermezlik, şübhe
🤷🏽‍♂	biparhlyk, egnini gysýan erkek, egnini gysýan erkek: orta deri reňki, egniňi gysmak, erkek, orta deri reňki, üns bermezlik, şübhe
🤷🏾‍♂	biparhlyk, egnini gysýan erkek, egnini gysýan erkek: orta goýy deri reňki, egniňi gysmak, erkek, orta goýy deri reňki, üns bermezlik, şübhe
🤷🏿‍♂	biparhlyk, egnini gysýan erkek, egnini gysýan erkek: goýy deri reňki, egniňi gysmak, erkek, goýy deri reňki, üns bermezlik, şübhe
🤷‍♀	aýal, biparhlyk, egnini gysýan zenan, egniňi gysmak, üns bermezlik, şübhe
🤷🏻‍♀	açyk deri reňki, aýal, biparhlyk, egnini gysýan zenan, egnini gysýan zenan: açyk deri reňki, egniňi gysmak, üns bermezlik, şübhe
🤷🏼‍♀	aýal, biparhlyk, egnini gysýan zenan, egnini gysýan zenan: orta açyk deri reňki, egniňi gysmak, orta açyk deri reňki, üns bermezlik, şübhe
🤷🏽‍♀	aýal, biparhlyk, egnini gysýan zenan, egnini gysýan zenan: orta deri reňki, egniňi gysmak, orta deri reňki, üns bermezlik, şübhe
🤷🏾‍♀	aýal, biparhlyk, egnini gysýan zenan, egnini gysýan zenan: orta goýy deri reňki, egniňi gysmak, orta goýy deri reňki, üns bermezlik, şübhe
🤷🏿‍♀	aýal, biparhlyk, egnini gysýan zenan, egnini gysýan zenan: goýy deri reňki, egniňi gysmak, goýy deri reňki, üns bermezlik, şübhe
👨‍⚕	erkek, erkek saglygy goraýyş işgäri, lukman, saglygy goraýyş, terapewt, şepagat dogany
👨🏻‍⚕	açyk deri reňki, erkek, erkek saglygy goraýyş işgäri, erkek saglygy goraýyş işgäri: açyk deri reňki, lukman, saglygy goraýyş, terapewt, şepagat dogany
👨🏼‍⚕	erkek, erkek saglygy goraýyş işgäri, erkek saglygy goraýyş işgäri: orta açyk deri reňki, lukman, orta açyk deri reňki, saglygy goraýyş, terapewt, şepagat dogany
👨🏽‍⚕	erkek, erkek saglygy goraýyş işgäri, erkek saglygy goraýyş işgäri: orta deri reňki, lukman, orta deri reňki, saglygy goraýyş, terapewt, şepagat dogany
👨🏾‍⚕	erkek, erkek saglygy goraýyş işgäri, erkek saglygy goraýyş işgäri: orta goýy deri reňki, lukman, orta goýy deri reňki, saglygy goraýyş, terapewt, şepagat dogany
👨🏿‍⚕	erkek, erkek saglygy goraýyş işgäri, erkek saglygy goraýyş işgäri: goýy deri reňki, goýy deri reňki, lukman, saglygy goraýyş, terapewt, şepagat dogany
👩‍⚕	lukman, saglygy goraýyş, terapewt, zenan, zenan saglygy goraýyş işgäri, şepagat uýasy
👩🏻‍⚕	açyk deri reňki, lukman, saglygy goraýyş, terapewt, zenan, zenan saglygy goraýyş işgäri, zenan saglygy goraýyş işgäri: açyk deri reňki, şepagat uýasy
👩🏼‍⚕	lukman, orta açyk deri reňki, saglygy goraýyş, terapewt, zenan, zenan saglygy goraýyş işgäri, zenan saglygy goraýyş işgäri: orta açyk deri reňki, şepagat uýasy
👩🏽‍⚕	lukman, orta deri reňki, saglygy goraýyş, terapewt, zenan, zenan saglygy goraýyş işgäri, zenan saglygy goraýyş işgäri: orta deri reňki, şepagat uýasy
👩🏾‍⚕	lukman, orta goýy deri reňki, saglygy goraýyş, terapewt, zenan, zenan saglygy goraýyş işgäri, zenan saglygy goraýyş işgäri: orta goýy deri reňki, şepagat uýasy
👩🏿‍⚕	goýy deri reňki, lukman, saglygy goraýyş, terapewt, zenan, zenan saglygy goraýyş işgäri, zenan saglygy goraýyş işgäri: goýy deri reňki, şepagat uýasy
👨‍🎓	erkek, erkek talyp, talyp, uçurym
👨🏻‍🎓	açyk deri reňki, erkek, erkek talyp: açyk deri reňki, talyp, uçurym
👨🏼‍🎓	erkek, erkek talyp: orta açyk deri reňki, orta açyk deri reňki, talyp, uçurym
👨🏽‍🎓	erkek, erkek talyp: orta deri reňki, orta deri reňki, talyp, uçurym
👨🏾‍🎓	erkek, erkek talyp: orta goýy deri reňki, orta goýy deri reňki, talyp, uçurym
👨🏿‍🎓	erkek, erkek talyp: goýy deri reňki, goýy deri reňki, talyp, uçurym
👩‍🎓	talyp, uçurym, zenan, zenan talyp
👩🏻‍🎓	açyk deri reňki, talyp, uçurym, zenan, zenan talyp: açyk deri reňki
👩🏼‍🎓	orta açyk deri reňki, talyp, uçurym, zenan, zenan talyp: orta açyk deri reňki
👩🏽‍🎓	orta deri reňki, talyp, uçurym, zenan, zenan talyp: orta deri reňki
👩🏾‍🎓	orta goýy deri reňki, talyp, uçurym, zenan, zenan talyp: orta goýy deri reňki
👩🏿‍🎓	goýy deri reňki, talyp, uçurym, zenan, zenan talyp: goýy deri reňki
👨‍🏫	erkek, erkek mugallym, lektor, mugallym, professor
👨🏻‍🏫	açyk deri reňki, erkek, erkek mugallym: açyk deri reňki, lektor, mugallym, professor
👨🏼‍🏫	erkek, erkek mugallym: orta açyk deri reňki, lektor, mugallym, orta açyk deri reňki, professor
👨🏽‍🏫	erkek, erkek mugallym: orta deri reňki, lektor, mugallym, orta deri reňki, professor
👨🏾‍🏫	erkek, erkek mugallym: orta goýy deri reňki, lektor, mugallym, orta goýy deri reňki, professor
👨🏿‍🏫	erkek, erkek mugallym: goýy deri reňki, goýy deri reňki, lektor, mugallym, professor
👩‍🏫	lektor, mugallym, professor, zenan, zenan mugallym
👩🏻‍🏫	açyk deri reňki, lektor, mugallym, professor, zenan, zenan mugallym: açyk deri reňki
👩🏼‍🏫	lektor, mugallym, orta açyk deri reňki, professor, zenan, zenan mugallym: orta açyk deri reňki
👩🏽‍🏫	lektor, mugallym, orta deri reňki, professor, zenan, zenan mugallym: orta deri reňki
👩🏾‍🏫	lektor, mugallym, orta goýy deri reňki, professor, zenan, zenan mugallym: orta goýy deri reňki
👩🏿‍🏫	goýy deri reňki, lektor, mugallym, professor, zenan, zenan mugallym: goýy deri reňki
👨‍⚖	adalat, erkek, erkek kazy, terezi
👨🏻‍⚖	adalat, açyk deri reňki, erkek, erkek kazy, erkek kazy: açyk deri reňki, terezi
👨🏼‍⚖	adalat, erkek, erkek kazy, erkek kazy: orta açyk deri reňki, orta açyk deri reňki, terezi
👨🏽‍⚖	adalat, erkek, erkek kazy, erkek kazy: orta deri reňki, orta deri reňki, terezi
👨🏾‍⚖	adalat, erkek, erkek kazy, erkek kazy: orta goýy deri reňki, orta goýy deri reňki, terezi
👨🏿‍⚖	adalat, erkek, erkek kazy, erkek kazy: goýy deri reňki, goýy deri reňki, terezi
👩‍⚖	adalat, terezi, zenan, zenan kazy
👩🏻‍⚖	adalat, açyk deri reňki, terezi, zenan, zenan kazy, zenan kazy: açyk deri reňki
👩🏼‍⚖	adalat, orta açyk deri reňki, terezi, zenan, zenan kazy, zenan kazy: orta açyk deri reňki
👩🏽‍⚖	adalat, orta deri reňki, terezi, zenan, zenan kazy, zenan kazy: orta deri reňki
👩🏾‍⚖	adalat, orta goýy deri reňki, terezi, zenan, zenan kazy, zenan kazy: orta goýy deri reňki
👩🏿‍⚖	adalat, goýy deri reňki, terezi, zenan, zenan kazy, zenan kazy: goýy deri reňki
👨‍🌾	bagban, daýhan, erkek, erkek daýhan, oba hojalykçy
👨🏻‍🌾	açyk deri reňki, bagban, daýhan, erkek, erkek daýhan: açyk deri reňki, oba hojalykçy
👨🏼‍🌾	bagban, daýhan, erkek, erkek daýhan: orta açyk deri reňki, oba hojalykçy, orta açyk deri reňki
👨🏽‍🌾	bagban, daýhan, erkek, erkek daýhan: orta deri reňki, oba hojalykçy, orta deri reňki
👨🏾‍🌾	bagban, daýhan, erkek, erkek daýhan: orta goýy deri reňki, oba hojalykçy, orta goýy deri reňki
👨🏿‍🌾	bagban, daýhan, erkek, erkek daýhan: goýy deri reňki, goýy deri reňki, oba hojalykçy
👩‍🌾	bagban, daýhan, oba hojalykçy, zenan, zenan daýhan
👩🏻‍🌾	açyk deri reňki, bagban, daýhan, oba hojalykçy, zenan, zenan daýhan: açyk deri reňki
👩🏼‍🌾	bagban, daýhan, oba hojalykçy, orta açyk deri reňki, zenan, zenan daýhan: orta açyk deri reňki
👩🏽‍🌾	bagban, daýhan, oba hojalykçy, orta deri reňki, zenan, zenan daýhan: orta deri reňki
👩🏾‍🌾	bagban, daýhan, oba hojalykçy, orta goýy deri reňki, zenan, zenan daýhan: orta goýy deri reňki
👩🏿‍🌾	bagban, daýhan, goýy deri reňki, oba hojalykçy, zenan, zenan daýhan: goýy deri reňki
👨‍🍳	aşpez, erkek, erkek aşpez, şef
👨🏻‍🍳	açyk deri reňki, aşpez, erkek, erkek aşpez: açyk deri reňki, şef
👨🏼‍🍳	aşpez, erkek, erkek aşpez: orta açyk deri reňki, orta açyk deri reňki, şef
👨🏽‍🍳	aşpez, erkek, erkek aşpez: orta deri reňki, orta deri reňki, şef
👨🏾‍🍳	aşpez, erkek, erkek aşpez: orta goýy deri reňki, orta goýy deri reňki, şef
👨🏿‍🍳	aşpez, erkek, erkek aşpez: goýy deri reňki, goýy deri reňki, şef
👩‍🍳	aşpez, zenan, zenan aşpez, şef
👩🏻‍🍳	açyk deri reňki, aşpez, zenan, zenan aşpez: açyk deri reňki, şef
👩🏼‍🍳	aşpez, orta açyk deri reňki, zenan, zenan aşpez: orta açyk deri reňki, şef
👩🏽‍🍳	aşpez, orta deri reňki, zenan, zenan aşpez: orta deri reňki, şef
👩🏾‍🍳	aşpez, orta goýy deri reňki, zenan, zenan aşpez: orta goýy deri reňki, şef
👩🏿‍🍳	aşpez, goýy deri reňki, zenan, zenan aşpez: goýy deri reňki, şef
👨‍🔧	elektrik, erkek, erkek mehanik, mehanik, santehnik, söwdagär
👨🏻‍🔧	açyk deri reňki, elektrik, erkek, erkek mehanik: açyk deri reňki, mehanik, santehnik, söwdagär
👨🏼‍🔧	elektrik, erkek, erkek mehanik: orta açyk deri reňki, mehanik, orta açyk deri reňki, santehnik, söwdagär
👨🏽‍🔧	elektrik, erkek, erkek mehanik: orta deri reňki, mehanik, orta deri reňki, santehnik, söwdagär
👨🏾‍🔧	elektrik, erkek, erkek mehanik: orta goýy deri reňki, mehanik, orta goýy deri reňki, santehnik, söwdagär
👨🏿‍🔧	elektrik, erkek, erkek mehanik: goýy deri reňki, goýy deri reňki, mehanik, santehnik, söwdagär
👩‍🔧	elektrik, mehanik, santehnik, söwdagär, zenan, zenan mehanik
👩🏻‍🔧	açyk deri reňki, elektrik, mehanik, santehnik, söwdagär, zenan, zenan mehanik: açyk deri reňki
👩🏼‍🔧	elektrik, mehanik, orta açyk deri reňki, santehnik, söwdagär, zenan, zenan mehanik: orta açyk deri reňki
👩🏽‍🔧	elektrik, mehanik, orta deri reňki, santehnik, söwdagär, zenan, zenan mehanik: orta deri reňki
👩🏾‍🔧	elektrik, mehanik, orta goýy deri reňki, santehnik, söwdagär, zenan, zenan mehanik: orta goýy deri reňki
👩🏿‍🔧	elektrik, goýy deri reňki, mehanik, santehnik, söwdagär, zenan, zenan mehanik: goýy deri reňki
👨‍🏭	erkek, erkek zawod işçisi, gurnama, işçi, senagat, zawod
