😀	මුහුණ, සිනහ මුහුණ, සිනහව
🚲️	බයිසිකලය, වාහනය
🛴	පෙඩල ස්කූටරය, පෙඩලය, ස්කූටරය
🛹	බෝඩ්, ස්කේට්බෝඩ්
🚏	නැවතුම, බසය, බස් නැවතුම
🛣️	අධිවේගී, මාර්ගය, මෝටර් රථ මාර්ගය
🛤️	දුම්රිය, දුම්රිය මාර්ගය
🛢️	තෙල්, තෙල් බැරලය, බැරලය
⛽️	ඉන්ධන, ඉන්ධන පොම්පය, ගෑස්, පොම්පය, ස්ථානය
🚨	ආලෝකය, කරකැවීම, පොලිස් මෝටර් රථයේ ආලෝක ලාම්පු, පොලිසීය, බීකන, මෝටර් රථය, වාහනය
🚥	ආලෝකය, මාර්ග තදබදය, සංඥා, සිරස් මාර්ග තදබද ලාම්පුව
🚦	ආලෝකය, තිරස් මාර්ග තදබද ලාම්පුව, මාර්ග තදබදය, සංඥා
🛑	අට පට්ටම, නැවතුම්, නැවතුම් ලකුණ, ලකුණ
🚧	ඉදිකිරීම, බාධකය
⚓️	නැංගුරම, නැව, මෙවලම
⛵️	නාවික බෝට්ටුව, නැව, මුහුද, යාත්‍රාව, ලැගුම් හල, වාහනය
🛶	ඔරුව, බෝට්ටුව
🚤	බෝට්ටුුව, වාහනය, වේග බෝට්ටුව
🛳️	නැව, මගියා, මගී නැව, වාහනය
⛴️	පහුර, බෝට්ටුව
🛥️	බෝට්ටුව, මෝටර් බෝට්ටුව, වාහනය
🚢	නැව, වාහනය
✈️	ගුවන් යානය, වාහනය
🛩️	කුඩා ගුවන් යානය, ගුවන් යානය, වාහනය
🛫	ඇතුළු වීම, ගුවන් යානය පිටත්වීම, ගුවන් යාානය, පිටවීම, පිටවීම්, වාහනය
🛬	ගුවන් යානය පැමිණීම, ගුවන් යාානය, ගොඩබෑම්, පැමිණීම, වාහනය
🪂	අහසේ කිමිදීම, එල්ලී-ලිස්සිම, පැරෂූටය, පැරසේලය
💺	ආසනය, පුටුව
🚁	වාහනය, හෙලිකොප්ටරය
🚟	එල්ලෙන, එල්ලෙන දුම්රිය, දුම්රිය මාර්ගය, වාහනය
🚠	කන්ද, කඳු කේබල් මාර්ගය, කේබල්, ගොන්ඩෝලා, වාහනය
🚡	කේබල්, ගුවන්, ගුවන් ට්‍රෑම් මාර්ගය, ගොන්ඩෝලා, ට්‍රෑම් මාර්ගය, බැමි මාර්ගය, වාහනය
🛰️	අභ්‍යවකාශය, චන්ද්‍රිකාව, වාහනය
🚀	අභ්‍යවකාශය, රොකට්ටුව, වාහනය
🛸	UFO, පියාඹන පීරිසි
🛎️	බෙල්හොප්, බෙල්හොප් සීනුව, සීනුව, හෝටලය
🧳	ඇසුරුම, ගමන් කරනවා, ගමන් මලු
⌛️	කාල ගණකය, පෑතැටිය, වැලි
⏳️	කාල ගණකය, වාලුකා යන්ත්‍රය, වැලි
⌚️	ඔරලෝසුව
⏰	එලාමය, එලාම් ඔරලෝසුව, ඔරලෝසුව
⏱️	ඔරලෝසුුව, විරාම ඝටිකාව
⏲️	ඔරලෝසුව, කාල ගණක ඔරලෝසුව, කාල ගණකය
🕰️	ඔරලෝසුව, මැන්ටල්පීස් ඔරලෝසුව
🕛️	00, 12, 12:00, ඔරලෝසු වේලාව, ඔරලෝසුව, දොළහ
🕧	12, 12:30, 30, ඔරලෝසුව, තිහ, දොළහ, දොළහමාර
🕐️	00, 1, 1:00, එක, ඔරලෝසු වේලාව, ඔරලෝසුව
🕜	1, 1:30, 30, එකයි, එකහමාර, ඔරලෝසුව, තිහ
🕑️	00, 2, 2:00, ඔරලෝසු වේලාව, ඔරලෝසුව, දෙක
🕝	2, 2:30, 30, ඔරලෝසුව, තිහ, දෙක, දෙකහමාර
🕒️	00, 3, 3:00, ඔරලෝසු වේලාව, ඔරලෝසුව, තුන
🕞	3, 30, 3:30, ඔරලෝසුව, තිහ, තුන, තුනහමාර
🕓️	00, 4, 4:00, ඔරලෝසු වේලාව, ඔරලෝසුව, හතර
🕟	30, 4, 4:30, ඔරලෝසුව, තිහ, හතර, හතරහමාර
🕔️	00, 5, 5:00, ඔරලෝසු වේලාව, ඔරලෝසුව, පහ
🕠	30, 5, 5:30, ඔරලෝසුව, තිහ, පහ, පහමාර
🕕️	00, 6, 6:00, ඔරලෝසු වේලාව, ඔරලෝසුව, හය
🕡	30, 6, 6:30, ඔරලෝසුව, තිහ, හය, හයාමාර
🕖️	00, 7, 7:00, ඔරලෝසු වේලාව, ඔරලෝසුව, හත
🕢	30, 7, 7:30, ඔරලෝසුව, තිහ, හත, හතහමාර
🕗️	00, 8, 8:00, අට, ඔරලෝසු වේලාව, ඔරලෝසුව
🕣	30, 8, 8:30, අට, අටහමාර, ඔරලෝසුව, තිහ
🕘️	00, 9, 9:00, ඔරලෝසු වේලාව, ඔරලෝසුව, නවය
🕤	30, 9, 9:30, ඔරලෝසුව, තිහ, නවය, නවයහමාර
🕙️	00, 10, 10:00, ඔරලෝසු වේලාව, ඔරලෝසුව, දහය
🕥	10, 10:30, 30, ඔරලෝසුව, තිහ, දහය, දහයහමාර
🕚️	00, 11, 11:00, එකොළහ, ඔරලෝසු වේලාව, ඔරලෝසුව
🕦	11, 11:30, 30, එකොළහ, එකොළහමාර, ඔරලෝසුව, තිහ
🌑	අඳුරු, අභ්‍යවකාශය, කාලගුණය, නව සඳ, සඳ
🌒	අඩසඳ, අභ්‍යවකාශය, කාලගුණය, පුර, පුරපක්ෂයේ අඩසඳ, සඳ
🌓	අභ්‍යවකාශය, කාලගුණය, චතුර්ථක, පළමු චතුර්ථක සඳ, සඳ
🌔	අටවක, අභ්‍යවකාශය, කාලගුණය, පුර, පුරපක්ෂයේ අටවක සඳ, සඳ
🌕️	අභ්‍යවකාශය, කාලගුණය, පුරසඳ, පූර්ණ, සඳ
🌖	අටවක, අභ්‍යවකාශය, අවපක්ෂයේ අටවක සඳ, අවපස, කාලගුණය, සඳ
🌗	අභ්‍යවකාශය, අවසන් චතුර්ථක සඳ, කාලගුණය, චතුර්ථක, සඳ
🌘	අඩසඳ, අභ්‍යවකාශය, අවපක්ෂයේ අඩසඳ, අවපස, කාලගුණය, සඳ
🌙	අඩසඳ, අභ්‍යවකාශය, කාලගුණය, සඳ
🌚	අභ්‍යවකාශය, කාලගුණය, නව සඳ මුහුණ, මුහුණ, සඳ
🌛	අභ්‍යවකාශය, කාලගුණය, චතුර්ථකය, මුහුණ, මුහුණ සහිත පළමු චතුර්ථක සඳ, සඳ
🌜️	අභ්‍යවකාශය, කාලගුණය, චතුර්ථකය, මුහුණ, මුහුණ සහිත අවසන් චතුර්ථක සඳ, සඳ
🌡️	උෂ්ණත්ව මානය, කාලගුණය
☀️	අභ්‍යවකාශය, කාලගුණය, කිරණ, දීප්තිමත්, සූර්යයා, හිරු සහිත
🌝	අභ්‍යවකාශය, කාලගුණය, දීප්තිමත්, පූර්ණ, මුහුණ, මුහුණ සහිත පුරසඳ, සඳ
🌞	අභ්‍යවකාශය, කාලගුණය, දීප්තිමත්, මුහුණ, මුහුණ සහිත සූර්යයා
🪐	නරච්ඡාගයා, වටකුරු ග්‍රහයා, සෙනසුරු
⭐️	තරුව, සුදු මධ්‍යම තරුව
🌟	තරුව, දිදුලන, දිලෙන තරුව, දිළිසීම, දිළිසෙන, බැබළීම
🌠	අභ්‍යවකාශය, කඩා වැටීම, කඩා වැටෙන තරුව, තරුව, වැටීම
🌌	අභ්‍යවකාශය, ක්ෂීර පථය, කාලගුණය
☁️	කාලගුණය, වලාකුළ
⛅️	කාලගුණය, වලාකුළ, වළාකුළෙන් වැසුණ සඳ, සූර්යයා
⛈️	කාලගුණය, ගෙරවීම, වලාකුළ, වැස්ස, විදුලි කෙටීම් සහ වැස්ස සහිත වලාකුළ
🌤️	කාලගුණය, කුඩා වලාකුළකට පිටුපසින් සඳ, වලාකුළ, සූර්යයා
🌥️	කාලගුණය, වලාකුළ, විශාල වලාකුළකට පිටුපසින් සඳ, සූර්යයා
🌦️	කාලගුණය, වලාකුළ, වැස්ස, වැසි වලාකුළකට පිටුපසින් සඳ, සූර්යයා
🌧️	කාලගුණය, වලාකුළ, වැස්ස, වැස්ස සහිත වලාකුළ
🌨️	කාලගුණය, වලාකුළ, ශීතල, හිම, හිම සහිත වලාකුළ
🌩️	කාලගුණය, වලාකුළ, විදුලි කෙටීම, විදුලි කෙටීම සහිත වලාකුළ
🌪️	කාලගුණය, ටොනාඩෝ, වලාකුළ, සුළි කුණාටුව
🌫️	කාලගුණය, මීදුම, වලාකුළ
🌬️	කාලගුණය, පිඹීම, මුහුණ, වලාකුළ, සුළං මුහුණත, සුළඟ
🌀	කරකැවෙන, කාලගුණය, කැරකීම, ටයිෆූනය, සයික්ලෝනය
🌈	කාලගුණය, දේදුන්න, වැස්ස
🌂	අකුළන ලද කුඩය, කාලගුණය, කුඩය, රෙදිපිළි, වැස්ස
☂️	කාලගුණය, කුඩය, රෙදිපිළි, වැස්ස
☔️	කාලගුණය, කුඩය, දිය බිංදුව, රෙදිපිළි, වැස්ස, වැහි බිංදු සහිත කුඩය
⛱️	කාලගුණය, කුඩය, බිම තිබෙන කුඩය, වැස්ස, සූර්යයා
⚡️	අධි වෝලටීයතාව, අනතුරුදායක, විදුලි, විදුලි කෙටීම, විදුලිය, වෝල්ටීයතාව, සැප්
❄️	කාලගුණය, ශීතල, හිම, හිම පතුරු
☃️	කාලගුණය, ශීතල, හිම, හිම මිනිසා
⛄️	කාලගුණය, ශීතල, හිම, හිම මිනිසා, හිම රහිත හිම මිනිසා
☄️	අභ්‍යවකාශය, වල්ග තරුව
🔥	ගින්න, ගිනි දැල්ල, මෙවලම
💧	කාලගුණය, ජල බිංදුව, දහඩිය, බිංදුව, බිඳුව, ශීතල
🌊	කාලගුණය, ජලය, දිය රැල්ල, මුහුද, රළ
🎃	ජැක්, ජැකෝ ලැන්ටර්න්, ලාම්පුව, සැමරුම, හැලොවීන්
🎄	ගස, නත්තල්, නත්තල් ගස, සැමරුම
🎆	ගිනිකෙළි, සැමරුම
🎇	ගිනිකෙළි, දිලිසීම, දිළිසීම, සැමරුම
🧨	ඩයිනමයිට්, පුපුරන සුළුයි, මල්වෙඩි, රතිඤ්ඤා
✨	තරුව, දියමන්ති, දිළිසීම
🎈	බැලූනය, සැමරුම
🎉	උත්සවය, ටාඩා, පාටි පොපර්, පොපර්, සැමරුම
🎊	කොන්ෆෙටි, කොන්ෆෙටි බෝල්, බෝල්, සැමරුම
🎋	ගස, ජපන්, තනබතා ගස, බැනරය, සැමරුම
🎍	උණු බට, ජපන්, පයින්, පයින් සැරසිල්ල, සැමරුම
🎎	ජපන්, ජපන් බෝනික්කන්, බොනික්කා, සැණකෙලිය, සැමරුම
🎏	කාප්, කාප් ස්ට්‍රීමර්, ස්ට්‍රීමර්, සැමරුම
🎐	ඝාණ්ටාව, දුම් නලය, නාදය, සැමරුම, සුළඟ
🎑	උත්සවය, සඳ, සඳ උත්සවය, සැමරුම
🧧	තෑග්ග, මුදල, රතු ලියුම් කවරය, ලයි සි, හොඳ වාසනාව
🎀	පීත්ත පටිය, සැමරුම
🎁	ඔතන ලද, ඔතන ලද තෑග්ග, ත්‍යාගය, තෑග්ග, පෙට්ටිය
🎗️	පීත්ත පටිය, මතක් කිරීමේ පීත්ත පටිය, සැමරුම, සිහිකැඳවීම
🎟️	අැතුළත් වීම, ඇතුළත් වීමේ ටිකට් පත්, ටිකට් පත
🎫	ඇතුළත් වීම, ටිකට් පත
🎖️	පදක්කම, සැමරුම, හමුදා, හමුදා පදක්කම
🏆️	කුසලානය, ත්‍යාගය
🏅	ක්‍රීඩා පදක්කම, පදක්කම
🥇	1වන ස්ථාන පදක්කම, පදක්කම, පළ වැනියා, රත්‍රන්
🥈	1වන ස්ථාන පදක්කම්, දෙවැනියා, පදක්කම, රිදී
🥉	3වන ස්ථාන පදක්කම්, තුන් වැනියා, පදක්කම, ලෝකඩ
⚽️	බෝලය, සොකර්, සොකර් බෝල්
⚾️	බේස්බෝල්, බෝලය
🥎	අත යටින්, අත්වැසුම, බෝලය, සැහැල්ලු පන්දු
🏀	පැසිපන්දු, බෝලය, වළල්ල
🏐	ක්‍රීඩාාව, බෝලය, වොලිබෝල්
🏈	ඇමරිකානු, ඇමරිකානු පාපන්දු, පාපන්දු, බෝලය
🏉	පාපන්දු, බෝලය, රග්බි, රග්බි පාපන්දු
🎾	ටෙනිස්, පිත්ත, බෝලය
🥏	අන්තිමයි, පියාඹන තැටිය
🎳	ක්‍රීඩාව, පන්දු දමන්නා, බෝලය
🏏	ක්‍රිකට්, ක්‍රීඩාව, පිත්ත, බෝලය
🏑	ක්‍රීඩාව, පිටියේ හොකී, පිත්ත, බෝලය, හොකී
🏒	අයිස්, අයිස් හොකී ස්ටික්, අයිස් හොකී ස්ටික් සහ පක්, ක්‍රීඩාව, පිත්ත, හොකී
🥍	ඉලක්කය, ගෝලය, පිත්ත, බෝලය, ලාක්‍රෝසි
🏓	ක්‍රීඩාව, පිත්ත, පින්ග් පොන්ග්, බෝලය, මේස පන්දු
🏸	ක්‍රීඩාව, බර්ඩී, බැඩ්මින්ටන්, රැකට්, ෂටර්කොක්
🥊	අත්වැස්ම, ක්‍රීඩා, බොක්සිං, බොක්සිං අත්වැස්ම
🥋	කරාටේ, ජුඩෝ, ටයි කොන්ඩෝ, සටන් කලාව, සටන් නිල ඇඳුම
🥅	ක්‍රීඩා, ගෝල, දැල, පාපන්දු දැල
⛳️	ගොල්ෆ්, හිල, හිල තුළ කොඩිය
⛸️	අයිස්, අයිස් මත ලිස්සා යාම, ලිස්සා යාම
🎣	පිත්ත, මත්ස්‍ය ධ්‍රැවය, මාළු
🤿	කිමිදීම, කිමිදුම, කිමිදුම් ආවරණය, දිය යට කිමිදීම
🎽	කමිසය, දිවීම, ධාවන කමිසය, සෑෂ්
🎿	ස්කයි, හිම
🛷	කුළු ගෙඩිය, හිමයානය
🥌	ක්‍රීඩා, කැරකෙන ගල, ගල
🎯	ඉලක්කය, ක්‍රීඩාව, ඩාර්ට්, බුල්ස්අයි, සෘජු පහර
🪀	උච්චාවචනය, යෝ-යෝ, සෙල්ලම් බඩුව
🪁	අහසට පියාසර කිරීම, පියැඹීම, සරුංගලය
🎱	8, ක්‍රීඩාව, බිලියඩ්, බිලියර්ඩ්, බෝල
🔮	බෝලය, මායාව, මෙවලම, වීදුරු, වීදුරු බෝලය, සුරංගනා කථාව
🧿	ආකර්ෂණය, ඇස්වහ, නාසාර් සුවඳ, පබළු, සුරය
🎮️	ක්‍රීඩාව, පාලකය, වීඩියෝ ක්‍රීඩාව
🕹️	ක්‍රීඩාව, ජෝයිස්ටික්, විීඩියෝ ක්‍රීඩාව
🎰	ක්‍රීඩාව, විදුම, විදුම් යන්ත්‍රය
🎲	ක්‍රීඩා දාදු කැට‍ය, ක්‍රීඩාව, දාදු, දාදු කැටය
🧩	අගුළු දැමීම, ඉඟිය, කෑල්ලක්, ජිග්සෝ, ප්‍රහේලිකාව
🧸	ක්‍රීඩා භාණ්ඩය, ප්ලෑෂ්, පිරවූ, සෙල්ලම් බඩු, සෙල්ලම් වලසා
♠️	ඉස්කෝප්පය, ක්‍රීඩාව, කාඩ්, සූට්
♥️	ක්‍රීඩාව, කාඩ්, සූට්, හදවත, හදවත්
♦️	ක්‍රීඩාව, කාඩ්, දියමන්ති, දියමන්තිය, සූට්
♣️	කලාබර, ක්ලබ් සූට්, ක්‍රීඩාව, කාඩ්
♟️	ඉත්තා, චෙස්, චෙස් ඉත්තා, වියදම් කළ හැකි
🃏	ක්‍රීඩා කිරීම, ක්‍රීඩාව, කාඩ්, ජෝකර්
🀄️	ක්‍රීඩාව, මහජොන්ග්, මහජොන්ග් රතු මකරා, රතු
🎴	ක්‍රීඩා කිරීම, ක්‍රීඩාව, කාඩ්, ජපන්, මල් ක්‍රීඩා කරන කාඩ්පත්
🎭️	අභිවාහ්‍ය කලා, කලාව, ප්‍රසංගය, රඟහල, වෙස් මුහුණ
🖼️	කලාව, කෞතුකාගාරය, පින්තූරය, පින්තූරය සහිත රාමුව, රාමුව
🎨	කලා පුවරුව, කලාව, කෞතුකාගාරය, පින්තාරු කිරීම, පුවරුව
🧵	ඉඳිකටුව, නුල, නුල් බෝලය, නූල්, මැහිම
🧶	කැටිනූල්, ගෙතුම, ගොතනවා, බෝලය
👓️	ඇඳුම්, ඇස, ඇස් පැළදුම්, කණ්ණාඩි
🕶️	අඳුරු, අව් කණ්ණාඩි, ඇස, ඇස් පැළදුම්, කණ්ණාඩි
🥽	ඇස් ආරක්ෂා කිරීම, ඇස් ආවරණ, පිහිනීම, වෙල්ඩින්
🥼	අත්හදා බැලීම්, පරීක්ෂණාගාර කබාය, විද්‍යාඥයා, වෛද්‍යවරයා
🦺	ආරක්ෂක බැනියම, ආරක්ෂාව, බැනියම, හදිසි
👔	ඇඳුුම්, ගෙළ පටිය
👕	ඇඳුම්, කමිසය, ටී-ෂර්ටය, ටීෂර්ට්
👖	ඇඳුම්, කලිසම්, දිග කලිසම්
🧣	උතුරුසළුව, බෙල්ල
🧤	අත, අත්වැසුම්
🧥	කබාය, ජැකට්ටුව
🧦	මේස්, ස්ටොකිං
👗	ඇඳුම්, ගවුම
👘	ඇඳුම්, කිමොනාව
🥻	ඇඳුම, ඇඳුම්, සාරිය
🩱	තනි-කොටස් පිහිනුම් ඇඳුම, නාන ඇඳුම
🩲	තනි-කැබැල්ල, නාන ඇඳුම, පිහිනුම් ඇඳුම, යට ඇඳුම්, සංක්ෂිප්තයන්
🩳	කොට කලිසම්, නාන ඇඳුම, යට ඇඳුම, යට කලිසම්
👙	ඇඳුම්, පිහිනුම්, බිකිනිය
👚	ඇඳුම්, කාන්තා, කාන්තා ඇඳුම්
👛	ඇඳුම්, කාසි, පර්ස් එක
👜	අත් බෑගය, ඇඳුම්, බෑගය
👝	ඇඳුම්, පසුම්බිය, බෑගය
🛍️	බෑගය, ෂොපින් බෑග්, සාප්පු සවාරිය, හෝටලය
🎒	උරහිස් බෑගය, පාසල, පිටේ බැඳන් යන පාසැල් බෑගය, බෑගය
👞	ඇඳුම්, පිරිමියා, පිරිමිි සපත්තුව, සපත්තුව
👟	ඇඳුම්, කැන්වස් පාවහන්, දිවීමේ සපත්තුව, මලල ක්‍රීඩා, සපත්තුව
🥾	ඇවිදීමේ බූට්, උර පොදියක් ගෙන සංචාරය කිරීම, කඳවුරු බැඳි, දිඟු පාගමන්, බූට්‌
🥿	පැතලි සපත්තු, පැළදා සිටින, බැලේ පැතළි, සෙරෙප්පුව
👠	අඩි උස සපත්තුව, අඩිය, ඇඳුම්, කාන්තාව, සපත්තුව
👡	ඇඳුම්, කාන්තා පටි සපත්තුව, කාන්තාව, සපත්තුව, සැඬලය
🩰	නර්තනය, බැලට්, බැලට් සපත්තු
👢	ඇඳුම්, කාන්තා බූට් සපත්තුව, කාන්තාව, බූට් සපත්තුව, සපත්තුව
👑	ඇඳුම්, ඔටුන්න, රජ, රැජිණ
👒	ඇඳුම්, කාන්තා හිස් වැසුම, කාන්තාව, තොප්පිය
🎩	ඇඳුම්, උස තොප්පිය, උස්, තොප්පිය
🎓️	ඇඳුම්, උත්සවය, උපාධි තොප්පිය, උපාධි ප්‍රදානෝත්සවය, තොප්පිය
🧢	බිල්ඩ් තොප්පිය, බේස්බෝල් තොප්පිය
⛑️	ආධාරය, කුරුසය, තොප්පිය, සුදු කුරුසය සහිත හෙල්මටය, හෙල්මටය
📿	ආගම, ඇඳුම්, මාලය, යාච්ඥාව, යාඥා මාලය
💄	අලංකාරයෙන් සැරසීම, තොල් ආලේපන, විලවුන්
💍	දියමන්ති, ප්‍රේමය, මුදුව
💎	දියමන්තිි, ප්‍රේමය, මැණික් ගල, මැනික්, ස්වර්ණාභරණ
🔇	නිහඬ, ශබ්ද නැති, ස්පීකරය, ස්පීකරය ක්‍රියාවිරහිතයි, හඬ පරිමාව
🔈️	ස්පීකරය, හඬ පරිමාව
🔉	අඩු, තරංගය, ස්පීකරය, ස්පීකරය ක්‍රියාත්මකයි, හඩ පරිමාව
🔊	ඉහළ ශබ්දය, ස්පීකර ශබ්දය වැඩි, ස්පීකරය, හඩ පරිමාව
📢	පොදු ලිපිනය, ශබ්දය, ශබ්දවාහිනිය
📣	ඔල්වරසන්, මෙගාෆෝනය
📯	තැපැල්, තැපැල් නලාව, තැපෑල, නලාව
🔔	සීනුව, සීනුුව
🔕	ඉරකින් කැපූ සීනුව, තහනම් කළ, නිශ්ශබ්ද, නිහඬ, සීනුව
🎼	තාරතාව, සංගීත තාරතාව, සංගීතය
🎵	සංගීත ස්වරය, සංගීතය, ස්වරය
🎶	සංගීත ස්වර, සංගීතය, ස්වර, ස්වරය
🎙️	චිත්‍රාගාර මයික්‍රෆෝනය, චිත්‍රාගාරය, මයික්, මයික්‍රෆෝනය, සංගීතය
🎚️	මට්ටම, ලෙවල් ස්ලයිඩරය, සංගීතය, ස්ලයිඩරය
🎛️	පාලන බොත්තම්, පාලනය, බොත්තම්, සංගීතය
🎤	කැරොකේ, මයික්, මයික්‍රෆෝනය
🎧️	ඉයර්බඩ්, හෙඩ්ෆෝනය
📻️	රෝඩියෝව, වීඩියෝව
🎷	උපකරණය, සංගීතය, සැක්සෆෝනය, සැක්ස්
🎸	උපකරණය, ගිටාරය, සංගීතය
🎹	උපකරණය, පියානෝව, යතුරු පුවරුව, සංගීතමය යතුරු පුවරුව, සංගීතය
🎺	උපකරණය, ට්‍රම්පට්, සංගීතය
🎻	උපකරණය, වයලීනය, සංගීතය
🪕	තන්ත්‍රිය, බන්ජෝ, සංගීතය
🥁	බෙරය, සංගීතය
📱	ජංගම, ජංගම දුරකථනය, දුරකථනය, සෙල්, ෆෝන්
📲	ඇමතුම, ඊතලයක් සහිත ජංගම දුරකථනය, ජංගම, දුරකථනය, සෙල් ෆෝන්
☎️	ටෙලිෆෝනය, දුරකථනය
📞	ග්‍රාහකය, දුරකථන ග්‍රාහකය, දුරකථනය, ෆෝන්
📟️	පේජරය
📠	ෆැක්ස්, ෆැක්ස් යන්ත්‍රය
🔋	බැටරිය
🔌	පේනුව, විදුලි, විදුලි පේනුව, විදුලිය
💻️	පරිගණකය, පීසී, පුද්ගල, ලැප්ටොප් පරිගණකය
🖥️	ඩෙස්ක්ටොප්, ඩෙස්ක්ටොප් පරිගණකය, පරිිගණකය
🖨️	පරිගණකය, මුද්‍රණ යන්ත්‍රය
⌨️	පරිගණකය, යතුරු පුවරුව
🖱️	3, පරිගණක මූසිකය, පරිගණකය, බොත්තම, මූසිකය
🖲️	ට්‍රැක්බෝල්, පරිගණකය
💽	තැටිය, පරිගණකය, ප්‍රකාශ, මිනිඩිස්ක්
💾	තැටිය, පරිගණකය, සුනම්‍ය, සුනම්‍ය තැටිය
💿️	ඩීවීඩී, තැටිය, පරිගණකය, ප්‍රකාශ තැටිය, බ්ලූ රේ, සීඩී
📀	ඩීවීඩී, තැටිය, පරිගණකය, බ්ලූ රේ, සීඩී
🧮	ඇබකසය, ගණනය
🎥	කැමරාව, චිත්‍රපට, චිත්‍රපට කැමරාව, සිනමාව
🎞️	චිත්‍රපට රාමු, චිත්‍රපටය, රාමු, සිනමා
📽️	චිත්‍රපට ප්‍රොජෙක්ටරය, චිත්‍රපට ප්‍රොෙජක්ටරය, චිත්‍රපටය, වීඩියෝව, සිනමාව
🎬️	ක්ලැපර්, ක්ලැපර් බෝඩ්, චිත්‍රපටය
📺️	රූපවාහිනිය, වීඩියෝව
📷️	කැමරාව, වීඩිියෝව
📸	කමරාව, වීඩියෝව, ෆ්ලෑෂරය සහිත කැමරාව, ෆ්ලෑෂ්
📹️	කැමරාව, වීඩියෝ කැමරාව, වීඩියෝව
📼	ටේප්, වීඑච්එස්, වීඩියෝ කැසටය, වීඩියෝව
🔍	මෙවලම, වමට යොමු වූ විශාලන කාචය, විශාලනය, වීදුරුව, සෙවීම
🔎	දකුණට යොමු වූ විශාලන කාචය, මෙවලම, විශාලනය, වීදුරුව, සෙවීම
🕯️	ආලෝකය, ඉටිපන්දම
💡	අදහස, ආලෝකය, බල්බය, විදුලි බුබුළ, විදුලිය
🔦	ආලෝකය, මෙවලම, විදුලි පන්දම, විදුලිය, ෆ්ලෑෂ්ලයිට්
🏮	ආලෝකය, ජපන්, බාර්, රතු, රතු කඩදාසි පහන
🪔	තෙල්, දියා, දියා ලාම්පුව, ලාම්පුව
📔	අලංකාර කවරයක් සහිත සටහන් පොත, කවරය, පොත, සටහන් පොත, සැරසිලි
📕	පොත, වැසූ, වැසූ පොත
📖	පොත, විවෘත, විවෘත පොත
📗	කොළ, කොළ පොත, පොත
📘	නිල්, නිල් පොත, පොත
📙	තැඹිලි, තැඹිලි පොත, පොත
📚️	පොත, පොත්
📓	සටහන් පොත
📒	ලෙජරය, සටහන් පොත
📃	පිටුව, රෝල්, රෝල් වූ පිටුව, ලේඛනය
📜	කඩදාසිය, ස්ක්‍රොල්
📄	ඉහළට මුහුණත ඇති පිටුව, පිටුව, ලේඛනය
📰	පත්‍රය, පුවත්, පුවත් පත
🗞	කඩදාසිය, පුවත්, පුවත්පත, රෝල් කළ, රෝල් කළ පුවත් පත
📑	ටැබ, පිටු සලකුණ, පිටු සලකුණු ටැබ, සලකුණ, සලකුණුකාරකය
🔖	පිටු සලකුණ, සලකුණ
🏷️	ලේබලය
💰️	ඩොලර්, බෑගය, මුදල්, මුදල් බෑගය
💴	බැංකු නෝට්ටුව, බිල, මුදල් වර්ගය, යෙන්, යෙන් බැංකු නෝට්ටුව
💵	ඩොලර්, ඩොලර් බැංකු නෝට්ටුව, බැංකු නෝට්ටුව, බිල, මුදල් වර්ගය
💶	නෝට්ටුව, බැංකුව, බිල, මුදල් වර්ගය, යූරෝ බැංකු නෝට්ටුව
💷	නෝට්ටුව, පවුම්, පවුම් බැංකු නෝට්ටුව, බැංකුව, බිල
💸	ඩොලර් නෝට්ටුව, පියාපත් ඇති මුදල්, බැංකු නෝට්ටුව, බැංකුව, බිල
💳️	ක්‍රෙඩිට්, කාඩ්පත, ණය කාඩ්පත, බැංකුව, මුදල්
🧾	ගිණුම්කරණය, පොත් තැබීම, රිසිට් පත, සාක්ෂි
💹	ප්‍රස්තාර සටහන, මුදල් වර්ගය, යෙන් සමග වැඩිවන ප්‍රස්තාරය, වර්ධනය, වෙළඳපොළ
💱	බැංකුව, මුදල්, මුදල් වර්ගය, මුදල් හුවමාරුව, හුවමාරුව
💲	ඩොලර්, බර ඩොලර් ලකුණ, මුදල්, මුදල් වර්ගය
✉️	ඊ-තැපැල්, ඊතැපැල්, ලියුම් කවරය
📧	ඊ-තැපෑල, ඊතැපැල්, තැපැල්, ලිපිය
📨	ඊ-තැපැල්, ඊතැපැල්, එන තැපැල්, ලැබීම, ලැබෙන ලියුම, ලියුම් කවරය
📩	ඊ-තැපැල්, ඊතලය සහිත ලියුම් කවරය, ඊතැපැල්, යන ලිපිය, ලියුම් කවරය
📤️	තැටිය, තැපැල්, පෙට්ටිය, යන ලිපි, යන ලිපි තැටිය, යැවූ
📥️	එන ලිපි, එන ලිපි තැටිය, තැපැල් පෙට්ටිය, ලැබීම, ලිපිය
📦️	ඇසුරුම, පාර්සලය, පෙට්ටිය
📫️	කොඩියක් සහිත වැසූ තැපැල් පෙට්ටිය, තැපැල් පෙට්ටිය, නංවන ලද කොඩියක් සහිත වැසූ තැපැල් පෙට්ටිය, පෝස්ට් බොක්ස්, වැසුණ
📪️	තැපැල්, තැපැල් පෙට්ටිය, පහතට දැමූ, පහතට දැමූ කොඩියක් ඇති තැපැල් පෙට්ටිය, පහතට දැමූ කොඩියක් සහිත වැසූ තැපැල් පෙට්ටිය, වැසූ
