😀	cara, cara sorridente, sorriso
🤱🏽	amamentar, amamentar: tipo de pele 4, amamentação, bebé, dar de mamar, seio, tipo de pele 4
🤱🏾	amamentar, amamentar: tipo de pele 5, amamentação, bebé, dar de mamar, seio, tipo de pele 5
🤱🏿	amamentar, amamentar: tipo de pele 6, amamentação, bebé, dar de mamar, seio, tipo de pele 6
👼	anjo, anjo bebé, bebé, cara, conto de fadas, fantasia
👼🏻	anjo, anjo bebé: tipo de pele 1–2, bebé, cara, conto de fadas, fantasia, tipo de pele 1–2
👼🏼	anjo, anjo bebé: tipo de pele 3, bebé, cara, conto de fadas, fantasia, tipo de pele 3
👼🏽	anjo, anjo bebé: tipo de pele 4, bebé, cara, conto de fadas, fantasia, tipo de pele 4
👼🏾	anjo, anjo bebé: tipo de pele 5, bebé, cara, conto de fadas, fantasia, tipo de pele 5
👼🏿	anjo, anjo bebé: tipo de pele 6, bebé, cara, conto de fadas, fantasia, tipo de pele 6
🎅	celebração, conto de fadas, fantasia, natal, pai, pai natal
🎅🏻	celebração, conto de fadas, fantasia, natal, pai, pai natal: tipo de pele 1–2, tipo de pele 1–2
🎅🏼	celebração, conto de fadas, fantasia, natal, pai, pai natal: tipo de pele 3, tipo de pele 3
🎅🏽	celebração, conto de fadas, fantasia, natal, pai, pai natal: tipo de pele 4, tipo de pele 4
🎅🏾	celebração, conto de fadas, fantasia, natal, pai, pai natal: tipo de pele 5, tipo de pele 5
🎅🏿	celebração, conto de fadas, fantasia, natal, pai, pai natal: tipo de pele 6, tipo de pele 6
🤶	mãe, mãe natal, natal, senhora Noel
🤶🏻	mãe, mãe natal: tipo de pele 1–2, natal, senhora Noel, tipo de pele 1–2
🤶🏼	mãe, mãe natal: tipo de pele 3, natal, senhora Noel, tipo de pele 3
🤶🏽	mãe, mãe natal: tipo de pele 4, natal, senhora Noel, tipo de pele 4
🤶🏾	mãe, mãe natal: tipo de pele 5, natal, senhora Noel, tipo de pele 5
🤶🏿	mãe, mãe natal: tipo de pele 6, natal, senhora Noel, tipo de pele 6
🦸	bom, heroína, herói, superpoder
🦸🏻	bom, heroína, herói, super-herói: tipo de pele 1–2, superpoder, tipo de pele 1–2
🦸🏼	bom, heroína, herói, super-herói: tipo de pele 3, superpoder, tipo de pele 3
🦸🏽	bom, heroína, herói, super-herói: tipo de pele 4, superpoder, tipo de pele 4
🦸🏾	bom, heroína, herói, super-herói: tipo de pele 5, superpoder, tipo de pele 5
🦸🏿	bom, heroína, herói, super-herói: tipo de pele 6, superpoder, tipo de pele 6
🦸‍♂	bom, herói, homem, superpoder
🦸🏻‍♂	bom, herói, homem, homem super-herói: tipo de pele 1–2, superpoder, tipo de pele 1–2
🦸🏼‍♂	bom, herói, homem, homem super-herói: tipo de pele 3, superpoder, tipo de pele 3
🦸🏽‍♂	bom, herói, homem, homem super-herói: tipo de pele 4, superpoder, tipo de pele 4
🦸🏾‍♂	bom, herói, homem, homem super-herói: tipo de pele 5, superpoder, tipo de pele 5
🦸🏿‍♂	bom, herói, homem, homem super-herói: tipo de pele 6, superpoder, tipo de pele 6
🦸‍♀	boa, heroína, herói, superpoder
🦸🏻‍♀	boa, heroína, herói, super-heroína: tipo de pele 1–2, superpoder, tipo de pele 1–2
🦸🏼‍♀	boa, heroína, herói, super-heroína: tipo de pele 3, superpoder, tipo de pele 3
🦸🏽‍♀	boa, heroína, herói, super-heroína: tipo de pele 4, superpoder, tipo de pele 4
🦸🏾‍♀	boa, heroína, herói, super-heroína: tipo de pele 5, superpoder, tipo de pele 5
🦸🏿‍♀	boa, heroína, herói, super-heroína: tipo de pele 6, superpoder, tipo de pele 6
🦹	criminoso, mau, superpoder, vilão
🦹🏻	criminoso, mau, superpoder, supervilão: tipo de pele 1–2, tipo de pele 1–2, vilão
🦹🏼	criminoso, mau, superpoder, supervilão: tipo de pele 3, tipo de pele 3, vilão
🦹🏽	criminoso, mau, superpoder, supervilão: tipo de pele 4, tipo de pele 4, vilão
🦹🏾	criminoso, mau, superpoder, supervilão: tipo de pele 5, tipo de pele 5, vilão
🦹🏿	criminoso, mau, superpoder, supervilão: tipo de pele 6, tipo de pele 6, vilão
🦹‍♂	criminoso, homem, mau, superpoderoso, vilão
🦹🏻‍♂	criminoso, homem, homem supervilão: tipo de pele 1–2, mau, superpoderoso, tipo de pele 1–2, vilão
🦹🏼‍♂	criminoso, homem, homem supervilão: tipo de pele 3, mau, superpoderoso, tipo de pele 3, vilão
🦹🏽‍♂	criminoso, homem, homem supervilão: tipo de pele 4, mau, superpoderoso, tipo de pele 4, vilão
🦹🏾‍♂	criminoso, homem, homem supervilão: tipo de pele 5, mau, superpoderoso, tipo de pele 5, vilão
🦹🏿‍♂	criminoso, homem, homem supervilão: tipo de pele 6, mau, superpoderoso, tipo de pele 6, vilão
🦹‍♀	criminosa, mulher, mulher supervilã, má, superpoder, vilã
🦹🏻‍♀	criminosa, mulher, mulher supervilã, mulher supervilã: tipo de pele 1–2, má, superpoder, tipo de pele 1–2, vilã
🦹🏼‍♀	criminosa, mulher, mulher supervilã, mulher supervilã: tipo de pele 3, má, superpoder, tipo de pele 3, vilã
🦹🏽‍♀	criminosa, mulher, mulher supervilã, mulher supervilã: tipo de pele 4, má, superpoder, tipo de pele 4, vilã
🦹🏾‍♀	criminosa, mulher, mulher supervilã, mulher supervilã: tipo de pele 5, má, superpoder, tipo de pele 5, vilã
🦹🏿‍♀	criminosa, mulher, mulher supervilã, mulher supervilã: tipo de pele 6, má, superpoder, tipo de pele 6, vilã
🧙	bruxa, bruxo, feiticeira, feiticeiro, maga, mago
🧙🏻	bruxa, bruxo, feiticeira, feiticeiro, maga, mago, mago: tipo de pele 1–2, tipo de pele 1–2
🧙🏼	bruxa, bruxo, feiticeira, feiticeiro, maga, mago, mago: tipo de pele 3, tipo de pele 3
🧙🏽	bruxa, bruxo, feiticeira, feiticeiro, maga, mago, mago: tipo de pele 4, tipo de pele 4
🧙🏾	bruxa, bruxo, feiticeira, feiticeiro, maga, mago, mago: tipo de pele 5, tipo de pele 5
🧙🏿	bruxa, bruxo, feiticeira, feiticeiro, maga, mago, mago: tipo de pele 6, tipo de pele 6
🧙‍♂	bruxo, feiticeiro, homem mago
🧙🏻‍♂	bruxo, feiticeiro, homem mago, homem mago: tipo de pele 1–2, tipo de pele 1–2
🧙🏼‍♂	bruxo, feiticeiro, homem mago, homem mago: tipo de pele 3, tipo de pele 3
🧙🏽‍♂	bruxo, feiticeiro, homem mago, homem mago: tipo de pele 4, tipo de pele 4
🧙🏾‍♂	bruxo, feiticeiro, homem mago, homem mago: tipo de pele 5, tipo de pele 5
🧙🏿‍♂	bruxo, feiticeiro, homem mago, homem mago: tipo de pele 6, tipo de pele 6
🧙🏻‍♀	bruxa, feiticeira, maga, maga: tipo de pele 1–2, tipo de pele 1–2
🧙🏼‍♀	bruxa, feiticeira, maga, maga: tipo de pele 3, tipo de pele 3
🧙🏽‍♀	bruxa, feiticeira, maga, maga: tipo de pele 4, tipo de pele 4
🧙🏾‍♀	bruxa, feiticeira, maga, maga: tipo de pele 5, tipo de pele 5
🧙🏿‍♀	bruxa, feiticeira, maga, maga: tipo de pele 6, tipo de pele 6
🧚🏻	fada, fada: tipo de pele 1–2, tipo de pele 1–2
🧚🏼	fada, fada: tipo de pele 3, tipo de pele 3
🧚🏽	fada, fada: tipo de pele 4, tipo de pele 4
🧚🏾	fada, fada: tipo de pele 5, tipo de pele 5
🧚🏿	fada, fada: tipo de pele 6, tipo de pele 6
🧚‍♂	homem fada, homem-fada
🧚🏻‍♂	homem fada, homem fada: tipo de pele 1–2, homem-fada, tipo de pele 1–2
🧚🏼‍♂	homem fada, homem fada: tipo de pele 3, homem-fada, tipo de pele 3
🧚🏽‍♂	homem fada, homem fada: tipo de pele 4, homem-fada, tipo de pele 4
🧚🏾‍♂	homem fada, homem fada: tipo de pele 5, homem-fada, tipo de pele 5
🧚🏿‍♂	homem fada, homem fada: tipo de pele 6, homem-fada, tipo de pele 6
🧚‍♀	mulher fada, mulher-fada
🧚🏻‍♀	mulher fada, mulher fada: tipo de pele 1–2, mulher-fada, tipo de pele 1–2
🧚🏼‍♀	mulher fada, mulher fada: tipo de pele 3, mulher-fada, tipo de pele 3
🧚🏽‍♀	mulher fada, mulher fada: tipo de pele 4, mulher-fada, tipo de pele 4
🧚🏾‍♀	mulher fada, mulher fada: tipo de pele 5, mulher-fada, tipo de pele 5
🧚🏿‍♀	mulher fada, mulher fada: tipo de pele 6, mulher-fada, tipo de pele 6
🧛	Drácula, morto-vivo, vampiro
🧛🏻	Drácula, morto-vivo, tipo de pele 1–2, vampiro, vampiro: tipo de pele 1–2
🧛🏼	Drácula, morto-vivo, tipo de pele 3, vampiro, vampiro: tipo de pele 3
🧛🏽	Drácula, morto-vivo, tipo de pele 4, vampiro, vampiro: tipo de pele 4
🧛🏾	Drácula, morto-vivo, tipo de pele 5, vampiro, vampiro: tipo de pele 5
🧛🏿	Drácula, morto-vivo, tipo de pele 6, vampiro, vampiro: tipo de pele 6
🧛‍♂	Drácula, homem vampiro, homem-vampiro, morto-vivo
🧛🏻‍♂	Drácula, homem vampiro, homem vampiro: tipo de pele 1–2, homem-vampiro, morto-vivo, tipo de pele 1–2
🧛🏼‍♂	Drácula, homem vampiro, homem vampiro: tipo de pele 3, homem-vampiro, morto-vivo, tipo de pele 3
🧛🏽‍♂	Drácula, homem vampiro, homem vampiro: tipo de pele 4, homem-vampiro, morto-vivo, tipo de pele 4
🧛🏾‍♂	Drácula, homem vampiro, homem vampiro: tipo de pele 5, homem-vampiro, morto-vivo, tipo de pele 5
🧛🏿‍♂	Drácula, homem vampiro, homem vampiro: tipo de pele 6, homem-vampiro, morto-vivo, tipo de pele 6
🧛‍♀	morta-viva, vampira
🧛🏻‍♀	morta-viva, tipo de pele 1–2, vampira, vampira: tipo de pele 1–2
🧛🏼‍♀	morta-viva, tipo de pele 3, vampira, vampira: tipo de pele 3
🧛🏽‍♀	morta-viva, tipo de pele 4, vampira, vampira: tipo de pele 4
🧛🏾‍♀	morta-viva, tipo de pele 5, vampira, vampira: tipo de pele 5
🧛🏿‍♀	morta-viva, tipo de pele 6, vampira, vampira: tipo de pele 6
🧜	sereia, tritão
🧜🏻	sereia, tipo de pele 1–2, tritão, tritão: tipo de pele 1–2
🧜🏼	sereia, tipo de pele 3, tritão, tritão: tipo de pele 3
🧜🏽	sereia, tipo de pele 4, tritão, tritão: tipo de pele 4
🧜🏾	sereia, tipo de pele 5, tritão, tritão: tipo de pele 5
🧜🏿	sereia, tipo de pele 6, tritão, tritão: tipo de pele 6
🧜‍♂	Tritão, tritão, tritão (homem)
🧜🏻‍♂	Tritão, tipo de pele 1–2, tritão, tritão (homem), tritão (homem): tipo de pele 1–2
🧜🏼‍♂	Tritão, tipo de pele 3, tritão, tritão (homem), tritão (homem): tipo de pele 3
🧜🏽‍♂	Tritão, tipo de pele 4, tritão, tritão (homem), tritão (homem): tipo de pele 4
🧜🏾‍♂	Tritão, tipo de pele 5, tritão, tritão (homem), tritão (homem): tipo de pele 5
🧜🏿‍♂	Tritão, tipo de pele 6, tritão, tritão (homem), tritão (homem): tipo de pele 6
🧜🏻‍♀	sereia, sereia: tipo de pele 1–2, tipo de pele 1–2
🧜🏼‍♀	sereia, sereia: tipo de pele 3, tipo de pele 3
🧜🏽‍♀	sereia, sereia: tipo de pele 4, tipo de pele 4
🧜🏾‍♀	sereia, sereia: tipo de pele 5, tipo de pele 5
🧜🏿‍♀	sereia, sereia: tipo de pele 6, tipo de pele 6
🧝🏻	elfo, elfo: tipo de pele 1–2, mágico, tipo de pele 1–2
🧝🏼	elfo, elfo: tipo de pele 3, mágico, tipo de pele 3
🧝🏽	elfo, elfo: tipo de pele 4, mágico, tipo de pele 4
🧝🏾	elfo, elfo: tipo de pele 5, mágico, tipo de pele 5
🧝🏿	elfo, elfo: tipo de pele 6, mágico, tipo de pele 6
🧝‍♂	elfo (homem), mágico
🧝🏻‍♂	elfo (homem), elfo (homem): tipo de pele 1–2, mágico, tipo de pele 1–2
🧝🏼‍♂	elfo (homem), elfo (homem): tipo de pele 3, mágico, tipo de pele 3
🧝🏽‍♂	elfo (homem), elfo (homem): tipo de pele 4, mágico, tipo de pele 4
🧝🏾‍♂	elfo (homem), elfo (homem): tipo de pele 5, mágico, tipo de pele 5
🧝🏿‍♂	elfo (homem), elfo (homem): tipo de pele 6, mágico, tipo de pele 6
🧝‍♀	elfo (mulher), mágico
🧝🏻‍♀	elfo (mulher), elfo (mulher): tipo de pele 1–2, mágico, tipo de pele 1–2
🧝🏼‍♀	elfo (mulher), elfo (mulher): tipo de pele 3, mágico, tipo de pele 3
🧝🏽‍♀	elfo (mulher), elfo (mulher): tipo de pele 4, mágico, tipo de pele 4
🧝🏾‍♀	elfo (mulher), elfo (mulher): tipo de pele 5, mágico, tipo de pele 5
🧝🏿‍♀	elfo (mulher), elfo (mulher): tipo de pele 6, mágico, tipo de pele 6
🧞	djinn, génio
🧞‍♂	djinn, génio (homem)
🧞‍♀	djinn, génio (mulher)
🧟	morto-vivo, zombie
🧟‍♂	homem zombie, morto-vivo
🧟‍♀	morta-viva, mulher zombie
💆	massagem, pessoa a receber uma massagem, salão de beleza
💆🏻	massagem, pessoa a receber uma massagem, pessoa a receber uma massagem: tipo de pele 1–2, salão de beleza, tipo de pele 1–2
💆🏼	massagem, pessoa a receber uma massagem, pessoa a receber uma massagem: tipo de pele 3, salão de beleza, tipo de pele 3
💆🏽	massagem, pessoa a receber uma massagem, pessoa a receber uma massagem: tipo de pele 4, salão de beleza, tipo de pele 4
💆🏾	massagem, pessoa a receber uma massagem, pessoa a receber uma massagem: tipo de pele 5, salão de beleza, tipo de pele 5
💆🏿	massagem, pessoa a receber uma massagem, pessoa a receber uma massagem: tipo de pele 6, salão de beleza, tipo de pele 6
💆‍♂	cara, face, homem, homem a receber uma massagem, massagem
💆🏻‍♂	cara, face, homem, homem a receber uma massagem, homem a receber uma massagem: tipo de pele 1–2, massagem, tipo de pele 1–2
💆🏼‍♂	cara, face, homem, homem a receber uma massagem, homem a receber uma massagem: tipo de pele 3, massagem, tipo de pele 3
💆🏽‍♂	cara, face, homem, homem a receber uma massagem, homem a receber uma massagem: tipo de pele 4, massagem, tipo de pele 4
💆🏾‍♂	cara, face, homem, homem a receber uma massagem, homem a receber uma massagem: tipo de pele 5, massagem, tipo de pele 5
💆🏿‍♂	cara, face, homem, homem a receber uma massagem, homem a receber uma massagem: tipo de pele 6, massagem, tipo de pele 6
💆‍♀	cara, face, massagem, mulher, mulher a receber uma massagem
💆🏻‍♀	cara, face, massagem, mulher, mulher a receber uma massagem, mulher a receber uma massagem: tipo de pele 1–2, tipo de pele 1–2
💆🏼‍♀	cara, face, massagem, mulher, mulher a receber uma massagem, mulher a receber uma massagem: tipo de pele 3, tipo de pele 3
💆🏽‍♀	cara, face, massagem, mulher, mulher a receber uma massagem, mulher a receber uma massagem: tipo de pele 4, tipo de pele 4
💆🏾‍♀	cara, face, massagem, mulher, mulher a receber uma massagem, mulher a receber uma massagem: tipo de pele 5, tipo de pele 5
💆🏿‍♀	cara, face, massagem, mulher, mulher a receber uma massagem, mulher a receber uma massagem: tipo de pele 6, tipo de pele 6
💇	beleza, cabeleireiro, pessoa a cortar o cabelo, tesoura
💇🏻	beleza, cabeleireiro, pessoa a cortar o cabelo, pessoa a cortar o cabelo: tipo de pele 1–2, tesoura, tipo de pele 1–2
💇🏼	beleza, cabeleireiro, pessoa a cortar o cabelo, pessoa a cortar o cabelo: tipo de pele 3, tesoura, tipo de pele 3
💇🏽	beleza, cabeleireiro, pessoa a cortar o cabelo, pessoa a cortar o cabelo: tipo de pele 4, tesoura, tipo de pele 4
💇🏾	beleza, cabeleireiro, pessoa a cortar o cabelo, pessoa a cortar o cabelo: tipo de pele 5, tesoura, tipo de pele 5
💇🏿	beleza, cabeleireiro, pessoa a cortar o cabelo, pessoa a cortar o cabelo: tipo de pele 6, tesoura, tipo de pele 6
💇‍♂	corte de cabelo, homem, homem a cortar o cabelo
💇🏻‍♂	corte de cabelo, homem, homem a cortar o cabelo, homem a cortar o cabelo: tipo de pele 1–2, tipo de pele 1–2
💇🏼‍♂	corte de cabelo, homem, homem a cortar o cabelo, homem a cortar o cabelo: tipo de pele 3, tipo de pele 3
💇🏽‍♂	corte de cabelo, homem, homem a cortar o cabelo, homem a cortar o cabelo: tipo de pele 4, tipo de pele 4
💇🏾‍♂	corte de cabelo, homem, homem a cortar o cabelo, homem a cortar o cabelo: tipo de pele 5, tipo de pele 5
💇🏿‍♂	corte de cabelo, homem, homem a cortar o cabelo, homem a cortar o cabelo: tipo de pele 6, tipo de pele 6
💇‍♀	corte de cabelo, mulher, mulher a cortar o cabelo, permanente
💇🏻‍♀	corte de cabelo, mulher, mulher a cortar o cabelo, mulher a cortar o cabelo: tipo de pele 1–2, permanente, tipo de pele 1–2
💇🏼‍♀	corte de cabelo, mulher, mulher a cortar o cabelo, mulher a cortar o cabelo: tipo de pele 3, permanente, tipo de pele 3
💇🏽‍♀	corte de cabelo, mulher, mulher a cortar o cabelo, mulher a cortar o cabelo: tipo de pele 4, permanente, tipo de pele 4
💇🏾‍♀	corte de cabelo, mulher, mulher a cortar o cabelo, mulher a cortar o cabelo: tipo de pele 5, permanente, tipo de pele 5
💇🏿‍♀	corte de cabelo, mulher, mulher a cortar o cabelo, mulher a cortar o cabelo: tipo de pele 6, permanente, tipo de pele 6
🚶	andar, caminhar, pessoa a andar
🚶🏻	andar, caminhar, pessoa a andar, pessoa a andar: tipo de pele 1–2, tipo de pele 1–2
🚶🏼	andar, caminhar, pessoa a andar, pessoa a andar: tipo de pele 3, tipo de pele 3
🚶🏽	andar, caminhar, pessoa a andar, pessoa a andar: tipo de pele 4, tipo de pele 4
🚶🏾	andar, caminhar, pessoa a andar, pessoa a andar: tipo de pele 5, tipo de pele 5
🚶🏿	andar, caminhar, pessoa a andar, pessoa a andar: tipo de pele 6, tipo de pele 6
🚶‍♂	andar, boleia, homem, homem a andar
🚶🏻‍♂	andar, boleia, homem, homem a andar, homem a andar: tipo de pele 1–2, tipo de pele 1–2
🚶🏼‍♂	andar, boleia, homem, homem a andar, homem a andar: tipo de pele 3, tipo de pele 3
🚶🏽‍♂	andar, boleia, homem, homem a andar, homem a andar: tipo de pele 4, tipo de pele 4
🚶🏾‍♂	andar, boleia, homem, homem a andar, homem a andar: tipo de pele 5, tipo de pele 5
🚶🏿‍♂	andar, boleia, homem, homem a andar, homem a andar: tipo de pele 6, tipo de pele 6
🚶‍♀	andar, boleia, mulher, mulher a andar
🚶🏻‍♀	andar, boleia, mulher, mulher a andar, mulher a andar: tipo de pele 1–2, tipo de pele 1–2
🚶🏼‍♀	andar, boleia, mulher, mulher a andar, mulher a andar: tipo de pele 3, tipo de pele 3
🚶🏽‍♀	andar, boleia, mulher, mulher a andar, mulher a andar: tipo de pele 4, tipo de pele 4
🚶🏾‍♀	andar, boleia, mulher, mulher a andar, mulher a andar: tipo de pele 5, tipo de pele 5
🚶🏿‍♀	andar, boleia, mulher, mulher a andar, mulher a andar: tipo de pele 6, tipo de pele 6
🧍🏻	pessoa em pé, pessoa em pé: tipo de pele 1–2, tipo de pele 1–2
🧍🏼	pessoa em pé, pessoa em pé: tipo de pele 3, tipo de pele 3
🧍🏽	pessoa em pé, pessoa em pé: tipo de pele 4, tipo de pele 4
🧍🏾	pessoa em pé, pessoa em pé: tipo de pele 5, tipo de pele 5
🧍🏿	pessoa em pé, pessoa em pé: tipo de pele 6, tipo de pele 6
🧍🏻‍♂	homem em pé, homem em pé: tipo de pele 1–2, tipo de pele 1–2
🧍🏼‍♂	homem em pé, homem em pé: tipo de pele 3, tipo de pele 3
🧍🏽‍♂	homem em pé, homem em pé: tipo de pele 4, tipo de pele 4
🧍🏾‍♂	homem em pé, homem em pé: tipo de pele 5, tipo de pele 5
🧍🏿‍♂	homem em pé, homem em pé: tipo de pele 6, tipo de pele 6
🧍🏻‍♀	mulher em pé, mulher em pé: tipo de pele 1–2, tipo de pele 1–2
🧍🏼‍♀	mulher em pé, mulher em pé: tipo de pele 3, tipo de pele 3
🧍🏽‍♀	mulher em pé, mulher em pé: tipo de pele 4, tipo de pele 4
🧍🏾‍♀	mulher em pé, mulher em pé: tipo de pele 5, tipo de pele 5
🧍🏿‍♀	mulher em pé, mulher em pé: tipo de pele 6, tipo de pele 6
🧎	pessoa de joelhos
🧎🏻	pessoa de joelhos, pessoa de joelhos: tipo de pele 1–2, tipo de pele 1–2
🧎🏼	pessoa de joelhos, pessoa de joelhos: tipo de pele 3, tipo de pele 3
🧎🏽	pessoa de joelhos, pessoa de joelhos: tipo de pele 4, tipo de pele 4
🧎🏾	pessoa de joelhos, pessoa de joelhos: tipo de pele 5, tipo de pele 5
🧎🏿	pessoa de joelhos, pessoa de joelhos: tipo de pele 6, tipo de pele 6
🧎‍♂	homem de joelhos
🧎🏻‍♂	homem de joelhos, homem de joelhos: tipo de pele 1–2, tipo de pele 1–2
🧎🏼‍♂	homem de joelhos, homem de joelhos: tipo de pele 3, tipo de pele 3
🧎🏽‍♂	homem de joelhos, homem de joelhos: tipo de pele 4, tipo de pele 4
🧎🏾‍♂	homem de joelhos, homem de joelhos: tipo de pele 5, tipo de pele 5
🧎🏿‍♂	homem de joelhos, homem de joelhos: tipo de pele 6, tipo de pele 6
🧎‍♀	mulher de joelhos
🧎🏻‍♀	mulher de joelhos, mulher de joelhos: tipo de pele 1–2, tipo de pele 1–2
🧎🏼‍♀	mulher de joelhos, mulher de joelhos: tipo de pele 3, tipo de pele 3
🧎🏽‍♀	mulher de joelhos, mulher de joelhos: tipo de pele 4, tipo de pele 4
🧎🏾‍♀	mulher de joelhos, mulher de joelhos: tipo de pele 5, tipo de pele 5
🧎🏿‍♀	mulher de joelhos, mulher de joelhos: tipo de pele 6, tipo de pele 6
👨‍🦯	homem com bengala para cegos
👨🏻‍🦯	homem com bengala para cegos, homem com bengala para cegos: tipo de pele 1–2, tipo de pele 1–2
👨🏼‍🦯	homem com bengala para cegos, homem com bengala para cegos: tipo de pele 3, tipo de pele 3
👨🏽‍🦯	homem com bengala para cegos, homem com bengala para cegos: tipo de pele 4, tipo de pele 4
👨🏾‍🦯	homem com bengala para cegos, homem com bengala para cegos: tipo de pele 5, tipo de pele 5
👨🏿‍🦯	homem com bengala para cegos, homem com bengala para cegos: tipo de pele 6, tipo de pele 6
👩‍🦯	mulher com bengala para cegos
👩🏻‍🦯	mulher com bengala para cegos, mulher com bengala para cegos: tipo de pele 1–2, tipo de pele 1–2
👩🏼‍🦯	mulher com bengala para cegos, mulher com bengala para cegos: tipo de pele 3, tipo de pele 3
👩🏽‍🦯	mulher com bengala para cegos, mulher com bengala para cegos: tipo de pele 4, tipo de pele 4
👩🏾‍🦯	mulher com bengala para cegos, mulher com bengala para cegos: tipo de pele 5, tipo de pele 5
👩🏿‍🦯	mulher com bengala para cegos, mulher com bengala para cegos: tipo de pele 6, tipo de pele 6
👨‍🦼	homem em cadeira de rodas elétrica
👨🏻‍🦼	homem em cadeira de rodas elétrica, homem em cadeira de rodas elétrica: tipo de pele 1–2, tipo de pele 1–2
👨🏼‍🦼	homem em cadeira de rodas elétrica, homem em cadeira de rodas elétrica: tipo de pele 3, tipo de pele 3
👨🏽‍🦼	homem em cadeira de rodas elétrica, homem em cadeira de rodas elétrica: tipo de pele 4, tipo de pele 4
👨🏾‍🦼	homem em cadeira de rodas elétrica, homem em cadeira de rodas elétrica: tipo de pele 5, tipo de pele 5
👨🏿‍🦼	homem em cadeira de rodas elétrica, homem em cadeira de rodas elétrica: tipo de pele 6, tipo de pele 6
👩‍🦼	mulher em cadeira de rodas elétrica
👩🏻‍🦼	mulher em cadeira de rodas elétrica, mulher em cadeira de rodas elétrica: tipo de pele 1–2, tipo de pele 1–2
👩🏼‍🦼	mulher em cadeira de rodas elétrica, mulher em cadeira de rodas elétrica: tipo de pele 3, tipo de pele 3
👩🏽‍🦼	mulher em cadeira de rodas elétrica, mulher em cadeira de rodas elétrica: tipo de pele 4, tipo de pele 4
👩🏾‍🦼	mulher em cadeira de rodas elétrica, mulher em cadeira de rodas elétrica: tipo de pele 5, tipo de pele 5
👩🏿‍🦼	mulher em cadeira de rodas elétrica, mulher em cadeira de rodas elétrica: tipo de pele 6, tipo de pele 6
👨‍🦽	homem em cadeira de rodas manual
👨🏻‍🦽	homem em cadeira de rodas manual, homem em cadeira de rodas manual: tipo de pele 1–2, tipo de pele 1–2
👨🏼‍🦽	homem em cadeira de rodas manual, homem em cadeira de rodas manual: tipo de pele 3, tipo de pele 3
👨🏽‍🦽	homem em cadeira de rodas manual, homem em cadeira de rodas manual: tipo de pele 4, tipo de pele 4
👨🏾‍🦽	homem em cadeira de rodas manual, homem em cadeira de rodas manual: tipo de pele 5, tipo de pele 5
👨🏿‍🦽	homem em cadeira de rodas manual, homem em cadeira de rodas manual: tipo de pele 6, tipo de pele 6
👩‍🦽	mulher em cadeira de rodas manual
👩🏻‍🦽	mulher em cadeira de rodas manual, mulher em cadeira de rodas manual: tipo de pele 1–2, tipo de pele 1–2
👩🏼‍🦽	mulher em cadeira de rodas manual, mulher em cadeira de rodas manual: tipo de pele 3, tipo de pele 3
👩🏽‍🦽	mulher em cadeira de rodas manual, mulher em cadeira de rodas manual: tipo de pele 4, tipo de pele 4
👩🏾‍🦽	mulher em cadeira de rodas manual, mulher em cadeira de rodas manual: tipo de pele 5, tipo de pele 5
👩🏿‍🦽	mulher em cadeira de rodas manual, mulher em cadeira de rodas manual: tipo de pele 6, tipo de pele 6
🏃	correr, maratona, pessoa a correr
🏃🏻	correr, maratona, pessoa a correr, pessoa a correr: tipo de pele 1–2, tipo de pele 1–2
🏃🏼	correr, maratona, pessoa a correr, pessoa a correr: tipo de pele 3, tipo de pele 3
🏃🏽	correr, maratona, pessoa a correr, pessoa a correr: tipo de pele 4, tipo de pele 4
🏃🏾	correr, maratona, pessoa a correr, pessoa a correr: tipo de pele 5, tipo de pele 5
🏃🏿	correr, maratona, pessoa a correr, pessoa a correr: tipo de pele 6, tipo de pele 6
🏃‍♂	corrida, homem, homem a correr, maratona
🏃🏻‍♂	corrida, homem, homem a correr, homem a correr: tipo de pele 1–2, maratona, tipo de pele 1–2
🏃🏼‍♂	corrida, homem, homem a correr, homem a correr: tipo de pele 3, maratona, tipo de pele 3
🏃🏽‍♂	corrida, homem, homem a correr, homem a correr: tipo de pele 4, maratona, tipo de pele 4
🏃🏾‍♂	corrida, homem, homem a correr, homem a correr: tipo de pele 5, maratona, tipo de pele 5
🏃🏿‍♂	corrida, homem, homem a correr, homem a correr: tipo de pele 6, maratona, tipo de pele 6
🏃‍♀	corrida, maratona, mulher, mulher a correr
🏃🏻‍♀	corrida, maratona, mulher, mulher a correr, mulher a correr: tipo de pele 1–2, tipo de pele 1–2
🏃🏼‍♀	corrida, maratona, mulher, mulher a correr, mulher a correr: tipo de pele 3, tipo de pele 3
🏃🏽‍♀	corrida, maratona, mulher, mulher a correr, mulher a correr: tipo de pele 4, tipo de pele 4
🏃🏾‍♀	corrida, maratona, mulher, mulher a correr, mulher a correr: tipo de pele 5, tipo de pele 5
🏃🏿‍♀	corrida, maratona, mulher, mulher a correr, mulher a correr: tipo de pele 6, tipo de pele 6
💃	dança, mulher a dançar, pessoas
💃🏻	dança, mulher a dançar, mulher a dançar: tipo de pele 1–2, pessoas, tipo de pele 1–2
💃🏼	dança, mulher a dançar, mulher a dançar: tipo de pele 3, pessoas, tipo de pele 3
💃🏽	dança, mulher a dançar, mulher a dançar: tipo de pele 4, pessoas, tipo de pele 4
💃🏾	dança, mulher a dançar, mulher a dançar: tipo de pele 5, pessoas, tipo de pele 5
