😀	kenua, sura inayokenua, uso
🙆🏼‍♂	ishara, kukubali, mwanamume anayeonyesha ishara ya kukubali, mwanamume anayeonyesha ishara ya kukubali: ngozi nyeupe kiasi, ndiyo, ngozi nyeupe kiasi, sawa
🙆🏽‍♂	ishara, kukubali, mwanamume anayeonyesha ishara ya kukubali, mwanamume anayeonyesha ishara ya kukubali: ngozi ya kahawia, ndiyo, ngozi ya kahawia, sawa
🙆🏾‍♂	ishara, kukubali, mwanamume anayeonyesha ishara ya kukubali, mwanamume anayeonyesha ishara ya kukubali: ngozi nyeusi kiasi, ndiyo, ngozi nyeusi kiasi, sawa
🙆🏿‍♂	ishara, kukubali, mwanamume anayeonyesha ishara ya kukubali, mwanamume anayeonyesha ishara ya kukubali: ngozi nyeusi, ndiyo, ngozi nyeusi, sawa
🙆‍♀	ishara, kukubali, mwanamke anayeonyesha ishara ya kukubali, ndiyo, sawa
🙆🏻‍♀	ishara, kukubali, mwanamke anayeonyesha ishara ya kukubali, mwanamke anayeonyesha ishara ya kukubali: ngozi nyeupe, ndiyo, ngozi nyeupe, sawa
🙆🏼‍♀	ishara, kukubali, mwanamke anayeonyesha ishara ya kukubali, mwanamke anayeonyesha ishara ya kukubali: ngozi nyeupe kiasi, ndiyo, ngozi nyeupe kiasi, sawa
🙆🏽‍♀	ishara, kukubali, mwanamke anayeonyesha ishara ya kukubali, mwanamke anayeonyesha ishara ya kukubali: ngozi ya kahawia, ndiyo, ngozi ya kahawia, sawa
🙆🏾‍♀	ishara, kukubali, mwanamke anayeonyesha ishara ya kukubali, mwanamke anayeonyesha ishara ya kukubali: ngozi nyeusi kiasi, ndiyo, ngozi nyeusi kiasi, sawa
🙆🏿‍♀	ishara, kukubali, mwanamke anayeonyesha ishara ya kukubali, mwanamke anayeonyesha ishara ya kukubali: ngozi nyeusi, ndiyo, ngozi nyeusi, sawa
💁	anayejiamini, maelezo, mhudumu anayetoa maelezo, mkono, usaidizi
💁🏻	anayejiamini, maelezo, mhudumu anayetoa maelezo, mhudumu anayetoa maelezo: ngozi nyeupe, mkono, ngozi nyeupe, usaidizi
💁🏼	anayejiamini, maelezo, mhudumu anayetoa maelezo, mhudumu anayetoa maelezo: ngozi nyeupe kiasi, mkono, ngozi nyeupe kiasi, usaidizi
💁🏽	anayejiamini, maelezo, mhudumu anayetoa maelezo, mhudumu anayetoa maelezo: ngozi ya kahawia, mkono, ngozi ya kahawia, usaidizi
💁🏾	anayejiamini, maelezo, mhudumu anayetoa maelezo, mhudumu anayetoa maelezo: ngozi nyeusi kiasi, mkono, ngozi nyeusi kiasi, usaidizi
💁🏿	anayejiamini, maelezo, mhudumu anayetoa maelezo, mhudumu anayetoa maelezo: ngozi nyeusi, mkono, ngozi nyeusi, usaidizi
💁‍♂	mkono, mwanamume, mwanamume anayetoa maelezo, usaidizi
💁🏻‍♂	mkono, mwanamume, mwanamume anayetoa maelezo, mwanamume anayetoa maelezo: ngozi nyeupe, ngozi nyeupe, usaidizi
💁🏼‍♂	mkono, mwanamume, mwanamume anayetoa maelezo, mwanamume anayetoa maelezo: ngozi nyeupe kiasi, ngozi nyeupe kiasi, usaidizi
💁🏽‍♂	mkono, mwanamume, mwanamume anayetoa maelezo, mwanamume anayetoa maelezo: ngozi ya kahawia, ngozi ya kahawia, usaidizi
💁🏾‍♂	mkono, mwanamume, mwanamume anayetoa maelezo, mwanamume anayetoa maelezo: ngozi nyeusi kiasi, ngozi nyeusi kiasi, usaidizi
💁🏿‍♂	mkono, mwanamume, mwanamume anayetoa maelezo, mwanamume anayetoa maelezo: ngozi nyeusi, ngozi nyeusi, usaidizi
💁‍♀	mkono, mwanamke, mwanamke anayetoa maelezo, usaidizi
💁🏻‍♀	mkono, mwanamke, mwanamke anayetoa maelezo, mwanamke anayetoa maelezo: ngozi nyeupe, ngozi nyeupe, usaidizi
💁🏼‍♀	mkono, mwanamke, mwanamke anayetoa maelezo, mwanamke anayetoa maelezo: ngozi nyeupe kiasi, ngozi nyeupe kiasi, usaidizi
💁🏽‍♀	mkono, mwanamke, mwanamke anayetoa maelezo, mwanamke anayetoa maelezo: ngozi ya kahawia, ngozi ya kahawia, usaidizi
💁🏾‍♀	mkono, mwanamke, mwanamke anayetoa maelezo, mwanamke anayetoa maelezo: ngozi nyeusi kiasi, ngozi nyeusi kiasi, usaidizi
💁🏿‍♀	mkono, mwanamke, mwanamke anayetoa maelezo, mwanamke anayetoa maelezo: ngozi nyeusi, ngozi nyeusi, usaidizi
🙋	furaha, inuliwa, ishara, mkono, mtu mwenye furaha aliyeinua mkono
🙋🏻	furaha, inuliwa, ishara, mkono, mtu mwenye furaha aliyeinua mkono, mtu mwenye furaha aliyeinua mkono: ngozi nyeupe, ngozi nyeupe
🙋🏼	furaha, inuliwa, ishara, mkono, mtu mwenye furaha aliyeinua mkono, mtu mwenye furaha aliyeinua mkono: ngozi nyeupe kiasi, ngozi nyeupe kiasi
🙋🏽	furaha, inuliwa, ishara, mkono, mtu mwenye furaha aliyeinua mkono, mtu mwenye furaha aliyeinua mkono: ngozi ya kahawia, ngozi ya kahawia
🙋🏾	furaha, inuliwa, ishara, mkono, mtu mwenye furaha aliyeinua mkono, mtu mwenye furaha aliyeinua mkono: ngozi nyeusi kiasi, ngozi nyeusi kiasi
🙋🏿	furaha, inuliwa, ishara, mkono, mtu mwenye furaha aliyeinua mkono, mtu mwenye furaha aliyeinua mkono: ngozi nyeusi, ngozi nyeusi
🙋‍♂	furaha, inua mkono, mkono, mwanamume mwenye furaha aliyeinua mkono
🙋🏻‍♂	furaha, inua mkono, mkono, mwanamume mwenye furaha aliyeinua mkono, mwanamume mwenye furaha aliyeinua mkono: ngozi nyeupe, ngozi nyeupe
🙋🏼‍♂	furaha, inua mkono, mkono, mwanamume mwenye furaha aliyeinua mkono, mwanamume mwenye furaha aliyeinua mkono: ngozi nyeupe kiasi, ngozi nyeupe kiasi
🙋🏽‍♂	furaha, inua mkono, mkono, mwanamume mwenye furaha aliyeinua mkono, mwanamume mwenye furaha aliyeinua mkono: ngozi ya kahawia, ngozi ya kahawia
🙋🏾‍♂	furaha, inua mkono, mkono, mwanamume mwenye furaha aliyeinua mkono, mwanamume mwenye furaha aliyeinua mkono: ngozi nyeusi kiasi, ngozi nyeusi kiasi
🙋🏿‍♂	furaha, inua mkono, mkono, mwanamume mwenye furaha aliyeinua mkono, mwanamume mwenye furaha aliyeinua mkono: ngozi nyeusi, ngozi nyeusi
🙋‍♀	furaha, inua mkono, mkono, mwanamke mwenye furaha aliyeinua mnoko
🙋🏻‍♀	furaha, inua mkono, mkono, mwanamke mwenye furaha aliyeinua mnoko, mwanamke mwenye furaha aliyeinua mnoko: ngozi nyeupe, ngozi nyeupe
🙋🏼‍♀	furaha, inua mkono, mkono, mwanamke mwenye furaha aliyeinua mnoko, mwanamke mwenye furaha aliyeinua mnoko: ngozi nyeupe kiasi, ngozi nyeupe kiasi
🙋🏽‍♀	furaha, inua mkono, mkono, mwanamke mwenye furaha aliyeinua mnoko, mwanamke mwenye furaha aliyeinua mnoko: ngozi ya kahawia, ngozi ya kahawia
🙋🏾‍♀	furaha, inua mkono, mkono, mwanamke mwenye furaha aliyeinua mnoko, mwanamke mwenye furaha aliyeinua mnoko: ngozi nyeusi kiasi, ngozi nyeusi kiasi
🙋🏿‍♀	furaha, inua mkono, mkono, mwanamke mwenye furaha aliyeinua mnoko, mwanamke mwenye furaha aliyeinua mnoko: ngozi nyeusi, ngozi nyeusi
🧏	kiziwi, kusikia, sikio, ufikivu
🧏🏻	kiziwi, kiziwi: ngozi nyeupe, kusikia, ngozi nyeupe, sikio, ufikivu
🧏🏼	kiziwi, kiziwi: ngozi nyeupe kiasi, kusikia, ngozi nyeupe kiasi, sikio, ufikivu
🧏🏽	kiziwi, kiziwi: ngozi ya kahawia, kusikia, ngozi ya kahawia, sikio, ufikivu
🧏🏾	kiziwi, kiziwi: ngozi nyeusi kiasi, kusikia, ngozi nyeusi kiasi, sikio, ufikivu
🧏🏿	kiziwi, kiziwi: ngozi nyeusi, kusikia, ngozi nyeusi, sikio, ufikivu
🧏‍♂	kiziwi, mwanamume, mwanamume kiziwi
🧏🏻‍♂	kiziwi, mwanamume, mwanamume kiziwi: ngozi nyeupe, ngozi nyeupe
🧏🏼‍♂	kiziwi, mwanamume, mwanamume kiziwi: ngozi nyeupe kiasi, ngozi nyeupe kiasi
🧏🏽‍♂	kiziwi, mwanamume, mwanamume kiziwi: ngozi ya kahawia, ngozi ya kahawia
🧏🏾‍♂	kiziwi, mwanamume, mwanamume kiziwi: ngozi nyeusi kiasi, ngozi nyeusi kiasi
🧏🏿‍♂	kiziwi, mwanamume, mwanamume kiziwi: ngozi nyeusi, ngozi nyeusi
🧏‍♀	kiziwi, mwanamke, mwanamke kiziwi
🧏🏻‍♀	kiziwi, mwanamke, mwanamke kiziwi: ngozi nyeupe, ngozi nyeupe
🧏🏼‍♀	kiziwi, mwanamke, mwanamke kiziwi: ngozi nyeupe kiasi, ngozi nyeupe kiasi
🧏🏽‍♀	kiziwi, mwanamke, mwanamke kiziwi: ngozi ya kahawia, ngozi ya kahawia
🧏🏾‍♀	kiziwi, mwanamke, mwanamke kiziwi: ngozi nyeusi kiasi, ngozi nyeusi kiasi
🧏🏿‍♀	kiziwi, mwanamke, mwanamke kiziwi: ngozi nyeusi, ngozi nyeusi
🙇	inama, ishara, msamaha, mtu aliyeinama, samahani
🙇🏻	inama, ishara, msamaha, mtu aliyeinama, mtu aliyeinama: ngozi nyeupe, ngozi nyeupe, samahani
🙇🏼	inama, ishara, msamaha, mtu aliyeinama, mtu aliyeinama: ngozi nyeupe kiasi, ngozi nyeupe kiasi, samahani
🙇🏽	inama, ishara, msamaha, mtu aliyeinama, mtu aliyeinama: ngozi ya kahawia, ngozi ya kahawia, samahani
🙇🏾	inama, ishara, msamaha, mtu aliyeinama, mtu aliyeinama: ngozi nyeusi kiasi, ngozi nyeusi kiasi, samahani
🙇🏿	inama, ishara, msamaha, mtu aliyeinama, mtu aliyeinama: ngozi nyeusi, ngozi nyeusi, samahani
🙇‍♂	inama, mwanamume aliyeinama, omba msamaha, samahani
🙇🏻‍♂	inama, mwanamume aliyeinama, mwanamume aliyeinama: ngozi nyeupe, ngozi nyeupe, omba msamaha, samahani
🙇🏼‍♂	inama, mwanamume aliyeinama, mwanamume aliyeinama: ngozi nyeupe kiasi, ngozi nyeupe kiasi, omba msamaha, samahani
🙇🏽‍♂	inama, mwanamume aliyeinama, mwanamume aliyeinama: ngozi ya kahawia, ngozi ya kahawia, omba msamaha, samahani
🙇🏾‍♂	inama, mwanamume aliyeinama, mwanamume aliyeinama: ngozi nyeusi kiasi, ngozi nyeusi kiasi, omba msamaha, samahani
🙇🏿‍♂	inama, mwanamume aliyeinama, mwanamume aliyeinama: ngozi nyeusi, ngozi nyeusi, omba msamaha, samahani
🙇‍♀	inama, mwanamke aliyeinama, omba msamaha, samahani
🙇🏻‍♀	inama, mwanamke aliyeinama, mwanamke aliyeinama: ngozi nyeupe, ngozi nyeupe, omba msamaha, samahani
🙇🏼‍♀	inama, mwanamke aliyeinama, mwanamke aliyeinama: ngozi nyeupe kiasi, ngozi nyeupe kiasi, omba msamaha, samahani
🙇🏽‍♀	inama, mwanamke aliyeinama, mwanamke aliyeinama: ngozi ya kahawia, ngozi ya kahawia, omba msamaha, samahani
🙇🏾‍♀	inama, mwanamke aliyeinama, mwanamke aliyeinama: ngozi nyeusi kiasi, ngozi nyeusi kiasi, omba msamaha, samahani
🙇🏿‍♀	inama, mwanamke aliyeinama, mwanamke aliyeinama: ngozi nyeusi, ngozi nyeusi, omba msamaha, samahani
🤦	ishara ya kutoamini
🤦🏻	ishara ya kutoamini, ishara ya kutoamini: ngozi nyeupe, ngozi nyeupe
🤦🏼	ishara ya kutoamini, ishara ya kutoamini: ngozi nyeupe kiasi, ngozi nyeupe kiasi
🤦🏽	ishara ya kutoamini, ishara ya kutoamini: ngozi ya kahawia, ngozi ya kahawia
🤦🏾	ishara ya kutoamini, ishara ya kutoamini: ngozi nyeusi kiasi, ngozi nyeusi kiasi
🤦🏿	ishara ya kutoamini, ishara ya kutoamini: ngozi nyeusi, ngozi nyeusi
🤦‍♂	ishara, kutoamini, mwanamume anayeashiria kutoamini
🤦🏻‍♂	ishara, kutoamini, mwanamume anayeashiria kutoamini, mwanamume anayeashiria kutoamini: ngozi nyeupe, ngozi nyeupe
🤦🏼‍♂	ishara, kutoamini, mwanamume anayeashiria kutoamini, mwanamume anayeashiria kutoamini: ngozi nyeupe kiasi, ngozi nyeupe kiasi
🤦🏽‍♂	ishara, kutoamini, mwanamume anayeashiria kutoamini, mwanamume anayeashiria kutoamini: ngozi ya kahawia, ngozi ya kahawia
🤦🏾‍♂	ishara, kutoamini, mwanamume anayeashiria kutoamini, mwanamume anayeashiria kutoamini: ngozi nyeusi kiasi, ngozi nyeusi kiasi
🤦🏿‍♂	ishara, kutoamini, mwanamume anayeashiria kutoamini, mwanamume anayeashiria kutoamini: ngozi nyeusi, ngozi nyeusi
🤦‍♀	ishara, kutoamini, mwanamke anayueashiria kutoamini
🤦🏻‍♀	ishara, kutoamini, mwanamke anayueashiria kutoamini, mwanamke anayueashiria kutoamini: ngozi nyeupe, ngozi nyeupe
🤦🏼‍♀	ishara, kutoamini, mwanamke anayueashiria kutoamini, mwanamke anayueashiria kutoamini: ngozi nyeupe kiasi, ngozi nyeupe kiasi
🤦🏽‍♀	ishara, kutoamini, mwanamke anayueashiria kutoamini, mwanamke anayueashiria kutoamini: ngozi ya kahawia, ngozi ya kahawia
🤦🏾‍♀	ishara, kutoamini, mwanamke anayueashiria kutoamini, mwanamke anayueashiria kutoamini: ngozi nyeusi kiasi, ngozi nyeusi kiasi
🤦🏿‍♀	ishara, kutoamini, mwanamke anayueashiria kutoamini, mwanamke anayueashiria kutoamini: ngozi nyeusi, ngozi nyeusi
🤷	ishara ya kutojali, sijali
🤷🏻	ishara ya kutojali, ishara ya kutojali: ngozi nyeupe, ngozi nyeupe, sijali
🤷🏼	ishara ya kutojali, ishara ya kutojali: ngozi nyeupe kiasi, ngozi nyeupe kiasi, sijali
🤷🏽	ishara ya kutojali, ishara ya kutojali: ngozi ya kahawia, ngozi ya kahawia, sijali
🤷🏾	ishara ya kutojali, ishara ya kutojali: ngozi nyeusi kiasi, ngozi nyeusi kiasi, sijali
🤷🏿	ishara ya kutojali, ishara ya kutojali: ngozi nyeusi, ngozi nyeusi, sijali
🤷‍♂	kutikisa bega, kutojali, mwanamume anayeashiria kutojali, sijali
🤷🏻‍♂	kutikisa bega, kutojali, mwanamume anayeashiria kutojali, mwanamume anayeashiria kutojali: ngozi nyeupe, ngozi nyeupe, sijali
🤷🏼‍♂	kutikisa bega, kutojali, mwanamume anayeashiria kutojali, mwanamume anayeashiria kutojali: ngozi nyeupe kiasi, ngozi nyeupe kiasi, sijali
🤷🏽‍♂	kutikisa bega, kutojali, mwanamume anayeashiria kutojali, mwanamume anayeashiria kutojali: ngozi ya kahawia, ngozi ya kahawia, sijali
🤷🏾‍♂	kutikisa bega, kutojali, mwanamume anayeashiria kutojali, mwanamume anayeashiria kutojali: ngozi nyeusi kiasi, ngozi nyeusi kiasi, sijali
🤷🏿‍♂	kutikisa bega, kutojali, mwanamume anayeashiria kutojali, mwanamume anayeashiria kutojali: ngozi nyeusi, ngozi nyeusi, sijali
🤷‍♀	kutikisa bega, kutojali, mwanamke anayeashiria kutojali, sijali
🤷🏻‍♀	kutikisa bega, kutojali, mwanamke anayeashiria kutojali, mwanamke anayeashiria kutojali: ngozi nyeupe, ngozi nyeupe, sijali
🤷🏼‍♀	kutikisa bega, kutojali, mwanamke anayeashiria kutojali, mwanamke anayeashiria kutojali: ngozi nyeupe kiasi, ngozi nyeupe kiasi, sijali
🤷🏽‍♀	kutikisa bega, kutojali, mwanamke anayeashiria kutojali, mwanamke anayeashiria kutojali: ngozi ya kahawia, ngozi ya kahawia, sijali
🤷🏾‍♀	kutikisa bega, kutojali, mwanamke anayeashiria kutojali, mwanamke anayeashiria kutojali: ngozi nyeusi kiasi, ngozi nyeusi kiasi, sijali
🤷🏿‍♀	kutikisa bega, kutojali, mwanamke anayeashiria kutojali, mwanamke anayeashiria kutojali: ngozi nyeusi, ngozi nyeusi, sijali
👨‍⚕	daktari, mganga, mhudumu wa afya wa kiume, muuguzi, tabibu
👨🏻‍⚕	daktari, mganga, mhudumu wa afya wa kiume, mhudumu wa afya wa kiume: ngozi nyeupe, muuguzi, ngozi nyeupe, tabibu
👨🏼‍⚕	daktari, mganga, mhudumu wa afya wa kiume, mhudumu wa afya wa kiume: ngozi nyeupe kiasi, muuguzi, ngozi nyeupe kiasi, tabibu
👨🏽‍⚕	daktari, mganga, mhudumu wa afya wa kiume, mhudumu wa afya wa kiume: ngozi ya kahawia, muuguzi, ngozi ya kahawia, tabibu
👨🏾‍⚕	daktari, mganga, mhudumu wa afya wa kiume, mhudumu wa afya wa kiume: ngozi nyeusi kiasi, muuguzi, ngozi nyeusi kiasi, tabibu
👨🏿‍⚕	daktari, mganga, mhudumu wa afya wa kiume, mhudumu wa afya wa kiume: ngozi nyeusi, muuguzi, ngozi nyeusi, tabibu
👩‍⚕	daktari, mganga, mhudumu wa afya wa kike, muuguzi, tabibu
👩🏻‍⚕	daktari, mganga, mhudumu wa afya wa kike, mhudumu wa afya wa kike: ngozi nyeupe, muuguzi, ngozi nyeupe, tabibu
👩🏼‍⚕	daktari, mganga, mhudumu wa afya wa kike, mhudumu wa afya wa kike: ngozi nyeupe kiasi, muuguzi, ngozi nyeupe kiasi, tabibu
👩🏽‍⚕	daktari, mganga, mhudumu wa afya wa kike, mhudumu wa afya wa kike: ngozi ya kahawia, muuguzi, ngozi ya kahawia, tabibu
👩🏾‍⚕	daktari, mganga, mhudumu wa afya wa kike, mhudumu wa afya wa kike: ngozi nyeusi kiasi, muuguzi, ngozi nyeusi kiasi, tabibu
👩🏿‍⚕	daktari, mganga, mhudumu wa afya wa kike, mhudumu wa afya wa kike: ngozi nyeusi, muuguzi, ngozi nyeusi, tabibu
👨‍🎓	fuzu, hitumu, kofia, mahafali, mwanafunzi na kofia ya kufuzu
👨🏻‍🎓	fuzu, hitumu, kofia, mahafali, mwanafunzi na kofia ya kufuzu, mwanafunzi na kofia ya kufuzu: ngozi nyeupe, ngozi nyeupe
👨🏼‍🎓	fuzu, hitumu, kofia, mahafali, mwanafunzi na kofia ya kufuzu, mwanafunzi na kofia ya kufuzu: ngozi nyeupe kiasi, ngozi nyeupe kiasi
👨🏽‍🎓	fuzu, hitumu, kofia, mahafali, mwanafunzi na kofia ya kufuzu, mwanafunzi na kofia ya kufuzu: ngozi ya kahawia, ngozi ya kahawia
👨🏾‍🎓	fuzu, hitumu, kofia, mahafali, mwanafunzi na kofia ya kufuzu, mwanafunzi na kofia ya kufuzu: ngozi nyeusi kiasi, ngozi nyeusi kiasi
👨🏿‍🎓	fuzu, hitumu, kofia, mahafali, mwanafunzi na kofia ya kufuzu, mwanafunzi na kofia ya kufuzu: ngozi nyeusi, ngozi nyeusi
👩‍🎓	fuzu, hitumu, kofia, mahafali, mwanafunzi wa kike na kofia ya kufuzu
👩🏻‍🎓	fuzu, hitumu, kofia, mahafali, mwanafunzi wa kike na kofia ya kufuzu, mwanafunzi wa kike na kofia ya kufuzu: ngozi nyeupe, ngozi nyeupe
👩🏼‍🎓	fuzu, hitumu, kofia, mahafali, mwanafunzi wa kike na kofia ya kufuzu, mwanafunzi wa kike na kofia ya kufuzu: ngozi nyeupe kiasi, ngozi nyeupe kiasi
👩🏽‍🎓	fuzu, hitumu, kofia, mahafali, mwanafunzi wa kike na kofia ya kufuzu, mwanafunzi wa kike na kofia ya kufuzu: ngozi ya kahawia, ngozi ya kahawia
👩🏾‍🎓	fuzu, hitumu, kofia, mahafali, mwanafunzi wa kike na kofia ya kufuzu, mwanafunzi wa kike na kofia ya kufuzu: ngozi nyeusi kiasi, ngozi nyeusi kiasi
👩🏿‍🎓	fuzu, hitumu, kofia, mahafali, mwanafunzi wa kike na kofia ya kufuzu, mwanafunzi wa kike na kofia ya kufuzu: ngozi nyeusi, ngozi nyeusi
👨‍🏫	darasa, mwalimu, mwalimu na ubao, shule
👨🏻‍🏫	darasa, mwalimu, mwalimu na ubao, mwalimu na ubao: ngozi nyeupe, ngozi nyeupe, shule
👨🏼‍🏫	darasa, mwalimu, mwalimu na ubao, mwalimu na ubao: ngozi nyeupe kiasi, ngozi nyeupe kiasi, shule
👨🏽‍🏫	darasa, mwalimu, mwalimu na ubao, mwalimu na ubao: ngozi ya kahawia, ngozi ya kahawia, shule
👨🏾‍🏫	darasa, mwalimu, mwalimu na ubao, mwalimu na ubao: ngozi nyeusi kiasi, ngozi nyeusi kiasi, shule
👨🏿‍🏫	darasa, mwalimu, mwalimu na ubao, mwalimu na ubao: ngozi nyeusi, ngozi nyeusi, shule
👩‍🏫	darasa, mwalimu, mwalimu wa kike na ubao, shule
👩🏻‍🏫	darasa, mwalimu, mwalimu wa kike na ubao, mwalimu wa kike na ubao: ngozi nyeupe, ngozi nyeupe, shule
👩🏼‍🏫	darasa, mwalimu, mwalimu wa kike na ubao, mwalimu wa kike na ubao: ngozi nyeupe kiasi, ngozi nyeupe kiasi, shule
👩🏽‍🏫	darasa, mwalimu, mwalimu wa kike na ubao, mwalimu wa kike na ubao: ngozi ya kahawia, ngozi ya kahawia, shule
👩🏾‍🏫	darasa, mwalimu, mwalimu wa kike na ubao, mwalimu wa kike na ubao: ngozi nyeusi kiasi, ngozi nyeusi kiasi, shule
👩🏿‍🏫	darasa, mwalimu, mwalimu wa kike na ubao, mwalimu wa kike na ubao: ngozi nyeusi, ngozi nyeusi, shule
👨‍⚖	hakimu, jaji, jaji wa kiume
👨🏻‍⚖	hakimu, jaji, jaji wa kiume, jaji wa kiume: ngozi nyeupe, ngozi nyeupe
👨🏼‍⚖	hakimu, jaji, jaji wa kiume, jaji wa kiume: ngozi nyeupe kiasi, ngozi nyeupe kiasi
👨🏽‍⚖	hakimu, jaji, jaji wa kiume, jaji wa kiume: ngozi ya kahawia, ngozi ya kahawia
👨🏾‍⚖	hakimu, jaji, jaji wa kiume, jaji wa kiume: ngozi nyeusi kiasi, ngozi nyeusi kiasi
👨🏿‍⚖	hakimu, jaji, jaji wa kiume, jaji wa kiume: ngozi nyeusi, ngozi nyeusi
👩‍⚖	haki, hakimu, jaji, jaji wa kike
👩🏻‍⚖	haki, hakimu, jaji, jaji wa kike, jaji wa kike: ngozi nyeupe, ngozi nyeupe
👩🏼‍⚖	haki, hakimu, jaji, jaji wa kike, jaji wa kike: ngozi nyeupe kiasi, ngozi nyeupe kiasi
👩🏽‍⚖	haki, hakimu, jaji, jaji wa kike, jaji wa kike: ngozi ya kahawia, ngozi ya kahawia
👩🏾‍⚖	haki, hakimu, jaji, jaji wa kike, jaji wa kike: ngozi nyeusi kiasi, ngozi nyeusi kiasi
👩🏿‍⚖	haki, hakimu, jaji, jaji wa kike, jaji wa kike: ngozi nyeusi, ngozi nyeusi
👨‍🌾	kofia, mchele, mkulima, mkulima wa kiume, mpunga
👨🏻‍🌾	kofia, mchele, mkulima, mkulima wa kiume, mkulima wa kiume: ngozi nyeupe, mpunga, ngozi nyeupe
👨🏼‍🌾	kofia, mchele, mkulima, mkulima wa kiume, mkulima wa kiume: ngozi nyeupe kiasi, mpunga, ngozi nyeupe kiasi
👨🏽‍🌾	kofia, mchele, mkulima, mkulima wa kiume, mkulima wa kiume: ngozi ya kahawia, mpunga, ngozi ya kahawia
👨🏾‍🌾	kofia, mchele, mkulima, mkulima wa kiume, mkulima wa kiume: ngozi nyeusi kiasi, mpunga, ngozi nyeusi kiasi
👨🏿‍🌾	kofia, mchele, mkulima, mkulima wa kiume, mkulima wa kiume: ngozi nyeusi, mpunga, ngozi nyeusi
👩‍🌾	kofia, mchele, mkulima, mkulima wa kike, mpunga
👩🏻‍🌾	kofia, mchele, mkulima, mkulima wa kike, mkulima wa kike: ngozi nyeupe, mpunga, ngozi nyeupe
👩🏼‍🌾	kofia, mchele, mkulima, mkulima wa kike, mkulima wa kike: ngozi nyeupe kiasi, mpunga, ngozi nyeupe kiasi
👩🏽‍🌾	kofia, mchele, mkulima, mkulima wa kike, mkulima wa kike: ngozi ya kahawia, mpunga, ngozi ya kahawia
👩🏾‍🌾	kofia, mchele, mkulima, mkulima wa kike, mkulima wa kike: ngozi nyeusi kiasi, mpunga, ngozi nyeusi kiasi
👩🏿‍🌾	kofia, mchele, mkulima, mkulima wa kike, mkulima wa kike: ngozi nyeusi, mpunga, ngozi nyeusi
👨‍🍳	kikaango, mpishi, mpishi wa kiume, sufuria
👨🏻‍🍳	kikaango, mpishi, mpishi wa kiume, mpishi wa kiume: ngozi nyeupe, ngozi nyeupe, sufuria
👨🏼‍🍳	kikaango, mpishi, mpishi wa kiume, mpishi wa kiume: ngozi nyeupe kiasi, ngozi nyeupe kiasi, sufuria
👨🏽‍🍳	kikaango, mpishi, mpishi wa kiume, mpishi wa kiume: ngozi ya kahawia, ngozi ya kahawia, sufuria
👨🏾‍🍳	kikaango, mpishi, mpishi wa kiume, mpishi wa kiume: ngozi nyeusi kiasi, ngozi nyeusi kiasi, sufuria
👨🏿‍🍳	kikaango, mpishi, mpishi wa kiume, mpishi wa kiume: ngozi nyeusi, ngozi nyeusi, sufuria
👩‍🍳	kikaango, mpishi, mpishi wa kike, mwanamke, sufuria
👩🏻‍🍳	kikaango, mpishi, mpishi wa kike, mpishi wa kike: ngozi nyeupe, mwanamke, ngozi nyeupe, sufuria
👩🏼‍🍳	kikaango, mpishi, mpishi wa kike, mpishi wa kike: ngozi nyeupe kiasi, mwanamke, ngozi nyeupe kiasi, sufuria
👩🏽‍🍳	kikaango, mpishi, mpishi wa kike, mpishi wa kike: ngozi ya kahawia, mwanamke, ngozi ya kahawia, sufuria
👩🏾‍🍳	kikaango, mpishi, mpishi wa kike, mpishi wa kike: ngozi nyeusi kiasi, mwanamke, ngozi nyeusi kiasi, sufuria
👩🏿‍🍳	kikaango, mpishi, mpishi wa kike, mpishi wa kike: ngozi nyeusi, mwanamke, ngozi nyeusi, sufuria
👨‍🔧	fundi gari, fundi mitambo wa kiume, mekanika, mwanamume, spana
👨🏻‍🔧	fundi gari, fundi mitambo wa kiume, fundi mitambo wa kiume: ngozi nyeupe, mekanika, mwanamume, ngozi nyeupe, spana
👨🏼‍🔧	fundi gari, fundi mitambo wa kiume, fundi mitambo wa kiume: ngozi nyeupe kiasi, mekanika, mwanamume, ngozi nyeupe kiasi, spana
👨🏽‍🔧	fundi gari, fundi mitambo wa kiume, fundi mitambo wa kiume: ngozi ya kahawia, mekanika, mwanamume, ngozi ya kahawia, spana
👨🏾‍🔧	fundi gari, fundi mitambo wa kiume, fundi mitambo wa kiume: ngozi nyeusi kiasi, mekanika, mwanamume, ngozi nyeusi kiasi, spana
👨🏿‍🔧	fundi gari, fundi mitambo wa kiume, fundi mitambo wa kiume: ngozi nyeusi, mekanika, mwanamume, ngozi nyeusi, spana
👩‍🔧	fundi bomba, fundi mitambo wa kike, mekanika, mwanamke, spana
👩🏻‍🔧	fundi bomba, fundi mitambo wa kike, fundi mitambo wa kike: ngozi nyeupe, mekanika, mwanamke, ngozi nyeupe, spana
👩🏼‍🔧	fundi bomba, fundi mitambo wa kike, fundi mitambo wa kike: ngozi nyeupe kiasi, mekanika, mwanamke, ngozi nyeupe kiasi, spana
👩🏽‍🔧	fundi bomba, fundi mitambo wa kike, fundi mitambo wa kike: ngozi ya kahawia, mekanika, mwanamke, ngozi ya kahawia, spana
